price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Số tầng,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới
"8,4 tỷ VNĐ","Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội", 49m2,"+ Vị trí: Nhà nằm khu phố Thái Hà trung tâm quận Đống Đa, ô tô qua nhà, khu vực dân trí cao, an ninh cực tốt, hàng xóm thân thiện. . Nhà xây, thoáng mát, ánh sáng tự nhiên. Kết cấu khung cột BTCT chắc chắn, đẹp, hiện đại, khách chỉ việc kê đồ vào ở, có thể thiết kế gara ô tô con vào nhà + Thiết kế cầu thang giữa chia mỗi tầng 2 phòng, nhà thoáng trước sau. - Tầng 1 : phòng khách, bếp, wc. - Tầng 2,3  : mỗi tầng 2 phòng ngủ, wc + ban công. - Tầng 4: phòng thờ, sân phơi. - Tầng 5: Tum. + DT 49m x 5 tầng x MT 3.9m x 8.4 tỷ. + Sổ đỏ sẵn sàng giao dịch.                   Liên hệ Khanh Ngọc 0989075515 hỗ trợ xem nhà.",24/12/2021,Tin thường,batdongsan_so_com_vn_1673834681.5490196,,,,,,
"5,2 tỷ VNĐ",0388349919, 45m2,"Nhà Mới Tây Hồ - Thang máy - Ngõ to- Thoáng- View pháo hoa Vị trí : Xuân La, Tây Hồ, Hà Nội- Vị trí cực đẹp, trước nhà view sân vườn thoáng vĩnh viễn, hiếm có- Thiết kế ( Có thang máy):- Diện tích - 45m2 - 5 Tầng - Mặt Tiền 6m.Tầng 1: Thông sàn, phòng khách và bếp. Tầng 2+3+4: Mỗi tầng 1 phòng ngủ khép kín. Tầng 5: Phòng thờ và sân phơi. - Sổ đỏ đầy đủ- Giá bán 5.2 tỷ, có thương lượng.Liên hệ xem nhà Em Quân : 0388349919#nhare #hanoi #nhahanoi #nhamoi #batdongsan #batdongsanhanoi #badinh #tayho #caugiay",24/12/2021,Tin thường,batdongsan_so_com_vn_1673834683.720886,,,,,,
"2,7 tỷ VNĐ",Kiến Hưng - Hà Đông, 36m2,"- Tôi CC cần thanh khoản gấp để lấy tiền đầu tư xây dự án khác - DT : 36m2             - Hướng : ĐTT - MT : 3.5m - Vị trí nhà rất đẹp nằm đối diện công an phường Kiến Hưng,cách đường ô tô chánh chỉ 10m,ngoài ra nhà còn có 1 sân sử dụng riêng biệt để được rất nhiều xe máy.xung quanh dân cư ở đông đúc,dân trí cao ngay sát C.A Phường nên an ninh rất tốt - Tiện ích căn nhà rất nhiều,ngay sát bể bơi Kiến Hưng,ra chợ Đa Sỹ chỉ 100m,trường Mầm non,trường học các cấp đi chưa đến 5 phút.BV Đa khoa,BV Quân Y 103,siêu thị Metro,Big C Hà Đông,aeon mall cách nhà chỉ 500m. - Nhà xây mới thiết kế 4,5 tầng gồm mỗi tầng 1 phòng ngủ ( tổng 3 phòng ngủ ), 4WC , phòng thờ ,sân phơi,bếp và phòng khách. - Pháp lý : SĐCC - Giá : 2,7 tỷ ( có thương lượng nhẹ , bao phí sang tên ) - Liên hệ : 0936291239 ( Mạnh 33t )",20/07/2021,Tin thường,batdongsan_so_com_vn_1673834685.9360795, Đông nam, 5, 3, 4,,
10 tỷ VNĐ,"Nguyễn Xiển, Thanh Xuân, Hà Nội", 62m2,"Chính chủ bán gấp nhà lô góc kinh doanh Nguyễn Xiển DT 62m2*4T, giá 10 tỷ.+ Nhà vỉa hè rộng ô tô đỗ ngày đêm - kinh doanh rất hiệu quả.+ Cách mặt đường Nguyễn Xiển vài bước chân.+ Xây được một thời gian còn rất đẹp chắc chắn. Thiết kế công năng hoàn hảo phù hợp cho việc kinh doanh, dịch vụ hay văn phòng đều được, kết hợp giữa việc ở và kinh doanh.+ Sổ đỏ chính chủ.+ Liên hệ: A Thành 0912525146",24/12/2021,Tin thường,batdongsan_so_com_vn_1673834687.9503052,,,,,,
12 tỷ VNĐ,"KĐT Định Công, Hoàng Mai, Hà Nội", 82m2,"Chính Chủ bán nhà KĐT Mới Định Công DT 82m*4t giá 12 tỷ.+ Vị trí đẹp nhất KĐT Định Công, khu vực dân trí cao, an ninh tốt, giao thông thuận tiện, kết nối nhiều tuyến phố lớn. + Nhà chủ ở rất giữ, thiết kế đẹp, hiện đại, các phòng đều tràn ngập ánh sáng. - Tầng 1: Phòng khách, bếp & phòng ăn. - Tầng 2,3: Mỗi tầng 2 phòng ngủ rộng, wc khép kín. - Tầng 4: Phòng thờ, sân phơi. + Đường trước nhà rộng, có vỉa hè, ô tô đỗ thoải mái, nhà gần vườn hoa rất đẹp. + Khu vực dân trí cao, an ninh tốt, giao thông thuận tiện, kết nối nhiều tuyến phố lớn. + Liên hệ: Thành 0912525146",24/12/2021,Tin thường,batdongsan_so_com_vn_1673834689.875885,,,,,,
"3,89 tỷ VNĐ","mỹ đình ,nam từ liêm", 33m2,"Nhà gần ngay ngã 3 Thiên Hiền- Mỹ Đình, ô tô đỗ cổng, cách mặt phố và bãi xe 30 mét. Vị trí trung tâm quận Nam Từ Liêm nên tiện ích xung quanh không thiếu thứ gì. Từ nhà dễ dàng đi Phạm Hùng, Lê Đức Thọ, Nguyễn Hoàng, Đình Thôn, Mễ Trì, Trần Bình… Chủ nhà là người sống ở nước ngoài lâu năm nên rất chau chuốt cho ngôi nhà thân yêu của mình. Nội thất đều làm từ chất liệu cao cấp, thiết bị xịn xò, nước sơn bóng mịn. Nhà đẹp còn đầy đủ công năng mà sạch sẽ như li. Chủ có lộc làm ăn đã mua nhà phố, thiện chí để lại phần lớn nội thất, chủ mới chỉ việc xách vali về ở luôn. Giá chào 3 tỷ 890 triệu (khách đàm phán trực tiếp với chủ nhà). Sổ hoa hậu, sẵn sang tên, cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các thủ tục liên quan đến ngân hàng). Anh chị gọi ngay em Sơn (thổ cư) để được tư vấn nhiệt tình và xem thêm miễn phí hàng nghìn căn nhà tại Hà Nội 0932382236",24/12/2021,Tin thường,batdongsan_so_com_vn_1673834691.934539,,,,,,
"4,2 tỷ VNĐ","mỹ đình ,nam từ liêm", 81m2,"Đường vào rộng rãi ô tô tải tránh, sân làm gara. Là khu vực phân lô của cán bộ chính trị, dân trí cực đỉnh. Gần trung tâm hành chính huyện Hoài Đức, sát khu đô thị Lideco, tiện ích cực phong phú. Nhà cách đường 32 chỉ mấy trăm mét, đi Nhổn, Cầu Diễn, Xuân Phương, Trịnh Văn Bô, Nhổn, Hồ Tùng Mậu, SVĐ Mỹ Đình... rất nhanh chóng. Nhà 81m2 rộng rãi, có sân trước và sân sau. Nhà thoáng sáng, view hồ điều hoà mát mẻ. Rất gần dự án đường Hoàng Quốc Việt kéo dài và tương lai tươi sáng khi mấy năm nữa Hoài Đức lên quận. Giá chào4 tỷ 200 triệu (khách gặp chủ thương lượng trực tiếp). Sổ đỏ vuông đẹp, nở hậu, sẵn giao dịch ngay (hỗ trợ pháp lý và các thủ tục liên quan đến ngân hàng).    Anh chị liên hệ em Sơn (thổ cư) ngay để xem nhà và rất nhiều căn nhà khác hoàn toàn miễn phí: 0932382236",24/12/2021,Tin thường,batdongsan_so_com_vn_1673834694.0220997,,,,,,
31 tỷ VNĐ,Tây Hồ, 140m2,"Phân khu biệt thự lâu đài phong cách cổ điển duy nhất tại Ciputra. Tổng giá chỉ từ 31 tỷ. Đơn giá từ ~ 230 tr/m2. Chính sách siêu khủng: Đóng 30% sở hữu biệt thự lâu đài, 65% ưu đãi lãi suất 0% trong 12 tháng. 1. Khách hàng sở hữu được bàn giao nhà và sổ đỏ ngay. 2. Phong cách chuẩn cổ điển duy nhất tại Ciputra. 3. Đặc quyền vừa ở vừa kinh doanh tại đất vàng Ciputra Tây Hồ, và rất các ưu điểm vượt trội: - Nằm trong đại đô thị Ciputra hội tụ cộng đồng cư dân văn minh của hơn 70 quốc gia trên thế giới. - Không gian sống thoải mái, hiện đại với diện tích từ 140m2 - 215m2 - 273m2 - .. - 419m2 và kiến trúc cổ điển sang trọng, phong cách hoàng gia. - Tiện ích sống hoàn hảo, nâng tầm hưởng thụ: Trung tâm thương mại, spa, gym, nhà hàng, bể bơi ngoài trời, vườn hoa nội khu, sân golf,... - Không gian xanh trong lành, mang thiên nhiên vào nhà: Tiêu chuẩn cây xanh mang thương hiệu Vimefulland, có kích thước đường kính từ 35 - 45cm đối với các tuyến đường nội khu, đường kính tán 4 - 8m, các tuyến đường nhóm nhà, đường vào nhà trồng các loại cây có đường kính tán nhỏ hơn, cây leo theo trụ,..- Chăm chút cuộc sống với hệ thống y tế chỉ có tại Vimefulland: - Chất lượng nguồn nước, an ninh 24/7, hệ sinh thái giáo dục chất lượng cao. Tận hưởng cuộc sống ""đáng sống"" tại Green Center Villas. Vimefulland Tây Hồ - Khẳng định gái trị độc tôn 👉 Liên hệ 𝟬𝟵𝟯𝟱.𝟭𝟭𝟲.𝟭𝟯𝟯 ngay hôm nay để được tư vấn MIỄN PHÍ về dự án!------------️️🔶🔹🔶------------🍀 𝐓𝐇𝐄 𝐋𝐎𝐓𝐔𝐒 𝐂𝐄𝐍𝐓𝐄𝐑 - GIÁ TRỊ Ở SỰ KHÁC BIỆT🍀📌 Vị trí: mặt đường Võ Chí Công, quận Tây Hồ, Hà Nội🏣 Chủ đầu tư: Tập đoàn Vimedimex📈 Đơn vị phát triển kinh doanh: Vimefulland🌈 Đơn vị quản lý vận hành: Savills Việt Nam.",24/12/2021,Tin thường,batdongsan_so_com_vn_1673834696.2402713,,,,,,
"3,75 tỷ VNĐ","Phố Trạm, phường Long Biên", 30m2,"Mô tả: NHÀ MỚI TINH - CHỦ ĐẦU TƯ NỔI TIẾNG RẤT UY TÍN - NGÕ THÔNG Ô TÔ CHẠY.   + Vị trí nhà nằm mặt ngõ rộng hơn 4m ô tô chạy vèo vèo.+ Thiết kế 5 tầng hiện đại mỗi tầng một phòng tổng 3 ngủ, 4 WC và phòng thờ, sân phơi. + Khu vực phát triển từng ngày, cạnh đấy là các dự án lớn xây dựng các khu đô đang triển khai. +Sổ đỏ đẹp nở hậu sẵn sàng giao dịch.+ Liên hệ: Ms Mai 0983724773.",24/12/2021,Tin thường,batdongsan_so_com_vn_1673834700.6090343,,,,, 4,
25 tỷ VNĐ,The Manor Center Park, 75m2,"Do nhu cầu chuyển hướng đầu tư sang lĩnh vực khác,nên gia đình muốn bán lại căn mặt phố đi bộ nằm trong khuôn viên của The Manor Center Park. Diện tích 75m2,mặt tiền 5m,xây 5 tầng,đã bàn giao Full nội thất có thể sử dụng ngay. 1 khoản đầu tư vô cùng hợp lý khi mà giá thị trường đối với 1 căn shophouse tại đây khoảng trên 26 tỷ. Ai cần liên hệ : Mr Trường 0984474965",24/12/2021,Tin thường,batdongsan_so_com_vn_1673834702.525273,,,,,,
