price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Mặt tiền,Lộ giới,Số toilet,Hướng
16 tỷ VNĐ,Hà Nội, 77m2,"Bán nhà đường Văn Cao quận Ba Đình, kinh doanh sầm uất - LH: 0856 968 656.Vị trí cực đẹp, kinh doanh buôn bán cực tốt, khu an ninh dân trí, đường xe ôtô tải. Diện tích 77 m2, 6 tầng thang máy, phong thủy và nội thất đẹp, các phòng đều thoáng.Xung quanh nhiều tiện ích, gần các siêu thị lớn nhỏ, chợ, bệnh viện, công viên trường học...Kết nối phố Liễu Giai, Hoàng Hoa Thám, Trích Sài, Đội Cấn, Linh Lang, Vạn Bảo, Vạn Phúc, Phan Kế Bính...Tầng 1: Gara, phòng khách/ kinh doanh, phụ, bếp.Tầng 2, 3, 4, 5: Nhiều phòng, phụ.Tầng 6: Phòng thờ, sân vườn, phơi.Sổ đỏ chính chủ, để lại toàn bộ nội thất cao cấp.Giá chào chỉ 16 tỷ thương lượng mạnh, bao sang tên.Liên hệ miễn trung gian ngay - 0856 968 656.",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825642.437183,,,,,,
16 tỷ VNĐ,Hà Nội, 77m2,"Bán nhà phố Kim Mã quận Ba Đình, kinh doanh siêu đỉnh - LH: 0856 968 656.Nhà đẹp ở luôn diện tích 77 m2, 6 tầng thang máy, nội thất nhập khẩu.Vị trí đắc địa tiện kinh doanh, cho thuê không cần quảng cáo.Đường ô tô tải tránh, khu an ninh dân trí cao, nhiều tiện ích.Gần Lotte Đào Tấn, Vinhomes Metropolis, Lăng Bác, Công viên Thủ Lệ, Bách Thảo, Hồ Tây…Kết nối phố Giảng Võ, Láng Hạ, Liễu Giai, Linh Lang, Đội Cấn, Giang Văn Minh, Núi Trúc, Vạn Bảo…Sổ đỏ chính chủ.Giá chào bán chỉ 16 tỷ thương lượng mạnh, bao sang tên, tặng full nội thất xịn.Liên hệ ngay 24/7 - 0856 968 656.",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825643.9271965,,,,,,
7 tỷ VNĐ,1000 Vĩnh Hồ, 30m2,"  Bán nhà mặt phố Vĩnh Hồ Đống Đa – Nở Hậu – Ôtô tránh – Kinh doanh cực khủng - Nhỉnh 7 tỷ.  MẶT PHỐ - KINH DOANH KHỦNG - HIẾM - Ô TÔ TRÁNH - GIÁP MẶT PHỐ TÂY SƠN - SỔ RIÊNG NỞ HẬU – GIÁ NHỈNH 7 TỶ.  +  Nói chung là chẳng biết diễn tả thế nào về em hoa hậu này. Mỗi tầng 1 phòng 1wc. Tầng 1 cũng có wc. + Nhà đẹp, kinh doanh, ở luôn. Đặc biệt kinh doanh thì tiền vào không né kịp. + Sổ đỏ riêng, đẹp mê ly. + Chủ nhà thiện chí, chỉ đợi chủ mới đến để rước em siêu phẩm này.  Khách quan tâm liên hệ Mr Đức: 0857619534.",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825645.388289, 5, 6,,,,
3 tỷ VNĐ,Mỹ Đình, 32m2,"- Hot! Hiếm! Nhà đẹp Mỹ Đình 4 tầng chỉ 3 tỷ tặng nội thất hiện đại. + Mở rộng đầu tư kinh doang chủ nhà cần tiền bán gấp nhà ngõ Mỹ Đình, Nam Từ Liêm, khu vực dân trí cao, an ninh tốt. + Nhà xây 4 tầng, thiết kế hiện đại, tặng full nội thất. + Khách mua ở luôn với nhiều tiện ích, trường, chợ, bệnh viện, bến xe ngay gần. Hoặc mua đầu tư giữ tiền với lợi thế dễ dàng kinh doanh cho thuê, đặc biệt đi lại thuận tiện, thông suốt, tương lai chắc chắn tăng giá. + Sổ đẹp, đợi khách đến giao dịch. Liên hệ: Thu Trang 0986520689",08/05/2022,Tin thường,batdongsan_so_com_vn_1673825646.8142436, 4,, 4,,,
2 tỷ VNĐ,"nhà 51 ngõ 294/11/6 Đội Cấn, Quận Ba Đình, Hà Nội", 25m2,"Chính chủ bán nhà 51 ngõ 294/11/6 Đội Cấn, Quận Ba Đình, Hà NộiDiện tích: 25m2 x 2,5 tầng. Mặt tiền: 3m.- Nhà thiết kế hợp lý có 2 phòng ngủ, 2 vệ sinh- Ngõ xe ba gác, khu vực gần trường, chợ, bệnh viện, thuận tiện giao thông sinh hoạt.- Khu an ninh rất tốt, dân cư văn minh, thân thiện. Gần trung tâm thương mại Lotte, Gần Hồ Tây- Mua bán chính chủ, công chứng vi bằng.- Giá bán: 2 tỷ.Chính chủ: 0989992898
 
Nguồn: http://nhadathanoi.net.vn/

",08/05/2022,Tin thường,batdongsan_so_com_vn_1673825647.8614426,,, 3,,,
6 tỷ VNĐ,Cầu Giấy, 45m2,"Bán Nhà Trần Bình,Cầu Giấy,Cách 1 Nhà Ra ÔTô,5 Tầng,45 m2,Giá  Hơn 6Tỷ + Nhà thiết kế 8 phòng ngủ khép kín, mặt tiền 4 m + 45 m2, nội thất xịn, tiện ích xung quanh vô vàn. + Nhà trong khu dân cư đông đúc, nhiều các trường Đại Học, Học Viện, Cao Đẳng, nhiều toà nhà văn phòng. + Kinh doanh buôn bán các mặt hàng rất tốt, dòng tiền cho thuê tốt. ——————————– + Vị trí trung tâm của quận Cầu Giấy, phía tây giáp quận Nam Từ Liêm và quận Bắc Từ Liêm, phía đông giáp quận Ba Đình. + Khu vực có tốc độ đô thị hoá với tốc độ cao. + Các công trình nổi bật ở khu như: công viên Cầu Giấy, công viên Nghĩa Tân, bệnh viện 198, bệnh viện y học cổ truyền. + Các công trình đang làm và dự kiến hoàn thành trong tương lai như: hoàn thành đường Nguyễn Văn Huyên kéo dài qua đường Cầu Giấy, đại sứ quán Mỹ. ——————————— + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. + Hỗ trợ khách hàng có nhu cầu vay vốn ngân hàng. + Chủ nhà cần bán gấp giá cả thương lượng, đàm phán. + Hãy gọi Anh Hiệp để xem nhà ngay: 0963 005 936. + Sẵn sàng tư vấn pháp lý, ngân hàng liên quan đến bất động sản.",08/05/2022,Tin thường,batdongsan_so_com_vn_1673825649.0063808,,,,,,
"7,6 tỷ VNĐ",Đường Nguyễn Văn Cừ phường Ngọc Lâm, 58m2,"Bán gấp nhà NGUYỄN VĂN CỪ Long Biên, nhà mặt ngõ Nguyễn Văn Cừ thông Ái Mộ, đường trải nhựa, ô tô phóng vù vù, chỉ 1 cái vít ga là lên cầu chương dương. + Nhà lô góc, xây dựng chắc chắn, đầy đủ công năng, ô tô 7 chỗ vào nhà, được thiết kế và bố trí : - Tầng 1 : gara, bếp, vệ sinh, cầu thang giữa. - Tầng 2 : phòng khách, phòng ngủ, vệ sinh. - Tầng 3,4 : mỗi tầng 2 phòng ngủ, vệ sinh chung. - Tầng 5 : phòng thờ, phòng sinh hoạt chung, sân phơi. - Tầng 6 : kho chứa đồ, sân trồng cây thiết kế hiện đại phòng nào cũng thoáng đầy ánh sáng. + Vị trí đẹp, đa tiện ích, phù hợp kinh doanh, văn phòng. Liên hệ E Thoa -0797336666 chuyên nhà đẹp, biệt thự, mặt phố Hà Nội. Hỗ trợ vay vốn ngân hàng 80% giá trị tài sản.  ",08/05/2022,Tin thường,batdongsan_so_com_vn_1673825655.9226434, 6, 5, 4, 6, 6,
"5,95 tỷ VNĐ","mặt phố Phan Chu Trinh, Phường Yết Kiêu, Quận Hà Đông", 43.7m2,"Chính chủ bán nhà mặt phố Phan Chu Trinh, Phường Yết Kiêu, Quận Hà ĐôngDiện tích: 43,7m2 x 3 tầng - Mặt tiền: 6,8m.-  Lô góc hai mặt tiền 2 mặt phố- Nhà xây kiên cố, thiết kế hiện đại gồm có 2 phòng ngủ, 2 vệ sinh,- Khu vực trung tâm gần Bưu điện Hà Đông, gần trường, chợ, bệnh viện, khu dân trí cao, an ninh tốt.Giá bán: 5,95 tỷ - Sổ đỏ chính chủ.Chính chủ: 0975499289
 
 
Nguồn:  http://nhadathanoi.net.vn/

",08/05/2022,Tin thường,batdongsan_so_com_vn_1673825657.0485907, 3,, 6,,,
"11,5 tỷ VNĐ",Nam Từ Liêm, 65m2,65,08/05/2022,Tin thường,batdongsan_so_com_vn_1673825657.9631436,,,,,,
3 tỷ VNĐ,Khương Đình - Thanh Xuân, 40m2,"+ Gia chủ chuyển định cư nước ngoài để ở với con, nên cần bán gấp căn nhà với giá cực hiếm, Nhỉnh 3 Tỷ, 40M2x5T, MT hơn 5M, LÔ GÓC tại Khương Đình – Thanh Xuân. + Vị tí đắc địa, thông thương sang nhiều tuyến đường lớn: Nguyễn Xiển, Nguyễn Trãi, Khương Đình. Tọa lạc bởi nhiều trường Đại học nổi: Trường Đại học Khoa học Xã hội và Nhân văn, Đại Học Đông Đô, Đại học Hà Nội, gần Trường học 3 Cấp và trường mầm non. + Vị trí đỉnh, 5 phút ra Royal City, đi bộ vài phút ra hồ Hạ Đình thoải mái để tập thể dục hoặc có thể câu cá, đi thêm hơn 300m tới bệnh viên Thanh Xuân. Bãi xe ô tô gần 200m, có phòng tập Gym và rất gần với chợ Kim Giang. + Khu dân cư dân trí cao, hàng xóm hiền lành thân thiện, ở đây an ninh được đánh giá cực tốt nên không xảy ra tệ nạn, nhà thoáng mát, không ngập nước, không ô nhiễm vì vậy được hắt sáng rất đều, thích hợp cho hộ gia đình ở và định cư lâu dài. + Gia chủ làm ăn ra, con cái làm quan chức, thành đạt nên được hưởng rất nhiều lộc.. + Căn nhà được chủ xây dựng rất tâm huyết, kiên cố , chắc chắn, đầy đủ công năng sử dụng, chỉ việc mang vali về ở ngay. + Pháp lý chuẩn, sổ đỏ vuông đẹp, sang tên nhanh, sẵn sàng dao dịch. + Giá thỏa thuận. + Liên hệ: Mr. Hoan – Chuyên thổ cư Hà Nội, 0925088355, tư vấn hỗ trợ pháp lý, phong thủy, vay vốn ngân hàng, miễn phí xem nhà 24/7.",08/05/2022,Tin thường,batdongsan_so_com_vn_1673825658.9993727, 5,, 5,,,
