price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Mặt tiền,Số toilet,Hướng
,Mỹ Đình Nam Từ Liêm, 61m2,"Bán gấp nhà, Lê Đức Thọ, Nam Từ Liêm, 61m2, kinh doanh ,thông thoáng ,nhỉnh 6tỷ.Vị trí an sinh tốt, kinh doanh nhỏ gần chợ, trường mầm non, cấp 1,2,3 Mỹ Đình.Thông các đường lớn xung quanh, Lê Đức Thọ, Nguyễn Hoàng, Mỹ Đình, đường Trần Hữu Dực. Nhà xây chắc chắn có thể nên thêm tầng, chủ cũ thiết kế 3 tầng đủ công năng sử dụng.Sổ đỏ sẵn sàng giao dịch.LH: Xem nhà 0845681666.",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823208.5915205,,,,,,
,Mỹ Đình Nam Từ Liêm, 61m2,"Bán gấp nhà, Lê Đức Thọ, Nam Từ Liêm, 61m2, kinh doanh ,thông thoáng ,nhỉnh 6tỷ.Vị trí an sinh tốt, kinh doanh nhỏ gần chợ, trường mầm non, cấp 1,2,3 Mỹ Đình.Thông các đường lớn xung quanh, Lê Đức Thọ, Nguyễn Hoàng, Mỹ Đình, đường Trần Hữu Dực. Nhà xây chắc chắn có thể nên thêm tầng, chủ cũ thiết kế 3 tầng đủ công năng sử dụng.Sổ đỏ sẵn sàng giao dịch.LH: Xem nhà 0845681666.",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823210.0017972,,,,,,
"9,6 tỷ VNĐ","Đa Sỹ, Hà Đông, Hà Nội.", 70m2," # Bán nhà mặt phố Đa Sỹ, Hà Đông, Hà Nội. Vỉa hè rộng đường ô tô tránh, kinh doanh tấp nập phù hợp nhiều loại hình, hoặc xây tòa nhà Văn Phòng cho thuê càng đỉnh. DT 70m, C4, giá chỉ dưới 10 tỷ. + Vị Trí: tiếp giáp phường Hà Cầu và Nguyễn Trãi, tọa lạc nơi đắc địa nhất nhì mặt phố trục chính đường Đa Sỹ quận Hà Đông. + Tiện ích: gần Chợ Lớn Hà Đông, Sân Vận Động Hà Đông, nhiều TTTM, Ngân hàng, trường C1,2,3, khu vui chơi, trung tâm phố tiện ích. + Giao thông:  di chuyển Bà Triệu, Tô Hiêu, Lê Hồng Phong, Chưng Nhị, Lê Lợi, Quang Trung, Xa La, Phùng Hưng, 19/5, Trần Phú, Nguyễn Trãi quận Thanh Xuân vô cùng thuận lợi. + Nhà C4 không có gì mô tả. Chủ mới mua về có thể ở và kinh doanh luôn hoặc xây lại mới 5 -7 tầng tòa Văn phòng thì đẹp lắm. + Giá  9.6 tỷ. chỉ ra lộc + Sổ đỏ chính chủ, sẵn sàng giao dịch. # HotLine: 0983858722 Tình nhà phố ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823211.2424302, 10, 1, 2,,,
13 tỷ VNĐ,Đường Phương Liệt phường Phương Liệt, 110m2,"
    BÁN CHUNG CƯ MINI PHƯƠNG LIỆT SIÊU DÒNG TIỀN 110m2 x25 PHÒNG 13 TỶ SIÊU LỢI NHUẬN HỒI VỐN NHANH8 TẦNG - MỚI ĐẸP - THANG MÁY - 25 PHÒNG KHÉP KÍN - SIÊU DÒNG TIỀN***CAM KẾT HÌNH ẢNH THẬT 100% KHÔNG MẤT THỜI GIAN CỦA KHÁCH HÀNG Mô tả:+ Vị trí đẹp, trung tâm Thanh Xuân giáp Hai Bà Trưng vài bước ra phố, sát hồ, gần nhiều trường Đại học, Bệnh viện, giao cắt vơi Trường Chinh - Giải Phóng - Đại La Phố Vọng...Nhà rất phù hợp với khách mua đầu tư, giữ tiền, chung cư mini hái ra tiền khi nhu cầu thuê trọ ở NGÃ TƯ VỌNG luôn là cầu lớn hơn cung, luôn cháy phòng cho thuê.Nhà thiết kế hiện đại, hiện đang cho thuê full phòng + Sổ Đỏ chính chủ, có thương lượng, pháp lý chuẩn sẵn sàng giao dịch ngay.LH: Mr.Tiến - Thành thật tận tâm - Dẫn nhà thật - Tiết kiệm thời gianBên cạnh đó, còn vài chục căn nhà trên địa bàn quận và các tuyến phố lân cận với đa dạng phân khúc phù hợp với mong muốn của quý anh/chịChúc Quý anh/chị bình an và thật nhiều sức khoẻ!
",26/05/2022,Tin thường,batdongsan_so_com_vn_1673823212.478122, 1, 8, 25, 4, 25,
"5,5 tỷ VNĐ",Thanh Xuân, 55m2,"Nhỉnh 5 tỷ rinh nhà to đẹp tại Lê Văn Lương Thanh Xuân – lh: 0376247299. + Nhà 5 tầng, 55m vuông, hàng xóm GOLDEN PALM. + Khu vực Thanh Xuân nhiều đô thị với đủ mọi tiện ích, đi ngay đến Lê Văn Lương, Hoàng Đạo Thùy, Khuất Duy Tiến, … +  + Giá cả thương lượng.  Liên hệ: Em Việt Anh Thổ cư 0376247299 để được tìm hiểu và xem chi tiết căn nhà miễn phí.",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823213.4654813,,,,,,
"3,85 tỷ VNĐ",Tân Triều Triều Khúc, 30m2,"- Vị trí: Trung tâm Triều Khúc, 30m ra ô tô , gần trường chợ, siêu thị... tiện tích ngập tràn.- Nhà lô góc 2 thoáng sáng và đẹp- Thiết kế nhà: 5 tầng 1 lửng với đầy đủ công năng.Tổng 4 ngủ, 4 vệ sinh, khách, phòng thờ, sân phơi.- Sổ đỏ chính chủ, pháp lý chuẩn.- Ace quan tâm gọi luôn cho Nguyên Anh: 0819508701 để được biết thêm chi tiết, xem nhà miễn phí, tiết kiệm thời gian.",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823214.6602845, 5, 5, 4, 5, 4, Bắc
"5,5 tỷ VNĐ",Hoàng Quốc Việt - Cầu Giấy - Hà Nội, 68m2,"NHÀ ĐẸP HOÀNG QUỐC VIỆT - CẦU GIẤY - 6 TẦNG - CHỈ 5.5 TỶ - ĐẦY ĐỦ TIỆN ÍCH.+ Vị trí ngõ thông tứ phía, cách ô tô chỉ 10m. + Nhà thiết kế xây 5 tầng mới đẹp, chắc chắn tâm huyết. - Tầng 1: Phòng khách, bếp, vệ sinh.- Tầng 2, 3, 4, 5: Mỗi tầng 1 phòng rộng + vệ sinh.- Tầng 6: Phòng thờ, sân phơi. + Sổ đỏ vuông vắn, sẵn sàng giao dịch. + Giá:5.5 tỷ (Thương lượng). + Liên hệ: Mr. Tiến Hoàng - 0976817296 - Tư vấn nhiệt tình, miễn phí 24/7.",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823215.9657912,,,,,,
"1,2 tỷ VNĐ","Đa Tốn, Gia Lâm", 26m2,"+ Thuộc Trung Tâm Ocean park. + Vị trí ở giữa tòa nhà, tầng cao, HOT HOT + Hiện đang cho thuê giữ nhà 6 triệu/tháng. + Nội Thất xịn, ngoại nhập, tặng Nội thất + Sổ đỏ chính chủ, sẵn sàng giao dịch. - Lh em Trác: 0965492571( xem nhà và tư vấn miễn phí) ",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823217.1157155,,,, 2,,
"7,6 tỷ VNĐ","Quang Trung, Hà Đông, Hà Nội", 126m2," # Bán đất giá đầu tư, chia 3 lô tuyệt đẹp, mặt tiền rộng, 126m2 giá chỉ trên 7 tỷ.  + Vị trí mặt ngõ đẹp nhất trục đường Quang Trung quận Hà Đông.  + Đường trước nhà 3 gác tránh SH, 30m ra mặt phố chính Quang Trung, giao thông vô cùng thuận lợi.  + Gần chợ, trường C1, C2, trung tâm phố nhiều tiện ích.  + Hiện trạng đất chia thoải mái 3 lô vuông đẹp hoặc xây luôn tòa CCMN, đỉnh của đỉnh.  + Giá chỉ 7.6 tỷ.  + Sổ đỏ chính chủ, pháp lý chuẩn sẵn sàng giao dịch.  # HotLine: 0906113879 Tình nhà phố ( chuyên nhà đẹp, nhà phố, dòng tiền, tiềm năng có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823218.1898427,,,,,,
"7,7 tỷ VNĐ",Đường Kim Hoa phường Kim Liên, 36m2,"Nhà diện tích 36m2 lô góc nở hậu, 4 tầng với thiết kế đủ công năng sử dụng cho gia đình vừa ở vừa kinh doanh ,  Sổ đỏ vuông đẹp sẵn sang giao dịch .  để được hỗ trợ24/7",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823219.1313229, 8, 4, 3, 3, 4,
