price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"4,5 tỷ VNĐ",Đường Mỹ Đình phường Mỹ Đình 2, 42m2, 4,"
    Cần tiền bán gấp mảnh đất: + Diện tích: 42m2, mặt tiền: 4,2 m; SĐCC, giao dịch ngay. + Mảnh đất thuộc phố Mỹ Đình, quận Nam Từ Liêm, phía sau bến xe Mỹ Đình, thông các ngả ra SVĐ Mỹ Đình, Phạm Hùng, Nguyễn Hoàng, Trần Bình.. + Đường trước nhà ô tô đỗ cửa, kinh doanh cực đỉnh, dân cư đông đi lại tấp nập.. + Thuộc trung tâm quận Nam Từ Liêm, Tiếp giáp Cầu Giấy, Bắc Từ Liêm. + giá bán <= 4 tỷ. + Liên hệ Mr. Phan Sơn để biết thêm chi tiết.
Giá:115 triệu / m2  Diện tích:42 m2",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803559.9521477,,,,
"4,5 tỷ VNĐ",Đường Mỹ Đình phường Mỹ Đình 2, 42m2, 4,"
    Cần tiền bán gấp mảnh đất: + Diện tích: 42m2, mặt tiền: 4,2 m; SĐCC, giao dịch ngay. + Mảnh đất thuộc phố Mỹ Đình, quận Nam Từ Liêm, phía sau bến xe Mỹ Đình, thông các ngả ra SVĐ Mỹ Đình, Phạm Hùng, Nguyễn Hoàng, Trần Bình.. + Đường trước nhà ô tô đỗ cửa, kinh doanh cực đỉnh, dân cư đông đi lại tấp nập.. + Thuộc trung tâm quận Nam Từ Liêm, Tiếp giáp Cầu Giấy, Bắc Từ Liêm. + giá bán <= 4 tỷ. + Liên hệ Mr. Phan Sơn để biết thêm chi tiết.
Giá:115 triệu / m2  Diện tích:42 m2",08/09/2022,Tin thường,batdongsan_so_com_vn_1673803561.4202204,,,,
"6,15 tỷ VNĐ",Đường minh khai phường Vĩnh Tuy, 62m2,,"+ Nhà vị trí đẹp, lô góc ô tô đỗ cửa, hàng xóm KĐT Time City, trước nhà có sân rộng, 100m tha hồ đỗ xe, ô tô, xe máy  + Nhà 3 tầng, kết cấu móng 5 tầng, , tương lai, gần dự án tuyến đường rộng, Minh Khai_ Yên Duyên,   + Liên hệ Mr NHượng, 0979-210-257, chuyên gia tư vấn, hỗ trợ pháp lý, hợp đồng, sổ đỏ. Mua bán, ký gửi BĐS thổ cư tại các quận Hai Bà Trưng, Đống Đa, Hoàng Mai ",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803562.4963398, 3, 3, 4, 2
6 tỷ VNĐ,"hoàng mai, hà nội", 85m2,,"8Bán nhà Hoàng Mai, Phố Giải Phóng, 85m, 5 tầng, mt5m, 6 tỷ, oto - Thang Máy - 9 Phòng khép kín.Nhà 2 lô góc, ba mặt thoáng vĩnh viễn. Ngõ ô tô, cách mặt phố Giải Phóng 60m. Cách bến xe nước ngầm vài chục mét. + Nhà xây 5 tầng, kiên cố có thang máy.- Tầng 1: Để xe + 1 phòng khép kín. - Tầng 2,3,4,5: Mỗi tầng 2 phòng khép kín. + Sổ đỏ chính chủ trước sau như một.Lh: 0346363362 : Phú Gia chuyên nhà phố Hà Nội.",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803563.910559,,,,
"7,2 tỷ VNĐ",Đường Lò Đúc phường Thanh Lương, 40m2, 5,"Nằm ở khu trung tâm đông dân cư, căn nhà vuông vắn mặt tiền thoáng rộng tiện kinh doanh, cho thuê dòng tiền lớn, đặc biệt Ô tô đỗ cửa. Tiện ích thì không thiếu 1 chức năng gì cả, an sinh cực tốt. Căn nhà là đẹp nhất khu không có căn nào hơn được. + Tầng 1 : phòng rộng kinh doanh đủ mặt hàng & 1 Wc + Tầng 2-3-4 : 1 Phòng ngủ + 1 wc + Tầng 5 : Phòng thờ sáng thoáng + sân phơi đá bóng Do gia đình định cư nước ngoài nên muốn bán gấp gặp khách nhiệt tình sẽ ra lộc hợp lý để làm ăn phát tài phát lộc.. + sổ đỏ vuông nở hậu sẵn sàng giao dịch. + Giá nhỉnh 7 tỷ ",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803565.1013725, 8, 5, 3, 4
7 tỷ VNĐ,"đàm quang trung, ngọc lâm, long biên, hà nội", 50m2, 4,"NHÀ ĐẸP DÂN XÂY - NGÕ THÔNG TỨ TUNG - Ô TÔ ĐỖ CỔNG - GẦN NHIỀU TIỆN ÍCHVị trí đẹp hàng xóm Aeon Mall,  Đàm Quang Trung thông các ngõ Cổ Linh,  Bát Khối.Ngõ thông ô tô tránh, gần Aeon, cầu Vĩnh Tuy, chợ, trường học, tiện ích xung quanh rất nhiều. Nhà dân xây thiết kế 5 tầng khung cột chắc chắn.Liên hệ em Hương để được xem nhà Miễn Phí",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803566.1665246, 4, 5, 4, 5
"4,5 tỷ VNĐ","Ngô Thì Sỹ, Vạn Phúc, Hà Đông", 34m2, 4,"Trung Tâm Hà Đông, Mới Đẹp, Ở Luôn DT 34m2 x4T, MT 4m, Chỉ 4.5 TỷVị trí: Nhà trong làng Lụa – Vạn Phúc, Ngõ xe 3 gác, ô tô tránh cách nhà 50m, Ngõ thông tứ tung xung quanh tiện ích không thiếu gì, gần trường mầm non, tiểu học Vạn Phúc,  gần chợ, khu dân trí cao, an ninh tốt.Thiết kế: Nhà xây 4 tầng bê tông cốt thép chắc chắn, với 4 phòng ngủ, 3 phòng vệ sinh.+ Tầng 1 Phòng Khách, bếp +WC.+ Tầng 2,3 mỗi tầng 2 phòng ngủ + WC.+ Tầng 4 thiết kế phòng thờ + Sân Phơi .+ Pháp Lý: Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Giá bán: 4.5 tỷ ( Có thương lượng ).Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.    - Mr Luyện thổ cư: 0911779569- Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến 100 tỷ. “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803567.6296077, 2, 4, 4, 3
"4,5 tỷ VNĐ","Ngô Thì Sỹ, Vạn Phúc, Hà Đông", 34m2, 4,"Trung Tâm Hà Đông, Mới Đẹp, Ở Luôn DT 34m2 x4T, MT 4m, Chỉ 4.5 Tỷ Vị trí: Nhà trong làng Lụa – Vạn Phúc, Ngõ xe 3 gác, ô tô tránh cách nhà 50m, Ngõ thông tứ tung xung quanh tiện ích không thiếu gì, gần trường mầm non, tiểu học Vạn Phúc,  gần chợ, khu dân trí cao, an ninh tốt. Thiết kế: Nhà xây 4 tầng bê tông cốt thép chắc chắn, với 4 phòng ngủ, 3 phòng vệ sinh. + Tầng 1 Phòng Khách, bếp +WC. + Tầng 2,3 mỗi tầng 2 phòng ngủ + WC. + Tầng 4 thiết kế phòng thờ + Sân Phơi . + Pháp Lý: Sổ đỏ chính chủ, sẵn sàng giao dịch. + Giá bán: 4.5 tỷ ( Có thương lượng ). Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.                                                                                                                                                                           - Mr Luyện thổ cư: 0911779569 - Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến 100 tỷ.  “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803569.2443905, 2, 4, 4, 3
"3,2 tỷ VNĐ","Văn Phú, Hà Đông, Hà Nội", 40m2, 5," # Bán nhà quận Hà Đông đường Văn Phú. LH Tình Nhà Đất 0983858722. + Cực hiếm, chỉ nhỉnh xíu 3 tỷ sở hữu ngay nhà Văn Phú quận Hà Đông, nhà đẹp, tự xây chắc, mặt tiền rộng, thửa đất vuông vắn, đường vào trải nhựa thẳng tắp ba gác tránh. DT 40mT1, 4T, mt 5.5m, giá chỉ trên 3 tỷ. nhanh tay LH thương lượng trực tiếp, để sở hữu ngay căn nhà có giá cực tốt này. + Vị trí: tại làng cổ Văn Phú, khu an ninh tốt, hàng xóm hiền hòa, chân thiện, gần Bệnh viện Công An, Siêu Thị MeTro Me Linh Plaza, cạnh KĐT Văn Phú. + Sổ đỏ vuông đẹp chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. # HotLine: 0983858722 Tình Nhà Đất quận Hà Đông – Hà Nội ( uy tín, tận tâm, nhiệt tình, tư vấn, hỗ trợ 24/7 ).",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803570.4770904, 2, 4, 4,
3 tỷ VNĐ,Đường Kim Giang phường Khương Đình, 31m2, 3,,07/09/2022,Tin thường,batdongsan_so_com_vn_1673803571.71079, 3, 5, 3, 4
49 tỷ VNĐ,Đường Nguyễn Văn Cừ phường Bồ Đề, 190m2, 9,"Siêu hót! Bán nhanh căn nhà mặt phố DT 190 m2 tại Nguyễn Văn Cừ - Long Biên, 5 tầng, mt 9m. Diện tích : 90m2 Giá bán : 49 tỷ Vị trí: - Vị trí đắc địa cực đẹp không có căn thứ hai - Nhà nằm trên đoạn đẹp nhất phố Nguyễn Văn Cừ, tuyến phố kinh doanh đắc địa và đa dạng, bán kính gần các trung tâm thương mại, các toà văn phòng, shop thời trang, chung cư lớn. - Xung quanh đầy đủ tiện ích - Khu hiếm nhà bán, khu phân lô Vip Nguyễn Văn Cừ thông các tuyến phố lớn quận Long Biên: Nguyễn Sơn, Ngô Gia Tự, Hồng Tiến, Ngọc Lâm... - Vị trí giao thông đi lại thuận tiện, kinh doanh sầm uất nhất phố, hiệu suất kinh doanh thuộc top Long Biên. - Vị trí rất hiếm, có 1 0 2 Long Biên hiện nay. - Tiện ở kết hợp kinh doanh, cho thuê Spa, phòng khám, văn phòng, ngân hàng...quá tuyệt vời, quá đẳng cấp. * Sổ đỏ chuẩn hoa hậu vuông vắn trước sau, sổ cất két sẵn sàng giao dịch. * Pháp lý đầy đủ giá bán : 49 tỷ. LH : Mr. Tuấn 24/24: O9O9258391 ( Đạo diễn Thổ Cư)  NHIỀU PHÂN KHÚC - NHIỀU LỰA CHỌN",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803577.2620144, 15, 4, 5, 6
"7,15 tỷ VNĐ",Đường Phạm Văn Đồng phường Mai Dịch, 140m2, 5,"BÁN CĂN HỘ CHUNG CƯ THE NINE PHẠM VĂN ĐỒNG, 132M2, 3N, 2VS, ĐẦY ĐỦ NỘI THẤT, NHỈNH 7 TỶ. * TÒA XÂY MỚI - THƠM MÙI SƠN - VỊ TRÍ VIP - Ở - ĐẦU TƯ CHO THUÊ.- Diện tích: 140m2.- Hiện trạng: nhà đẹp, nội thất hiện đại, 3 phòng ngủ, 2 nhà vệ sinh, sàn gỗ tự nhiên, chủ tặng lại nội thất.- Vị trí: căn hộ có vị trí trên tầng 10, view đường vành đai 3, đại học sư phạm...- Pháp lý: sổ đỏ chính chủ, giao dịch trong ngày.$ Giá niêm yết: NHỈNH 7 tỷ. Liên hệ: Mr Lam (Fb/Zalo - 24/7) - Miễn trung gian, môi giới. Chỉ tiếp khách có nhu cầu thực, khách xem cho vui hoặc không có quyền quyết xin phép không tương tác. Với kinh nghiệm 8 năm trong lĩnh vực bất động sản, Mr Lam sở hữu thông tin hơn 1000 căn nhà mặt phố, với đủ phân khúc lớn nhỏ từ chục tỷ cho đến hàng trăm tỷ, vị trí đẹp, tính thanh khoản cao, đáp ứng đầy đủ nhu cầu ở, đầu tư sinh lời của các khách hàng, tại các khu vực quận trung tâm Hà Nội như Ba Đình, Tây Hồ, Đống Đa, Cầu Giấy... giúp cho hàng trăm chủ nhà và khách hàng tìm được căn nhà ưng ý, tôi sẵn sàng hỗ trợ và tư vấn với sự nhiệt tình, kinh nghiệm, thông thạo khu vực, loại hình để đưa đến những thông tin nhanh và chính xác nhất. Các loại hình làm việc1. Nhà mặt phố kinh doanh2. Nhà mặt ngõ ô tô3. Tòa nhà dòng tiền: căn hộ, apartment, văn phòng, trụ sở công ty...4. Nhà ở yên tĩnh, biệt thự đẳng cấp5. Nhà phân lô các khu vực VIP Hà Nội Liên hệ ngay để được tư vấn và tham khảo nguồn hàng phù hợp nhất.",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803578.5819943, 10, 3, 3, 2
18 tỷ VNĐ,Linh Lang Ba Đình Hà Nội, 117m2, 7,"- Diện tích 117m2 x4 tầng. Mặt tiền 7,4m! Giá bán 18 tỷ ( có thương lượng )  - Vị trí nhà 2 mặt ngõ,Cách phố 10m gia chủ thiết kế xây dựng 4 mặt thoáng. Chắc chắn. - Giao thông thuận tiện, Tiện ích xung quanh đầy đủ! - Hiện trạng nhà 3 tầng Chủ xác định bán đất tặng nhà, dáng biệt thự chủ nhà xây cực kỳ chắc chắn.- Khách mua cũng có thể xây mới 7 tầng, vừa ở vừa cho thuê cực kỳ hợp lý. Khu vực toàn khách Tây to thuê ở. - Thiết kế nhà gồm:- Tầng 1 phòng khách, bếp, wc rộng + sân để xe.- Tầng 2, 3: Mỗi tầng 2Phòng ngủ không khép kín và 1 phòng khép kín. Tổng 6PN.- Tầng tum: sân phơi rộng rãi. - sổ vuông đẹp nở hậu. pháp lý chuẩn sẵn sàng giao dịch. ACE có nhu cầu liên hệ với em nha để được tư vấn. Miễn ( TG Quảng Cáo )",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803579.7767973,, 4, 6, 6
"5,1 tỷ VNĐ",Đường Dịch Vọng Hậu phường Dịch Vọng Hậu, 60m2, 4,"+ Nhà mặt trước view ĐẸP CỰC THOÁNG. Khu vực dân cư cực kỳ sầm uất, đa dạng đầy đủ mọi tiện ích. Ngõ thông nhiều hướng giao thông thuận tiện. Gần các trường đại học lớn. + Nhà có thể mua để ở và có tiềm năng xây dựng tòa chung cư mini cho thuê tiềm năng lớn. Xung quanh các phòng cho thuê luôn cho thuê kín. + Nhà thiết kế 3 tầng: - Tầng 1: Phòng khách, bếp và vệ sinh. - Tầng 2: 2 Phòng ngủ và 1 Vệ sinh. - Tầng 3: 1 Phòng ngủ và 1 phòng thờ. Giá: 5,1 tỷ có thương lượng. Liên hệ: Trần Quảng chuyên nhà đất thổ cư uy tín, tận tâm.  Hỗ trợ khách tư vấn, xem nhà và gặp trực tiếp chủ nhà miễn phí. ",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803580.8279846, 3, 3, 3, 3
5 tỷ VNĐ,Cự Lộc, 40m2, 4,"1 NHÀ RA Phố Cự Lộc, Thanh Xuân 40m2, 5 Tầng, MT 4m, 3 MẶT THOÁNG , Nhỉnh 5 Tỷ.+ Trung tâm Phố Cự Lộc, hàng xóm Royal City, gần Hồ, trường học, chợ.+ 1 nhà ra mặt Phố, ô tô tránh, khu dân trí cao, an ninh tốt.+ Đặc điểm cực hiếm của căn nhà, 3 mặt thoáng tràn ngập ánh sáng, nội thất cao cấp.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.   LH: Em Hoan, 0925088355, chuyên Thổ cư Thanh Xuân, Đống Đa, miễn phí xem nhà 24/7.",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803581.8622184,, 5,,
