price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Số phòng ngủ,Số toilet,Hướng,Lộ giới
"6,28 tỷ VNĐ",Văn Quán- Hà Đông, 61m2,"Bán gấp nhà đẹp Văn Quán, Hà Đông, nở hậu, ô tô tránh, 61m2, nhỉnh 6 tỷ Phố Văn Quán, Hà Đông khu vực đáng sống bậc nhất, nổi tiếng môi trường trong lành gần hồ, dân trí cao quan chức về đây tụ họp rất nhiều như quần long tụ tụ, gần siêu thị, xung quanh đầy đủ tiện ích không thiếu thứ gì. Nhà bán rất đẹp chủ tự thuê thiết kế, phong cách Châu Âu hiện đại, nội thất xịn đẳng cấp, khu vực rất hiếm nhà bán, không có căn thứ 2, các phòng thoáng sáng đầy đủ công năng, vài bước chân ra phố. Giao thông thuận lợi di chuyển các phố: Phùng Hưng, Chiến Thắng, Nguyễn Khuyến, Yên Phúc, Yên Xá, Thanh Bình, Yết Kiêu,gần bến xe bus, bệnh viện lớn, ngân hàng, trường học các cấp... Giá: 6.28 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ: Em Huyền ( Cháu gái chủ nhà) 0965472910- 0363703491- Miễn trung gian. ",31/12/2021,Tin thường,batdongsan_so_com_vn_1673833988.3021393,,,,,,
"6,25 tỷ VNĐ",Trần Phú- Hà Đông, 58m2,"Nhỉnh 6 tỷ, gara ô tô, ngõ thông, nở hậu, 58m2x5 tầng, Trần Phú, Hà Đông Tôi cần bán nhà đẹp mới, ở ngay, nhà tự xây chắc chắn đầy đủ công năng sử dụng, phòng nào cũng có cửa sổ đón nắng gió với 4 tầng rộng đẹp nhất khu vực.Nhà thoáng trước thoáng sau, đường trước nhà ô tô tránh, sổ nở hậu tuyệt vời. Ngõ rộng thông, ô tô vào nhà, vừa ở- kinh doanh hoặc cho thuê quá Đỉnh, khu vực không có căn thứ 2. Giao thông di chuyển các phố: Vạn Phúc, Văn Quán, Mỗ Lao, Thanh Bình, Chiến Thắng, Ao Sen, Nguyễn Văn Trỗi, Lương NGọc Quyến,.. bến xe bus rất gần, vài bước ra phố. Xung quanh đầy đủ tiện ích: Trường học, chợ, siêu thị, bệnh viện, ngân hàng, trung tâm mua sắm sầm uất bậc nhất Hà Đông, không thiếu thứ gì, không ở đây quá phí.Hàng xóm toàn quan chức, khu văn minh, an ninh tuyệt đối. Giá: 6.25 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",31/12/2021,Tin thường,batdongsan_so_com_vn_1673833990.5146778, 5,,,,,
24 tỷ VNĐ,Nguyễn Đình Tứ, 116m2,"Mở bán DUY NHẤT 30 CĂN BIỆT THỰ, SHOPHOUSE The Jade Orchid - Vimefulland Phạm Văn Đồng, cơ hội trúng xe sang  💎 Dự án được tọa lạc tại vị trí đắc địa ngay mặt đường Phạm Văn Đồng, Bắc Từ Liêm trung tâm hành chính mới, đầy năng động phía Tây Thủ đô. The Jade Orchid là sự tổng hòa giữa nét tinh tế cổ điển với nét trẻ trung hiện đại trong nội thất, là sự kết hợp hài hòa giữa những lãng mạn của tinh hoa kiến trúc Cổ điển, Tân cổ điển Châu  u, với sự cân bằng giữa những giá trị vật chất và giá trị tinh thần Á Đông.  🍀THÔNG TIN DỰ ÁN:  - Vị trí dự án: Cổ Nhuế - Chèm, gần ngay mặt đường Phạm Văn Đồng đối diện Ciputra  -  Đơn vị phát triển dự án: Vimefulland  - Loại hình: Chung cư, Biệt Thự lâu đài, Biệt thự lâu đài phố  🍀 QUY MÔ: 104 căn biệt thự, shophouse có diện tích phù hợp từ 116m2 – 289m2, ra mắt đợt 1 với số lượng có hạn chỉ 30 căn siêu hot.🍀 ƯU ĐÃI HẤP DẪN- Ưu đãi gói vay tài chính: Hỗ trợ vay lên tới 65%, hỗ trợ lãi suất 0% cho 12 tháng kể từ ngày giải ngân tại Ngân hàng BIDV hoặc ngân hàng Vietcombank. - Ưu đãi chiết khẩu cao: Khách hàng thanh toán sớm 95% được chiết khấu lên tới 5,0%.- Ưu đãi miễn phí dịch vụ quản lý nhà ở: miễn phí dịch vụ quản lý nhà ở 2 năm đầu tính từ thời điểm CĐT bàn giao nhà.- Chương trình bốc thăm trúng thưởng “ Nhà sang Xe xịn” : cơ hội nhận được 01 xe Mercedes –Benz GLC 200 trị giá 1,9 tỷĐại dự án The Jade Orchid nối tiếp tâm huyết được xuyên suốt trong các dự án bất động sản mang thương hiệu Vimefulland, đó là mong mỏi mang đến cho Quý cư dân một cuộc sống “xanh” trọn vẹn trong từng khoảng khắc.  Lựa chọn The Jade Orchid không chỉ là lựa chọn một giá trị sống đích thực, mà còn lựa chọn một tương lai vững chắc, một cuộc sống đủ đầy cho gia đình bạn.  👉 Liên hệ 𝟬𝟵𝟯𝟱.𝟭𝟭𝟲.𝟭𝟯𝟯 ngay hôm nay để nhận tư vấn và báo giá chi tiết! ------------️️🔶🔹🔶------------🍀 𝐓𝐇𝐄 𝐉𝐀𝐃𝐄 𝐎𝐑𝐂𝐇𝐈𝐃 🍀 KIẾN TẠO CUỘC SỐNG HOÀN HẢO📌 Vị trí: thuộc khu đô thị Bắc Cổ Nhuế – Chèm, phường Xuân Đỉnh, quận Bắc Từ Liêm, Hà Nội🏣 Chủ đầu tư: Liên danh Công ty CP Bất động sản Vimedimex (Đại diện Liên danh) và Công ty CP Bạch Đằng TMC📈 Đơn vị phát triển kinh doanh: Vimefulland🌈 Đơn vị quản lý vận hành: Savills Việt Nam.🧧 Hình thức sở hữu: Sổ đỏ vĩnh viễn",31/12/2021,Tin thường,batdongsan_so_com_vn_1673833993.2192805,,,,,,
"3,6 tỷ VNĐ","Đống Đa,Hà Nội", 35m2,"+ Nhà xây long lanh, chắc chắn vô cùng. + Tầng 1: Phòng khách, bếp rộng, để xe. + Tầng 2,3,4 : Mỗi tầng 2 phòng ngủ 1 vệ sinh. + Tầng 5: Sân phơi, tiểu cảnh. + Sổ đẹp phân lô, gửi Ngân hàng. + Chủ thiện chí sẵn sàng giao dịch. Liên hệ : 0966682624",31/12/2021,Tin thường,batdongsan_so_com_vn_1673833996.2194233, 5, 3, 6, 4,,
"4,6 tỷ VNĐ","Đống Đa,Hà Nội", 40m2,"+ Phố Khương Thượng trung tâm quận Đống Đa. Mặt ngõ thẳng tắp, ba gác vào thoải mái. + Khu vực gần nhiều trường Đại học, bệnh viện, trung tâm thương mại. Tiện tích không thiếu thứ gì. + Nhà chủ tự xây tâm huyết mới ở được vài năm còn khá mới. Nội thất đẹp. + Thiết kế mỗi tầng 1 phòng ngủ rộng.Tổng 3 ngủ vệ sinh từng tầng. + Sổ đỏ nở hậu nhẹ. Liên hệ : 0966682624",31/12/2021,Tin thường,batdongsan_so_com_vn_1673833998.4313984, 5, 3, 3, 3,,
"2,55 tỷ VNĐ","an khánh ,hoài đức", 33m2,"Nhà nằm vị trí đắc địa cách đường ô tô tránh chỉ hơn 20m, sát chung cư cao cấp Golden An Khánh. Hưởng trọn tiện ích của KĐT Nam An Khánh, Thiên Đường Bảo Sơn, Vinsmart City Tây Mỗ. Từ nhà ra đường Đại lộ Thăng Long chỉ mấy trăm mét, thuận tiện đi nội thành, Mỹ Đình, Xuân Phương…   Ngõ trước nhà rộng rãi, sạch sẽ. Nhà mới đẹp được thiết kế, thi công tỉ mỉ theo phong cách hiện đại, nổi bật với sự thoáng sáng khi nhà có mặt tiền rộng và ban công kiểu cách. Là khu vực đang được săn đón, tiềm năng cực lớn và còn phát triển mạnh khi năm 2022 Hoài Đức sẽ lên quận. Giá chào 2 tỷ 550 triệu (khách đàm phán trực tiếp với chủ). Sổ đẹp cất két, sẵn giao dịch. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn nhiệt tình và xem thêm miễn phí hàng trăm căn thổ cư khác 0932382236",31/12/2021,Tin thường,batdongsan_so_com_vn_1673834000.601348,,,,,,
29 tỷ VNĐ,"Nguyễn Trãi, Thanh Xuân, Hà Nội", 126m2,"Chính chủ bán nhà mặt phố Nguyễn Trãi kinh doanh, DT 126m2*5T, giá 29 tỷ.- Vị trí: Nhà nằm trên phố Nguyễn Trãi kinh doanh, liền kề chợ Phùng Khoang thiên đường mua sắm ẩm thực.- Dòng tiền cho thuê mùa dịch vẫn cho thuê bình thường, hợp đồng lâu dài.- Khu vực hiếm nhà bán, có dòng tiền khá tốt như căn này.- Tuyến đường rộng, nhiều làn xe. Nguyễn Trãi, Trần Phú, Quang Trung quy hoạch đã ổn định, giao thông kết nối thuận tiện, nay tiện hơn khi có thêm đường sắt Cát Linh - Hà Đông.- Kinh doanh đa dạng nhiều loại mặt hàng, đặc biệt là thời trang, dịch vụ spa thẩm mỹ viện... Lợi thế gần nhiều trường đại học lớn như, ĐH Hà Nội, ĐH Bưu Chính Viễn Thông, Kiến Trúc, Học Viện An Ninh Nhân Dân... Nhu cầu sử dụng dịch vụ lớn.- Sổ đỏ chính chủ, giao dịch ngay.- Liên hệ: A Thành 0912525146",31/12/2021,Tin thường,batdongsan_so_com_vn_1673834002.4430218,,,,,,
13 tỷ VNĐ,"Vinhomes Ocean Park, Đa Tốn, Gia Lâm, Hà Nội", 150m2,"Chính chủ còn duy nhất một căn cần bán gấp căn Shophouse Sao Biển ( SB23) gần ngay Trung tâm thương mại Vincom Mega Mall: - Số tầng: 4,5 tầng có chóp - Hướng nhà: Đông Bắc - Tây Nam - Diện tích: 148m2 - Diện tích xây dựng: 60m2 - Mặt tiền: 8m - Đường trước nhà: 9m - Giá bán: 14.5 tỷ - Nội thất: Bàn giao hoàn thiện mặt ngoài, bên trong bàn giao thô Liên hệ: Em Hải: 0963517996",31/12/2021,Tin thường,batdongsan_so_com_vn_1673834004.6939697, 5, 8, 5, 5, Đông bắc, 9
"2,6 tỷ VNĐ","vân canh ,hoài đức", 38m2,"Đường vào nhà rộng rãi, ô tô sát cửa, rất gần đường vành đai 3,5 thông xe đầu năm 2022. Nhà gần UBND Vân Canh và hồ Kim Hoàng. Giao thông thuận tiện khắp ngả Phương Canh, Xuân Phương, Trịnh Văn Bô, Mỹ Đình. Xung quanh tiện ích phong phú khi gần KĐT Vân Canh và An Lạc, trường học các cấp, chợ dân sinh. Nhà 38m2 rất đẹp được thiết kế theo phong cách hiện đại. Nhà rộng rãi tầng chia 2 phòng, thoáng trước sau nên phòng nào cũng có cửa sổ thoáng sáng. Là khu vực đang được săn đón, tiềm năng cực lớn khi năm 2022 Hoài Đức sẽ lên quận. Giá chào chỉ 2 tỷ 600 triệu (khách và chủ thương lượng trực tiếp). Sổ đỏ đẹp cất két sẵn sang tên. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn nhiệt tình và xem thêm miễn phí hàng trăm căn thổ cư ở nhiều mức giá: 0932382236",31/12/2021,Tin thường,batdongsan_so_com_vn_1673834006.7133656,,,,,,
,KIM giang đại kim ha noi, 50m2,"+Đường trước nhà ô tô dừng đỗ được,ngõ nông,kinh doanh. +Mấy bước chân ra ô tô tránh ra phố,sát chợ nhỏ.Vừa ở vừa kinh doanh : spa,tiệm cắt tóc,tạp hóa đều tốt. + Nhà 4 tầng,4 ngủ 2 thoáng,chắc chắn,đẹp khách mua về ở ngay. +Khu dân cư đông,môi trường sống thân thiện,dân trí cao +Vị trí thuận lợi khi kết nối với nhiều tiện ích : gần chợ,Trường MN,THCS các cấp BillGatte,KĐT Đại kim ,Linh Đàm , Kim văn Kim Lũ, gần bệnh viện. +Giao thông rất thuận tiện : đi Ngã Tư Sở,sát vành đai 3, bến xe,cao tốc Pháp Vân +Sổ đỏ chính chủ tiện sang tên ngay ạ +Giá 3.99 tỷ có thương lượng ạ +Lh Mr Phúc 097.8895.889zalo – 0912.338.038 ",31/12/2021,Tin thường,batdongsan_so_com_vn_1673834008.5367582,,,,,,
