price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet
"5,25 tỷ VNĐ",Vạn Phúc- Hà Đông, 63m2, 5,"Bán gấp nhà 63m2, 5 tầng đẹp, ngõ thoáng, Vạn Phúc, Hà Đông Nhà đẹp nằm trong khu dân cư đông đúc, kinh doanh sầm uất ngày đêm, an ninh trật tự tuyệt đối, hàng xóm cực kì thân thiện, khu hiếm nhà bán. Vài bước ra phố. Giao thông thuận lợi nối liền các phố: Quang Trung, Yết Kiêu, Chu Văn Am, Phùng Hưng, Văn Quán, Thanh Bình, Ngô Quyền,... Tiện ích không thiếu với hệ thống các siêu thị lớn nhỏ, trường học cấp tư nhân đến quốc tế, ngân hàng, khu vui chơi, vườn hoa,... Nhà được xây chuẩn công năng sử dụng, rất chắc chắn, phòng nào cũng rộng thoáng đón nắng gió rất tốt cho sức khỏe, nhà mình đẹp nhất khu, không ở đây thì quá phí. Chủ nhà con cái thành đạt, nhiều nhà bán bớt, nhà rất có lộc. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 5.25 tỷ ( có thương lượng). - Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn",13/12/2021,Tin thường,batdongsan_so_com_vn_1673836311.121564,,,,,
"18,9 tỷ VNĐ","Bán nhà mặt phố Trường Chinh Bán nhà mặt phố Đại La, Bán nhà mặt phố Bạch Mai, bán nhà mặt phố Vọng", 50m2, 7,"Bán nhà mặt phố Trường Chinh Phương Liệt Thanh Xuân Hà Nội. sổ đỏ 50m xây dựng 55m2 x 7 tầng cực đẹp, giá 18,9 tỷ, KD tốt.Nhà diện tích 55m2, mặt tiền 4,2m đất vuông vắn thiết kế 7 tầng thang máy cực kỳ hợp lý.Mỗi tầng gồm 1 phòng rộng 40m2 còn lại là thang máy, thang bộ, vệ sinh rộng và kho đồ.-Thiết kế bao Gồm: T1,2,3,4,5,6 thông sàn 1 vệ sinh rộng-T7 phòng thờ sân phơi rộng.:Nội thất hoàn thiện cao cấp với thang máy Nhật Bản, sàn gỗ Malaysia, thiết bị vệ sinh nhập khẩu.Vị trí cực kỳ đẹp trước mặt là vỉa hè rộng và mặt đường đôi 60m vừa hoàn thiện xong. Rất phù hợp cho việc kinh doanh cửa hàng ở dưới, làm văn phòng công ty ở các tầng trên kết hợp ở. Hoặc làm showroom, phòng khám đa khoa, Spa, cửa hàng thiết bị điện lạnh điện dân dụng, VLXD.Gần Ngã Tư Giải Phóng, Phương Liệt, Phố Vọng, trên trục đường vành đai đi lại tấp nập.Sổ đỏ chính chủ, giá 18.9 tỷ có thương lượng.liên hệ chị Yến ĐT 0702138238",13/12/2021,Tin thường,batdongsan_so_com_vn_1673836313.5671287, Bắc, 4, 50, 5, 6
9 tỷ VNĐ,Thái Thịnh - Đống Đa - Hà Nội, 52m2, 5,"Bán nhà phố Thái Thịnh, Đống Đa, 52m, 5T, mặt tiền 5m, OTO đỗ cửa, THANG MÁY, nhỉnh 9ty. Phố Thái Thịnh trung tâm quận Đống Đa, kinh doanh sầm uất, dân trí cao oto đỗ cửa ngày đêm, thang máy hiện đại, full nội thất, nhà CỰC ĐẸP Ở NGAY, kinh doanh đa dạng. Phố Thái Thịnh gần ga tàu điện Cát Linh – Hà Đông, Lotte mart Tây Sơn, các trường đại học Thủy Lợi, Công Đoàn, Ngân Hàng, các bệnh viện Bạch Mai, Đống Đa, Lão Khoa, Việt Pháp..vv. Giao thông: Gần ngã tư Sở, phố Thái Hà, Tây Sơn, Láng, Nguyễn Trãi, Chùa Bộc, Hoàng Cầu…vv. Sổ đỏ chính chủ vuông vắn sẵn sàng thương lượng. Lh: Hoàng 0902253303 (miễn trung gian môi giới).",13/12/2021,Tin thường,batdongsan_so_com_vn_1673836315.8664308,, 5,, 5, 5
16 tỷ VNĐ,"Nhà Đầu hồi Gamuda Gardens, Hoàng Mai, Hà Nội", 120m2,,"Chính Chủ Cần Bán Nhà Đầu hồi Gamuda Gardens. DT 120m*3t, giá 16 tỷ.+ Cần bán liền kề đầu hồi, đang ở, nội ngoại thất cao cấp, khu Gamuda Gardens, nơi có mật độ cây xanh cao nhất khu, đường đi bộ, tiểu cảnh, chỗ tập thể dục, công viên nội khu, chỗ đỗ xe oto thoải mái, an ninh tuyệt đối, có bốt bảo vệ trước nhà, hệ thống camera giám sát, hàng xóm tốt nhiệt tình, khu dân trí cao.+ Diện tích đất 120 m2.- Tầng 1: Phòng khách, phòng ăn và bếp, nhà vệ sinh lớn.- Tầng 2: gồm phòng ngủ master, phòng thay chứa và quần áo, phòng chiếu phim nghe nhạc, karaoke tại gia, nhà vệ sinh riêng biệt, rộng rãi cho từng phòng.- Tầng 3: gồm 2 phòng ngủ, phòng thờ.+ Liên hệ: A Thành - 0912525146",13/12/2021,Tin thường,batdongsan_so_com_vn_1673836317.850619,,,,,
26 tỷ VNĐ,"Đường Lý Thường Kiệt, P Sơn Phong, TP Hội An", 191m2, 4,"Nằm ngay lô góc giữa Lý Nam Đế và Lý Thường Kiệt thuộc phường sơn Phong, Hội An. DTĐ: 198.4m2 , DTXD: 426.7m2 Khách sạn 4 tầng ngay trung tâm phố cổ Hội An. Tổng có 9 căn , gồm 4 căn 2 phòng ngủ và 5 căn 1 phòng ngủ. Bể bơi ở tầng thượng , view nhìn về phố cổ. Khách sạn 3 sao , các phòng được thiết kế như dạng căn hộ có bếp, trang bị nội thất cao cấp. Dịch vụ phòng Gym, Spa, xông hơi, bể bơi ở tầng thượng Gần những địa điểm  nổi tiếng như quán cơm gà Nga,Bánh mỳ Phượng… + Sổ đỏ hoàn thiện Khách có nhu cầu mua liên hệ : 0346.914.650  để nhận tư vấn ngay",13/12/2021,Tin thường,batdongsan_so_com_vn_1673836319.7955842,, 7,, 9,
66 triệu VNĐ/m2,Di Trạch- Vân Canh- Hoài Đức- HN, 30m2, 4,"NHÀ XÂY MỚI DI TRẠCH- VÂN CANH- HOÀI ĐỨC- HN Diện tích: 4 tầng Phòng ngủ: 4. Phòng vệ sinh 4 Cách sân Mỹ ĐÌnh 3 km Gần các kđt Hud, Vườn Cam Gần chợ, gần trường MN và THCS Vân Canh Giao thông thuận tiện , hàng xóm thân thiện Hỗ trợ vay ngân hàng lên đến 70% giá trị căn nhà Liên hệ chủ nhà 0968285568",13/12/2021,Tin thường,batdongsan_so_com_vn_1673836321.753238,, 3,, 4, 4
4 tỷ VNĐ,Hà Nội, 45m2,," - Cần bán gấp nhà phố Hoàng Cầu quận Đống Đa 4 tỷ, nhà thiết kế 4 tầng cực đẹp, mặt tiền rộng, nội thất ngoại nhập sang trọng. - Tọa lạc ở vị trí trung tâm quận Đống Đa, từ nhà ra phố chỉ cách vài bước chân đi thông ra Mai Anh Tuấn, Hào Nam, Tôn Đức Thắng... gần nhà là trường điểm các cấp, gần chợ buôn bán sầm uất. - Nhà gồm 4 tầng, mỗi tầng 45 m2, trước nhà rộng hoáng, nội thất và thiết kế được chủ chăm chút đầu tư và nhượng lại toàn bộ cho người mua. - Giá siêu rẻ chỉ 4 tỷ thương lượng sâu, bao sang tên, tặng full nội thất vì cần tiền để mua căn lớn hơn. - Sổ đỏ chính chủ, pháp lý sạch.Liên hệ miễn phí: Thanh Bình Thạc sĩ Thổ cư - 0856 968 656.",13/12/2021,Tin thường,batdongsan_so_com_vn_1673836323.8807352,,,,,
31 tỷ VNĐ,Tây Hồ, 140m2,,"TẠI SAO BIỆT THỰ VIMEFULLAND T Y HỒ T Y LUÔN ĐƯỢC KHÁCH HÀNG QUAN T M- Vị trí đắc địa: tiếp giáp mặt đường Võ Chí Công, trong khu đô thị Ciputra. Giá đất tăng mạnh Tây Hồ Tây, quỹ đất càng hạn hẹp, đối diện Lotte mall lớn nhất được đầu tư 600 Triệu USD.- Kiến trúc độc đáo, khẳng định giá trị độc tôn:  + Kiến trúc biệt thự lâu đài duy nhất tại Hà Nội với 3 tầng nổi, 1 tầng hầm, 1 mái chóp nhọn lâu đài đặc trưng khác với tất cả các sản phẩm ngoài thị trường, cùng hệ phào chỉ phong cách tân cổ điển châu   u vừa sang trọng vừa hiện đại, nhìn là biết đẳng cấp gia chủ  + Cao ráo, thoáng đãng với chiều cao lý tưởng từng tầng: Tầng hầm: 2,45m Tầng 1: 3,9m Tầng 2: 3,6m Tầng 3: 3,6m Tầng mái: 4,3m.  + Mặt tiền lớn từ 7 - 16,7m👉 Tiện ích 1-0-2:    + Hệ thống chăm sóc sức khỏe chỉ có tại Vimefulland với Phòng khám đa khoa mang thương hiệu Vimedimex và Nhà thuốc đạt tiêu chuẩn GDP, GPP, GSP ngay tại nội khu để phục vụ cư dân 24/7   + Hệ sinh thái xanh với mật độ trên 60% và vườn hoa hồng nội khu lớn nhất trong các dự án của Vimefulland   + Bên cạnh đó là đầy đủ các tiện ích giáo dục, giải trí khácSản phẩm đã có pháp lý đầy đủ, chuẩn bị bàn giao và nhận sổ đỏ; được phát triển bởi thương hiệu BĐS Vimefulland của Tập đoàn Dược phẩm Vimedimex 👉 Liên hệ 𝟬𝟵𝟯𝟱.𝟭𝟭𝟲.𝟭𝟯𝟯 ngay hôm nay để được tư vấn MIỄN PHÍ về dự án!------------️️🔶🔹🔶------------🍀 𝐓𝐇𝐄 𝐋𝐎𝐓𝐔𝐒 𝐂𝐄𝐍𝐓𝐄𝐑 - GIÁ TRỊ Ở SỰ KHÁC BIỆT🍀📌 Vị trí: mặt đường Võ Chí Công, quận Tây Hồ, Hà Nội🏣 Chủ đầu tư: Tập đoàn Vimedimex📈 Đơn vị phát triển kinh doanh: Vimefulland🌈 Đơn vị quản lý vận hành: Savills Việt Nam.",13/12/2021,Tin thường,batdongsan_so_com_vn_1673836326.0040715,,,,,
,bằng liệt hoàng mai ha noi, 36m2,,"+Gần ô tô tránh.Hướng đẹp,ban công rộng. +Nhà tự xây 6 tầng chắc chắn.4 ngủ rất đẹp. +Tặng lại nội thất. +Vị trí đẹp,khu dân cư văn minh,dân trí cao gần nhiều tiện ích : chợ,trường MN,THCS CHU VĂN AN.KĐT Tây Nam Linh Đàm,chung cư LINH ĐÀM.khu phân lô dịch vụ với nhiều tiện ích +Giao thông thuận tiên: gần vành đai 3, bến xe,di chuyển nhiều ngả đường vào TTTP. +Sổ đẹp,chuần cất két. +Gía 2.99 tỷ (có gia lộc) +LH Mr Phúc.0912.338’038 – 0978.895.899(zalo).",13/12/2021,Tin thường,batdongsan_so_com_vn_1673836327.8832645,,,,,
31 tỷ VNĐ,"Khu đô thị Ciputra, đường Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, TP Hà Nội", 140m2, 4,"Thông tin mô tả* Biệt thự Tây Hồ tung Chính sách bán hàng xuyên dịch cho Quý khách hàng sở hữu những lô biệt thự siêu vip.+ Thanh toán theo tiến độ thông thường chiết khấu 3% giá trị biệt thự sau VAT.+ Thanh toán sớm 50% chiết khấu 3.5% giá trị biệt thự sau VAT.+ Thanh toán sớm 70% chiết khấu 4% giá trị biệt thự sau VAT.+ Thanh toán sớm 95% chiết khấu 5% giá trị biệt thự sau VAT.+ Hỗ trợ lãi suất 0% trong 12 tháng.+ Khách hàng chỉ cần có 30% giá trị biệt thự sở hữu ngay lô biệt thự lâu đài tại The Lotus Center (phân khu BT05).+ Miễn phí quản lý dịch vụ trong vòng 2 năm đầu tiên.Khách hàng mua được xem từng lô cụ thể, sổ đỏ trao tay ngay, pháp lý đầy đủ, đơn vị vận hành uy tín và chuyên nghiệp. Quý khách hàng có nhu cầu tham quan dự án vui lòng liên hệ: 0983.137.569",13/12/2021,Tin thường,batdongsan_so_com_vn_1673836329.6514013,,,, 4, 3
"5,8 tỷ VNĐ",Đống Đa Hà Nội, 42m2, 3,"- Nhà nằm trong khu phân lô cán bộ bảo vệ Lăng HCM, ô tô con chạy vòng quanh nhà, đỗ cửa. - Khu vực rất đáng sống và dân trí cao, yên tĩnh. - Nhà đang cho thuê giá bình dân cho gia đình ở 5tr/ tháng. - Tiện ích xung quanh khỏi phải bàn cãi. - Khách mua đầu tư giữ tiền hoặc đập đi xây lại nhà 5-6 tầng như hàng xóm xung quanh. - Nhà xây 3 tầng, cầu thang giữa gồm phòng khách, phòng ăn, để xe, có 3 phòng, vệ sinh, khu phơi giặt đồ. - Sổ đỏ đẹp sẵn sàng giao dịch. - Liên hệ Mrs Huyền My - 0834176688 - tư vấn và xem nhà miễn phí.",13/12/2021,Tin thường,batdongsan_so_com_vn_1673836333.6928864,,,,,
"7,2 tỷ VNĐ",8 TÔ VĨNH DIỆN, 56m2,,"+ Vị trí nhà thuộc khu vực quân đội, dân trí cao, an ninh tốt. Trước nhà rộng ô tô đỗ. + Nhà lô góc, 2 mặt thoáng, xây 5 tầng khung cột chắc chắn: - Tầng 1: Gara để xe, phòng khách, wc. - Tầng 2: Bếp, 1 phòng, wc. - Tầng 3,4,5: Mỗi tầng 2 phòng, wc. + Nhà hiện đang cho thuê gần 45 triệu/ tháng, + Xung quanh nhà tiện ích bạt ngàn gần trung tâm thương mại Atemis, gần bệnh viện, gần trường học… + Sổ đỏ vuông đẹp sẵn sang giao dịch +Để được dẫn xem nhà các B Liên hệ : Ms Dung 0989558620 - Chuyên môi giới nhà đất thổ cư - nhà mặt phố Hà Nội, hỗ trợ thủ tục pháp lý mua bán - chuyển nhượng miễn phí.",02/09/2021,Tin thường,batdongsan_so_com_vn_1673836335.4776616,,,,,
5 tỷ VNĐ,88 Khương Trung, 40m2,,"+ Nhà nằm trên mặt ngõ rộng thông sang Tô Vĩnh Diện trước nhà rộng hơn 3m, giao thông thuận tiện gần Ngã Tư Sở. + Vị trí nhà đẹp, lô góc thoáng hai mặt, kinh doanh được. + Nhà xây khung cột chắc chắn, các phòng đều có cửa sổ, ban công thoáng sáng. - Tầng 1: Phòng khách, wc. - Tầng 2: 2 phòng ngủ, wc. - Tầng 3: Phòng ngủ rộng, wc. - Tầng 4: Bếp, wc. - Tầng 5: Phòng thờ, sân phơi rộng. + Nhà mới, khách về ở kết hợp kinh doanh thì tuyệt. + Sổ vuông vắn, đẹp. Sẵn sàng giao dịch +Giá chỉ với 5 tỷ - Có thương lượng  + Để được dẫn xem nhà vui lòng liên hệ : Ms Dung 0989558620 - Chuyên môi giớI nhà đất thổ cư - nhà mặt phố Hà NộI Hỗ trợ thủ tục pháp lý mua bán - chuyển nhượng miễn phí ",13/10/2021,Tin thường,batdongsan_so_com_vn_1673836337.602453,,,,,
"2,8 tỷ VNĐ",Quan Nhân, 35m2,,"+Vị trí nhà đẹp +Chủ tự xây tâm huyết chắc chắn đầy đủ công năng. +Chủ tặng lại toàn bộ nội thất. +Sổ đỏ vuông như tờ A4, giao dịch phút mốt. +Nhỉnh 2 tỷ. +Để được dẫn đi xem nhà các Bác cứ liên hệ : Ms Dung 0989558620 - Chuyên môi giới nhà đất thổ cư - nhà mặt phố Hà Nội. Hỗ trợ thủ tục pháp lý mua bán - chuyển nhượng miễn phí",12/12/2021,Tin thường,batdongsan_so_com_vn_1673836339.207377,,,,,
"2,75 tỷ VNĐ",Đa Sỹ- Hà Đông, 41m2,,"Cần bán nhà Đa Sỹ, Hà Đông, 41m, MT 4m, nhỉnh 2 tỷ, gần ô tô, ngõ thông Nhà nằm vị trí đắc địa trung tâm Quận Hà Đông, xung quanh các khu đô thị lớn: Xa La, Văn Phú, Phú Lương, Thanh Hà. Thông thương các phố:Đa Sỹ, Yên Xá, Yên Phúc, Tân Triều, Phùng Hưng, gần bến xe bus thuận tiện đi lại. Nhà ngõ rộng thông thoáng, gần đường ô tô, xung quanh nhiều tiện ích: chợ, trường học các cấp, bệnh viện lớn ,ngân hàng... Nhà được thiết kế chuẩn công năng sử dụng, khung cột chắc chắn, phòng nào cũng cửa sổ mở thoáng sáng rất tốt cho sức khỏe, nhà mới chỉ việc xách vali đến ở. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 2.75 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.    - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",12/12/2021,Tin thường,batdongsan_so_com_vn_1673836342.1705868,, 4,,,
"2,78 tỷ VNĐ",Mậu Lương- Hà Đông, 41m2,,"Nhỉnh 2 tỷ nhà đẹp Mậu Lương, Hà Đông, 41m, 4 ngủ rộng siêu hiếm, ngõ thông, ô tô gần Chủ nhờ bán gấp nhà đẹp trong tháng, vị trí trung tâm đắc địa gần các bệnh viện lớn Học viện Quân y 103, Đa Khoa Hà Đông, Viện Bỏng...an sinh đỉnh nhất khu vực. Cạnh Khu đô thị Xa La, Phú Lương, Văn Phú,... sầm uất ngày đêm. Vị trí thông thương các tuyến phố : Phùng Hưng, Tân Triều, Thanh Hà, Yên Xá, Yên Phúc, Văn Quán, Phú Lương, Yên Phúc, ....chợ đầu mối 365 gần nhà. Nhà ngõ rộng thông thoáng, gần phố ô tô tránh, tiện ích xung quanh ngút ngàn siêu thị, chợ trường học, ngân hàng, bể bơi, sân bóng... Nhà chủ xây tâm huyết, khung cột chắc chắc, các phòng đều sáng đầy đủ công năng sử dụng với 4 tầng đẹp mê li nhìn là thích, nội thất nhập xịn ở đỉnh. Sổ đỏ chính chủ, pháp lý sạch. Giá: 2.78 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.    - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",12/12/2021,Tin thường,batdongsan_so_com_vn_1673836343.8562555,,,, 4,
