price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
42 triệu VNĐ/m2,92 Mai Động, 77m2,"🌈 𝐓𝐚̣̂𝐧 𝐡𝐮̛𝐨̛̉𝐧𝐠 𝐜𝐡𝐚̂́𝐭 𝐬𝐨̂́𝐧𝐠 𝐑𝐄𝐒𝐎𝐑𝐓 𝐭𝐚̣𝐢 𝐜𝐚̆𝐧 𝐡𝐨̣̂ 𝗖𝗮𝗼 𝗖𝗮̂́𝗽 𝐜𝐡𝐢̉ 𝐭𝐮̛̀ 𝟮.9 𝐭𝐲̉ cho căn 2PN. Quỹ căn đợt 𝟐 mới tinh siêu đẹp tòa 𝗭𝗲𝗻 𝗧𝗼𝘄𝗲𝗿 tại 𝗙𝗲𝗹𝗶𝘇 𝗛𝗼𝗺𝗲𝘀 🍀 Cam kết 𝗖𝗛𝗜𝗘̂́𝗧 𝗞𝗛𝗔̂́𝗨 𝟮% cho khách hàng TTTĐ.------------------------🍀 𝑪𝒂̆𝒏 𝒉𝒐̣̂ 5 𝒔𝒂𝒐, 𝒕𝒊𝒆̣̂𝒏 𝒊́𝒄𝒉 𝒓𝒆𝒔𝒐𝒓𝒕 đ𝒂̆̉𝒏𝒈 𝒄𝒂̂́𝒑:👉 Diện tích xây dựng chỉ hơn 20%, gần 80% diện tích còn lại là cây xanh,mặt nước,tiện ích và giao thông👉 Trung tâm thương mại 5000m2, 3 tầng hầm để xe, nhà để xe nổi 6 tầng, Gym, Spa...👉 Công viên 4000m2, Bể bơi, Hồ cảnh quan, Hồ thiền, Vườn thượng uyển, Khu vui chơi trẻ em....👉 Sở hữu 4 mặt view thoáng, view Hồ Đền Lừ, Hồ Vĩnh Hoàng, Hồ Yên Sở, View Thành Phố---------------------------------------💠𝗗𝗶𝗲̣̂𝗻 𝘁𝗶́𝗰𝗵 đ𝗮 𝗱𝗮̣𝗻𝗴 𝗴𝗼̂̀𝗺 :🔰 1PN: 45m2 thiết kế tối ưu công năng sử dụng🔰 2PN: 63m2-73m2-77m2 bố trí hợp lý phòng khách rộng rãi, phù hợp gia đình trẻ🔰 3PN: 90m2-112m2 đẹp không tỳ vết, tuyệt đỉnh ban công rộng 14m2----------------𝑪𝒉𝒊́𝒏𝒉 𝒔𝒂́𝒄𝒉 𝒗𝒐̂ 𝒄𝒖̀𝒏𝒈 𝒉𝒂̂́𝒑 𝒅𝒂̂̃𝒏🎁Tặng 2% KPBT và 1 năm phí quản lý🎁CĐT hỗ trợ lãi suất 0% và ân hạn nợ gốc đến 18 tháng🎁Ngân hàng hỗ trợ vay lên đến 75% GTCHĐ𝗔̣̆𝗖 𝗕𝗜𝗘̣̂𝗧: 𝗖𝗵𝘂̛𝗼̛𝗻𝗴 𝘁𝗿𝗶̀𝗻𝗵 𝗯𝗼̂́𝗰 𝘁𝗵𝗮̆𝗺 𝗸𝗵𝗮́𝗰𝗵 𝗵𝗮̀𝗻𝗴 ""𝗠𝘂𝗮 𝗙𝗲𝗹𝗶𝘇 – 𝗧𝗿𝘂́𝗻𝗴 xe ô tô Mercedes-Benz C200 trị giá 1.8 tỷ đồngchất.------------------❤️𝙉𝙤̣̂𝙞 𝙩𝙝𝙖̂́𝙩 𝙗𝙖̀𝙣 𝙜𝙞𝙖𝙤 𝙘𝙖𝙤 𝙘𝙖̂́𝙥 : Điều hòa âm trần, tủ bếp, full thiết bị vệ sinh,chiếu sáng, hệ thống điện Legrand, sàn gỗ, trần thạch cao...🔴 𝗛𝗶̀𝗻𝗵 𝘁𝗵𝘂̛́𝗰 𝘀𝗼̛̃ 𝗵𝘂̛̃𝘂: Sổ hồng lâu dài - pháp lý sạch tinh tươm⭐Bàn giao nhà : Quý II/2023---------------------⭐️ 𝐅𝐞𝐥𝐢𝐳 𝐇𝐨𝐦𝐞𝐬 - XANH MÁT NGHỈ DƯỠNG, TRỌN VẸN TIỆN NGHI🔶𝗩𝗶̣ 𝘁𝗿𝗶́ 𝗱𝘂̛̣ 𝗮́𝗻: Ngõ 92 Mai Động, Q.Hoàng Mai, Hà Nội☎️ 𝗛𝗼𝘁𝗹𝗶𝗻𝗲: 0983223911#FelizHomes#FelizHomesHoangMai#ChungcuHaNoi#Chungcucaocap",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821823.9883964,,,,,,
"2,2 ngàn VNĐ",Thôn 2 - Đông Dư - Gia Lâm - Hà Nội, 34m2,"- Cần bán nhanh căn nhà 3 tầng tại thôn 2 Đông Dư – Gia Lâm. - Diện tích xây dựng 33.5m2, thiết kế hiện đại đầy đủ công năng cho 1 gia đình nhỏ vợ chồng và 2 con nhỏ với 2 phòng ngủ, 2 công trình phụ. - Nhà tự xây dựng chắc chắn, khung cột bê tông, chỉ vài thùng sơn là thành nhà mới. - Vị trí đẹp đường trước nhà bê tông 3m oto ra vào , cách trục chính Đông Dư Thượng vài bước chân. - Giao thông vô cùng thuận tiện: 100m ra tỉnh lộ 379, 300m ra cầu Thanh Trì, 500m ra đê Long Biên – Xuân Quan hướng vào nội thành,…. - Sổ đỏ chính chủ, khuôn đất vuông vắn trước sau như một, giá cả đất lẫn nhà chỉ 2.2tỷ Liên hệ xem nhà đất và biết thêm thông tin chi tiết E.Nhật 0982852808, 0948584888.",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821825.7142985, Tây bắc, 3, 3, 3, 2, 2
"4,2 tỷ VNĐ",Đường 3 phường Đông Anh, 120m2,"Bán 120m đất tổ 23 thị trấn Đông Anh- sát quy hoạch khu dịch vụ  Thông tin lô đất:   Diện tích: 120m   Mặt tiền : 5m   Ngõ 4m ô tô vào tận đất Vị trí đất tổ 23 thị trấn Đông Anh   Cạnh khu quân đội H6 nên an ninh cực tốt. Cách khu đại đô thị Happy Land chỉ 300m   Đi 3 phút ra ngay khu chợ Lắp ghép của huyện    Khu vực đông dân cư, gần trường, gần chợ, giao thông cực thuận tiện Lô đất giá cực hiếm tại huyện Đông Anh tại thời điểm này Sổ đỏ chính chủ, sẵn sàng giao dịch trong ngày.    Em Tùng 0979.090.313
Tư vấn nhà đất Đông Anh miễn phí Kiểm tra quy hoạch mới nhất giá rẻ",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821827.324989,, 5,,,,
"3,8 tỷ VNĐ","Đường Chiến Thắng, La Khê", 35m2,"+ Bán gấp nhà sát KĐT Ngô Thì Nhậm -Phường La Khê-Hà Đông 35m2*5Tầng chỉ 3,xtỷ + nhà mặt ngõ ô tô đỗ cửa,ngõ thông tứ tung, 20m ra ô tô tránh + ở sướng, an ninh, an sinh tuyệt vời, hàng xóm thân thiện + Tiện ích vô vàn thuận lợi gần chợ Đình La Khê, chợ Bông đỏ, sân bóng, sân chơi, trường mầm non Văn Khê,cấp 2 La Khê, cấp 3 Quang Trung + thông với đường Quang Trung- Lê Trọng Tấn- kĐT Ngô Thì Nhậm + sổ đỏ đẹp chính chủ sẵn sàng giao dịch + giá 3,8tỷ (có thương lượng)+ Gọi ngay Mrs Hương Chuyên bán và nhận ký gửi nhà đất thổ cư Hà Đông. ",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821828.662411,,,, 5, 4,
6 tỷ VNĐ,LÊ Thanh Nghĩ, 50m2,"
    Bán gấp siêu phẩm phố Lê Thanh Nghị 50m, MT8m, 3 thoáng vĩnh viễn nhỉnh 6 tỷ. Liên hệ 0373729889
Vị trí nhà cực đẹp thông ra nhiều ngõ như Lê Thanh Nghị, Trần Đại Nghĩa, Giải Phóng.
Gần trường BÁCH - KINH - XÂY, viện, tiện ích đầy đủ.
Nhà thiết kế ở nên đầy đủ công năng sử dụng. Chủ tặng lại toàn bộ nội thất.
Pháp lý đầy đủ, chủ thiện chí chờ khách giao dịch.
Giá chỉ 5 tỷ (có thương lượng)
Hỗ trợ: 03737329889 - Minh thổ cư
",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821834.3887467,,,,,,
18 tỷ VNĐ,Hà Nội, 70m2,"Bán nhà có sổ đỏ đường Lê Văn Lương Thanh Xuân, ở kinh doanh đỉnh.Nhà diện tích 70m, 6 tầng thang máy, mặt tiền 6 m, đường 3 ô tô tải tránh, vỉa hè cực khủng. - Thiết kế cực đẹp, tối ưu công năng, trang bị toàn bộ nội thất cao cấp, chỉ việc ở luôn. - Vị trí đắc địa, khu phố cực VIP, kinh doanh sôi động cả ngày, ô tô đỗ ngày đêm. - Giao thông đi lại vô cùng thuận tiện ra các phố Lang Hạ, Giảng Võ, Nguyễn Trãi, Nguyễn Tuân, Ngụy Như Kon Tum, Lê Văn Lương, Vũ Trọng Phụng, Quan Nhân, Hoàng Ngân, Nguyễn Thị Định, Trần Duy Hưng, Trung Kính... - Sổ đỏ phân lô chính chủ.Giá chào nhỉnh 18 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ nhanh 24/24 miễn phí - 0856 968 656.",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821835.5236616,,,,,,
,Đường Cổ Điển A phường Tứ Hiệp, 70m2,"
    Hướng ban công: Tây Bắc.- Thiết kế 2 ngủ 2wc.- Khách hàng quan tâm ib để có giá tốt nhất ạ.
",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821836.9847603,,, 1, 1, 1, 1
"5,95 tỷ VNĐ","Khương Đình, Thanh Xuân, Hà Nội", 35m2,"Sát cạnh hồ Hạ Đình gió mát quanh năm. - Ô tô 7 chỗ đỗ cửa, nhà mới xây phong cách hiện đại. - Bãi gửi xe ngay cạnh nhà. - T1: Khách, bếp, WC- T2,3,4: Mỗi tầng 1 ngủ, 1 WC- T5: Phòng thờ, sân phơi. - 2 phút đi bộ tới trường chuẩn quốc gia cấp 1, 2 Hạ Đình. Liên cấp Sputnick. - Nguyễn Trãi, vành Đai 3, Nguyễn Tuân, Hạ Đình di chuyển không bao giờ tắc đường. - Bán kính 1 km: ĐH Quốc Gia, HV An Ninh Nhân Dân, HV Công nghệ bưu chính viễn thông.... 🤝 LH: Mr Quý: 0986560636 ( Zalo)🏠 Xem nhà miễn phí 24/7. 🏦 Hỗ trợ thủ tục pháp lý, ngân hàng",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821838.1735814,,,, 5, 3, 4
"4,3 tỷ VNĐ",mỗ lao, 36m2,"+ Bán nhà. Thanh Bình, Hà Đông. Ô tô Kinh Doanh 36m2 x 5 tầng. Giá 4.3 tỷ.  MỚI KOONG - GẦN PHỐ - TIỆN ÍCH BẠT NGÀN - KHU DÂN TRÍ CAO - NGÕ TRƯỚC NHÀ RỘNG THOÁNG - AN SINH ĐỈNH  + Nhà cách phố thanh bình vài chục met, ngõ thông tứ tung rất thuận tiện cho việc đi lại. + Nhà gần các trường đại học lớn như; Đại Học Kiến Trúc, Học Viện Bưu Chính Viễn Thông, gần siêu thị Bigc Hồ Gươm, bệnh viện 103, trung tâm thương mại và rất nhiều tiện ích xung quanh. Mô tả nhà xây 5 tầng: + Thiết kế: Nhà vừa xây mới koong khách mua chỉ việc xách vani về ở, nội thất đẹp, thiết kế hiện đại. * Tầng 1: Khách, bếp, Wc. * Tầng 2,3,4: Mỗi tầng 1 ngủ, Wc. * Tầng 5: Phòng thờ, sân phơi. + Vị trí: Nhà rất thoáng, ngõ rộng, khu dân trí cao, an sinh tốt.   + Sổ đỏ vuông đẹp, sẵn sàng giao dịch,  LH: E KHÁNH: 0984568179  ",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821839.0791593,,,, 5, 4, 3
80 triệu VNĐ/m2,"Nguyễn Văn Cừ, Ngọc Lâm, Long Biên Hà Nội", 283m2,"+ Bán đất phố Nguyễn Văn Cừ, diện tích 283m2, lô góc, ngõ ô tô 9 chỗ chạy, ngõ thông. Phù hợp đầu tư phân lô hoặc xây biệt thự, khách sạn, hoặc xây văn phòng cho thuê… + Vị trí: cách đường Nguyễn Văn Cừ vài bước chân, gần cầu Chương Dương, thuận tiện đi lại, vài phút sang Hoàn Kiếm. + Bán đất tặng nhà 4 tầng, khách mua có thể ở luôn hoặc đập đi xây lại tùy nhu cầu. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch.",03/06/2022,Tin thường,batdongsan_so_com_vn_1673821840.1173823,,,,,,
