price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới
"4,1 tỷ VNĐ","Phố Thành Công, Thành Công, Ba Đình, Hà Nội.", 65m2, 8, 2, 3, 2,"Nhà phố Thành Công – 65m2, LÔ GÓC, NHỈNH 4 TỶ SĐCC. ✅ Khách mua để ở hoặc đầu tư, phân lô, cho thuê đều được. ✅️ Ngõ thoáng sáng, gần chợ, dân trí cao. ✅️ Hơn 60tr/m2 đất có sổ >>> Quá rẻ !!! Chủ xác định bán đất. Giá rẻ nhất khu vực. ✅️ Giá Thương lượng. 0️⃣3️⃣5️⃣6️⃣5️⃣5️⃣1️⃣0️⃣9️⃣1️⃣   = 0️⃣9️⃣4️⃣4️⃣1️⃣8️⃣5️⃣3️⃣5️⃣4️⃣ ☎️ Liên hệ 0356551091 – 0944185354. Em Vân Anh - xem nhà miễn phí.",29/07/2022,Tin thường,batdongsan_so_com_vn_1673811878.5036077,
"4,4 tỷ VNĐ",Đường Xuân La phường Xuân La, 33m2, 4, 5, 5, 4,"Bán nhà Tây Hồ ngõ 28 Xuân La 33m x 5T MỚI, 4.4 tỷ, MT4m, ngõ 2m, SĐCC >>> GỌI NGAY: 0904.768.468 – 0969.694.778 (Call or Zalo) cho Mr Phong bất cứ lúc nào: Xem nhà, tư vấn pháp lý MIỄN PHÍ <<< ",29/07/2022,Tin thường,batdongsan_so_com_vn_1673811880.1871045, 2
4 tỷ VNĐ,Đường Thụy Khuê phường Thụy Khuê, 25m2, 2, 1, 1, 1,"Bán nhà Tây Hồ MP Thụy Khuê 25m2 1 tầng, Mtiền 2.8m giá 4 tỷ, KD TỐT >>> GỌI NGAY: 0904.768.468 – 0969.694.778 (Call or Zalo) cho Mr Phong bất cứ lúc nào: Xem nhà, tư vấn pháp lý MIỄN PHÍ <<< ",29/07/2022,Tin thường,batdongsan_so_com_vn_1673811881.5155506, 8
"4,6 tỷ VNĐ",Quận Nam Từ Liêm, 30m2,,,,,"Cực Hót. Nhà Lô góc  Mỹ Đình DT.30 M2, 5 tầng, MT 5m. Kinh doanh. Nhỉnh 4 tỷ.0962745289+ Nhà Lô góc trung tâm Quận Nam Từ Liêm. Ô tô, kinh doanh, ngõ thông tứ tung. Tiện ích miễn bàn.+ Nhà lô góc vị trí đẹp, nhà rất mới, kiến trúc xây thiết kế mặt tiền văng sảnh đẹp víp, cửa sổ lớn ánh sáng ngập tràn.+ Nhà chủ xây cực kỳ chắc chắn tâm huyết, thiết kế đầy đủ công năng sử dụng.+  Dân cư tập trung đông đúc sinh sống khu văn hóa văn minh, an ninh tốt,nhiều sinh viên, kinh doanh buôn bán tấp nập+ Sổ đỏ chính chủ sẵn sang giao dịch.+ Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn. + Tư vấn 24/7",29/07/2022,Tin thường,batdongsan_so_com_vn_1673811882.974703,
"7,7 tỷ VNĐ",yên lãng, 45m2,,,,,"Mô tả: Bán nhà Lô góc, ngõ nông, thông tứ tung, ngõ to rộng, hiếm, đẹp khu vực Thái Thịnh, Thái Hà, Yên Lãng, Hoàng Cầu, trung tâm quận Đống Đa , diện tích 45m2x 5 tầng. + Nhà mới chủ xây tâm huyết để ở được vài năm, thiết kế không gian đẹp với 4 phòng ngủ sáng, thoáng đãng, tối ưu công năng sử dụng. Nội thất cao cấp, chủ để lại cho khách mua thiện chí. + Ngõ nhà nông, 3 gác chạy thoải mái, 5 bước chân ra ngoài đường lớn, phố chính tiếp cận nhanh nhất với các nút giao thông chính như Thái Hà, Thái Thịnh, Đường Láng, Hoàng Cầu,… + Nhà thiết kế tầng 1 thoáng rộng, thông sàn để kinh doanh, 2 mặt tiền nên chủ nhà đang kinh doanh về Spa, rất có lộc, đông khách. + Gần các trường học chất lượng các cấp, đi vào trung tâm hoặc đi sang các quận Hai Bà Trưng, Hoàn Kiếm, Ba Đình, Cầu Giấy, đều tiện. + Sổ đỏ chính chủ, vuông vắn đẹp. + Giá bán: 7.7 tỷ (có thương lượng) Liên hệ: Nghĩa – 0868181683 ( để được gặp chủ thương lượng trực tiếp) Miễn phí xem nhà – Nguồn hàng phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24h/7",29/07/2022,Tin thường,batdongsan_so_com_vn_1673811884.6005323,
"4,7 tỷ VNĐ",Đường Nguyễn Chính phường Tân Mai, 40m2, 4, 5, 3, 3,,29/07/2022,Tin thường,batdongsan_so_com_vn_1673811886.2940505, 4
9 tỷ VNĐ,Đường Nguyễn Sơn phường Gia Thụy, 70m2, 9, 1, 1, 1,,29/07/2022,Tin thường,batdongsan_so_com_vn_1673811887.5871892, 4
3 tỷ VNĐ,"khu đô thị Tây Nam Linh Đàm, P. Hoàng Liệt, Q. Hoàng Mai, Hà Nội (ngay cạnh trường Chu Văn An).", 86m2,,,,,"Mở bán dự án chung cư hot nhất Hà Nội.Căn hộ chung cư cao cấp - HaNoi Melody Residences - Dự án nằm ngay trung tâm thủ đô, pháp lý chuẩn - rõ ràng, giá tốt hơn thị trường, có ngân hàng cho vay, sổ đỏ sở hữu lâu dài, tiến độ thanh toán nhẹ nhàng, tiềm năng tăng giá cao, chủ đầu tư uy tín hàng đầu Việt Nam.Phòng kinh doanh chủ đầu tư Hưng Thịnh cập nhật mới nhất dự án và nhận booking 50 suất đầu tiên căn hộ chung cư cao cấp Linh Đàm tháng 07/2022 như sau:1. + Thông tin tổng quan:- Dự án chung cư cao cấp Linh Đàm. Tên thương mại: HaNoi Melody Residences.- Tọa lạc ngay khu đô thị Tây Nam Linh Đàm, P. Hoàng Liệt, Q. Hoàng Mai, Hà Nội (ngay cạnh trường Chu Văn An).- Phát triển dự án: Tập đoàn Hưng Thịnh uy tín.- Tổng thầu: Hưng Thịnh Icons.- Diện tích: 3.28 ha. Mật độ xây dựng 30%.- Gồm 4 block căn hộ: N01: Tòa nhà ở Xã Hội tái định cư, N02, N03, N04 Chung Cư Thương Mại Cao Cấp) - Hiện chỉ mở bán tòa thương mại N02, N03, N04.- Quy mô: 27 - 29 tầng + 3 tầng hầm.- Diện tích căn hộ: 68m2 - 76m2 - 83m2 - 95m2 - 121m2 - 147m2 (2 - 3 ngủ).- Tiện ích: Bể bơi 4 mùa (dự kiến), TTTM, sân vườn, BBQ, Gym&Spa, nhà trẻ, khu vui chơi trẻ em, lối dạo bộ...- Pháp lý: Sổ hồng sở hữu lâu dài.- Thanh toán vô cùng hấp dẫn: 15 - 20 đợt (mỗi đợt 3 - 5%).",29/07/2022,Tin thường,batdongsan_so_com_vn_1673811888.739109,
"4,2 tỷ VNĐ",Đường An Dương Vương phường Phú Thượng, 45m2, 3, 4, 4, 3,"Bán nhà Tây Hồ ngõ 409 An Dương Vương 45m2x4Tầng MT 3.8m, giá 4.2 tỷ >>> GỌI NGAY: 0904.768.468 – 0969.694.778 (Call or Zalo) cho Mr Phong bất cứ lúc nào: Xem nhà, tư vấn pháp lý MIỄN PHÍ <<<  ",29/07/2022,Tin thường,batdongsan_so_com_vn_1673811889.927973, 2
"2,47 tỷ VNĐ",Đường Nguyễn Lương Bằng phường Ô Chợ Dừa, 25m2, 4, 4, 3, 3,"
    Nhà tầm tiền, công năng hoàn hảo, chủ nhà mới sửa tỉ mỉ, tinh tế hợp lý. Gồm 4 tầng :-Tầng 3: 1 ngủ rộng khép kín.- Sổ đỏ nở hậu cực đẹp.
",29/07/2022,Tin thường,batdongsan_so_com_vn_1673811891.6432054, 2
