price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền
600 triệu VNĐ,Phùng Khoang, 42m2, 7, 1,"+ Căn Chung cư Mini nằm trên phố rất đẹp Phùng Khoan, Ngay gần Vinmart, chợ...chớp mắt ra mặt phố lớn. An sinh, tiện ích ngập tràn. + Ngõ rộng bạt ngàn. Khu vực an ninh 24/7. + Thiết kế nhà gồm 1 phòng ngủ, 1 khách, 1 bếp và 1 nhà vệ sinh nên vô cùng tiện dụng. + Tặng toàn bộ nội thất trong nhà bao gồm: Tivi, tủ lạnh, điều hòa, máy giặt... + Căn hộ phù hợp với: Cặp vợ chồng trẻ, sinh viên đi học, cá nhân tổ chức muốn đầu tư cho thuê… + Sổ hồng, chính chủ. Giá chỉ hơn 600 triệu 1 chút (có thương lượng). - Liên hệ ngay: 0354526316 Em Thế Anh (Hỗ trợ hoàn toàn MIỄN PHÍ từ xem nhà, tư vấn pháp lý, kiểm tra Quy hoạch, vay vốn ngân hàng, sang tên sổ đỏ…)",17/04/2022,Tin thường,batdongsan_so_com_vn_1673827494.9458857,
"4,08 tỷ VNĐ",Bùi Xương Trạch, 40m2, 4, 4,"LÕI THANH XUÂN - NHÀ ĐẸP VỊ TRÍ ĐẸP - NỘI THẤT XỊN - Ô TÔ ĐỖ CÁCH NHÀ 5M - BÃI GỬI Ô TÔ CÁCH 30M + Ngõ Vào nhà rộng, ô tô tránh, nhà mình bán nằm ô tô vào 5m. + Nhà thiết kế đầy đủ công năng, diện tích rộng, phù hợp gia đình nhiều thế hệ, khu vực trung tâm, đi đâu cũng tiện, khách mua dọn về ở ngay. + T1 : Phòng khách bếp vệ sinh. + T2,3: Mỗi tầng 2 ngủ 1 vệ sinh + T4: Phòng thờ sân phơi. + Sổ đẹp, sẵn sàng giao dịch. Giá chỉ 4.08 Tỷ (có thương lượng). - Liên hệ ngay: 0354526316 Em Thế Anh (Hỗ trợ hoàn toàn MIỄN PHÍ từ xem nhà, tư vấn pháp lý, kiểm tra Quy hoạch, vay vốn ngân hàng, sang tên sổ đỏ…)",17/04/2022,Tin thường,batdongsan_so_com_vn_1673827496.0509343,
"2,4 tỷ VNĐ","HỒ TÙNG MẬU, HÀ NỘI", 34m2, 4,,"+ CHỦ CẦN BÁN NGAY NHÀ ĐẸP HỒ TÙNG MẬU – 4 TẦNG-  FULL NỘI THẤT - Ô TÔ ĐỖ CỔNG+ Ngõ ngay sát Cầu Diễn, 300m ra KĐT Vinhomes Gardenia, cách Đại học Thương Mại 500m, đi bô ra chợ 2 phút.+ Nhà nằm trong khu dân cư yên tĩnh, ô tô đỗ cổng. Chủ tự xây tâm huyết, rất chắc chắn.+ Sổ đỏ đầy đủ, pháp lý minh bạch.Liên hệ: Đức Anh - 0975517689",17/04/2022,Tin thường,batdongsan_so_com_vn_1673827497.006374, 3
"6,8 tỷ VNĐ",Phường Mỹ Đình, 50m2,,,"Bán Nhà  tại Nam Từ Liêm. 50m2, 5 Tầng, giá nhỉnh hơn 6Tỷ+ Vị Trí: Đắc địa gần ngay UBND Phường Mỹ Đình. Mặt tiền  đường to  ô tô, ngõ thông đi ra đường Phạm Hùng, Bến xe Mỹ Đình,  + Gần khu Đô thị, Doanh trại Quân đội, An ninh cao, dân cư đông đúc tập trung nhiều sinh viên, kinh doanh buôn bán nhộn nhịp.+ Sổ đỏ chính chủ sẵn sang giao dịch.+ Giá thỏa thuận.Liên hệ: Anh Đoàn:0962745289.+ Chuyên nhà đất – Đất thổ cư.+ Tư vấn 24/7 miễn phí. ",17/04/2022,Tin thường,batdongsan_so_com_vn_1673827498.041604,
"6,5 tỷ VNĐ",Cù Chính Lan, 48m2, 5, 4,"+Nhà thiết kế 5 tầng chắc chắn, sang trọng. +Ngõ thông tứ tung, ô tô tránh thoải mái. +Khu phân lô quân đội yên tĩnh, an ninh tuyệt đối an toàn. + Sổ đỏ sẵn sàng giao dịch. Liên hệ em Đại-0963883403 để được xem nhà miễn phí. Bán nhà phố Cù Chính Lan-Thanh Xuân-Phân lô-Ô tô-mặt tiền 5m-giá 6.5 tỷ",17/04/2022,Tin thường,batdongsan_so_com_vn_1673827499.1496422, 5
16 tỷ VNĐ,Hà Nội, 75m2,,,"Bán nhà làm văn phòng đường Nguyên Hồng, tiện kinh doanh - SĐT: 0366 555 258. - Nhà có vị trí đẹp và VIP bậc nhất Quận Ba Đình, ngõ thông ô tô tránh.Vài phút ra hồ Thành Công, Ngọc Khánh, công viên, TTTM Lotte, Metropolis... An sinh, tiện ích bậc nhất thủ đô. - Nhà chủ tự xây kiên cố, chắc chắn, 6 tầng lắp thang máy, thiết kế đẹp hết sảy. - Diện tích 75 m2, mặt tiền 5 m. + Tầng 1: Gara ô tô, bếp, wc. + Tầng 2, 3, 4. 5: Các phòng, wc. + Tầng 6: Phòng thờ, sân phơi, khu giặt đồ, tiểu cảnh, tập Gym, Yoga... - Sổ đỏ chính chủ.Giá chào chỉ 16 tỷ thương lượng mạnh.Liên hệ trực tiếp ngay (miễn phí 24/7) - SĐT: 0366 555 258.",17/04/2022,Tin thường,batdongsan_so_com_vn_1673827500.2307491,
"15,9 tỷ VNĐ",Hà Nội, 78m2,,,"Bán nhà phố Vạn Phúc Ba Đình, tiện kinh doanh - SĐT: 0366 555 258.* Mô tả: - Diện tích 78 m2, 6 tầng thang máy, mặt tiền 5 m. - Vị trí đẹp cực hiếm nhà bán ô tô tránh thoải mái, vỉa hè, thông khắp ngả. - Nhà chủ tự xây vô cùng chắc chắn thiết kế hiện đại. - Sổ đỏ chính chủ, vuông đẹp, không lỗi phong thủy.Giá chào chỉ 15.9 tỷ thương lượng mạnh. - Miễn phí dịch vụ 100% cho khách hàng. - Hỗ trợ hết mình các thủ tục liên quan: công chứng, sang tên và vay vốn ngân hàng…Liên hệ ngay Nguyễn Thanh để được tư vấn 24/7 và xem chi tiết - SĐT: 0366 555 258.",17/04/2022,Tin thường,batdongsan_so_com_vn_1673827501.2221293,
16 tỷ VNĐ,Hà Nội, 83m2,,,"Bán nhà làm văn phòng đường Vạn Bảo - LH: 0856 968 656.Diện tích 83m - 6 tầng - Ô tô - Nội thất châu Âu - Kinh doanh đỉnh.  - Ngõ ô tô 7 chỗ phi vào nhà. - Nhà 6 tầng như khách sạn, sẵn kinh doanh và cho thuê - Dân trí cao, an ninh tốt, nhiều tiện ích. - Nằm trong khu trung tâm quận Ba Đình - Giao dịch trực tiếp với chủ nhà - Giá chào chỉ 15.6 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn. - Miễn phí 100 %. - Liên hệ ngay em Bình (24/7) - 0856 968 656.",17/04/2022,Tin thường,batdongsan_so_com_vn_1673827502.3959563,
,"Bán đất chính chủ (Miễn trung gian) tại Phúc Thọ, lô góc 2 mặt tiền - 0904843832", 116m2,,,"Bán đất chính chủ (Miễn trung gian) tại Phúc Thọ, lô góc 2 mặt tiền - 0904843832  + DT 116m2, 100% thổ cư, lô góc 2 mặt tiền.  + Vị trí Trạch Mỹ Lộc, Phúc Thọ, Hà Nội.  + Gần Tỉnh Lộ 82 (Cách khoảng 250m).  + Cách ngã tư Gạch, thị trấn Phúc Thọ khoảng hơn 3km.  + Các tiện ích xung quanh bán kính 1km: chợ, trường học các cấp, bệnh viện,... Cách trung tâm hội nghị quốc gia 40km  + Đất bằng phẳng, vuông vắn, dân cư đông.  + Ô tô 4 chỗ vào được đất   Giá 1x /m2 (x tiểu học) có thương lượng Liên hệ chính chủ:  0904843832      http://www.sanbatdongsanviet.com.vn",17/04/2022,Tin thường,batdongsan_so_com_vn_1673827504.4837742,
5 tỷ VNĐ,"Nguyễn Trãi,Thanh Xuân", 44m2,,,"NHÀ ĐẸP Ở NGAY NGUYỄN TRÃI, THANH XUÂN, DIỆN TÍCH 44M2, MẶT TIỀN 4,5M, FULL NỘI THẤT SANG TRỌNG, ĐẲNG CẤP. + Nhà nằm trên một ngõ rộng thông nhau, cách phố Nguyễn Trãi 20m, dân trí cao, nhộn nhịp, có thể kết hợp vừa ở vừa kinh doanh. + Nhà 5 tầng chắc chắn móng lên tầng, thiết kế nội thất cực đẹp đẳng cấp. + Chủ giữ gìn nhà cẩn thận nay bán lại chủ mới lên chung cư ở các con và dành tiền làm ăn. + Sổ đỏ vuông vắn chủ để trong két sắt sẵn sàng giao dịch ngay. + Liên hệ em Thái để biết thông tin chi tiết về ngôi nhà.",17/04/2022,Tin thường,batdongsan_so_com_vn_1673827505.490083,
