price,address,Lộ giới,Details,Ngày đăng,Loại tin,id,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet
,Đường Trần Phú phường Văn Quán, 1,"Anh chị chọn căn 2 ngủ đẹp nhất Văn Quán, diện tích 98m2, hướng Đông Nam view hồ Văn Quán mát mẻ. Liên hệ xem nhà: O834.bốn64.628 Tên thương mại: chung cư Grand Sunlake, Hà Đông, Hà Nội. Hiện tại Chủ đầu tư bắt đầu mở bán nhận đặt chỗ chọn căn tại dự án - trong tháng 5 tới sẽ ký hợp đồng chính thức. Quý khách nhanh tay đặt chỗ chọn căn đẹp nhất. Dự án cực kỳ hot thời điểm này. Nhà mới - view đẹp - vị trí đắc địa tại Văn Quán Hà Đông. (Giao giữa Trần Phú và Nguyễn Khuyến Hà Đông - đối diện Big C Hà Đông). Bàn giao nhà quý 3 / 2023. - hiện đang xây đến tầng 10. Dự án gồm 3 tháp 45 tầng và 50 tầng, 3 hầm và 6 tầng thương mại, 2 mặt đường Trần Phú và Nguyễn Khuyến. Cổng sau ra hồ Văn Quán chỉ 50m. Bàn giao full nội thất. Về ở luôn. Pháp lý sổ đỏ. ",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797325.0196662,,,,,
"4,8 tỷ VNĐ",Đường Hoàng Quốc Việt phường Nghĩa Tân, 2,"
    + Nhà mình cách ô tô khoảng 30m, ba gác tránh xe máy vào tận cổng.+ Tặng lại full khách mua về chỉ việc ở. Nhà chủ xây vô cùng chắc chắn, tỉ mỉ.hỗ trợ xem nhà 24/24.
",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797326.6724927, 41m2, 4, 5, 3, 3
"6,6 tỷ VNĐ",Đường Yên Lộ phường Yên Nghĩa, 15,"NHÀ ĐẸP SIÊU ĐẸP, PHÂN LÔ Ô TÔ TRÁNH ĐỖ, VÌA HÈ ĐÁ BÓNG, KINH DOANH, VĂN PHÒNG Bán nhà Phố Yên Lộ - Yên nghĩa Hà đông, Vị trí tuyệt đẹp, ô tô tránh đỗ, vỉa hè 6m, khu dân trí cao, cách bến xe Yên Nghĩa 100m, rất nhiều tiện ích xung quanh, trường học các cấp, chợ dân sinh. ở sướng kinh doanh tốt . + Thiết kế 4 tầng, mới ở hơn 1 năm, chủ xây tâm huyết chắc chắn để ở, móng lên tầng thoải mái. Tổng 4  tầng, cầu thang giữa + phòng khách, thờ, sân phơi. Vườn thượng uyển, không gian sống xanh vô cùng đẳng cấp. Nhà đẹp như khách sạn 5*  Sổ đỏ chính chủ, sẵn sàng giao dịch Liên hệ Dương Hoa để được tư vẫn và dẫn đi xem nhà miễn phí.  ",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797328.322046, 50m2, 4, 4, 4, 4
"2,6 tỷ VNĐ",135 Trần Phú, 10,"Bán căn hộ Grand Sunlake 2N2VS 74-98m2 view hồ Văn Quán từ 1tỷ3 (30% Giá trị căn hộ)+ Hướng: Đông Nam+ Nội thất cao cấp.+Bàn giao: Tháng 8/2024+ Giá chi tiết: Liên hệ trực tiếp qua số điện thoạiThông tin mô tả - Vị trí đắc địa tại ngã 3 Trần Phú và Nguyễn Khuyến.- 3 phút đến Ga Văn Quán (Đường sắt Cát Linh - Hà Đông).- 15 phút đến Trung tâm thành phố Hà Nội.- Nằm cạnh 2 hồ Văn Quán – Than ThởVị trí:- Gần Ga tàu điện Văn Quán- Đối diện Siêu thị Top Market, gần Chợ Hà Đông,…- Cạnh trường Đại học Kiến trúc, Học viện An Ninh, Học viện Bưu chính viễn thông- Gần trường tiểu học Nguyễn Du, THCS Văn Quán, THPT Lê Quý Đôn,…- Gần bệnh viện Đa khoa Hà Đông, bệnh viện 103, … Tiện ích nội khu:- Trung tâm thương mại- Trường mầm non- Bể bơi, Gym, Hiệu thuốc,….- Hầm để xe oto-xe máyChính sách: - Ngân hàng hỗ trợ 70% giá trị căn hộ, miễn gốc+lãi trong 2 nămBàn giao: - Nội thất cao cấp",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797330.6549182, 74m2, 10, 1, 2, 2
"5,9 tỷ VNĐ",Đường Hoàng Văn Thái phường Thanh Xuân Nam, 3,"+ Vị trí đắc địa, ngay cạnh Đại học Khoa học Tự Nhiên. - Tầng 2: Gác lửng thiết kế tuyệt đẹp kinh doanh. + LH, Hoàng Bắc ",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797333.6965916, 37m2, 5, 4, 4, 4
"9,2 tỷ VNĐ",Đường Lê Trọng Tấn phường Khương Mai, 6,"Vị trí đắc địa ngay sát phố, ngõ đẹp thẳng tắp, văn minh sạch sẽ, 2 oto tránh thoải mái, nhà cách phố chỉ 20m phù hợp ở kết hợp KD đều tốt Nằm khu phân lô của quân đội nên xung quanh hàng xóm toàn cấp tướng tá, an ninh và dân trí cực tốt        - Đất có lộc chủ nhà làm ăn phát đạt nên bán đi mua nhà to hơn Sổ đỏ chính chủ sẵn.sàng giao dịch. -‍ Mr . Hoàng ( 1990 ) 📲                                
",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797335.6276429, 63m2,,,,
"6,3 tỷ VNĐ",Đường Tây Sơn phường Thịnh Quang, 3,"BÁN NHÀ TÂY SƠN ĐỐNG ĐA, 40 m2 x 5 TẦNG, 10 M RA MẶT PHỐ, GIÁ THƯƠNG LƯỢNG CHÍNH CHỦ TRUNG TÂM ĐỐNG ĐA - GẦN NGÃ TƯ SỞ - VÀI BƯỚC RA PHỐ - 3 MẶT THOÁNG - NHÀ ĐẸP - 6 PHÒNG NGỦ - FULL NỘI THẤT - SÁT HỒ ĐIỀU HOÀ + Nhà xây 5 tầng đủ, 3 mặt thoáng, thiết kế hiện đại, nội thất xịn xò, chủ tặng lại hết cho khách thiện trí.+ Sổ đỏ đẹp, cất két, sẵn sàng giao dịch + Giá làm việc chính chủ có thương lượng CAM KẾT XEM NHÀ MIỄN PHÍ, KHÔNG THU BẤT KỲ KHOẢN PHÍ NÀO KỂ CẢ KHI GIAO DỊCH THÀNH CÔNG ",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797337.8897555, 40m2, 4, 5, 5, 4
840 triệu VNĐ,ba đình hà nội, 6,"🏆Chỉ với 147tr/ lô 20%, đã sở hữu ngay lô đất nền nằm gần nút giao cao tốc, cạnh quy hoạch khu đô thị tại Hưng Yên.🎁Ưu đãi cực kỳ hấp dẫn lên tới 6% giá trị lô.💝Khách hàng mua có thể đóng tiến độ linh hoạt 6 đợt trong 120 ngày.⛳️Tọa lạc tại vị trí vô cùng thuận lợi:✍️Lọt giữa các khu công nghiệp có quy mô lớn như: kcn bãi Sậy, Bắc Sơn, Tân Phúc- Hoàng Hoa Thám.✍️Nằm gần đường huyết mạch nối từ nút giao cao tốc qua nhiều cum công nghiệp, khu công nghiệp, tạo điều kiện thuận lợi về giao thương giữa các vùng.✍️Gần đường cao tốc 5B kết nối kinh tế 4 tỉnh: Hưng yên - Hải Dương - Hải Phòng - Quảng Ninh, thúc đẩy mạnh mẽ sự phát triển của các doanh nghiệp.✍️Di chuyển vài bước chân là tới quy hoạch khu đô thị rộng 300 héc ta.✍️Đầy đủ các tiện ích xung quanh như: trường học, y tế, chợ, ủy ban...chi vài bước di chuyển.📕Sổ đỏ lâu dài pháp lý an toàn tuyệt đối🧱Hạ tầng đồng bộ, mốc giới rõ ràng từng lô.",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797339.0452042, 80m2, 5,,,
"4,15 tỷ VNĐ",Đường Yên Hòa phường Yên Hòa, 3,"VỊ TRÍ SIÊU ĐẸP TÀI CHÍNH 4 TỶ - CÁCH 3 NHÀ RA OTO DỪNG ĐỖ NGÀY ĐÊM  Nhà siêu đẹp khu Trung Kính, hàng kịch độc, đảm bảo bay sớm!  + Nhà số 4 chỉ sau mặt ngõ 3 oto tránh nhau. + Ngõ trước nhà gần 3m, cực kỳ thoáng + Sau nhà là ngõ khác nên thoáng trước sau, ánh sáng ngập tràn.  + Sổ đỏ chính chủ, SSGD - Sổ vuông đẹp, nở hậu nhẹ, sẵn sàng giao dịch.  *** Liên hệ xem nhà: Em Huyền (chuyên Đống Đa, Cầu Giấy)",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797340.3175693, 40m2, 4, 5, 3, 3
4 tỷ VNĐ,Đường Kim Giang phường Đại Kim, 10,""",="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-thickness:="""" initial;="""" text-decoration-style:="""" text-decoration-color:="""" user-select:="""" text'nhà="""" 50m2="""" phố="""" kim="""" giang="""" -="""" Ô="""" tô="""" vào="""" nhà="""" sổ="""" vuông="""" đẹp="""" sẵn="""" sàng="""" giao="""" dịch="""" chỉ="""" nhỉnh="""" 4="""" t="""" span="""" p="""" pspan="""" text'toạ="""" lại="""" vị="""" trí="""" lô="""" góc,="""" mặt="""" ngõ="""" ô="""" tránh,="""" kinh="""" doanh="""" ngày="""" đêm.brnhà="""" cách="""" vài="""" bước="""" chân,="""" sát="""" kĐt="""" linh="""" Đàm,="""" the="""" manor="""" central="""" park,="""" ...="""" tương="""" lai="""" rạng="""" ngời.="""" brsổ="""" đỏ="""" nét="""" căng,="""" dịch.="""" text'="""">Phạm Thuỷ -  O9l2---538---8OO Chuyên nhà đất Thanh Xuân - Hoàng Mai - Đống Đa Tư vấn dịch vụ nhà đất, vay vốn ngân hàng. GIÚP KHÁCH MUA NHÀ- GIÚP CHỦ BÁN NHÀ. ",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797342.4717586, 50m2, 4, 1,,
