price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới
4 tỷ VNĐ,191.x Minh Khai, 34m2, 5, 5, 4, 4,"+ Gia đình bán nhà ngõ 191 Minh Khai, vị trí đẹp, ngõ thông sang nhiều phố, trước nhà thoáng sáng. Nhà xây 5 tầng kiên cố, mới đẹp, thiết kế 4 phòng riêng hiện đại đủ công năng, sổ đỏ chính chủ, chủ mới về ở ngay. + Nhà cách phố chỉ hơn 50m, ngõ thông sang ngõ ngõ Hoà Bình 7, phố 8/3, ngõ Quỳnh... Nhà rất gần chợ Mơ, hệ thống trường học các cấp, các trường Đại học Kinh Tế, Bách Khoa, tiện ích đầy đủ, an sinh tốt. + Ngõ trước nhà rộng hơn 4m, sạch đẹp, để xe thoải mái. Khu dân cư dân trí cao, văn minh, ở yên tĩnh. + Nhà có thông số đẹp: Diện tích 34m, mặt tiền hơn 5m, gia chủ xây dựng 5 tầng chắc chắn, khung móng riêng, thiết kế hiện đại, chuẩn công năng với 3 phòng ngủ, 1 phòng thờ và sân phơi rộng. + Sổ đỏ vuông đẹp, chính chủ sẵn sàng giao dịch. Liên hệ Mr Hương để xem nhà, miễn Môi giới, trung gian và báo mạng.",09/10/2022,Tin thường,batdongsan_so_com_vn_1673796023.8927736,
5 tỷ VNĐ,22.x Trương Định, 42m2, 5, 5, 4, 4,"+ Gia đình bán nhà phố Trương Định, trong ngõ xe bagac thông, tiện ích đầy đủ. Nhà xây 5 tầng kiên cố, sẵn 4 phòng riêng đẹp vừa ở vừa kinh doanh, làm văn phòng. Sổ đỏ chính chủ, chủ mới về khai thác sử dụng ngay. + Nhà vị trí mặt ngõ thông tứ phía, đường trước nhà thoáng rộng hơn 2m, sạch đẹp. Nhà gần trường học, chợ dân sinh, vài chục bước ra mặt phố kinh doanh nhộn nhịp. + Nhà có thông số đẹp: Diện tích 42m, mặt tiền hơn 5m, chủ tự xây 5 tầng chắc chắn, thiết kế sẵn 4 phòng vừa ở vừa kinh doanh, làm văn phòng rất đẹp. + Chủ quan chức mua xây cho con học Đại học, giờ đã học xong nên cần bán. + Sổ đỏ đẹp sẵn sàng giao dịch. Liên hệ Mr Hương để xem nhà, miễn Môi giới, trung gian và báo mạng.",09/10/2022,Tin thường,batdongsan_so_com_vn_1673796025.0831919,
"10,25 tỷ VNĐ",XUÂN PHƯƠNG, 105m2,,,,,"
    Bán Nhà Liền Kề KĐT Vân Canh, Hoài Đức 105m 5T Ô tô 10,x tỷ
- Vị trí cực đẹp, cách trung tâm Thành phố 10p đi xe,
- Đường Xuân Phương, Đường Trinh Văn Bô, Quốc lộ 32, Đại Học Công nghiệp Hà Nội, ĐH Đông Á, C.Đ FPT..
- Sổ CC, Sẵn sang tên nhanh gọn
- Thiện chí ,Xem nhà Tư vấn, pháp lý 24/24
- Rất nhiều nhà đẹp phù hợp mọi nhu cầu.
- Liên hệ Mr Đức Nhà Đẹp 0812212525 - 0898839292 ( Zalo)
",09/10/2022,Tin thường,batdongsan_so_com_vn_1673796026.4325702,
"3,5 tỷ VNĐ",Đường Mỹ Đình phường Mỹ Đình 1, 45m2, 4, 5, 4, 5,"
    

Bán Nhà Ngay Trung Tâm Quận Nam Từ Liêm.



Diện tích: 42m x 5 tầng, mặt 4m.

 

 - Vị trí cực đẹp : Nhà trong khu vực đông đúc, ngay Mỹ Đình, trung tâm của Quận TL, gần cá trường ĐH Hà Nội, xung quanh đầy đủ trường học mầm non c1, c2, chợ siêu thị bán kính 200m…!

- - - - - - - - - - - - - - - - - - 
* Nhà 5 Tầng, thiết kế hiện đại, móng ép cọc, dầm cột bê tông kiên cố.
- Tầng 1 : Phòng khách, bếp ăn + wc
- Tầng 2,3,4 : Phòng ngủ + wc.
- Tầng 5 : phòng thờ, sân phơi.

+  Nội thất cơ bản gắn tường : Tủ bếp, trần thạch cao, cửa, thiết bị vệ sinh, thiết bị điện, tay vịn cầu thang...

* CAM KẾT VỚI KHÁCH HÀNG 
- Sổ đỏ chính chủ, an toàn sạch sẽ.
- Bao mọi chi phí sang tên.
- Hỗ trợ khách hàng vay vốn 80%.

Anh chị khách hàng quan tâm liên hệ: E Hữu.




































+2

",09/10/2022,Tin thường,batdongsan_so_com_vn_1673796027.6353512, 4
8 tỷ VNĐ,22.x nguyễn lân, 50m2, 4, 8, 10, 10,"+ Bán Chung cư mini phố Nguyễn Lân, vị trí gần các trường đại học Y, Thủy Lợi, Kinh tế Quốc Dân, Bách Khoa, Xây Dựng, nhiều sinh viên có nhu cầu thuê trọ quanh năm. + Nhà cách phố chỉ khoảng 100m, 15m ra đường ô tô tránh, trước nhà rộng gần 3m. + Khu dân cư văn minh, an ninh tuyệt đối. + Nhà thiết kế mỗi tầng 2 phòng riêng biệt, cầu thang giữa, thang máy hiện đại. Tổng 12 căn hộ khép kín, bao gồm nội thất trọn gói, doanh thu gần 50 triệu/tháng + Sổ đỏ vuông vức, chính chủ sẵn sàng giao dịch. Liên hệ Mr Hương để xem nhà, miễn trung gian, Môi giới, báo mạng.",09/10/2022,Tin thường,batdongsan_so_com_vn_1673796029.398775,
"10,25 tỷ VNĐ",VÂN CANH, 102m2,,,,,"Bán Biệt thự Liền Kề KĐT Vân Canh, Nam Từ Liêm 102m 5T Ô tô 10,x tỷ- Vị trí cực đẹp.- Văn Phòng, Nhà hàng, Ở , Đầu tư giữ tiền đều tốt.- Các trục đường chính lớn Đường Xuân Phương, Đường Trịnh Văn Bô, Quốc lộ 32.. Hồ Tùng Mậu, Cầu giấy, Bến xe Mỹ Đình..- Gần các trường Đại Học Công nghiệp Hà Nội, ĐH Đông Á, C.Đ FPT..- Giá thương lượng- Sổ CC, Sẵn sang tên nhanh gọn- Thiện chí ,Xem nhà Tư vấn, pháp lý, Ngân hàng 24/24- Liên hệ Mr Đức Nhà Đẹp 0812212525 - 0898839292 ( Zalo)",09/10/2022,Tin thường,batdongsan_so_com_vn_1673796030.404902,
"12,4 tỷ VNĐ",19/5, 86m2,,,,,"😍😍TRUNG TÂM VĂN HóA HÀ ĐÔNG 12.4 tỷ Có Ngay Căn Nhà 1-0-2 NGON - BỔ - RẺ !😍😍  ✅ CHỈ VỚI 12,4 Tỷ bạn đã sở hữu căn nhà không còn gì để nói với vị trí độc nhất vô nhị mà không có căn nhà nào giống được. Nhắc lại nhé ! Không căn nào có thể thay thế được.            ✅ 86 m2 x 3 tầng mặt tiền 7m trước mặt nhà kể cả 3 con ô tô con dàn hàng ngang luôn. Khu vực kinh doanh sầm uất bất chấp ngày đêm. ✅  Khu dân trí cao, an ninh cực tốt, gần trường học, gần chợ, gần siêu thị, gần sân vận động, gần khu kinh doanh nhu cầu về cuộc sống: Cafe, vật tư, vật liệu. Đặc biệt gần sát ngay Đường Phùng Hưng, Bệnh viện 103, Chợ Hà Đông. ✅ Sổ đỏ chính chủ cất két, giao dịch ngay.Chủ cực thiện chí bán. ☎️ LH NGỌC SƠN 0812316789 ( Thổ Cư HÀ ĐÔNG ). + Miễn phí xem nhà, hỗ trợ vay vốn ngân hàng, hỗ trợ pháp lý 24/7, thủ tục nhanh gọn… Xin cám ơn quý khách đã xem bài đăng!",09/10/2022,Tin thường,batdongsan_so_com_vn_1673796031.5830185,
5 tỷ VNĐ,Đường Hồ Tùng Mậu phường Phú Diễn, 50m2, 4, 4, 5, 4,"
    
NHÀ ĐẸP - GẦN PHỐ - Ở NGAY

Chính chủ cần bán nhà Hồ Tùng Mậu 50m2x 4 tầng, mặt tiền 4m, giá 5 tỷ 

- Nhà đẹp, cách mặt phố 40m, diện tích sổ đỏ 50m2, diện tích thực tế là 54m2, nhà 2 thoáng, ở sướng.
- Khu vực giao thông thuận lợi, gần đại học Thương mại, các khu mua sắm sầm uất
- Nhà mới, đẹp, chỉ việc xách vali về ở, đầy đủ công năng, tiện ích
- Tầm tiền hợp để đầu tư, hoặc giữ tiền đều được
",09/10/2022,Tin thường,batdongsan_so_com_vn_1673796032.739468, 2
25 tỷ VNĐ,Đường Vũ Đức Thận phường Việt Hưng, 96m2, 6, 6, 5, 6,""",="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'bán="""" nhà="""" mặt="""" tiền="""" 6m="""" phố="""" vũ="""" Đức="""" thận="""" long="""" biên="""" vỉa="""" hè="""" kinh="""" doanh="""" văn="""" phòng="""" 96m2.="""" span="""" p="""" pspan="""" initial'-="""" vị="""" trí="""" toà="""" vô="""" cùng="""" đẹp,="""" trước="""" 6="""" làn="""" đường="""" ô="""" tô="""" tải="""" tránh="""" đỗ.="""" initial'="""">- Nhà thiết kế toà nhà văn phòng 6 tầng thang máy.  "",="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'-="""" khu="""" vực="""" vô="""" cùng="""" hiếm="""" nhà="""" bán,="""" khách="""" mua="""" kinh="""" doanh="""" văn="""" phòng,="""" ngân="""" hàng,="""" cho="""" thuê="""" ra="""" dòng="""" tiền="""" lớn.="""" span="""" p="""" pspan="""" trước="""" mặt="""" là="""" quy="""" hoạch="""" công="""" viên,="""" đô="""" thị="""" đường="""" nối="""" cầu="""" trần="""" hưng="""" Đạo="""" chạy="""" qua.="""" tiềm="""" năng="""" tăng="""" giá="""" initial'="""">- Dt:96m2 mt6m giá chào bán nhỉnh 25 tỷ có thương lượng và gia lộc.  "",="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'-="""" sổ="""" đổ="""" chính="""" chủ,="""" phân="""" lô="""" vô="""" cùng="""" đẹp,="""" giao="""" dịch="""" ngay.="""" span="""" p="""" pspan="""" lh:="""" minh="""" lợi="""" span0987950583span="""" initial'=""""> - gặp là có Lợi - chuyên thổ cư, nhà mặt phố, nhà dòng tiền, biệt thự Long Biên giá tốt nhất thị trường.",09/10/2022,Tin thường,batdongsan_so_com_vn_1673796034.126378, 30
"6,6 tỷ VNĐ",Đường Trần Phú phường Văn Quán, 40m2, 4, 5, 3, 3,"
    +Vị trí trung tâm, sầm uất+mặt tiền rất thuận tiện kinh doanh+Sổ vuông
",09/10/2022,Tin thường,batdongsan_so_com_vn_1673796035.2668312, 3
