price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới
"4,8 tỷ VNĐ",khương hạ, 46m2, 4, 3, 4," - Nhà nằm tại vị trí đẹp trên con phố Khương Hạ, ngõ ba gác tránh, thông thoáng, cách phố 50m.  - Ngõ trước nhà lát gạch đỏ sạch đẹp, hàng xóm thân thiện, an sinh đỉnh.  - Gần Ngã Tư Sở, TTTM Royal CITY, trường học các cấp.  - Thiết kế: Nhà xây 4 tầng còn mới, khách mua về ở luôn.    - Sổ đỏ chính chủ pháp lý chuẩn sẵn sàng giao dịch ngay.  - Liên hệ ngay em Thảo 0348156621 chuyên thổ cư Hà Nội.",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825595.737336,,
"4,3 tỷ VNĐ",Chiến Thắng - Văn Quán - Trần Phú - Hà Đông, 36m2, 4, 4, 3,"CHÍNH CHỦ BÁN NHÀ CHIẾN THẮNG - TRẦN PHÚ - HÀ ĐÔNG, 36M2, 4.3 TỶ- 4 ngủ 36m2, nhà đẹp ở ngay- Cách mặt phố 15m, thuận tiện đi lại, hưởng trọn tiện ích khu đô thị Văn Quán.- Khu vực hạ tầng đầy đủ, gần trường cấp 1, cấp 2 Triều Khúc. Thuận tiện ra Trần Phú, trường ĐH Hà Nội, trường ĐH Giao thông.- Sổ đỏ chính chủ, giao dịch ngay- Liên hệ: 0918120568",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825597.2891824, 4,
"4,3 tỷ VNĐ","Lĩnh Nam, Hoàng mai, Hà Nội", 50m2,,,,"Bán nhà Lĩnh Nam, nhà tự xây, lô góc, 50m, nhỉnh 4 tỷ. Tôi có căn nhà tại Lĩnh Nam cần bán, cách mặt phố Lĩnh Nam rất gần, đường trước nhà rộng gần 4m, lô góc 2 thoáng vịnh viễn. Khu vực dân trí cao, an ninh tốt. Nhà gần chợ, siêu thị và trường học các cấp, cạnh các trường Đại học như Kinh Doanh Công Nghệ, Kinh Tế Kỹ Thuật Công Nghiệp, Đại học Mở... Nhà tự thiết kế xây dựng tâm huyết , chắc chắn, thiết kế lệch tầng rất thoáng và hiện đại. LH: Mrs Hoài 0988220038. (Tư vấn & xem nhà miễn phí) ",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825598.5049307,,
"5,5 tỷ VNĐ",Đường bùi xương trạch phường khương trung, 55m2, 3, 4, 3,""";="""" mso-ascii-theme-font:="""" major-latin;="""" mso-hansi-font-family:="""" ""times="""" mso-hansi-theme-font:="""" mso-bidi-font-family:="""" mso-bidi-theme-font:="""" mso-ansi-language:="""" en-us'="""" span="""" p="""" class=""MsoNormalSPAN"">Chủ nhà mua nhà to hơn cần bán căn nhà DT 55m2 lô góc, oto đỗ cửa, ngõ thông sang hồ Đầm Hồng, Hoàng Văn Thái, Ngã Tư Sở, Vành đai 2.5… Nằm trong khu vực dân trí cao. "";="""" mso-ascii-theme-font:="""" major-latin;="""" mso-hansi-font-family:="""" ""times="""" mso-hansi-theme-font:="""" mso-bidi-font-family:="""" mso-bidi-theme-font:="""" mso-ansi-language:="""" en-us'="""" span="""" p="""" class=""MsoListParagraphCxSpFirstSPAN"" en-us;="""" mso-fareast-font-family:="""" roman""'span-spantimes="""" roman""'="""">         "";="""" mso-ascii-theme-font:="""" major-latin;="""" mso-hansi-font-family:="""" ""times="""" mso-hansi-theme-font:="""" mso-bidi-font-family:="""" mso-bidi-theme-font:="""" mso-ansi-language:="""" en-us'Đầy="""" đủ="""" công="""" năng="""" ngủ,="""" sân="""" phơi.="""" span="""" p="""" class=""MsoListParagraphCxSpMiddleSPAN"" en-us'="""" en-us;="""" mso-fareast-font-family:="""" roman""'="""">--Giá chào bán : 4.5 tỉ, giá thương lượng cho khách thiện chí. ",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825599.72367, 9, 4
"6,4 tỷ VNĐ",Đường Xuân Đỉnh, 42m2, 5, 6, 5,"Chủ nhà gửi bán nhà mới xây, thiết bị hiện đại, Khuôn viên xung quanh rộng thoáng, có thể để 3 xe ô tô i10 và nhiều xe máy Diện tích: 42m2, mặt tiền 4m, 5 tầng, giá 6.4 tỷ + Tầng 1: Phòng khách, bếp, wc nhỏ. + Tầng 2-4: 6 phòng ngủ, khe thoáng sau nhà. + Tầng 5: Phòng thờ và sân. Nội thất chất lượng cao: Gỗ đã qua tẩm sấy, chống cong vênh mối mọt: Cửa gỗ Lim Nam Phi, tủ bếp gỗ Hương, ván sàn Malaysia. Sứ vệ sinh American Standard, thiết bị điện, gạch ốp lát cao cấp… Thiết kế chỗ để điều hòa trên sân thượng (đã có ống dẫn). + Sổ đỏ chính chủ phân lô, sẵn sàng giao dịch. Anh chị liên hệ 0792122918 để nhận thêm thông tin  ",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825600.8307095, 4,
"4,41 tỷ VNĐ",Đường Nguyễn Khuyến phường Văn Quán, 55m2, 5, 4, 4,  - Gọi ngay 0898.108.333 - 0773.239.362 Mr Nhiên em chủ nhà để xem nhà trong ngày.,09/05/2022,Tin thường,batdongsan_so_com_vn_1673825602.140205, 5, 3
"4,5 tỷ VNĐ","Chiến Thắng, Hà Đông", 40m2,,,,"BÁN GẤP NHÀ CHIẾN THẮNG, HÀ ĐÔNG, DT 40M, Ô TÔ GẦN NHÀ, KHU VIP. + Vị trí đẹp, ngõ đẹp, sổ đẹp, khu vip Chiến Thắng, an ninh dân trí cao, ô tô gần nhà, nhà vuông nét, ở luôn. Tầm tiền siêu nhiều khách ô tô và siêu hiếm nhà bán. + Nhà 4 tầng, chắc chắn, kiên cố, ở luôn, vuông vắn trước sau thủy chung như một. Cầu thang giữa tầng 2 phòng, ban công, giếng trời, thoáng sáng trước sau, mặt sau cũng có cửa sổ mát rượi. + Pháp lý sạch, sổ đỏ đầy đủ, nói không với lỗi phong thủy. + Liên hệ em Thái để được tư vấn và hỗ trợ miễn phí.",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825603.1913934,,
19 tỷ VNĐ,Đường Khuất Duy Tiến phường Trung Hòa, 68m2, 8, 8, 8,"
    Vài phút đến trung tâm hội nghị quốc gia - Kengnam.
Hộ gia đình ở 3 tầng trên, cho thuê phía dưới 30 triệu / tháng",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825604.4460375, 5, 10
"8,65 tỷ VNĐ",Trường Chinh, 45m2, 4, 4,,"- Khu phân lô thửa đất không khác tờ A4, trước nhà đường trải nhựa hai ô tô tránh nhau thoải mái. - Ngõ to gần mặt phố kinh doanh tấp nập, sầm uất đủ hình thức. - Nhà thiết kế 4 tầng kiên cố, chắc chắn, an ninh toàn tuyệt đối. - Gần Ngã Tư Sở, Bến xe Giáp Bát, Ngã Tư Vọng,...giao thông vô cùng thuận lợi. - Sổ đỏ sẵn sàng giao dịch- gọi ngay em Đại-0963883403 để xem nhà miễn phí.",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825605.7286067, 3,
37 triệu VNĐ/m2,"Đường Võ Chí Công, KĐT Ciputra, Tây Hồ, Hà Nội", 255m2,, 5, 4,"⚠️ Chỉ 4,2 tỷ (45%) Sở Hữu Ngay Căn Hộ DUPLEX 255m view Sông Hồng, cầu Nhật Tân tại Trung Tâm Tây Hồ. Chiết khấu ngay 3%, tặng ngay 30 triệu quà tân gia, miễn lãi 12 tháng.☎ Hotline VPBH: 0977 568 223📌Vị trí: Khu đô thị Ciputra, mặt đường Võ Chí Công, Tây Hồ, Hà Nội 📮 Chính Sách Bán Hàng- Miễn 2 năm phí dịch vụ- Vay tối đa 50% lãi suất 0% 12-24 tháng- Tặng ngay 30 triệu tiền nội thất- Chiết khấu lên tới 3-4%GTCH 🌱 Thiết kế căn hộ- Diện tích thông thủy: 254.8m2- Gồm 5 ngủ 4 vệ sinh, ban công quanh nhà- View cầu Nhật Tân, view sông Hồng, view nội khu",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825606.7729611,,
,Quan Nhân, 35m2, 6,,,"Nhỉnh 4 tỷ sở hữu nhà 6 tầng tại Quan Nhân Thanh Xuân – lh: 0376247299. + Nhà 6 tầng, mặt tiền 4m, ngay mặt phố. + Khu vực Thanh Xuân vô vàn tiện ích, dễ tới Vũ Trọng Phụng, Nguyễn Trãi, Giáp Nhất, Láng, … + Nhà thiết kế đẹp, mới. + Sổ đỏ chinh chủ sang tên nhanh. + Giá cả thương lượng.  Liên hệ: Em Việt Anh Thổ cư 0376247299 để được tìm hiểu và xem chi tiết căn nhà miễn phí.  ",09/05/2022,Tin thường,batdongsan_so_com_vn_1673825608.109387,,
