price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Lộ giới,Số toilet,Mặt tiền
"8,8 tỷ VNĐ",36, 50m2, 6, 6,"+ Chính chủ bán gấp nhà phố Lê Đức Thọ, Nam Từ Liêm 6 tầng X 50m2, MT: 3.4m, 2 mặt ngõ, ô tô đỗ cửa, kinh doanh đỉnh, đang cho thuê 20 triệu/ tháng.+ Đường thông, 2 mặt ngõ ô tô chạy, sát nút giao Nguyễn Hoàng, Lê Đức Thọ, Hàm Nghi, cách bến xe Mỹ Đình 180m.+ Nhà mới về ở ngay, có thể làm Gara để ô tô nếu không kinh doanh. Kinh doanh Spa, , cửa hàng thuốc, văn phòng... đều rất phù hợp.+ Sổ đỏ chính chủ, sãn sang giao dịch.+ Nhấc máy và điện ngay em Đức Anh 0975517689 để xem nhà.",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823547.2869859,,,
"6,8 tỷ VNĐ",Kiến Hưng- Hà Đông, 61m2,,,"Cần tiền bán đất đấu giá Kiến Hưng, Hà Đông, 61m, vỉa hè kinh doanh, mặt tiền 5.5m, giá đầu tư - Chủ nhà cần tiền bán gấp mảnh đất đẹp của gia đình trong vòng 1 tuần, đất nằm vị trí đắc địa, dân cư xung quanh đông đúc, không lỗi phong thuỷ, gần trường học các cấp, gần chợ, công viên, các chung cư,.. - Khu vực tiềm năng quy hoạch ổn định, tương lai sáng ngời, phù hợp xây 7 tầng thang máy ở kết hợp làm văn phòng hoặc kinh doanh tuyệt đỉnh. Đường trước nhà 3 ô tô tránh, giá đầu tư cực hiếm. - Giá: 6.8 tỷ ( có gia lộc). - Sổ đẹp vuông sẵn sàng giao dịch. - Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823548.4359121,,,
"6,8 tỷ VNĐ",Kiến Hưng, 61m2,,,"Cần tiền bán đất đấu giá Kiến Hưng, Hà Đông, 61m, vỉa hè kinh doanh, mặt tiền 5.5m, giá đầu tư - Chủ nhà cần tiền bán gấp mảnh đất đẹp của gia đình trong vòng 1 tuần, đất nằm vị trí đắc địa, dân cư xung quanh đông đúc, không lỗi phong thuỷ, gần trường học các cấp, gần chợ, công viên, các chung cư,.. - Khu vực tiềm năng quy hoạch ổn định, tương lai sáng ngời, phù hợp xây 7 tầng thang máy ở kết hợp làm văn phòng hoặc kinh doanh tuyệt đỉnh. Đường trước nhà 3 ô tô tránh, giá đầu tư cực hiếm. - Giá: 6.8 tỷ ( có gia lộc). - Sổ đẹp vuông sẵn sàng giao dịch. - Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823549.441223,,,
"5,6 tỷ VNĐ",Đường Láng phường Láng Thượng, 45m2, 5, 6," ""times="""" new="""" roman"";="""" mso-bidi-font-family:="""" ""segoe="""" ui"";="""" mso-fareast-language:="""" vi;="""" mso-ansi-language:="""" en-us'Đường="""" láng-="""" Đống="""" Đa="""" spanspaninherit"",""serif"";="""" vi',="""" Ô="""" tÔ,="""" spanspan="""" en-us'="""">45m x ""times="""" new="""" roman"";="""" mso-bidi-font-family:="""" ""segoe="""" ui"";="""" mso-fareast-language:="""" vi'="""" spanspan="""" vi;="""" mso-ansi-language:="""" en-us'5="""" spanspaninherit"",""serif"";=""""> tầng5,x tỷ ( x cực nhỏ ) , cực gần các đường lớn như  ""times="""" new="""" roman"";="""" mso-bidi-font-family:="""" ""segoe="""" ui"";="""" mso-fareast-language:="""" vi;="""" mso-ansi-language:="""" en-us'cầu="""" giấy="""" spanspaninherit"",""serif"";="""" vi',="""" spanspan="""" en-us'="""">Tuy  ""times="""" new="""" roman"";="""" mso-bidi-font-family:="""" ""segoe="""" ui"";="""" mso-fareast-language:="""" vi;="""" mso-ansi-language:="""" en-us'h="""" spanspaninherit"",""serif"";="""" vi'ưng,="""" spanspan="""" en-us'="""">Ní  ""times="""" new="""" roman"";="""" mso-bidi-font-family:="""" ""segoe="""" ui"";="""" mso-fareast-language:="""" vi;="""" mso-ansi-language:="""" en-us't="""" spanspaninherit"",""serif"";="""" vi'hanh.....="""" spanspan="""" en-us'=""""> , cách  ""times="""" new="""" roman"";="""" mso-bidi-font-family:="""" ""segoe="""" ui"";="""" mso-fareast-language:="""" vi;="""" mso-ansi-language:="""" en-us'chùa="""" láng="""" spanspaninherit"",""serif"";="""" vi'="""" vài="""" bước="""" chân="""" spanspan="""" en-us'="""">- nơi nhộn nhịp nhiều quán xá nhất Hà Nội.  chợ, bên cạnh là rất nhiều trường đại học,  ""times="""" new="""" roman"";="""" mso-bidi-font-family:="""" ""segoe="""" ui"";="""" mso-fareast-language:="""" vi;="""" mso-ansi-language:="""" en-us'dh="""" ngoại="""" thương,="""" đh="""" giao,="""" spanspaninherit"",""serif"";="""" vi'dh="""" luật...="""" spanspan="""" en-us'=""""> - Sổ đỏ chính chủ sẵn sàng giao dịchiên hệ  ""times="""" new="""" roman"";="""" mso-bidi-font-family:="""" ""segoe="""" ui"";="""" mso-fareast-language:="""" vi;="""" mso-ansi-language:="""" en-us;="""" mso-bidi-language:="""" ar-sa'mr="""" spanspaninherit"",""serif"";="""" ar-sa'lợi="""" spanspan="""" ar-sa'="""">.270 ""times="""" new="""" roman"";="""" mso-bidi-font-family:="""" ""segoe="""" ui"";="""" mso-fareast-language:="""" vi;="""" mso-ansi-language:="""" en-us;="""" mso-bidi-language:="""" ar-sa'.="""" spanspaninherit"",""serif"";="""" ar-sa'1298="""" để="""" được="""" tư="""" vấn="""" mi="""" spanspan="""" ar-sa'="""">ễn  cả các thủ tục pháp lý, sang tên.
",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823550.673933, 3, 3,
"2,58 tỷ VNĐ",Nguyễn An Ninh - Hà Nội, 50m2,,,"- Gia chủ kinh doanh làm ăn lớn ngày càng phát đạt đã mua nhà to hơn bên Cầu Giấy nên đành dứt ruột bán đi căn nhà mặt ngõ trên đường Nguyễn An Ninh - Trương Định – Trần Đại Nghĩa. Nhà ở đã lâu, lộc lá mấy đời con cháu càng ngày càng làm ăn phát đạt, ăn nên làm ra mua nhà mới ầm ầm. Nhà khung cột chắc chắn, khách lên thêm tầng thoải mái, oto con qua nhà. Ngõ thông khắp ngả qua Trương Định, Nguyễn An Ninh, Đại La, Trần Đại Nghĩa…… đông đúc kinh doanh đỉnh của đỉnh. - Nhà ở khu dân trí cao, an ninh đảm bảo, hàng xóm thân thiện, giao thông thuận tiện chỉ vài chục mét ra nhiều phố lớn, xung quanh nhà là các trường đại học lớn như Bách Khoa, Xây Dựng, Kinh Tế Quốc Dân…. các trường điểm từ tiểu học đến trung học phổ thông. Các bệnh viện lớn như Bạch Mai, Thanh Nhàn, Ung Bướu…. + Pháp lý: Sổ đỏ chính chủ, cất két. Gia chủ cực kỳ thiện trí có gia lộc cho khách hữu duyên giá 2.58 tỷ.Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội luôn sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Phương châm làm việc:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà    - Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý. ",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823551.7390828,,,
"2,2 tỷ VNĐ","xóm Trên, Bích Hòa, Thanh Oai, Hà Nội", 40.4m2, 3, 4,"Chính chủ bán nhà tại xóm Trên, Bích Hòa, Thanh Oai, Hà Nội+ Dự án 5 căn nhà liền kề tại Bích Hòa.+ Diện tích: 40,4m2 x 3 tầng.+ Mặt tiền: 3,65m. Nở hậu: 4,16m+  Sổ đỏ chính chủ.+ Nhà xây mới, thiết kế hiện đại, đầy đủ công năng gồm: 4 PN, 3WC, phòng khách + bếp, ban công.+ Đường trước nhà rộng 3m.+ Vị trí thuận tiện giao thông sinh hoạt, đầy đủ tiện ích xung quanh, khu vực an ninh tốt.Giá: 2,2 tỷ, có thương lượng. Giao nhà ngay.LH chủ nhà: chị Tuyết 0912034887, 0975699698 Nguồn:  http://nhadathanoi.net.vn/",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823553.3048947,, 3, 3
"3,3 tỷ VNĐ",Phường Mỹ Đình, 32m2,,,"Hàng Hiếm.. Mỹ Đình Bán đất tặng nhà C4 32m2, MT 3.8m, ngõ nông thông, ô tô đỗ cổng. Giá 3.3 tỷ.+ Vị trí đất đẹp, ngõ nông thông , ba bước chân ra phố. + Đất vuông vắn nở hậu 30m ra mặt phố gần ngay Bến xe Mỹ Đình, đi Nguyễn Hoàng, Lê Đức Thọ 5 phút đến SVĐ Mỹ Đình. + Dân cư đông đúc kinh doanh buôn bán kinh doanh tấp nập, tiện ích miễn bàn.+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn. + Tư vấn 24/7. ",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823555.3798504,,,
"3,5 tỷ VNĐ","Thanh Am, Long Biên", 40m2, 3,,"- Nhà xây chắc như lô cốt , mặt tiền rộng , ngõ ô tô. Tầm tiền quá hợp lý trong thời giá hiện nay . - Mới mua được nhà mới to đẹp nên bán đi . Nhà xây tâm huyết - Tặng nội thất tiền trăm triệu cho khách hàng may mắn trong tháng . Móng cột chắc chắn lên 5 tầng thoải mái - Cửa ngõ thủ đô phía Đông nối Đông Anh - Bắc Ninh - Gia Lâm - vào Long Biên Hà Nội Tầng 1 khách, bếp , vệ sinh Tầng 2 vệ sinh giữa 2 ngủ Tầng 3 phòng thờ , sân rửa( vs) , sân phơi + Sổ đỏ chính chủ sẵn sàng giao dịch",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823558.661598,,, 3
"10,3 tỷ VNĐ","Đội Cấn, Ba Đình", 50m2, 5, 3,"LÕI BA ĐÌNH - Ô TÔ VÀO NHÀ - NHÀ CHỦ TỰ XÂY - NHÀ ĐẸP NỘI THẤT XỊN - CÁCH PHỐ 15M - AN SINH TUYỆT VỜI.  + Nhà bán nằm ở vị trí thuận tiện, gần ngay đoạn tiếp giáp với Đường bưởi, thuận lợi di chuyển tới các khu vực quận khác như Đống Đa, Cầu Giấy, Tây Hồ… + Gần nhà có các trường học theo hệ thống trường công lập, mua nhà sở hữu nhà kèm theo hộ khẩu Phường Cống Vị, quận Ba Đình với nhiều lợi thế về các trường công lập đạt chuẩn. + Ngõ trước nhà đã trải nhựa, ô tô đi lại vào nhà thoải mái. Nhà phía sau là sân trường học, rất thoáng. Không thích để ô tô trong nhà thì gửi ở trường học phía sau với chừng 30 bước đi bộ. - Tầng 1: Để xe, phòng bếp, nhà wc. - Tầng 2: 1 phòng khách, 1 phòng ngủ, vệ sinh. Khách mua có thể tận dụng làm 2 phòng ngủ. - Tầng 3: 2 phòng ngủ, nhà vệ sinh ở giữa. - Tầng 4: Phòng thờ, vệ sinh, sân phơi. - Tầng 5: Tum để máy bơm, téc nước, có thể đổ mái lên tầng - Nhà thiết kế hệ thống sàn gỗ, cầu thang gỗ, phong cách Châu Âu, ở vừa sạch sẽ lại rất thoáng. Sở hữu cầu thang thoải, giếng trời rộng rãi chinh phục những khách hàng khó tính nhất. Hệ thống nhà vệ sinh nhập ngoại hay xuất hiện ở các khu Biệt thự. Tủ bếp, hệ thống chiếu sáng loại Top đầu trên thị trường. + Sổ đỏ đẹp, pháp lý sạch, sang tên trong 1 nốt nhạc. + Giá chỉ nhỉnh 10 tỷ (có thương lượng). + Liên hệ ngay: 0354526316 Em Thế Anh (Hỗ trợ hoàn toàn MIỄN PHÍ từ xem nhà, tư vấn pháp lý, kiểm tra Quy hoạch, vay vốn ngân hàng, sang tên sổ đỏ…)",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823559.7503655,,,
"4,2 tỷ VNĐ",Bế Văn Đàn- Quang Trung - Hà Đông, 48m2, 4, 4,"Vị trí: Nhà nằm ngay trường cao đẳng Y Tế Hà Đông, gần BV Đa Khoa Hà Đông, khu trung tâm kinh doanh buôn bán tấp nập 10 m ra đường ô tô tránh, xung quanh tiện ích vô đối, gần trường dân lập, công lập mầm non, tiểu học THCS…. Thiết kế: Nhà xây 3 tầng 1tum, tầng 1 là phòng khách, bếp và vệ sinh, tầng 2,3 mỗi tầng 2 phòng ngủ + WC, trên tầng tum là phòng thờ , sân phơi trồng rau Pháp lý rõ ràng sẵn sàng sang tên   Liên hệ Mr Luyện thổ cư: 0911779569 (hỗ trợ 24/7 miễn phí xem nhà) “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",23/05/2022,Tin thường,batdongsan_so_com_vn_1673823560.7806482, 2, 3, 4
