price,address,Diện tích,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Hướng
"4,15 tỷ VNĐ","Đường Thạch Bàn, Thạch Bàn, Long Biên", 50m2, 2, 5,"- Bán nhà Thạch Bàn, Long Biên, Hà Nội ngay cạnh chợ dân sinh và trường mầm non rất thuận tiện đưa con đi học - Nhà 5 tầng, chủ đầu tư xây chắc chắn, thiết kế hiện đại, thoáng, sáng, cực kỳ mát mẻ - Sổ đỏ chính chủ (thiện chí mua có thể thương lượng) - Giá: 4.15 tỷ có thương lượng - LH Mr Đéc: 0975703461 (miễn trung gian quảng cáo)",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790285.060506,,,,
"13,5 tỷ VNĐ","Đường Chùa Quỳnh, Quỳnh Mai, Hai Bà Trưng", 82m2, 3, 5,Bán nhà Chùa Quỳnh. Hai Bà Trưng. ô tô đỗ cổng 82m x 5 tầng - 13.5  tỷ có THƯƠNG LƯỢNGCam kết  không thu bất kỳ phí gì cả kể giao dịch thành công.Mr Dương Văn Chương 0865355699Sổ đỏ chính chủ - pháp lý chuẩn.Miễn tiếp trung gian môi giới.,04/11/2022,Tin thường,batdongsan_so_com_vn_1673790286.7041097, 5, 3, 4,
"1,8 tỷ VNĐ","Đường Uy Nỗ, Uy Nỗ, Đông Anh", 47m2,,,"
    Cần tiền Bán nhanh Mảnh Đất 47m2 Tại Kính Nỗ -Uy Nỗ Đông Anh HN - Diện Tích 47m2 - MT 3m95 MH 4m20 nở hậu - Đường Trước Đất 4m ô tô vào nhà - Vị trí gần trung tâm thị trấn Đông Anh cách chỉ 2km, - Cách đường Đản Dị chỉ 300m,- Cách nhà máy z153 chỉ 1km.- Cách 120m  ra Trục đường Chính ô tô đánh võng - 300 m là Trường Cao Đẳng Thăng Long , Bệnh viện Bắc Thăng Long ,- Giá chỉ 1.8 tỷ, có thương lượng. -Liên hệ em ngay nếu anh chị thiện chí quan tâm.
",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790287.8689935, 4,,,
"5,3 tỷ VNĐ","Đường Đông Tác, Ô Chợ Dừa, Đống Đa", 45m2, 6, 4,"MẶT NGÕ ÔTÔ - NGÕ THÔNG - KINH DOANH phố Đông Tác -Đống đa 45m nhỉnh 5 tỷ+ Vị trí : thoáng và sạch sẽ, Khu vực xung quanh quá nhiêu tiện ích : Vincom Phạm Ngọc Thạch , Hồ Phương Mai, BV Bạch Mai , các trường ĐH lớn như Ngân Hàng , Bách Khoa ....+ Nhà ô tô nhỏ đánh khéo vào nhà được , cách 20m ôtô dừng đỗ ngày đêm.- Tầng: 1 để xe và bếp, - Tầng 2,3 : 4 mỗi tầng 2 phòng ngủ, WC.- Tầng 4 : Phòng thờ , sân phơi. + Chủ cần bán gấp nên có thể thương lượng mạnh về giá cả. Quan tâm xin liên hệ ngay E. Hiền (ZALO :0972168342)  - Số 1 về bđs Thổ cư để được xem nhà, và làm việc trự tiếp với chính chủ ! ",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790289.0159242,, 5,,
"3,55 tỷ VNĐ","Đường Nguyễn Xiển, Đại Kim, Hoàng Mai", 90m2, 20, 21,"Chính chủ cần bán lại căn hộ chung cư Thông tấn xã, Phường Đại Kim, Hoàng Mai, Hà Nội.- Diện tích 90m vơi thiết kế 3 phòng ngủ, 1 phòng khách rộng rãi thoáng mát đón ánh sáng, 2 nhà vệ sinh, 1 phòng bếp.- Hướng cửa chính Tây Nam, ban công Đông Nam.- 3 phòng ngủ đều thoáng view đẹp.- Full nội thất (4 điều hòa, 2 BNL, giường, tủ, bếp từ, máy rửa bát,... ).- Sổ đỏ chính chủ, có slot để ô tô.- Giá 3.xxx tỷ.- Liên hệ chính chủ: 0916081089Tiện ích:- Toà nhà gồm 1 hầm để ô tô, tầng 1 để xe máy, phòng SHCĐ, Trường học, siêu thị. Sân chơi ngoài trời cực rộng thoáng mát. 20 tầng căn hộ, 9 căn/sàn, 3 thang máy Mitsubishi cực êm nhanh.- Tiện ích xung quanh 300m: Bể bơi bốn mùa, trường mầm non, cấp 1,2 Đại Kim, trung tâm hành chính, phố ăn uống, The Manor Park...",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790291.351079,, 3, 2,
"4,75 tỷ VNĐ","Mê Linh, Đông Anh, Hà Nội", 44m2,, 3,"- Vị trí đắc địa, kinh doanh cực đẹp, giao thương đi lại đông đúc. - Cho thuê không cũng hái ra tiền. - Tầng 1: thông phòng kinh doanh - WC - Tầng 2: 1 phòng ngủ. - Tầng 3: 2 phòng ngủ và sân phơi. - Sổ đỏ chính chủ, chờ giao dịch. - Lh Mr Trác: 0965 492 571 ( để được biết thêm chi tiết ) ",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790296.7247386, 3, 3,,
"4,6 tỷ VNĐ","Phan Trọng Tuệ, Thanh Trì, Hà Nội", 40m2,, 4,"Chính chủ cần Bán gấp nhà mặt đường Phan Trọng Tuệ - Thanh Trì, 40m2 4 Tầng MT 4.5m, kinh doanh mọi mặt hàng, Ô TÔ tải đỗ cửa. Giá 4.6 tỷ LH: 0986.270.765·★　Thông tin chi tiết:- Vị trí: Mặt đường Phan Trọng Tuệ, Thanh Trì, Hà Nội- Diện tích: 40m2, 4 tầng MT 4.5m- Pháp lý: Sổ đỏ chính chủ★　Thông tin mô tả- Vị trí đắc địa, mặt tiền đẹp, 2 mặt tiền thoáng sáng giao thông đi lại thuận tiện, đường trước nhà rộng 3 ô tô tránh nhau, kinh doanh sầm uất.- Phù hợp để ở kết hợp kinh doanh ngày đêm, buôn bán mọi mặt hàng, dòng tiền tốt.- Hưởng trọn tiện ích KĐT Đại Thanh, vài trăm mét đến Bệnh viện 103, K Tân Triều, Học Viện Quân Y...- Giá bán: 4.6 tỷ (thương lượng)- Liên hệ: 0986.270.765 (Mr Vượng)",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790298.7004528,, 3, 3,
8 tỷ VNĐ,"Đường Khương Trung, Khương Trung, Thanh Xuân", 45m2, 1, 6,"
    Cực Hiếm! Bán Nhà Khương Trung, Nhà Mới coong, thang máy chạy vèo vèo, ngõ thông thoáng, ô tô đỗ cửa.DT 45m2, 6 tầng, mặt tiền 4m, giá nhỉnh 8 tỷ+ Ngõ rộng ô tô đỗ cửa, gần phố.+ Nhà xây 6 tầng, có thang máy.+ Thiết kế hiện đại, đẳng cấp, thông sàn, bố trí hợp lý gồm khách bếp ở tầng 5, 3 ngủ khép kín ở tầng 2,3,4; và phòng thờ sân phơi trên tầng 6, tầng 1 thông sàn tuỳ công năng sử dụng.Nhà nằm vị trí đẹp,gần ô tô, mấy bước chân ra ngõ thông ô tô đỗ, nhà đi bằng nhiều hướng, Vương Thừa Vũ, Khương Trung, Vũ Tông Phan, Lê Trọng Tấn Sổ vuông vắn sẵn sàng giao dịchLh: 0977.130.938
",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790300.05483, 4, 4, 4,
900 triệu VNĐ,"Đường 19/12, Chương Dương Độ, Hoàn Kiếm", 132m2,,,"- Diện tích: 132m2 (Ngang tiêu chuẩn 6m), full đất ở  - Sát khu nông nghiệp công nghệ cao  - Hạ tầng đồng bộ, đường lớn 8m-22m  - Sát trường mẫu giáo, tiểu học, trung học, uỷ ban nhân dân, chợ, bách hoá xanh.. trong bán kính 300m  - Khu dân cư sầm uất, thuận tiện kinh doanh, buôn bán  - Sẵn bìa từng nền, bao phí thuế phí  - Giá chỉ từ 899tr/nền Liên hệ ngay em Nga 0335.944.400 để được tư vấn tốt nhất.",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790301.2177198, 6,,,
15 tỷ VNĐ,"Đường Bà Triệu, Tràng Tiền, Hoàn Kiếm", 88m2,,,"Nhà phố, ngõ Bà Triệu, Tràng Tiền, Hoàn Kiếm.  Nhà có mặt tiền rộng, trước nhà sân rộng rãi, để xe trước nhà thoải mái. View nhà hai mặt thoáng, cận cảnh đẹp đúng phong cách nhà phố cổ Hà Nội.   Tầng 1 nhà : 2 phòng, mỗi phòng có gác xép trong nhà, nhà có hai lối cửa riêng. Tầng 1 của nhà có bếp và WC riêng biệt với nhà, thuận lợi cho việc nấu ăn phục vụ khách du lịch cũng như nơi pha chế mở quán cocktail nhỏ hoặc café nhạc nhẹ.   Tầng 2 nhà : 2 phòng riêng biệt. Tầng 2 – 3 nhà để ở hoặc mở Homestay, bếp nấu ăn, WC và lối cầu thang riêng ngoài nhà .  Tầng 3 nhà : 2 phòng ngủ, ngoài nhà View sân đẹp thoáng.   Diện tích nhà : 68m2 trên thực tế nhà là 88m2.  Nhà đã hợp thành một sổ đỏ, bàn giao nhà ngay khi thương lượng được giá bán. Nhà bán với giá : 15 tỷ  Mọi chi tiết hoặc Quý khách đến xe nhà xin liên hệ: Trung / O 3571 8 bảy bảy bảy 8. Đến xem nhà trực tiếp để biết lợi thế của ngôi nhà. Xin cảm ơn!",04/11/2022,Tin thường,batdongsan_so_com_vn_1673790305.0665493, 9,,, Nam
