price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Hướng,Lộ giới,Số toilet
"2,64 tỷ VNĐ",Cầu Am- Hà Đông, 35m2, 5,"Bán gấp nhà Cầu Am, Hà Đông, 35mx5 tầng, ngõ thoáng, ô tô gần, nhỉnh 2 tỷ Chủ gửi bán nhà đẹp trung tâm phố Vạn Phúc- Hà Đông, ngõ thoáng , ô tô gần, xung quanh đầy đủ tiện ích: ngân hàng, siêu thị, chợ, bệnh viện, trường học các cấp... không thiếu thứ gì, gần chợ Vạn Phúc, ba bước chân ra bưu điện Hà Đông. Nhà đẹp thiết kế phong cách hiện đại, khung cột bê tông chắc chắn, đầy đủ công năng sử dụng , chỉ việc xách vali đến ở. Giao thông di chuyển các tuyến phố trung tâm: Quang Trung, Yết Kiêu, Ngô Quyền, Tố Hữu, Thanh Bình, Văn Quán, Nguyễn Trãi,.... Hàng xóm thân thiện, nơi ở rất tĩnh, chủ nhà doanh nhân giàu có, nhà rất có lộc. Giá: 2.64 tỷ ( có thương lượng). Sổ đỏ vuông, sẵn sàng giao dịch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",08/03/2022,Tin thường,batdongsan_so_com_vn_1673830713.3665853,,,,,
"2,64 tỷ VNĐ",Cầu Am- Hà Đông, 35m2, 5,"Bán gấp nhà Cầu Am, Hà Đông, 35mx5 tầng, ngõ thoáng, ô tô gần, nhỉnh 2 tỷ Chủ gửi bán nhà đẹp trung tâm phố Vạn Phúc- Hà Đông, ngõ thoáng , ô tô gần, xung quanh đầy đủ tiện ích: ngân hàng, siêu thị, chợ, bệnh viện, trường học các cấp... không thiếu thứ gì, gần chợ Vạn Phúc, ba bước chân ra bưu điện Hà Đông. Nhà đẹp thiết kế phong cách hiện đại, khung cột bê tông chắc chắn, đầy đủ công năng sử dụng , chỉ việc xách vali đến ở. Giao thông di chuyển các tuyến phố trung tâm: Quang Trung, Yết Kiêu, Ngô Quyền, Tố Hữu, Thanh Bình, Văn Quán, Nguyễn Trãi,.... Hàng xóm thân thiện, nơi ở rất tĩnh, chủ nhà doanh nhân giàu có, nhà rất có lộc. Giá: 2.64 tỷ ( có thương lượng). Sổ đỏ vuông, sẵn sàng giao dịch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",08/03/2022,Tin thường,batdongsan_so_com_vn_1673830714.454676,,,,,
"5,45 tỷ VNĐ",Thanh Nhàn Hai Bà Trưng Hà Nội, 55m2, 4,"+ Gia đình cần bán nhà Phố Thanh Nhàn, quận Hai Bà Trưng, nhà có sân cổng riêng, cho nên nhà rất thoáng mát. + Vị trí đẹp, ngõ 3 gác, rất gần mặt phố, tiện ích xung quanh bạt ngàn, đi đâu cũng tiện, khu vực rất yên tĩnh. + DT 55m, xây 4 tầng, 4 phòng ngủ. + Giá : 5 tỷ 450 triệu ( có ra lộc ) + Ai thiện trí vui lòng LH trực tiếp: Minh Quang 0327085656 ( để biết thêm thông tin chi tiết )",08/03/2022,Tin thường,batdongsan_so_com_vn_1673830715.6484857, 4, 4,,,
"15,2 tỷ VNĐ",Hà Nội, 68m2,,"Bán nhà Nguyên Hồng - SĐT: 0366 555 258.Mô tả: - Lô góc siêu thoáng, mặt ngõ to ô tô chạy vòng quanh, thông sang Nguyễn Chí Thanh, Nguyên Hồng, Láng Hạ... - Xây chắc chắn 6 tầng đẹp, nội thất nhập khẩu, thang máy hiện đại… - Diện tích 68 m2 rộng thoáng sáng. + Tầng 1: Khách + gara, wc. + Tầng 2, 3, 4, 5: Các phòng, wc. + Tầng 6: Phòng thờ + sân thượng. - Khu trung tâm, an ninh dân trí cao, phù hợp ở và kinh doanh các loại hình như văn phòng, spa, shop. - Sổ đỏ chính chủ. - Giá 15.2 tỷ thương lượng sâu.Xem nhà liên hệ 24/7: Nguyễn Thanh ạ - 0366 555 258.",08/03/2022,Tin thường,batdongsan_so_com_vn_1673830716.903125,,,,,
"4,1 tỷ VNĐ",ngô quyền yết kiêu hà đồng hà nội, 33m2, 5,"PHÂN LÔ -Ô TÔ CÁCH 20M - NHÀ MỚI !!! KHU CÁN BỘ HỌC VIỆN CHÍNH TRỊNhà bán tại Ngô Quyền hà đông Với diện tích 33/36T2Nhà mới xây 5 tầng đẹp long lanh. Mặt tiền rộng 3.6mGiá bán rẻ nhất vịnh bắc bộ + Nhà đang hoàn thiện chỉ vài ngày nữa là có nhà mới , phải nhanh , thật nhanh mới có cơ hội+ Trước mặt nhà có sân chơi rộng thoáng.+ Thiết kế đầy đủ công năng sử dụng, giường tủ, như hình mẫu.- Tầng 1: Bếp + khách.- Tầng 2,3,4: Mỗi tầng 1PN.- Tầng 5: Phòng thờ + sân phơi.    Là khu vực cán bộ phân lô , nên dân trí rất cao , ở cực thích cực sướng , an ninh tốt . để xe yên tâm ko sợ mất chộm. gần các tiện ích như bệnh viện , trường học , gần chợ và các trung tâm mua sắm ….Liên hệ ngay để biết thêm thông tin , cũng như được hỗ trợ xem nhà miễn phíHotline : 0844 6666 97 ",08/03/2022,Tin thường,batdongsan_so_com_vn_1673830718.0171585, 4, 3, Đông nam, 3, 4
"6,5 tỷ VNĐ","Sơn Đồng, Hoài Đức, Hà Nội", 85m2, 4,"Shophouse Sơn Đồng Center tinh hoa nghìn năm - khơi nguồn thịnh vượng - 150 lô liền kề diện tích từ 65m2 - 103m2- Mặt tiền từ 5,1m - 6,3m - mặt đường 10m- Tầng cao :4,5 tầngVị trí:- Nằm tại đường Tỉnh Lộ 422 Sơn Đồng - Song Phương -Hoài Đức- Cách ngã tư Trạm Trôi - Quốc lộ 32 chưa đến 3km - hạ tầng đã hoàn thành đồng bộ.- Nằm sát làng nghề đúc tượng - sơn - tạc tượng - đồ mỹ nghệ, đồ thờ nổi tiếng.- Pháp lý hoàn chỉnh:- Sổ đỏ chính chủ từng lô.""",08/03/2022,Tin thường,batdongsan_so_com_vn_1673830719.1870158, 6,, Đông bắc,,
"4,2 tỷ VNĐ",35.61 Giếng Mứt, 33m2, 5,"
    
+Nhà nằm trong ngõ 35 Giếng Mứt, đường trước nhà xe ba gác tránh xe máy. Vài bước chân ra phố Bạch Mai, chợ Mơ.


+Nhà thiết kế 5 tầng một gác lửng, khung cột rất chắc chắn, thửa đất nở hậu. Sổ đỏ chính chủ, pháp lý sạch sẽ, sẵn sàng giao dịch.


+Tầng một thông sàn, gác lửng một phòng ngủ. Cầu thang và wc ở cuối.
+Tầng 2 là phòng khách, phòng ăn, bếp, cầu thang và wc ở cuối.
+Tầng 3,4 mỗi tầng một phòng ngủ khép kín. Tổng 3 phòng ngủ.
+Tầng 5 là phòng thờ, sân phơi rộng trồng cây xanh.

",05/03/2022,Tin thường,batdongsan_so_com_vn_1673830720.5394404, 2, 3, Đông nam,, 3
"4,1 tỷ VNĐ",8.88.21 Bùi Ngọc Dương, 43m2, 3,"LÔ GÓC - NGHÁCH THÔNG - KINH DOANH NHỎ - Ô TÔ TRÁNH 20M Mô tả: Ngõ 8 Bùi Ngọc Dương to rộng ô tô tránh không khác gì Phố. Nhà nằm trong ngách 88 cách ô tô 20m. Trước nhà đường rộng ba gác tránh xe máy. Từ nhà ra phố Hồng Mai tung tăng vài chục bước chân. Ngách thông ra ngõ Mai Hương và Phố Bạch Mai. + Thiết kế ba tầng với đầy đủ các công năng: - Tầng 1: Phòng khách rộng rãi, Bếp và WC riêng biệt. - Tầng 2: Hai phòng ngủ rộng và wc giữa. - Tầng 3: 1 ngủ và 1 phòng thờ. Khách có thể lên tầng 4,5 giống các nhà bên cạnh. + Lô góc 3 mặt thoáng đãng tràn đầy ánh sáng. + Sổ đỏ nở hậu sẵn sàng giao dịch.",05/03/2022,Tin thường,batdongsan_so_com_vn_1673830721.6055872, 3, 2, Đông nam,, 2
38 tỷ VNĐ,"đường Hoàng Văn Thái, phường Khương Trung", 143m2, 8,"Bán nhà mặt phố Hoàng Văn Thái, ô tô đỗ, kinh doanh đỉnh, giá 38 tỷ Mặt phố - Thang máy - Mặt tiền của hoa hậu - Dòng tiền chảy siết - Ô tô đỗ ngay cửa. Vị trí đắc địa: nhà ngay tại ngã tư và nằm ở khu vực kinh doanh sầm uất bậc nhất của Thanh Xuân, hiện đang cho thuê 150 triệu/ tháng Liên tuyến: Lê Trọng Tấn, Nguyễn Ngọc Nại, Vương Thừa Vũ, Tô Vĩnh Diện; đi ngã tư Sở, đến ngã tư Vọng, ra Giáp Bát, tới Linh Đàm,… cực kì thuận tiện. Rất gần: hồ điều hòa, trường học các cấp, chợ - cửa hàng tiện lợi - khu vui chơi, Bệnh viện Đại học Y Hà Nội và các cơ sở y tế khác,… Ô tô đỗ ngay cửa. Công năng: cho thuê làm VP công ty, phòng khám, ngân hàng và mọi dịch vụ đều phù hợp. Diện tích 143m2 xây 8 tầng, thông sàn, có thang máy. Sổ đỏ đẹp, sẵn sàng giao dịch ngay. Giá: 38 tỷ Thanh Xuân giờ giá lên vù vù, anh chị em cô chú đi mua cứ mạnh dạn, nhanh chân là được! Liên hệ: Mr. Ngọc – 0344.978.570 (miễn phí xem nhà, miễn môi giới, trung gian). Hỗ trợ cho vay trả góp chỉ từ 7 triệu/tháng, thủ tục đơn giản, giải ngân nhanh.",08/03/2022,Tin thường,batdongsan_so_com_vn_1673830722.5510147,, 10,,, 10
"4,5 tỷ VNĐ",15.50 Giếng Mứt, 43m2, 5,"
    Vị trí cực đẹp nằm trên con phố bạch mai ngõ ba gác phi thông tứ tung an sinh cực đỉnh gần chợ trường học khu vực dân trí cao, an ninh cực tốt.
- Nhà chủ tự xây rất tâm huyết chắc chắn. Thiết kế đẹp.
- Tầng 1: phòng khách.
- Tầng 2.3.4 mỗi từng một phòng ngủ rộng.
- Tầng 5: phòng thờ sân phơi..
",03/03/2022,Tin thường,batdongsan_so_com_vn_1673830723.9283648,, 3, Đông nam,, 4
