price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Hướng,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới
"3,5 triệu VNĐ/m2","Bán đất lô góc mặt tiền vị trí đẹp tại Xuân Sơn, Sơn Tây, 3,5tr/m2; 0981984886", 518m2,"Bán đất lô góc mặt tiền vị trí đẹp tại Xuân Sơn, Sơn Tây, 3,5tr/m2; 0981984886 Diện tích: 518m² thổ cư 100m2 - Đường ôtô tránh nhau  - Khu an ninh tốt, giao thông thuận tiện, dân trí cao - Tiềm năng lớn: Đất có thể tăng giá theo tình hình chung của khu vực, đảm bảo sinh lời cao  Giá:  3,5 trm²  LHCC: 0981984886      http://www.sanbatdongsanviet.com.vn",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829493.2840722,,,,,,
"4,8 tỷ VNĐ",Văn Phú- Hà Đông, 56m2,"Cần tiền bán gấp nhà phố trung tâm Quận Hà Đông, 56m, chỉ hơn 4 tỷ. - Chủ cần tiền bán gấp nhà đẹp Văn Phú, Hà Đông, diện tích rộng 56m, nhà 4 tầng siêu đẹp, đường trước nhà thoáng sáng, gần phố, gần ô tô. - Khu vực nối liền với Quốc lộ 6 với Khu đô thị Văn Phú, Lê Trọng Tấn, Yên Nghĩa, Ngô Thì Nhậm, Văn La, Lý Thường Kiệt, Trần Đăng Ninh,...thuộc trục giao thông chính của Quận Hà Đông. - Nhà được chủ thiết kế rất đẹp, đầy đủ công năng sử dụng, chỉ việc đến ở ngay.Xung quanh đầy đủ tiện nghi: Trường chợ, bệnh viện, siêu thị, ngân hàng, ... - chủ cần bán nhanh đầu tư nhà xưởng , máy móc, gia chủ thành đạt, nhà có lộc, bán đi rất tiếc. - Sổ đỏ vuông, sẵn sàng giao dịch. - Giá: 4.8 tỷ ( có thương lượng). Liên hệ ngay với em Huyền thổ cư KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829494.5287416, 4,,,,,
5 tỷ VNĐ,Bế Văn Đàn- Hà Đông, 53m2,"Bán nhà Bế Văn Đàn, Hà Đông, phân lô,ô tô, ngõ thông, 53m, chỉ 5 tỷ Vị trí: Nhà Bế Văn Đàn trung tâm Quận Hà Đông, khu phân lô cán bộ y tế, ngõ ô tô thông rộng thoáng, an ninh tuyệt đối, hàng xóm cán bộ nhà nước, khu văn minh hiếm nhà bán. Tiện ích: gần nhà có đầy đủ các tiện ích xã hội như chợ dân sinh, siêu thị, bệnh viện, ngần hàng, trường học các cấp, nhà có diện tích rộng, thoáng sáng vô cùng, đầy đủ công năng sử dụng. Giao thông vô cùng thuận lợi có thể đi từ các phố: Nguyễn Thái Học, Nguyễn Viết Xuân, Quang Trung, Cù Chính Lan,...khu vực đông dân cư, kinh doanh sầm uất. Sổ đỏ vuông, giao dịch trong tích tắc. Giá siêu đẹp: 5 tỷ ( có thương lượng). Liên hệ ngay với em Huyền thổ cư KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829495.537044, 4,,,,,
"4,8 tỷ VNĐ",Văn Phú- Hà Đông, 56m2,"Cần tiền bán gấp nhà phố trung tâm Quận Hà Đông, 56m, chỉ hơn 4 tỷ. - Chủ cần tiền bán gấp nhà đẹp Văn Phú, Hà Đông, diện tích rộng 56m, nhà 4 tầng siêu đẹp, đường trước nhà thoáng sáng, gần phố, gần ô tô. - Khu vực nối liền với Quốc lộ 6 với Khu đô thị Văn Phú, Lê Trọng Tấn, Yên Nghĩa, Ngô Thì Nhậm, Văn La, Lý Thường Kiệt, Trần Đăng Ninh,...thuộc trục giao thông chính của Quận Hà Đông. - Nhà được chủ thiết kế rất đẹp, đầy đủ công năng sử dụng, chỉ việc đến ở ngay.Xung quanh đầy đủ tiện nghi: Trường chợ, bệnh viện, siêu thị, ngân hàng, ... - chủ cần bán nhanh đầu tư nhà xưởng , máy móc, gia chủ thành đạt, nhà có lộc, bán đi rất tiếc. - Sổ đỏ vuông, sẵn sàng giao dịch. - Giá: 4.8 tỷ ( có thương lượng). Liên hệ ngay với em Huyền thổ cư KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829496.5353727, 4,,,,,
5 tỷ VNĐ,Bế Văn Đàn- Hà Đông, 53m2,"Bán nhà Bế Văn Đàn, Hà Đông, phân lô,ô tô, ngõ thông, 53m, chỉ 5 tỷ Vị trí: Nhà Bế Văn Đàn trung tâm Quận Hà Đông, khu phân lô cán bộ y tế, ngõ ô tô thông rộng thoáng, an ninh tuyệt đối, hàng xóm cán bộ nhà nước, khu văn minh hiếm nhà bán. Tiện ích: gần nhà có đầy đủ các tiện ích xã hội như chợ dân sinh, siêu thị, bệnh viện, ngần hàng, trường học các cấp, nhà có diện tích rộng, thoáng sáng vô cùng, đầy đủ công năng sử dụng. Giao thông vô cùng thuận lợi có thể đi từ các phố: Nguyễn Thái Học, Nguyễn Viết Xuân, Quang Trung, Cù Chính Lan,...khu vực đông dân cư, kinh doanh sầm uất. Sổ đỏ vuông, giao dịch trong tích tắc. Giá siêu đẹp: 5 tỷ ( có thương lượng). Liên hệ ngay với em Huyền thổ cư KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829497.5676618, 4,,,,,
33 triệu /tháng,"Đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội", 168m2,"Bán Chung Cư 3N Tây Hồ Giá Chỉ 33tr/m2 -Cam kết giá tốt nhất khu vực -Tặng 5 chỉ vàng cho 5  khách đầu tiên -Mật độ thấp, cư dân thân thiên -Miễn 2 năm phí dịch vụ",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829498.6597471,, Tây, 3, 2,,
"3,3 tỷ VNĐ",Nhân hòa, 36m2,"- Chủ muốn bán nhà để định cư bên nước ngoài cùng con trai. - Diện tích: 36m2, 5 tầng. - Nhà nằm tại vị trí siêu đẹp, thông phố Chính Kinh, tiếp giáp với các tuyến phố Vũ Trọng Phụng, Nhân Hòa. - Ngõ thông, thoáng, sạch sẽ, cách mặt phố 50m. - Gần chợ, gần trường học các cấp, có thể kinh doanh. - An ninh đảm bảo, cơ sở hạ tầng tốt. - Nhà dân tự xây, thiết kế hiện đại. - Giá 3.3 tỷ thương lượng trực tiếp với chủ nhà. - Sổ đỏ chính chủ, sẵn sàng giao dịch. - Liên hệ ngay em Thảo chuyên thổ cư Hà Nội. ",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829499.7667863, 5,, 5,,,
"3,4 tỷ VNĐ",Khương Trung Thanh Xuân Hà Nội, 37m2,"- Vị Trí trung tâm quận Thanh Xuân,ngõ nông thoáng gần phố ba gác phóng vù vù cao,hàng xóm thân thiện.An sinh tốt. - Nhà mới 5 tầng vừa hoàn thiện xong. - Tầng 1: Phòng khách,bếp ,WC. - Tầng 2,3,4:Mỗi tầng 1 phòng ngủ,1WC. - Tầng 5:Phòng thờ,sân phơi.  Cách mặt phố Khương Đình vài bước chân,gần chợ,trường học,tiện ích đầy đủ không thiếu gì. Pháp lý:Sổ Đỏ Chính chủ,cất két,sẵn sàng giao dịch. Liên hệ ngay em Thái để được tư vấn xem nhà miễn phí tại Hà Nội.",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829500.832934, 4,, 4, 3, 4,
"3,5 tỷ VNĐ",Đường Nguyễn Trãi Quận Thanh Xuân Tp Hà Nội, 40m2,"- Chủ nhà đã đặt cọc nhà mới lên cần bán lại nhà tại Nguyễn Trãi - Thanh Xuân. - Vị trí đắt địa, dân cư phát triển, gần phố, gần trường các cấp, TTTM, hưởng trọn tiện ích.  - Ngõ thoáng, 3 gác tránh xe máy, giao thông thuận tiện. - Nhà thiết kế thoáng mát, các phòng bố trí hợp lý 3 PN, đầy đủ công năng. - Sổ chính chủ, sẵn sàng giao dịch.  - Giá 3,5 tỷ thương lượng chủ nhà thiện chí bán.  - Liên hệ ngay em Thái chuyên đất thổ cư Thanh Xuân để xem nhà miễn phí. ",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829502.0257776, 4,, 3, 3, 4,
16 tỷ VNĐ,"Nguyễn Khánh Toàn, Ngĩa ĐÔ, Cầu Giấy", 76m2,"
    Bán Biệt Thự Nguyễn Khánh Toàn, Cầu Giấy
Diện tích 76m2. 4 tầng, mặt tiền 5m
- Lô góc nhà kiểu biệt thự rất đẹp vip nhất cả khu dân trí đỉnh cao.
- Nhà tự xây rất kiên cố, tầng nào cũng có cửa sổ ánh sáng ngập tràn.
- Khu vực giao thông đi lại thuận tiện, xung quanh rất nhiều tiện ích, nhà hàng, công ty ngập tràn, Công Viên Nghĩa Đô, chợ Quan Hoa, bảo tàng Dân tộc Nguyễn Văn Huyên.
Thiết kế 4 tầng.
- Tầng 1 khách và bếp có sân để xe riêng biệt.
- Tầng 2,3 mỗi tầng 2 phòng ngủ.
- Tầng 4 phòng thờ và sân phơi.
- Sổ đỏ chính chủ
Chào bán 16 tỷ thương lượng nhẹ.
Liên hệ: gặp chính chủ 0962987228 Trân Trọng
",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829503.313298,, Nam,,,,
"3,4 tỷ VNĐ",Nguyễn trãi thanh xuân, 35m2,"- Chủ đang cần tiền cần bán gấp. - Diện tích: 35m2, 5 tầng. - Vị trí trung tâm ngã tư sở, đi đâu cũng thuận tiện. - Hàng xóm Royal City, hưởng trọn tiện ích của khu đô thị đẳng cấp. - Tiện ích xung quanh không thiếu thứ gì. - Gần chợ, trường học các cấp. - Lô góc, ngõ thông vừa ở vừa kinh doanh tuyệt đỉnh. - Giá 3.4 tỷ thương lượng trực tiếp với chủ nhà. - Sổ đỏ chính chủ, vuông vắn. - Liên hệ ngay em Thảo chuyên thổ cư Hà Nội. ",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829504.3714685, 5,, 5,,,
4 tỷ VNĐ,Khương hạ, 36m2,"- Chủ bán nhanh vì cần tiền gấp. - Diện tích: 36m2, 5 tầng, mặt tiền 4m. - Ngõ thông, thoáng, cách mặt phố 200m. - Trước nhà rộng, có bãi để xe thuận tiện, An ninh cực cao, cơ sở hạ tầng tốt. -Chợ Khương Trung ngay gần đó, gần trường học các cấp, cách ngã Tư Sở chỉ khoảng 1-2km… đi đâu, làm gì đều rất tiện. - Nhà thiết kế đẹp, hiện đại. - Giá 3.5 tỷ thương lượng trực tiếp với chủ nhà. - Sổ đỏ chính chủ, sẵn sàng giao dịch. - Liên hệ ngay em Thảo 0348156621 chuyên thổ cư Hà Nội.  ",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829505.5357351, 5,, 5,,,
"2,35 tỷ VNĐ",Phường Phú Lãm, 36m2,"Mô tả: gần phố Quang Lãm, ô tô cách nhà 40m, 200m ra QL 21B, gần chợ xốm, gần Đại học Đại Nam và Cao đẳng Thương Mại, …. Gần nhiều thứ tiện ích tiện lợi. Nhà hiện trạng 5 tầng chủ tự xây rất tâm huyết, khung cột bê tông chắc chắn, sổ đỏ 31m2, từ tầng 2 đua ra thành 36m2, thiết kế vô cùng hợp lý, nhà 3 mặt thoáng đẹp, các phòng tràn đầy ánh sáng, thiết kế tiện nghi phù hợp với hộ gia đình. - Tầng 1: Để xe, Bếp, vệ sinh.- Tầng 2: Tầng lửng làm Phòng khách rộng. - Tầng 3,4: Mỗi tầng có 2 phòng ngủ, vệ sinh. - Tầng 5: phòng thờ, kho, sân phơi.- Tầng thượng: Trồng cây cảnh, hoa. Diện tích: trên sổ 31m từ tầng 2 đua ra thành 36m, MT 4.2m, 6T Sổ đỏ vuông đẹp, nét, sẵn sàng giao dịch. Giá 2,35 tỷ có thương lượng. Liên hệ: Tôi Quang 0936590234 để được xem nhà miễn phí.  ",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829506.4997742,,,,,,
"5,579 tỷ VNĐ","Đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội", 168m2,"Bán Căn Hộ 3N với diện tích siêu rộng giá chỉ 33tr/m2 -Miễn 2 năm đầu phí dịch vụ -Mật độ thoáng, cư dân thân thiện -Giá tốt nhất khu vực -Tặng ngay 5 chỉ vàng",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829507.714525,, Tây, 3, 2,,
"6,5 tỷ VNĐ","Sơn Đồng, Hoài Đức, Hà Nội", 85m2,"""Shophouse Sơn Đồng Center tinh hoa nghìn năm - khơi nguồn thịnh vượng - 150 lô liền kề diện tích từ 65m2 - 103m2- Mặt tiền từ 5,1m - 6,3m - mặt đường 10m- Tầng cao :4,5 tầngVị trí:- Nằm tại đường Tỉnh Lộ 422 Sơn Đồng - Song Phương -Hoài Đức- Cách ngã tư Trạm Trôi - Quốc lộ 32 chưa đến 3km - hạ tầng đã hoàn thành đồng bộ.- Nằm sát làng nghề đúc tượng - sơn - tạc tượng - đồ mỹ nghệ, đồ thờ nổi tiếng.- Pháp lý hoàn chỉnh:- Sổ đỏ chính chủ từng lô.- Cơ hội đầu tư tiềm năng tăng 50% khi Hoài Đức lên quận và thông đường Trịnh Văn Bô kéo dài từ Mỹ Đình qua Kim Chung Di Trạch lên.- Phía Bắc: Giáp Tỉnh Lộ 422B Sơn Đồng, Vân Canh.- Phía Nam: Giáp làng Lại Yên, đất dự phòng phía Bắc khu đô thị An Khánh, giáp đường trục huyện từ ngã tư Phương Bảng, theo đường Lại Yên An Khánh.- Phía Đông: Giáp khu dân cư 2 xã Vân Canh và Lại Yên.- Phía Tây: Giáp với trục đường Sơn Đồng Song Phương.Hạ tầng đã xong, hiện đang xây thô - sổ đỏ chính chủ - đất ở lâu dài""",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829508.8355248, 4, Đông nam, 3,, 6,
"7,032 tỷ VNĐ","Đường Võ Chí Công, Phường Phú Thượng, quận Tây Hồ, Hà Nội", 195m2,Giá chỉ 36tr/m2 sở hữu ngay căn hộ Duplex tại Udic Westlake Tây Hồ-Cam kết giá tốt nhất khu vực-Miễn 2 năm phí dịch vụ-Hỗ trợ vay lãi suất 0%-Tặng 5 chỉ vàng cho 5 khách hàng đầu tiên sở hữu căn hộ.,22/03/2022,Tin thường,batdongsan_so_com_vn_1673829510.002403, 2, Tây, 5, 4,,
5 tỷ VNĐ,"Vương Thừa Vũ, Thanh Xuân", 40m2,"CHÍNH CHỦ BÁN NHÀ PHỐ VƯƠNG THỪA VŨ, THANH XUÂN, DIỆN TÍCH 40M2, MẶT TIỀN 4,0M, NHÀ PHÂN LÔ QUÂN ĐỘI. + Vị trí trung tâm Thanh Xuân dân trí cao, gần chợ, trường học, bệnh viện, ngân hàng và giao thông thuận tiện. + Nhà lô góc 2 mặt thoáng, chỉ vài bước chân ô tô tránh, sổ phân lô. + Chủ xác đinh giá bán ĐẤT tặng nhà 3 tầng, khách mua miễn bàn nhà. + Liên hệ em Thái để được tư vấn và hỗ trợ miễn phí. ",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829511.134376,,,,,,
"11,5 tỷ VNĐ",phân lô Yên lạc, 85m2,"Bán nhà khu phân lô cán bộ phố Yên Lạc, Kim Ngưu, Hai Bà Trưng,Hà Nội , DT 85m2x5 tầng, thang máy, ô tô vào nhà. Giá 11.5 tỷ Gia đình tự tay thiết kế và xây dựng theo phong cách hiện đại nên vô cùng chắc chắn, tối ưu công năng sử dụng, nội thất thiết bị toàn hàng chính hãng, cầu thang , cửa cính, cửa thông phòng đều được làm từ gỗ Lim nguyên khối, cửa sổ Nhôm Xingfa bản dày chất lượng cao, hệ thống đèn chùm, đèn chiếu sáng hiện đại tiết kiệm điện tối ưu…- Tầng 1: Gara ô tô, khu bếp ăn rộng rãi, thang máy và thang bộ được thiết kế giữa nhà để chia mỗi tầng 2 phòng rất hợp lý- Tầng 2,3 mỗi tầng thiết kế 2 phòng ngủ rộng,vệ sinh khép kín  _Tầng 4 1 phòng thờ,1 phòng ngủ, 1 vệ sinh - Tầng 5 là  sân trồng rau, sân phơi Vị trí nằm trọn trong khu phân lô cán bộ nên dân trí cực cao, an ninh đảm bảo, rất nhiều tiện ích đồng bộ như Trường đại học, bệnh viện, TTTM , đường trước nhà rộng rãi thoáng đãng, 2 mặt thoáng trước sau…Sổ đỏ chính chủ, giá 11.5 tỷ ( có thỏa thuận)liên hệ chị Yến ĐT:0702138238",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829512.2175128, 5, Đông bắc, 5,, 4, 4
"3,6 tỷ VNĐ","Ngõ 234 Hoàng Quốc Việt, Nghĩa Tân, Cầu Giấy, Hà Nội", 36m2,"✅  Bán nhà tuyệt đẹp mặt ngõ thông 234 Hoàng Quốc Việt, Nghĩa Tân, Cầu Giấy. Hoặc có thể đi từ 297 Trần Cung, Bắc Từ Liêm. Nhà mặt ngõ thông, ô tô nhỏ đỗ cổng, kinh doanh (cửa hàng, tạp hóa, quầy thuốc...) cách khu đô thị Nam Cường 30m thuận tiện đi lại, sinh hoạt. ------------------------------------------------------------------------------------- ✔️  Nhà thiết kế Tân Cổ Điển sang trong đẳng cấp ngập tràn ánh sáng tự nhiên. - Diện tích 35 m2, 5 tầng mới đẹp, 4 phòng ngủ. - Tầng 1: Kinh doanh, buôn bán, bếp, để xe. - Tầng 2, 3: Mỗi tầng 1 phòng ngủ rộng, vệ sinh. - Tầng 4: Thiết kế 2 phòng ngủ, vệ sinh. - Tầng 5: Phòng thờ, sân phơi rộng thoáng. ✔️  Nội thất: - Trong nhà toàn hàng nhập ngoại: Sàn gỗ, cầu thang, cửa thông phòng đều được làm bằng gỗ lim, tủ âm tường, bếp điện từ, hút mùi, bình nóng lạnh, điều hòa... - Toàn bộ thiết bị nhà vệ sinh đều là hãng ToTo cao cấp, dây điện Trần Phú. ✔️  Vị trí: Nhà nằm ở vị trí đẹp, mặt ngõ thông, ô tô đỗ cửa,cách KĐT Nam Cường ,trường Cao Đẳng Y Dược Asean, trường Newton 50m. Thuận tiện đi lại sinh hoạt vô cùng. ✔️  Cam kết sổ đỏ chính chủ, đầy đủ HSTK, GPXD. ✔️  Giá thương lượng chỉ từ 3.6 tỷ- 4.6 tỷ (có thương lượng, bao sang tên) ✔️  Liên hệ  xem nhà trực tiếp Mr.Tuấn: 0964 357 352 (miễn TG) ",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829513.5189953, 5,, 4, 4, 4, 3
80 tỷ VNĐ,Đăng Thai MaI, 205m2,"Chủ nhiều nhà, nhờ bán bớt căn nhà đường Đặng Thai Mai tây Hồ. Tòa căn hộ dịch vụ 10 tầng đẳng cấp nhất nhì khu Quảng An, Tây Hồ. Có căn penhouse cực đẹp.Thang máy nhập khẩu, full nội thất cao cấp. Dòng tiền đều 220 triệu/tháng. Đường trước nhà rỗng rãi oto đỗ cửa.Diện tích: 205m2 x 10 tầng, mặt tiền 10m.Giá: 80 tỷ (còn thương lượng, làm việc trực tiếp chủ nhà).ĐẶNG THAI MAI TÂY HỒ - DT 220 TRIỆU/THÁNG - OTO ĐỖ CỬA - FULL NỘI THẤTLiên hệ xem nhà và nhận thông tin chi tiết: 0981367887.Thửa đất vuông đẹp, sổ pháp lý chuẩn 1 chủ. Cất két chờ giao dịch.",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829514.9780939, 10,, 10,, 10, 11
