price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số toilet,Hướng
"6,5 tỷ VNĐ","Nguyễn Khuyễn, Văn Quán, Hà Đông, Hà Nội.", 36m2, 4, 3, 5, 4," # Bán nhà riêng đường Nguyễn Khuyễn, Văn Quán, Hà Đông, Hà Nội. Nhà mới kính koong, đẹp không tỳ vết, Full trang thiết bị cao cấp, nội thất VIP, khu dân trí cao, ô tô 7 chỗ đỗ cửa, an ninh an sinh đỉnh. DT 33/36m, 5T giá chỉ 6.5 tỷ. + Vị Trí: thoáng đẹp, văn minh và đông đúc tại đường Nguyễn Khuyến phường Văn Quán. Sự hội tụ giữa 3 quận Hà Đông, Thanh Trì và Thanh Xuân lên rất sầm uất. + Tiện ích: nằm tại trung tâm KĐT Văn Quán cạnh KĐT Mỗ Lao xung quanh nhiều TTTM, Ngân hàng, khu vui chơi, nhà hàng, hồ điều hòa, trung tâm phố thật tiện ích. + Giao thông: di chuyển Nguyễn Khuyến, Chiến Thắng, 19/5, Phùng Hưng, Quang Trung, Vũ Trọng Khánh, Trần Phú, Nguyễn Trãi quận Thanh Xuân vô cùng thuận lợi. + Nhà mới kính koong 5T khung cột chắc, thiết kế hiện đại các phòng thoáng sáng, công năng đầy đủ, Chủ mới mua về chỉ việc đến ở. + Giá chỉ 6.5 tỷ. + Sổ vuông đỏ đẹp đi thi hoa hậu, sẵn sàng giao dịch. # HotLine: 0983858722 Tình nhà phố ( chuyên mua, bán, nhận ký gửi nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822511.6843567,,
"20,5 tỷ VNĐ","đường chiến thắng, văn quán, Hà Đông, Hà Nội", 70m2, 4,, 6, 10,"*** cần bán gấp nhà mặt phố CHIẾN THẮNG, VĂN QUÁN, HÀ ĐÔNG, HÀ NỘI** nhà nằm trung tâm hà đông mặt tiền phố chiến tháng, với thiết kế 6 tầng thang máy nổi trội, kinh doanh bất chấp mọi loại hình dịch vụ, dòng tiền cực kì ổn định, rất phù hợp cho anh chị đầu tư giữ tiền sinh lơi .vv*** THIẾT KẾ TRÊN 70m2 1 sàn *6t*4m MT** T1; thông sàn ** T2+3+4+5+6 ; mỗi tầng 2 phòng cực rộng đẹp***sổ đỏ chính chủ đẹp xuất sắc như tờ A4 sẵn sàng chào đón chủ mới** giá ; 20.5 tỷ < sẵn sàng thương lượng với người thiện chí>** Anh Chị quan tâm alo zalo 0845790555 đỗ hạnh",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822513.2072804, 10,
7 tỷ VNĐ,Đường Ngọc Lâm phường Ngọc Lâm, 46m2, 8, 6, 5, 3,"
    
Mô tả: 

+ Hình thức: 5 tầng 1 tum nhà như mới:

Tầng 1: Phòng khách, wc.
Tầng lửng: Bếp
Tầng 2,3,4: 3 Phòng ngủ + 3 wc khép kín
Tầng 5: Thờ, sân phơi. 

+ Vị trí: thuộc phố Ngọc Lâm. Dân trí cao, tiện ích xã hội dư thừa. Đường trước nhà rộng 2 ô tô tránh đỗ, trải nhựa sạch đẹp. Gần nhà nhiều dự án như Ga xe lửa Gia Lâm quy hoạch làm trung tâm Thương Mại do Vin Group đầu tư, cách 50m đã phê duyệt xây chung cư. Cách vườn hoa Ngọc Lâm 300m.

+ Sổ vuông đẹp, giao dịch ngay. Sổ 36m2, từ tầng 2 đua thành 46m2.
* Hỗ trợ vay vốn ngân hàng lên đến 80% giá trị tài sản.
* Cam kết ảnh thật, thông tin thật 100%.
+ Liên hệ ngay để được Tư Vấn và Xem nhà MIỄN PHÍ.
",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822517.9458735, 4,
"1,2 ngàn VNĐ","Cổ Đông,Sơn Tây,Hà Nội", 60m2, 6, 7, 1, 1,"-QL21A là điểm kết nối giữa 3 vệ tinh Xuân Mai,Sóc Sơn,Hòa Lạc. Trong 3 vệ tinh thì Hòa Lạc có quy mô lớn và bài bản nhất-Đối diện là sân golf Đồng Mô,Đảo Đồng Mô-Cách ngã 4 Lục Quận chỉ 1km-Cách điểm du lịch tâm linh chùa Khai Nguyên chỉ 700m-Cách CNC và làng DHQG chỉ 5p đi xe-Ăn theo đc cả CNC,và làng DHQG thị xã Sơn Tây(đến năm 2024 sẽ lên thành phố)Liên hệ :0855216669/0387507522",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822518.9491894, 1,
"4,3 tỷ VNĐ",Đường Hoàng Văn Thái phường Khương Trung, 52m2, 4, 2, 5, 4,"-Chủ đã mua nhà trên phố cho con cần  bán gấp nhà Hoàng Văn Thái ,ở luôn. - Diện tích 50m,mặt tiền 10m - Tiện ích ngập tràn từ chợ, trường học các cấp, bệnh viện, trung tâm mua sắm ..., giao thông thuận, an sinh đỉnh. - Thiết kế: 5 tầng, đầy đủ công năng sử dụng. -Chủ mới vào ở luôn. * Tầng 1: Khách, bếp, Wc. * Tầng 2,3,4: Mỗi tầng 1 phòng ngủ rộng , Wc . * Tầng 5: Phòng thờ, sân phơi. - Sổ đỏ: Chính chủ, sẵn sàng giao dịch. - Giá  4.3 tỷ -Liên hệ EM TRANG để được xem nhà và tư vấn miễn phí.",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822520.1160684, 4,
"11,25 tỷ VNĐ",Khu đấu giá 31ha -Trâu Quỳ - Gia Lâm - Hà Nội, 90m2, 6, 11, 4, 4,"- Chính chủ cần tiền vào biệt thự Vinhomes Ocean Park 2 bán nhanh căn Shophouse Thuận An – Hải Phát tại khu đấu giá 31ha trung tâm thị trấn Trâu Quỳ - Gia Lâm – Hà Nội. - Tọa lạc tại vùng lõi phát triển của thị trấn và quận trong tương lai gần tập trung mọi tiện ích trong bán kính 500m không thiếu thứ gì: bệnh viện Gia Lâm, trường học các cấp từ mẫu giáo đến đại học, khối hành chính huyện, trung tâm giải trí nhà hàng café san sát,….. - Giao thông vô cùng thuận tiện quy hoạch đô thị phân lô bàn cờ, thuận tiện di chuyển khắp mọi nơi: Cửu Việt, Thành Trung, Ngô Xuân Quảng, Nguyễn Khiêm Ích,…..cạnh chung cư Blue Star, hồ điều hòa 9ha, UBND huyện,…dân cư đông đúc kinh doanh tấp nập ngày đêm. - Nhà xây kiên cố 3 tầng 1 tum thiết kế hiện đại phù hợp vừa ở vừa kinh doanh, đường trước nhà 11m vỉa hè rộng rãi, đã hoàn thiện mặt ngoài, có hố chờ thang máy,mặt tiền rộng 6m,… - Sổ đỏ chính chủ, pháp lý chuẩn thủ tục nhanh chóng dễ dàng, giá đầu tư 11.250 tỷ tốt nhất ở thời điểm hiện tại và rất hợp lý so với shophouse Sông Hồng, Euro Window, Metropolitan,…. Liên hệ xem nhà đất  và biết thêm thông tin chi tiết E.Nhật 0982852808, 0948584888",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822521.182271, 4, Tây bắc
5 tỷ VNĐ,mỗ lao, 55m2, 4,, 4, 4,"+ Bán nhà. Phố Lụa, Hà Đông. Ô tô Kinh Doanh 55m2 x 4 tầng. mặt tiền 4.2m. Giá 5.98 tỷ.  TRUNG TÂM HÀ ĐÔNG - NGÕ THÔNG - 2 THOÁNG TRƯỚC SAU - NHÀ ĐẸP Ở NGAY  Mô tả: + Trung tâm Hà Đông, ngõ thông các ngả, trước nhà đường trải nhựa sạch sẽ, ngõ 3 gác tránh xe máy, tiện ích xung quanh ngập tràn. + Nhà gần đường Vạn Phúc giao với các đường Quang Trung, Tố Hữu, Đại Mỗ. Nhà gần siêu thị Bigc Hà Đông, chợ Hà Đông, Các trường Đại học lớn như Đại Học Kiến Trúc, Học Viện Bưu Chính Viễn Thông. Giaoa thông thuận tiện, an ninh an toàn. + Nhà chủ tự xây 4 tầng kiên cố chắc chắn, nhà 2 thoáng trước sau, phòng nào cũng có cửa sổ thoáng mát, khách mua chỉ việc xách vali đến ở ngay. Thiết kế 4 tầng: + Tầng 1: Sân để xe, phòng khách, bếp ăn. + Tầng 2,3: Mỗi tầng 2 phòng ngủ rộng và vệ sinh. + Tầng 4: Phòng thờ, sân phơi.   + Sổ đỏ vuông đẹp, sẵn sàng giao dịch,  LH: E KHÁNH: 0988960891  ",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822522.275557, 3,
"2,45 tỷ VNĐ",Nghĩa Lộ- Yên Nghĩa, 35m2,,, 4, 4,"Mô tả: + Cần bán nhanh nhà Nghĩa Lộ-Yên Nghĩa 35m2*4tầng chỉ 2,xtỷ nhà đẹp tuyệt vời chỉ xách Vali về ở ngay + Cách 1 nhà ra mặt phố-ô tô qua- khu vực rất sầm uất , người qua lại tấp lập, nhưng nơi ở thì yên tĩnh,an ninh, an sinh tuyệt vời + các tiện ích xung quanh vô vàn thuận tiện cái gì cũng có chỉ vài bước chân ra tới chợ ,trường học + sổ đỏ vuông đẹp chính chủ sẵn sàng giao dịch + giá chào 2,45tỷ(có thương lượng)+ Gọi ngay Mrs Hương Chuyên bán và nhận ký gửi nhà đất thổ cư Hà Đông. ",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822523.6129782,,
,"Thiên mã, Cổ Đông, Sơn Tây, Hà Nội", 65m2, 5, 10,,,"Giá chỉ hơn 900 ngay sát QL21, khu đô thị Thiên Mã.- Sẵn sổ đỏ, full thổ cư.- Điểm kết nối giữa 2 khu siêu đô thị vệ tinh Hoà Lạc và Sơn Tây.- Cách QL21 chỉ 200m.- Cách khu đô thị Thiên Mã chỉ 500m.- Cách sân golf, Di lịch Hồ Đồng Mô chỉ 900m.- Cách trục hồ Tây Ba Vì 1.5km.- Gần ngã 3 chợ Hoà Lạc.- Cách khu CNC cao 10p đi xe.- Tiếp giáp với QL21A dễ dàng kết nối trọng điểm trung tâm Hà Nội.Hạ tầng hoàn thiện:- Mặt tiền rộng từ 5~11m.- Diện tích từng lô chỉ từ 60~80m2.- Thế đất vuông vắn, nở hậu.- Đường nội khu 6m (2 ô tô tránh nhau thoải mái).- Hạ tầng đồng bộ (sẵn đường ống dẫn nước, đã kéo đường điện vào nội khu).- Sẵn hàng cây xanh trải khắp nội khu.* Hòa Lạc không chỉ là đất vàng, mà còn là tương lai.- Liên hệ 0978862329 Mr Hoàng",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822525.1209874,,
"33,8 triệu VNĐ/m2","Đường Võ Chí Công, quận Tây Hồ, Hà Nội", 168.1m2,,,, 3,"
    
Bán căn hộ 3 phòng ngủ 168,1m Udic Westlake Tây Hồ .


Vị trí : Võ chí công , Tây Hồ , Hà nội.


Diện tích : 168,1m2


Thiết kế : 3 phòng ngủ, 2 Wc , cửa Đông Bắc, Ban công Tây Nam


Nội thất cơ bản chủ đầu tư ( như ảnh )


Tiện ích của CC Udic Westlake :


- Trung tâm thương mại, bể bơi 4 mùa, sân cộng đồng, bể bơi, gym, khu thể thao, khu vui chơi trẻ em ,khu thể chất ngoài trời,…


- Miễn 2 năm phí dịch vụ


Giá bán :5,7 tỷ


Liên hệ EM Vân Anh: 0977568223

",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822526.5825477, 2, Đông bắc
