price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"8,2 tỷ VNĐ",Lý Thường Kiệt - Hà Đông, 50m2, 5,"Kinh doanh ô tô vỉa hè mặt phố Lý Thường Kiệt, Hà Đông, 50m MT 5m hơn 8 tỷ Chị tôi cần bán mảnh đất đẹp tại mặt phố Lý Thường Kiệt, Hà Đông với thông số đẹp hiếm diện tích 50m mặt tiền khủng 5m xây toà nhà 7 tầng thang máy vừa ở kết hợp kinh doanh văn phòng đẹp hết ý, đường rộng phân lô vỉa hè ô tô tránh. Vị trí đắc địa song song trục chính Quang Trung gần nhà thi đấu, Quận uỷ, bộ công an, chợ đầu mối 365, ngân hàng siêu thị hưởng trọn tiện ích Khu đô thị Văn Phú. Giao thông đi các tuyến phố chính Hoàng Đôn Hoà cắt Trần Đăng Ninh sang Hà cầu đối diện Ngô Thì Nhậm vài bước ra Lê Trọng Tấn. Sổ vuông sẵn sàng giao dịch Giá: 8.2 tỷ ( gia lộc). Liên hệ : Huyền Ba La Sat Thổ cư ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn. ",19/11/2022,Tin thường,batdongsan_so_com_vn_1673786965.6458874,,,,,
7 tỷ VNĐ,LK La Khê, 50m2, 3,"Lk là khê hà đông 50m 5 tầng 6 ngủ phân lô ô tô vỉa hè đường to giá 7 tỷNhà gần nhiều khu đô thị lớn như Dương Nội, Văn Khê, Part city... - Giáo thông thuận tiện với trục Tố Hữu, Lê Trọng Tấn.- Nhà được thiết kế 5 tầng với đầy đủ công năng sử dụng.+ Tầng 1: Gaza, bếp, vs.+ Tầng 2,3,4: Tổng 6 ngủ,3 vs.Tầng 5: Phòng thờ, Sân phơi.- Sổ đỏ phân lô vuông đẹp.- Liên hệ: 0819508701 để biết thêm thông tin, xem nhà miễn phí.",19/11/2022,Tin thường,batdongsan_so_com_vn_1673786967.1747973, Đông nam, 12, 5, 6, 4
"39,7 tỷ VNĐ",LÊ THANH NGHỊ HAI BÀ TRƯNG HÀ NỘI, 100m2, 8,"- Diện tích 100m2 X4 Tầng. Mt 8m Giá bán 39.7 tỷ ( có thương lượng ) - vị trí siêu VIP đẹp nhất phố, trung tâm quận Hai Bà Trưng, kinh doanh bất chấp mọi loại hình. Vỉa hè rộng!  - Nhà lô góc 3 mặt tiền: 1 mặt phố Lê Thanh Nghị, 2 mặt ngõ đều là ngõ ô tô tránh.  - Hiện trạng nhà có thể kinh doanh ngay, hoặc tương lai  tòa nhà siêu hiện đại kinh doanh bất chấp mọi loại hình, trung tâm mua sắm!  Thiết kế:  - Tầng 1 thông sàn kinh doanh- Tầng 2,3,4 xây lệch tầng, tổng 4 phòng ngủ.  - Sổ đẹp cất két sẵn sàng giao dịch!ACE có nhu cầu liên hệ em Quân để được tư vấn và xem nhà! 0385 94 1802 Miễn ( TG Quảng Cáo )",19/11/2022,Tin thường,batdongsan_so_com_vn_1673786968.7386138,,,,,
"18,5 tỷ VNĐ",phường bưởi, 66m2,,"NHÀ ĐẸP ĐÓN TẾT PHỐ ĐỒNG CỔ DT 66M2*6 MT 6.2M. NHỈNH 18 TỶ TÂY HỒ LH 0962745289+ Vị trí lô góc mặt phố Đồng Cổ, vỉa hè ô tô vào nhà. Nhà mặt tiền rộng hiếm có, kinh doanh bất chấp, 50m ra Hồ Tây lộng gió tập thể dục, ô tô tránh và dừng đỗ ngày đêm, thông khắp ngả. Tiện ích miễn bàn.+ Nhà dân xây kiên cố chắc chắn, thiết kế tỷ mỉ, nội thất xin sò đắt đỏ. Chủ nhà gia thế bán về ở với con.Tổng 5 ngủ đầy đủ công năng sử dụng. Nhà rất mới mua về ở ngay đón Tết. +   Sổ đỏ cất két giao dịch trong ngày.+ Giá có thương lượng.+ Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn. + Tư vấn 24/7.",19/11/2022,Tin thường,batdongsan_so_com_vn_1673786969.8935254,,,,,
"18,5 tỷ VNĐ",phường bưởi, 66m2,,"NHÀ ĐẸP ĐÓN TẾT PHỐ ĐỒNG CỔ DT 66M2*6 MT 6.2M. NHỈNH 18 TỶ TÂY HỒ LH 0962745289+ Vị trí lô góc mặt phố Đồng Cổ, vỉa hè ô tô vào nhà. Nhà mặt tiền rộng hiếm có, kinh doanh bất chấp, 50m ra Hồ Tây lộng gió tập thể dục, ô tô tránh và dừng đỗ ngày đêm, thông khắp ngả. Tiện ích miễn bàn.+ Nhà dân xây kiên cố chắc chắn, thiết kế tỷ mỉ, nội thất xin sò đắt đỏ. Chủ nhà gia thế bán về ở với con.Tổng 5 ngủ đầy đủ công năng sử dụng. Nhà rất mới mua về ở ngay đón Tết. +   Sổ đỏ cất két giao dịch trong ngày.+ Giá có thương lượng.+ Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn. + Tư vấn 24/7.",19/11/2022,Tin thường,batdongsan_so_com_vn_1673786971.0614028,,,,,
"11,8 tỷ VNĐ","Đường Láng Hạ, Láng Hạ, Đống Đa", 60m2,,"- Nằm tại vị trí đoạn Láng Hạ giao với Huỳnh Thúc Kháng – Láng, an ninh tốt, dân trí cao, ngõ ô tô vỉa hè chạy vòng quanh. Thuận tiện di chuyển Xã Đàn, Ô Chợ Dừa, La Thành, Nguyễn Chí Thanh, Láng Hạ, Giảng Võ, Hào Nam, Ngã Tư Sở …. - Diện tích sổ 60M, thiết kế xây 5Tầng, 2 mặt thoáng phòng ngủ nào cũng có cửa sổ đón sáng và gió tự nhiên, chủ nhà tự thiết kế 5PN có gara để ô tô, ngõ thông kinh doanh. Mặt ngõ kinh doanh tốt các loại hình văn phòng, spa, phòng khám, trung tâm tiếng anh, thẩm mỹ viện … - Giá 11.8 tỉ còn thương lượng Sổ đỏ phân lô vuông vắn sẵn sàng giao dịch. Liên hệ anh Thành 0373019999 chuyên nhà phân lô Đống Đa. Miễn trung gian, môi giới và báo mạng làm phiền.",19/11/2022,Tin thường,batdongsan_so_com_vn_1673786972.1105933,, 5, 5, 5, 3
68 ngàn VNĐ,"Đường Quang Tiến, Tây Mỗ, Nam Từ Liêm", 41m2, 5,"+ Chủ nhà cần bán mảnh đất đẹp nhất mặt phố quang tiến mặt đường rộng 40m vỉa hè rộng 41 m2 giá 6.8 tỷ. + Vị trí mặt đường ô tô tránh, Vin sắp mở nốt đường bên đối diện. Nhà mình ra mặt phố đường 4 ô tô tránh. + Đã có nhà cấp 4 cũ xác định bán đất.  + Sổ đẹp, sẵn sàng giao dịch  + LH:Hoàng Bắc, chuyên nhà đất Hà Nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",19/11/2022,Tin thường,batdongsan_so_com_vn_1673786973.2066605,, 30, 1, 1,
71 triệu VNĐ,"Đường Đội cấn, Đội Cấn, Ba Đình", 70m2, 4,"
    
CHỦ CẦN BÁN CĂN NHÀ TẠI TRUNG TÂM BA ĐÌNH.
- Ngõ 135 Đội Cấn rộng như phố, thông Ngọc Hà, Hoàng Hoa Thám. Nhà gần hồ Đầm Tròn.

- Diện tích rộng 70m, mặt tiền đẹp. Nhà thiết kế 4 tầng khung cột chắc chắn, thoáng 2 mặt trước sau.

- T1: Sân để xe, phòng khách, bếp, wc.
- T2,3: Mỗi tầng 2 phòng ngủ, wc.
- T4: Phòng thờ, sân phơi.

- Nhà xây chắc chắn, còn đẹp, khách mua về ở ngay, không gian cực kỳ thoáng ở rất sướng.

- Sổ đỏ vuông đẹp sẵn sàng giao dịch.
",19/11/2022,Tin thường,batdongsan_so_com_vn_1673786974.206985,, 3, 4, 4, 3
"6,85 tỷ VNĐ","Đường Tố Hữu, Mộ Lao, Hà Đông", 45m2, 4,"Bán gấp, thương lượng sâu nhà Trung Văn, Mỗ Lao- Hà Đông, ô tô vào nhà, kinh doanh tốt, mặt tiền rộng, full nội thất cao cấp, thang máy chạy vèo vèo, cho thuê văn phòng rất phù hợp. - Dt: 45m, xây dựng 43m, MT 4m, xây có thiết kế. - Tầng 1 thông sàn, cho thuê hoặc gara ô tô+ WC. - Tầng 2,3, mỗi tầng 1 phòng rộng thênh thang, đồ xịn xò. - Tầng 4 1 ngủ và phòng thờ. - Tầng 5 bếp, sân phơi, khu thể thao thể dục của gia đình. - Thiết kế siêu tiện ích, thang máy chạy êm ru. - Vị Trí quá đắc địa, ngõ nông, thông, đường rộng, xe ô tô chạy vèo vèo. - Gần trường Cao Đẳng Xây Dựng. nằm cạch Stabucks Seasons Avenue. - cách UBND phường Mỗ Lao 500m. - Đi qua tào CT4 Booyoung Vina Mỗ Lao. - Gần tòa TSQ EuroLand Bullding. -Hưởng chọn kiến trúc thượng tầng và cơ sở hạ tầng của khu đô thị Mỗ lao. - bán kính 500m đầy đủ các trường Mầm non, TH, THCS, THPT Quốc tế. - Nơi đáng sống bậc nhất quận Hà Đông. - Cần bán gấp, miễn trung gian. - Giá chỉ 6,85 tỷ- thương lượng sâu, bao sang tên sổ đỏ, hỗ trợ vay vốn mngaan hàng 70% giá cực ưu đãi. - Lh Ms Hằng 0988183187 zalo- 0944723177",19/11/2022,Tin thường,batdongsan_so_com_vn_1673786975.4416893,, 3, 5,,
,"Đường Quốc lộ 32, Tân Lập, Đan Phượng", 77m2,,"Bán đất Lô góc ngã 4 - Dự án Khu đô thị Tân Tây Đô, Đường Quốc lộ 32, Xã Tân Lập, Đan Phượng, Hà Nội - Bán lô góc ngã 4 Khu Đô Thị Tân Tây Đô - Diện tích: 77 m² - Giao thông thuận lợi đi lại dễ dàng. - Vị trí trung tâm mật độ dân cư cao, thuận lợi cho nhu cầu xây dựng định cư lâu dài. - Pháp lý đầy đủ, thủ tục sang tên nhanh chóng, sổ đỏ chính chủ, không tranh chấp, không vướng quy hoạch giải toả! - Phù hợp với nhu cầu đầu cơ, tích trữ.  - Tiềm năng lớn: đất luôn tăng giá theo tình hình hiện tại chung của BĐS của khu vực, bảo đảm sinh lời. - Giá thỏa thuận. LH: 0962 926 502",19/11/2022,Tin thường,batdongsan_so_com_vn_1673786976.7212594,,,,,
