price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số toilet
39 tỷ VNĐ,"Phố Lê Thanh Nghị, Phường Đồng Tâm", 108m2, 5, 22, 3, 4,"Mô tả: + Nhà 2 mặt thoáng, 1 mặt phố, 1 mặt ngõ. + Vị trí đẹp nhất phố Lê Thanh Nghị, vỉa hẹ rộng, thoáng, sát trường Đại Học Bách Khoa, chợ Bách Khoa, gần trường Đại Học KTQD, Xây Dựng, gần Bệnh viện Bạch Mai….. + Vô vàn tiện ích, kinh doanh sầm uốt, sinh lợi nhuận cao. + Giá chào 39tỷ,  Có thương lượng. + Diện tích 108m2. + Sổ đỏ sắn giao dịch. + Liên hệ : Nguyễn Dương  0825920555.",27/05/2022,Tin thường,batdongsan_so_com_vn_1673822910.6205168,
"5,45 tỷ VNĐ",Đường Trung Kính phường Yên Hòa, 41m2, 3, 2, 4, 3,"
    -Nhà chủ tự xây cách đây khoảng 10 năm, vô cùng chắc chắn, toàn bộ nội thất là gỗ thịt và cửa hãng Eurowindow nhập khẩu. Nhà có giếng trời rất thoáng, ánh sáng ngập tràn.có thể lắp thang máy.
-Nhà có thể đi vào bằng nhiều đường, ace hãy chọn đường hái hoa đẹp nhất.
-Vị trí trung tâm , tiện ích không cần bàn.Ngay gần sân bóng Trung Kính Hạ, Trường TH Trung Yên...
-Thiết kế lệch tầng tổng có : 3 phòng ngủ + 3 vệ sinh + 1 Phòng Thờ + Sân phơi, khu giặt
-Sổ đỏ nở hậu 2cm
- Giá 5,45 tỷ ( thương lượng)
",27/05/2022,Tin thường,batdongsan_so_com_vn_1673822912.1943073, 3
"10,95 tỷ VNĐ",Đường Phan Kế Bính phường Cống Vị, 32m2,, 7, 5, 3,"Nhà mặt phố Phan Kêì Biình 32m2x5T,đường to, vỉa hè rộng, vị trí đẹp, kinh doanh mọi loại hình. Thiết kế:  - Tầng 1: Kinh doanh, bếp, wc. - Tầng 2: 1 phòng ngủ rộng,bếp, wc. - Tầng 3: 1 phòng ngủ rộng, wc. - Tầng 4: phòng thờ + wc. - Tầng 5: sân phõi. - Giao thông thuận tiện đi lại các phố: Býởi, Văn Cao, Đốc Ngữ, Linh Lang,Liễu giai, Kim Mã, Võ Chí Công,. - Tiện ích: 5p ra TTTM Lotte, 6p ra Công viên Thủ Lệ, 7p ra Hồ Tây, 30p ra sân bay Nội Bài. - Gần các trýờng: Hoàng Diệu, Nguyễn Bá Ngọc, Thực Nghiệm.  - Gần Các trýờng Đại học: Giao thông vận tải, Đại học văn hóa, Trường sý phạm, báo chí, Quốc Gia. - Gần bệnh viện 354, Bệnh viện phổi. - Khu vực nhiều khách nýớc ngoài thuê; - Pháp lý chuẩn, Sổ đỏ chính chủ, giao dịch phút mốt, thanh khoản tốt. - Rất Phù hợp kinh doanh; - & Bạn quan tâm dòng tiền? Nhấc máy lên Ngay Alo Anh Tú (Bạn do dự ngýời khác đã chốt cọc).",27/05/2022,Tin thường,batdongsan_so_com_vn_1673822913.2345243, 3
"2,45 tỷ VNĐ",322 Mỹ Đình, 40m2, 4,,,,"+ Thua bóng chủ cần bán gấp nhà Mỹ Đình, Nam Từ Liêm, diện tích 40m2 X 3 tầng, mặt tiền 4.3m.+ Vị trí: Nằm ngay trung tâm Quận Nam Từ Liêm, gần bến xe Mỹ Đình, xung quanh nhà hàng quán, tiện ích không thiếu một thứ gì. + Dân cư đông đúc, nhu cầu thuê nhà rất cao, đặc biệt là hộ gia đình nhỏ và sinh viên.+ Liên hệ ngay em ĐỨC ANH để xem nhà- 0975517689",27/05/2022,Tin thường,batdongsan_so_com_vn_1673822914.5789273,
2 ngàn VNĐ,Đường Bạch Đằng phường Bạch Đằng, 25m2, 35, 3, 4, 3,"Mô tả:    - DT 25M - Giá 2,2 Tỷ   - vị trí trước nhà ngõ ba gác tránh,thông các ngả,đi lại cực thuận tiện.   - 5 phút lên bờ hồ Hoàn Kiếm.  Thiết kế:   - Tầng 1: chỗ để xe, phòng khách, wc.   - Tầng 2,3 phòng ngủ ,wc   - Tầng 4: Sân phơi thoáng sáng  Sổ đỏ: sẵn sàng giao dịch LH: E Huệ: 0916598191",27/05/2022,Tin thường,batdongsan_so_com_vn_1673822915.7019246, 4
"23,5 tỷ VNĐ",Đường Ngô Gia Tự phường Long Biên, 130m2, 4, 35, 3, 4,"Chủ nhà cần bán gấp căn nhà Mặt phố cực hiếm : Ô tô, kinh doanh, diện tích 130m2, 3 tầng, mặt tiền 4,5 m, giá nhĩnh 23 tỷ (có thương lượng). + Nhà nằm vị trí đẹp nhất phố Ngô Gia Tự, mặt trước vỉa hè rộng 15m, mặt sau là ngõ ô tô tránh. + Nhà 3 tầng vẫn còn sữ dụng tốt, hiện chủ đang kinh doanh tạp hóa rất đông khách, cho thu nhập dòng tiền đều trên 60 triệu/ tháng.  + Sổ đỏ nở hậu, cất két sẵn sàng giao dịch + Khu dân trí cao, phát triển từng ngày. ",27/05/2022,Tin thường,batdongsan_so_com_vn_1673822916.7341611, 4
"1,7 tỷ VNĐ","Xóm Nhì, Vân Nội , Đông Anh", 43m2, 4,,,,"+ Chủ nhiều tài sản bán bớt đất xóm Nhì, Vân Nội, Đông Anh, ngõ thông ô tô tránh.       + Thửa đất vuông vắn, nở hậu, 43m, mt 4m, thoáng , ngõ bê tông sạch sẽ. + Tiện ích xung quanh bạt ngàn, gần chợ Rau Vân Trì, Siêu Thị, Thế Giới Di Động, UBND, trường học cấp 1,2,3 Vân Nội. + Cách TT Thị Trấn Đông Anh , BV Đa Khoa Đông Anh, Cơ quan hành chính Đông Anh 2km. + Gần đường Võ Nguyên Giáp đi TT Hà Nội , sân bay Nội Bài chỉ 15 phút, vô cùng thuận tiện + Khu dân cư đông đúc, dân trí cao, rất đáng mua ở hay đầu tư giữ tiền , gia tăng tài sản. + Gần khu đô thị Cổ Dương, trường Quốc Tế , tương lai vô cùng tươi sáng. + Pháp lý chuẩn, sổ đỏ cất két,sẵn sàng giao dịch. + Giá đầu tư vô cùng hấp dẫn, (Miễn Trung Gian & Môi Giới ). + LH :  0889995548/0915126183 Đồng Thái Dự  (BĐS Thổ Cư)",27/05/2022,Tin thường,batdongsan_so_com_vn_1673822917.8222506,
"5,7 tỷ VNĐ",Đường Định Công Thượng phường Định Công, 46m2,,,,,"ĐẤT HOÀNG MAI - PHÂN LÔ QUÂN ĐỘI, LÔ GÓC 3 THOÁNG – 7 CHỖ VÀO NHÀ, NGÕ OTO TRÁNH nh đấp, lô góc, ôtô, ngõ thông, vuông vức....An sinh đỉnh, giao thông thuận tiện, sầm uất * Giá cần bán gấp: Liên Hệ: 0373556389",27/05/2022,Tin thường,batdongsan_so_com_vn_1673822918.8514981,
"6,5 tỷ VNĐ","Phan Đình Giót, La Khê, Hà Đông, Hà Nội", 48m2,, 8, 1, 2," # Bán nhà  mặt phố Phan Đình Giót, Hà Đông, Hà Nội. Căn góc đường ô tô tránh, kinh doanh tấp nập. DT 48m, giá chỉ trên 130 tr/m. + Vị Trí: đắc địa kinh doanh trục chính mặt phố Phan Đình Giót phường La Khê quận Hà Đông. + Tiện ích: nằm cạnh KĐT Văn Khê, KĐT Dương Nội, KĐT Park City, Trường C1,2, Chợ...trung tâm phố tiện ích. + Giao thông: di chuyển Lê Trọng Tấn, Ngô Quyền, Tố Hữu, Quang Trung, Trần Phú, Nguyễn Trãi quận Thanh Xuân vô cùng thuận lợi. + Nhà C4  chủ xác định bán đất chủ mới mua về xây tòa nhà Văn Phòng..hoặc vừa ở vùa kinh doanh thì dẹp lắm. + Giá chỉ 6.5 tỷ. ( Có thương lượng  ) + Sổ vuông đỏ đẹp chính chủ, sang tên nhanh. # HotLine: 0983858722 Tình nhà phố ( chuyên bán và nhận ký gửi nhà đất quận Hà Đông – Hà Nội ).",27/05/2022,Tin thường,batdongsan_so_com_vn_1673822919.948003,
"6,3 tỷ VNĐ",Đường Nguyễn Văn Huyên phường Quan Hoa, 35m2,, 1, 6, 8,"I.Sổ đỏ chính chủ,sẵn sàng giao dịch ngay.-Diện tích tầng 1 30m2,từ tầng 2 35m2-Tầng 1:Thông sàn Kinh doanh-Tầng 2,3,4,5:Thông sàn(phòng ngủ rộng)-Tầng 6:Phòng thờ,sân phơiII.Vị trí trung tâm kết nối.-Vừa để ở,vừa kinh doanh hoặc cho thuê hoàn hảo-Vị trí trung tâm,thuận tiện đi lại,kinh doanh sầm uất-Ngõ rộng,thông ra Nguyễn Văn Huyên,oto qua nhà thoải mái GIÁ TỐT VÀ ĐẢM BẢO NHẤT KHU VỰC!                                             NHANH TAY LIÊN HỆ EM VƯỢNG NGAY ĐỂ ĐƯỢC TƯ VẤN VÀ XEM NHÀ MIỄN PHÍ! ",27/05/2022,Tin thường,batdongsan_so_com_vn_1673822921.0700011, 8
