price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền
"5,75 tỷ VNĐ","Đống Đa,Hà Nội", 32m2, 5, 3, 3,"Vị trí: Nhà lô góc 2 thoáng, ngõ to rộng oto đỗ cách nhà 5m, 30m ra Hồ, 200m ra BV Phụ sản Hà Nội, ĐH Ngoại Thương, Ngoại Giao, TTTM...Tiện ích, an sinh đủ đường. Nhà đẹp không có gì để mô tả thêm . Sổ nở hậu,sẵn sàng giao dich. Liên hệ 0966682624. ",09/01/2022,Tin thường,batdongsan_so_com_vn_1673833173.8571298,
"5,1 tỷ VNĐ",Đống Đa, 36m2, 5, 6, 4,"- Ô tô mấy bước chân, trung tâm Chùa Bộc - Tôn Thất Tùng. - Chủ xây tâm huyết, nhà xây cao, cửa rộng. - Đặc biệt nhiều phòng, ở và kết hợp cho thuê đều tốt. - Cầu thang giữa, tầng 2 phòng, 5 tầng cao vút. - Sổ vuông đẹp không lỗi lầm. Liên hệ 0966682624.",09/01/2022,Tin thường,batdongsan_so_com_vn_1673833175.0908296, 3
"6,35 tỷ VNĐ",Trần Phú- Hà Đông, 61m2,,,,"Bán gấp nhà đẹp Trần Phú, Hà Đông, ngõ thông, ô tô tránh, 61m2, nhỉnh 6 tỷ Phố Trần Phú- Văn Quán, Hà Đông khu vực đáng sống bậc nhất, nổi tiếng môi trường trong lành gần hồ, dân trí cao quan chức về đây tụ họp rất nhiều như quần long tụ tụ, gần siêu thị, xung quanh đầy đủ tiện ích không thiếu thứ gì. Nhà bán rất đẹp chủ tự thuê thiết kế, phong cách Châu Âu hiện đại, nội thất xịn đẳng cấp, khu vực rất hiếm nhà bán, không có căn thứ 2, các phòng thoáng sáng đầy đủ công năng, vài bước chân ra phố. Giao thông thuận lợi di chuyển các phố: Phùng Hưng, Chiến Thắng, Nguyễn Khuyến, Yên Phúc, Yên Xá, Thanh Bình, Yết Kiêu,gần bến xe bus, bệnh viện lớn, ngân hàng, trường học các cấp... Giá: 6.35 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ: Em Huyền ( Cháu gái chủ nhà) 0965472910- 0363703491- Miễn trung gian.",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833176.1081088,
"4,25 tỷ VNĐ",La Khê- Hà Đông, 50m2, 4,,,"Tôi cần bán nhà 50m, 4 tầng, nhỉnh 4 tỷ, ngõ thông, nở hậu, La Khê, Hà Đông. - Cần bán nhà đẹp vị trí đắc địa sầm uất bậc nhất Hà Đông, gần chợ Bông Đỏ, thông sang Ngô Thị Nhậm, Quang Trung, Tố Hữu, Ngô Quyền, Văn Khê. - Ngõ rộng thoáng, thông tứ tung, dân cư đông đúc, hàng xóm thân thiện, văn minh. Chủ nhà tự mua đất xây nhà rất mới ở vài năm, tổng 6 phòng ngủ rộng, đất nở hậu, nhà đẹp nhất khu tầm tiền hiếm không có căn thứ 2. - Chủ nhà làm ăn phát nay chuyển sang ở biệt thự nên cần bán gấp trước tết. Con cháu đuề huề, nhà rất có lộc. - Giá:  4.25 tỷ ( có thương lượng). - Sổ đỏ vuông, sẵn sàng giao dịch. - Liên hệ xem nhà : 0965472910.",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833177.1523142,
"6,3 tỷ VNĐ",Vạn Phúc- Hà Đông, 60m2,,,,"Bán nhà trước tết Vạn Phúc, Hà Đông, ngõ thông, ô tô, 60m2, nhỉnh 6 tỷ Phố Vạn Phúc, Hà Đông khu vực đáng sống bậc nhất, nổi tiếng môi trường trong lành, dân trí cao quan chức về đây tụ họp rất nhiều như quần long tụ tụ, gần siêu thị, xung quanh đầy đủ tiện ích không thiếu thứ gì. Nhà bán rất đẹp chủ tự thuê thiết kế, phong cách Châu Âu hiện đại, nội thất xịn đẳng cấp, khu vực rất hiếm nhà bán, không có căn thứ 2, các phòng thoáng sáng đầy đủ công năng, vài bước chân ra phố. Giao thông thuận lợi di chuyển các phố: Phùng Hưng, Chiến Thắng, Nguyễn Khuyến, Yên Phúc, Yên Xá, Thanh Bình, Yết Kiêu, Tố Hữu, gần bến xe bus, bệnh viện lớn, ngân hàng, trường học các cấp... Giá: 6.3 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ: Em Huyền ( Cháu gái chủ nhà) 0965472910- 0363703491- Miễn trung gian.",08/01/2022,Tin thường,batdongsan_so_com_vn_1673833178.2084885,
"6,5 tỷ VNĐ",Quang Trung- Hà Đông, 61m2, 5,,,"Nhỉnh 6 tỷ, gara ô tô, ngõ thông, nở hậu, 61m2x5 tầng, Quang Trung, Hà Đông Tôi cần bán nhà đẹp mới, ở ngay, nhà tự xây chắc chắn đầy đủ công năng sử dụng, phòng nào cũng có cửa sổ đón nắng gió với 5 tầng rộng đẹp nhất khu vực.Nhà thoáng trước thoáng sau, đường trước nhà ô tô tránh, sổ nở hậu tuyệt vời, thiết kế lệch tầng hiện đại. Ngõ rộng thông, ô tô vào nhà, vừa ở- kinh doanh hoặc cho thuê văn phòng quá Đỉnh, khu vực không có căn thứ 2. Giao thông di chuyển các phố: Vạn Phúc, Lê Lợi, Hà Cầu, Cầu Đơ, Lê Hồng Phong,... bến xe bus rất gần, vài bước ra phố. Xung quanh đầy đủ tiện ích: Trường học, chợ, siêu thị, bệnh viện, ngân hàng, trung tâm mua sắm sầm uất bậc nhất Hà Đông, không thiếu thứ gì, không ở đây quá phí.Hàng xóm toàn quan chức, khu văn minh, an ninh tuyệt đối. Giá: 6.5 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",08/01/2022,Tin thường,batdongsan_so_com_vn_1673833179.321511,
"4,2 tỷ VNĐ",Quang Trung- Hà Đông, 52m2, 4,,,"Nhỉnh 4 tỷ, ô tô, ngõ thông, 52m2, 4 tầng, Quang Trung, Hà Đông Chủ gửi bán nhà trước tết do nhu cầu mở rộng kinh doanh cần vốn gấp, nhà vị trí đẹp thuận tiện di chuyển các phố: Văn Phú, Cầu Đơ, Tố Hữu, Phan Đình Giót, Văn La, Ngô Thì Nhậm... Ngõ rộng thông, vài bước ra phố ô tô tránh, chủ nhà mua đất tự xây rất tâm huyết, các phòng thoáng sáng, nhà đẹp nhất khu, tầm tiền không có căn thứ 2. Xung quanh đầy đủ tiện ích: trường học các cấp, chợ, siêu thị, ngân hàng, gần chợ lớn Hà Đông, dân cư đông đúc, văn minh, ở rất tĩnh. Giá: 4.2 tỷ ( có thương lượng). Sổ đỏ chính chủ, pháp lý chuẩn. Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",08/01/2022,Tin thường,batdongsan_so_com_vn_1673833180.3727007,
"4,55 tỷ VNĐ","ĐỨC DIỄN ,NAM TỪ LIÊM", 71m2,,,,"Nhà 71m2 vuông vắn thông số vàng với mặt tiền rộng 6m, ô tô 7 chỗ vào nhà được. Ngõ rộng rãi thông các hướng Phú Diễn, Cầu Diễn, Văn Tiến Dũng, Hồ Tùng Mậu, Trịnh Văn Bô…. Xung quanh vô vàn tiện ích khi ngay gần chợ, trường học các cấp, hồ điều hoà, bể bơi, nhà thi đấu. Vị trí lô góc, đằng trước lại thoáng vĩnh viễn giúp không gian các phòng chức năng vô cùng thoáng sáng. Đất lộc, chủ ở mấy năm làm ăn phát đạt nay giao bán để dồn tiền mua nhà phố. Giá chào 4 tỷ 550 triệu (khách đàm phán trực tiếp với chủ). Sổ vuông đẹp cất két, sẵn giao dịch. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị liên hệ em Sơn (thổ cư) ngay để xem nhà và rất nhiều căn nhà khác hoàn toàn miễn phí: 0932382236",09/01/2022,Tin thường,batdongsan_so_com_vn_1673833181.6662817,
7 tỷ VNĐ,"Khương Mai, Thanh Xuân, Hà Nội", 45m2,,,,"Bán nhà mặt phố Nguyễn Ngọc Nại, Thanh Xuân, 45m, nhà đẹp, oto đỗ, nhỉnh 7 tỷ. Vị trí: Phố Nguyễn Ngọc Nại nằm trong khu phân lô cán bộ quân đội, dân trí cao. Tiện ích: Phân lô cán bộ nhà nước, dân trí cao, hàng xóm tốt bụng. Gần với các trung tâm thương mại Royal City, Lotte Mart, Big C Lê Trọng Tấn. Gần các trường đại học như đại học Y Hà Nội, đại học Thủy Lợi, Học viện Ngân Hàng, các bệnh viện Đại Học Y Hà Nội…vv Mô tả nhà: Nhà thiết kế 4 tầng đẹp. Tần 1 thông sàn tiện kinh doanh. Tầng 2 và 3: Mỗi phòng 2 ngủ. Tầng 4: 1 ngủ, phòng thờ. Giao thông: Phố Nguyễn Ngọc Nại thông Vương Thừa Vũ, Hoàng Văn Thái, Trường Chinh, Lê Trọng Tấn, Tô Vĩnh Diện..vv. tiện di chuyển các quận với Ngã Tư Sở. kế bên là Đống Đa. Pháp lý: Sổ đỏ đẹp sẵn sàng giao dịch. Lh: Hoàng 0902253303. Miễn trung gian môi giới!",09/01/2022,Tin thường,batdongsan_so_com_vn_1673833182.8231869,
"1,65 tỷ VNĐ",Vĩnh Hưng, 38m2, 3, 3,,"+ Cần bán nhà phố Vĩnh Hưng, nằm ở vị trí gần chợ, trường cấp 1,2 phố Vĩnh Hưng, mặt ngõ rộng, cách phố chỉ vài bước chân. + Nhà thiết kế hợp lý, móng nhà 5 tầng, vị trí đẹp, tầm tiền hiếm có căn thứ 2. + Diện tích 38m2, mặt tiền 5 mét rất thoáng mát. + Khu vực an ninh tốt, hàng xóm rất thân thiện, nhà đẹp khách về ở ngay đón tết. + Giá bán: 1 tỷ 650 triệu. + Liên hệ ngay: Minh Quang 0327085656 ( Thông tin chính xác - miễn phí xem nhà ) + Minh Quang chuyên tư vấn nhà đất thổ cư Hà Nội, hỗ trợ pháp lý, hỗ trợ vay vốn ngân hàng với lãi xuất thấp nhất.",09/01/2022,Tin thường,batdongsan_so_com_vn_1673833183.875378, 5
