price,address,Diện tích,Hướng,Mặt tiền,Lộ giới,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet
866 triệu VNĐ,"ân Thi, Hưng Yên", 75m2, Đông bắc, 4, 7,"✳ Bán đất ăn theo quy hoạch đô thị và khu công nghiệp lớn hàng nghìn hecta tại Hưng Yên chỉ từ 866tr/lô.⛳ Nằm ngay gần nút giao cao tốc Hà Nội- Hải Phòng chỉ 700m .💥 Diện tích từ 70m2 đến 80m2 .💥Giá đầu tư, tiềm năng sinh lời vượt trội chỉ từ : 866tr/lô💥 Đường nội khu giải asphalt rộng 5-7m. 💯Nằm trong vùng quy hoạch kcn và đô thị hàng nghìn hecta bán kính chỉ từ 1km☀️-Xung quanh là khối hành chính ủy ban, trường học, y tế… chỉ vài phút di chuyển💥Sở hữu hàng loạt tuyến đường trọng điểm như:💥Quốc lộ 38, quy hoạch đường mới Tân Phúc-đường tỉnh 387, 204, 382, đường huyện 61....📕Sổ đỏ lâu dài pháp lý an toàn tuyệt đối🧱Hạ tầng đồng bộ, mốc giới rõ ràng từng lô.",30/08/2022,Tin thường,batdongsan_so_com_vn_1673805303.4268668,,,
"4,3 tỷ VNĐ","Đội Cấn, Ba Đình, Hà Nội", 35m2,,,,"Vị trí trung tâm Ba đình, ngõ thoáng rộng sạch sẽ, khu vực dân trí cao, an sinh tốt, xung quanh tiện ích vô vàn. + Nhà thiết kế xây 6 tầng đẹp, chắc chắn, hiện đại. + Tầng 1: Để xe, bếp, WC. + Tầng 2: Phòng khách. Phòng ngủ, wc. + Tầng 3, 4: Mỗi tầng 2 phòng + WC. + Tầng 5: Phòng thờ, sân phơi. + Tầng 6: Khu trồng cây cảnh. + Sổ đỏ đẹp nở hậu, sẵn sàng giao dịch. LH: Em Tư để xem nhà!",30/08/2022,Tin thường,batdongsan_so_com_vn_1673805304.7423508, 6, 4, 4
"3,55 tỷ VNĐ","Giáp Nhị, Thịnh Liệt, Hoàng Mai, Hà Nội", 33m2,,,,"-Diện Tích 33m, Ngõ thông thoáng: Đẹp, gần ô tô vài bước ra phố, an sinh đỉnh. + Nhà đẹp khung cột bê tông chủ xây cực kì tâm huyết chắc chắn. Chủ tặng hết nội thất: Điều hoà, máy giặt, giường tủ…. chỉ việc về ở luôn. + Tầng 1: Phòng khách, bếp, Wc. + Tầng 2,3,4: Mỗi tầng 1 phòng ngủ, Wc. + Tầng 5: Phòng thờ, sân phơi. + Sổ đỏ chính chủ, sẵn sàng giao dịch. LH: Em Tư để xem nhà!",30/08/2022,Tin thường,batdongsan_so_com_vn_1673805306.5106199, 5, 4, 4
4 tỷ VNĐ,Đường Trương Công Giai phường Dịch Vọng Hậu, 500m2,,, 1,"BÁN NHÀ TRƯƠNG CÔNG GIAI, 50M x 3 TẦNG, LÔ GÓC, OTO QUA NHÀ, NỘI THẤT SIN, GIÁ 4 TỶ. - Nhà nên trên phố Trương Công Giai, khu phố sầm uất, thông thoáng. Đường xá sạch đẹp thuận tiện đi lại hiều nơi. - Xung quanh hàng xóm thân thiện, dân trí cao, gần chợ dân sinh, siêu thị, trung tâm thương mại. - Vài bước tới công viên cầu giấy, nhà có con nhỏ thích hợp đưa con đi chơi tại công viên, người già chiều chiều đi thể dục dưỡng sinh. - Sổ đổ chính chủ, sang tên nhanh chóng. - Liên hệ tư vấn xem nhà 24/7: 0389001010",30/08/2022,Tin thường,batdongsan_so_com_vn_1673805307.9168544, 3,,
4 tỷ VNĐ,Đường Chùa Hà phường Dịch Vọng, 45m2,,, 1,"CHÍNH CHỦ CẦN BÁN NHÀ TRÊN PHỐ CHÙA HÀ, 45M x 5 TẦNG, 3 GÁC PHÓNG, GIÁ NHỈNH 4 TỶ. - Nhà toạ lạc trên phố Chùa Hà khu khu vực xầm uất di chuyển thuận lợi nhiều nơi. Vài phút tới Chùa Hà – thuận tiện đi lễ vào ngày rằm. - Xung quanh nhiều tiện ích, khu vui chơi, khu trung tâm thương mại, gần công viên Nghĩa đô,… - Sổ đỏ chính chủ, sang tên nhanh gọn. - Khách hàng nhanh tay gọi ngay cho Mr, Tuấn để tư vấn pháp lý nhà ở và xem nhà và gặp chủ nhà 24/7: 0389001010 ",30/08/2022,Tin thường,batdongsan_so_com_vn_1673805309.580443, 5,,
29 triệu VNĐ/m2,"Thôn Quảng Minh, xã Mỹ Hưng, huyện Thanh Oai, Tp Hà Nội", 67.5m2, Nam,,,"- Mảnh đất 2 mặt thoáng vĩnh viễn, ô tô vào đất.- Diện tích: 67,5m2, hướng Nam.- Đường trước đất 3,5m, cách đất 5m ra đường 12m xe tải tránh nhau, đất cách khu đô thị Mỹ Hưng sắp triển khai 200m, cách KĐT Thanh Hà 2,5km, cách KĐT Xa La 5km, tiện ích xung quanh đầy đủ, dân cư đông đúc, phù hợp để an cư.- Sổ đỏ pháp lý rõ dàng.- Giá đầu tư.",30/08/2022,Tin thường,batdongsan_so_com_vn_1673805310.8839166,,,
"14,5 tỷ VNĐ",Đường Nguyễn Khả Trạc phường Mai Dịch, 52m2,, 4, 8,"mô tả : với diện tích 50m .MT 4M  -thiết kếT1 thông sàn kinh doanh tốt  T2.PK +BẾP –T3.4 .5PN  -đường phố rộng rãi kinh doanh gì cũng tốt hoặc làm văn phòng cty  -phố thông ra các đường trần vỹ ,doãn kế thiện ,phạm văn đồng  -khu vực phân lô giá tang theo từng ngày .rất ít nhà bán  -xung quanh bán kính 1km tiện ích vô vàn ,là trung tâm của các trường đại học danh tiếng ,chợ siêu thị trung tâm thương mại chỉ vài phút đi bộ  -sổ phân lô vuông vắn sẵn sàng đón chủ mới .giá 14.5 tỷ  Lh : 0935777266",30/08/2022,Tin thường,batdongsan_so_com_vn_1673805312.2442775, 5, 4, 5
"2,8 tỷ VNĐ",Ngọc Trì, 35m2,,,,"+ Nhà vị trí cực đẹp, oto 5 tạ chở cát đỗ cửa, sát chung cư Quân đội, thông ra phố Cổ Linh, vài phút di chuyển ra Aeon Mall, tiện ích không thiếu thứ gì... + Nhà tự xây, móng cột chắc chắn, lên tầng thoải mái. Chủ đã vôi ve như mới, chủ mới chỉ cần xách vali về ở Tầng 1: phòng khách, bếp, VS Tầng 2: 2 Phòng ngủ, VS Tầng 3: 1 Phòng ngủ + Sân phơi + Sổ nở hậu, cất két sẵn sàng giao dịch. - Lh em Trác: 0965492571 (xem nhà và tư vấn miễn phí) ",30/08/2022,Tin thường,batdongsan_so_com_vn_1673805313.6984246, 3,,
"5,9 tỷ VNĐ",KĐT Văn Quán, 48m2,, 4, 3," # Bán nhà CCMN quận Hà Đông phường Văn Quán giáp quận Thanh Xuân, LH Tình Nhà Đất 0906113879. + CC cần bán tòa CCMN, 10 phòng khép kín, full đồ, hiện đang tự vận hành, đã full phòng, doanh thu đều 30 triệu / tháng. DT 48mT1m, 6 tầng, mt 4m, chỉ dưới 6 tỷ. + Căn 2: DT 56/60T2, 6 tầng thang máy, mt 4.5m, 17 phòng khép kín, Full đồ, đang vận hành, hiện đã full phòng, doanh thu khủng 65 triệu / tháng. Nhanh tay LH thương lượng trực tiếp để sở hữu ngay căn nhà có dòng tiền đều, và giữ tiền tốt nhất trong thời điểm này. + Vị Trí: nằm trong quần thể KĐT Văn Quán, giao thông thuận lợi, tiện chợ, gần nhiều Văn Phòng, Công Ty, Trường Đại Học: Học viện Công Nghệ Bưu Chính Viễn Thông, Học Viện An Ninh, Đại Học Kiến Trúc, Nhạc Họa... + Nhà 2 thoáng trước sau, chủ tự xây, móng khung cột chắc, nay đang tự vận hành rất tốt, hiện đã full phòng, doanh thu đều 30 triệu / tháng. + Sổ đỏ vuông đẹp chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. # HotLine: 0906113879 Tình Nhà Đất quận Hà Đông – Hà Nội ( uy tín, tận tâm, nhiệt tình, sẵn sàng tư vấn, hỗ trợ 24/7 ).",30/08/2022,Tin thường,batdongsan_so_com_vn_1673805315.0477777, 6, 10,
"3,5 tỷ VNĐ",Đường Nguyễn Sơn phường Phúc Đồng, 40m2,, 4, 6,"

Phân lô ôtô tránh khu 918 sân gôn Long Biên 40m c4 3,5 tỷ 

+ Sổ sạch đẹp, phân lô ô tô 100% ô tô vào nhà tựa Vinhomes. 

+ Tiện ích ngập tràn, gần siêu thị Aeon Mall, Sân Golf Long Biên, BigC Long Biên.

+ Đi lại thuận tiện, đi các tỉnh, sân bay Nội Bài các nơi đều thuận tiện.

+ Diện tích vừa miếng phù hợp để xây đầu tư và để ở thì tuyệt vời.

+ lh 0904264580 gặp Hương thổ dân để được tư vấn hỗ trợ mua giá tốt. ",30/08/2022,Tin thường,batdongsan_so_com_vn_1673805316.200693, 1, 1, 1
