price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số toilet,Hướng
3 tỷ VNĐ,"Cầu Diễn, Bắc Từ Liêm, Hà Nội", 40m2, 5, 4,"Chính Chủ Bán Nhà Gấp Nhà Cầu Diễn, 5 tầng x 40m2, Khu an ninh cao, 3 tỷ - Nhà tôi mới xây, đầy đủ công năng, kết cấu khung chắc chắn. - Nhà gần phố dễ dàng di chuyển nhiều nơi. - Xung quanh nhiều tiện ích, siêu thị, trung tâm thương mại. Liên hệ tôi để xem nhà trong ngày: 0389001010",05/09/2022,Tin thường,batdongsan_so_com_vn_1673804229.041913,,,,
18 tỷ VNĐ,"Trần Phú, Hà Đông, Hà Nội", 75m2, 5, 6," # Bán nhà quận Hà Đông đường Trần Phú giáp quận Thanh Xuân, 2 mặt tiền kinh doanh sầm uất, cho thuê thu đều dòng tiền trên 30 triệu 1 tháng. LH Tình Nhà Đất 0906113879. * HẠ SỐC 1.5 tỷ * CC cần vốn đầu tư đang rất cần bán nhà giêng tại đường Trần Phú, 2 mặt tiền rộng, kinh doanh sầm uất, khu phân lô vip. DT 75m, 5T, giá 18 tỷ. + Vị Trí đắc địa trung tâm, kinh doanh khách đông khủng khiếp, tiếp giáp quận Thanh Xuân, ngay cạnh đường Trần Phú, tiện chợ, trung tâm mua sắm, gần nhiều Trường Đại Học: Kiến Trúc, An Ninh, Công Nghệ Bưu Chính Viễn Thông, Nghệ Thuật Trung Ương... + Liên thông đường Nguyễn Trãi, Trần Phú, Nguyễn Văn Lộc, Làng Việt Kiều Châu Âu, Vũ Trọng Khánh, Tố Hữu, Lê Văn Lương vô cùng thuận lợi. + Hiện Trạng: nhà 2 mặt tiền, 5T xây chắc, thiết kế cầu thang giữa, mỗi tầng 2 phòng rộng, hiện đang cho thuê tầng 1 kinh doanh + 6 phòng trọ bên trên, dòng tiền đều 30 triệu / tháng. + Sổ đỏ phân lô chính chủ, pháp lý chuẩn, giao dịch nhanh. # HotLine: 0906113879 Tình Nhà Đất quận Hà Đông – Hà Nội ( uy tín, nhiệt tình, sẵn sàng tư vấn, hỗ trợ 24/7 ).",05/09/2022,Tin thường,batdongsan_so_com_vn_1673804230.760316, 4, 8,,
"3,6 tỷ VNĐ",Mậu Lương - Kiến Hưng - Hà Đông, 37m2, 4, 3,"SIÊU PHẨM QUẬN HÀ ĐÔNG - KIẾN HƯNG - NGÕ THÔNG - Ô TÔ QUA NHÀ - KINH DOANH ĐỈNH - 33M - 4 TẦNG - GIÁ CHỈ 3.X TỶ- Nằm tại trung tâm quận Hà Đông, gần khu khu dịch vụ Mậu Lương, gần mặt phố Mậu Lương, xung quanh có đầy đủ tiện ích đường, trường, trạm...- Ngõ trước nhà ô tô qua, ngõ thông, thoáng thích hợp cả để ở và kinh doanh.- Nhà thiết kế hiện đại, xây 4 tầng, tầng 1 thông sàn - đầy đủ công năng sử dụng+ Giá chỉ: 3.6 tỷ (có thương lượng)+ Sổ đỏ chính chủ - công chứng trong ngày.+ Liên hệ: Mrs Nhung - nhà đẹp Hà Đông: 0944.795.382 để được tư vấn.",05/09/2022,Tin thường,batdongsan_so_com_vn_1673804232.4757288,,, 2,
"3,6 tỷ VNĐ",Mậu Lương - Kiến Hưng - Hà Đông, 37m2, 4, 3,"SIÊU PHẨM QUẬN HÀ ĐÔNG - KIẾN HƯNG - NGÕ THÔNG - Ô TÔ QUA NHÀ - KINH DOANH ĐỈNH - 33M - 4 TẦNG - GIÁ CHỈ 3.X TỶ- Nằm tại trung tâm quận Hà Đông, gần khu khu dịch vụ Mậu Lương, gần mặt phố Mậu Lương, xung quanh có đầy đủ tiện ích đường, trường, trạm...- Ngõ trước nhà ô tô qua, ngõ thông, thoáng thích hợp cả để ở và kinh doanh.- Nhà thiết kế hiện đại, xây 4 tầng, tầng 1 thông sàn - đầy đủ công năng sử dụng+ Giá chỉ: 3.6 tỷ (có thương lượng)+ Sổ đỏ chính chủ - công chứng trong ngày.+ Liên hệ: Mrs Nhung - nhà đẹp Hà Đông: 0944.795.382 để được tư vấn.",05/09/2022,Tin thường,batdongsan_so_com_vn_1673804233.9098904,,, 2,
866 triệu VNĐ,gia lâm hà nội, 80m2,,,"🎊Chào đón mở bán khu dân cư mới tự xây Tân Phúc, hứa hẹn là điểm sáng đi đầu khu vực đầu tư sinh lời hiệu quả.👉Nằm cạnh nút giao cao tốc Hà Nội- Hải Phòng- Quảng Ninh nơi kết nối vùng kinh tế trọng điểm 4 tỉnh.👉Tiếp giáp các trục quốc lộ như: quốc lộ 5B, quốc lộ 38, đặc biệt tuyến đường mới đang được triển khai nhằm kết nối khu công nghiệp, giao thương, buôn bán.👉Nằm giáp ranh với hàng loạt các khu công nghiệp có diện tích 300- 500 héc ta. Thu hút hàng chục ngàn lao động sinh sống, làm việc .👉Nằm giáp tuyến đường lưu thông hàng hóa qua các Cụm công nghiệp, khu công nghiệp như: Tân Phúc, Quang Vinh, Hoàng Hoa Thám, Văn Nhuệ, Bãi Sậy.👉Diện tích đất rộng từ 70- 90m2.👉Đường trải rộng 5- 7m, cơ sở hạ tầng đồng bộ.👉Giá chỉ từ 866 triệu/ lô.👉Chiết khấu lên tới 3% khi mua từ 2 lô trở lên.🎯Khẳng định lợi thế đầu tư:🌟Tự hào là những người đi đầu, khai phá đánh dấu thời kỳ vàng son thịnh vượng cho dự án bất động sản.☎Liên hệ :  để biết thêm thông tin!",05/09/2022,Tin thường,batdongsan_so_com_vn_1673804237.1582074, 5, 6,,
"4,18 tỷ VNĐ","Phú Diễn, Bắc Từ Liêm, Hà Nội", 40m2,,,"Bán Gấp Nhà Phú Diễn 40m2 x 4 tầng, gần oto, thông thoáng, 4.18 tỷ - Nhà nằm gần trung tâm Phố Phú Diễn, đường rộng, dễ dàng đi lại. - Xung quanh dân chí cao, hàng xóm nhiều cán bộ nhà nước. - Nhà mới, đầy đủ công năng, chỉ việc dọn vào ở. - Chủ cần bán gấp, sang tên nhanh chóng, xem nhà là ưng. Liên hệ Thế Tuấn để xem nhà trong ngày: 0389001010",05/09/2022,Tin thường,batdongsan_so_com_vn_1673804239.616138,,,,
"3,7 tỷ VNĐ",Đường Triều Khúc phường Tân Triều, 35m2, 5, 4,"Bán nhà phố lô góc Triều Khúc 35m2, 5 tần, MT 5.5m, giá 3.7 tỷ. - Nhà thiết kế 5 tầng đẹp, hiện đại, các phòng ngập tràn ánh  sáng điều hòa không khí tự nhiên. + Phòng ốc bố trí hợp lý đầy đủ tính năng công dụng. + Ngõ rộng mấy bước chân ra phố, khu vực sầm uốt đông dân cư, dân trí cao, an ninh tốt + Gần các trường học các cấp, đại học như: HV an ninh, Kiến trúc, Viễn thông, Mật mã ... và các bệnh viện lớn: BV 103, K, Bỏng .. - Thiết kế:  + Tầng 1: phòng khách, bếp, wc + để xe. + Tầng 2,3: mỗi phòng 1 P.ngủ + wc. + Tầng 4: 2 P. ngủ + wc. + Tầng 5: phòng thờ + sân phơi. - Sổ đỏ nằm két săn sàng giao dịch. - LH gia Hiên xem nhà.",05/09/2022,Tin thường,batdongsan_so_com_vn_1673804241.5594492, 5, 28, 4,
"4,18 tỷ VNĐ",Đường Phú Diễn phường Phú Diễn, 40m2, 5,,"Bán Gấp Nhà Phú Diễn 40m2 x 4 tầng, gần oto, thông thoáng, 4.18 tỷ - Nhà nằm gần trung tâm Phố Phú Diễn, đường rộng, dễ dàng đi lại. - Xung quanh dân chí cao, hàng xóm nhiều cán bộ nhà nước. - Nhà mới, đầy đủ công năng, chỉ việc dọn vào ở. - Cần bán gấp, sang tên nhanh chóng, xem nhà là ưng. Liên hệ Thế Tuấn để xem nhà trong ngày: 0389001010",05/09/2022,Tin thường,batdongsan_so_com_vn_1673804243.487291,, 1,,
12 tỷ VNĐ,Đường Ngô Gia Tự phường Đức Giang, 250m2,, 4,"
    Bán nhanh thửa đất cực đẹp ở Thanh Am, Đức Giang+ thửa đất nằm ngay sát mặt phố Thanh Am, chỉ 300m ra mặt phố Ngô Gia Tự + Mảnh đất ô tô vào tận nơi, gồm 2 sổ ghép lại có tổng diên tích hơn 240m2, mặt tiền rộng gần 7m + thửa đất rộng, mặt tiền lớn rất thích hợp để xây biệt thự hoặc mua để đầu tư phân lô tách thửa + Sổ đỏ chính chủ + giá rao bán nhỉnh 50 tr/m2 - quá hiếm 
Chi tiết xin liên hệ: Vũ Tuấn - chuyên bđs thổ cư, biệt thự, nhà phố Long Biên...theo số..   0399.o.27.o.11.o.14.o",05/09/2022,Tin thường,batdongsan_so_com_vn_1673804245.3892043, 7, 6, 3,
5 tỷ VNĐ,Đường Pháo Đài Láng phường Láng Thượng, 32m2, 5, 4,"
    + Bán nhà Pháo Đài Láng 32m2, 5T, MT 5m, nhỉnh 5 tỷ, ô tô.+ Vị trí: Pháo Đài Láng, Đống Đa, gần Nguyễn Chí Thanh, Láng, Trần Duy Hưng, Chùa Láng.+ Nhà 5 tầng, khung cột bê tông chắc chắn, gần Chợ đông đúc, Trung tâm thương Mại Vincom Nguyễn Chí Thanh, trường đại học Ngoại Thương, đại học Ngoại Giao.+ Sổ đỏ đẹp, chính chủ, sẵn sàng giao dịch bất cứ khi nào.+ Giá: Thoả thuận.+ Liên hệ: Phú Khang, 0966037496, kho hàng phong phú đa dạng.
",05/09/2022,Tin thường,batdongsan_so_com_vn_1673804246.9041507, 5, 4, 4,
