price,address,Diện tích,Hướng,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới
"4,8 tỷ VNĐ/m2","phố Lê Quang Đạo P. Mễ Trì, Q. Nam Từ Liêm, TP Hà Nội", 87m2, Nam, 6, 2, 2,"Chính chủ bán căn hộ 86,6 m2 2 ngủ 1 khách, 2 WC, 2 ban công, vew đẹp. Nội thất cơ bản, đẹp : Sàn gỗ, tủ bếp, wc Dự án nằm ở vị trí đắc địa tại giao lộ quốc tế Mễ Trì – Lê Quang Đạo cạnh Bộ Ngoại Giao, gần trường học, BigC, bệnh viện…Quy hoạch dự án bao gồm công viên, bể bơi, trung tâm thương mại, thư viện tạo nên hệ sinh thái cao cấp, thuận lợi cho cư dân. Giá 4.8 tỷ. liên hệ 098114946",27/09/2022,Tin thường,batdongsan_so_com_vn_1673798981.8624923,,
76 triệu VNĐ,Đường Quốc lộ 32 phường Trạm Trôi, 118m2,,,,,"Bán đất dịch vụ khu 5.5ha Trạm Trôi- huyện Hoài Đức- thành phố Hà Nội. Diện tích: 118m2. Mặt tiền đẹp 6.6m sâu 18m. Đường ,vỉa hè rộng 9m. Vị trí đẹp, sát đường 32, ngay cạnh khu đô thị Lideco, công an huyện Hoài Đức, ngã tư trôi. Phù hợ ở kết hợp kinh doanh, văn phòng công ty, phòng khám, nhà hàng, thẩm mỹ viện, spa... Sổ đỏ chính chủ, giao dịch nhanh chóng. Xlh: 0382703234( thanh sơn) để được giá tốt.",27/09/2022,Tin thường,batdongsan_so_com_vn_1673798983.2026136, 6,
"1,3 tỷ VNĐ",135 Trần Phú, 98m2, Tây bắc, 1, 2, 2,"Bán căn hộ 2N2VS 98m2 tầng 16 view hồ Văn Quán sổ hồng lâu dài TRẢ GÓP từ 1tỷ3 + Hướng ban công: Đông Nam+ Diện tích: 98m2+ Loại căn hộ: 2(+1)N2VS+ Nội thất cơ bản.+ Giá chi tiết: Liên hệ trực tiếp qua số điện thoạiThông tin mô tả - Vị trí đắc địa tại ngã 3 Trần Phú và Nguyễn Khuyến.- 3 phút đến Ga Văn Quán (Đường sắt Cát Linh - Hà Đông).- 15 phút đến Trung tâm thành phố Hà Nội.- Nằm cạnh 2 hồ Văn Quán – Than ThởVị trí:- Gần Ga tàu điện Văn Quán- Đối diện Siêu thị Top Market, gần Chợ Hà Đông,…- Cạnh trường Đại học Kiến trúc, Học viện An Ninh, Học viện Bưu chính viễn thông- Gần trường tiểu học Nguyễn Du, THCS Văn Quán, THPT Lê Quý Đôn,…- Gần bệnh viện Đa khoa Hà Đông, bệnh viện 103, … Tiện ích nội khu:- Trung tâm thương mại- Trường mầm non- Bể bơi, Gym, Hiệu thuốc,….- Hầm để xe oto-xe máy",27/09/2022,Tin thường,batdongsan_so_com_vn_1673798984.9782932, 10, 10
"15,3 tỷ VNĐ",Thái Hà, 40m2,,,,,"Siêu hot nhỉnh 15 tỷ nhà mặt phố Thái Hà 40m2x6T. Lh 0982140895 + Phố Thái Hà con phố kinh doanh sầm uất đồ công nghệ, vỉa hè rộng, gần nhiều trường Đại học kinh doanh đồ công nghệ lợi thế. + Giao thông thuận tiện, gần các cung đường Tây Sơn, Chùa Bộc, Hoàng Cầu, Yên Lãng,... + Tiện ích xung quanh, khu đông dân cư và sinh viên. + Nhà thiết kế hợp, khung cột chắc chắn 40m2x6 tầng, mặt tiền 3.6m, thiết kế vừa ở vừa kinh doanh. + Sổ đỏ vuông vắn sẵn sàng giao dịch. + Giá chỉ 15 tỷ 3 + Liên hệ Nguyễn Hương: 0982140895 ( tư vẫn, xem nhà miễn phí 24/7)",18/02/2021,Tin thường,batdongsan_so_com_vn_1673798986.7554464,,
10 tỷ VNĐ,Láng Hạ, 66m2,,,,,"Phân lô ô tô đỗ cửa phố VIP Láng Hạ 66m2x5T. LH 0982140895 + Láng Hạ khu phố VIP trung tâm quận Đống Đa kinh doanh sầm uất, khu phố toàn văn phòng, kinh doanh ăn uống, cách phố 15m. + Nhà phân lô ô tô đỗ cửa 66m2x5 tầng mặt tiền 3.8m, nhà hai mặt thoáng tổng 9 PN to đẹp thoáng, ánh sáng vào nhà. Nhà hiện tại đang cho thuê gần 30tr/ tháng phù hợp làm văn phòng, spa. + Sổ đỏ vuông vắn sẵn sàng giao dịch. + Giá chỉ 10 tỷ + Liên hệ Nguyễn Hương: 0982140895 ( tư vẫn, xem nhà miễn phí 24/7)",19/02/2021,Tin thường,batdongsan_so_com_vn_1673798988.6512377,,
"24,5 tỷ VNĐ",Đường  phường Nam Đồng, 60m2,, 5,,,"
    Diện tích 60m2, 5 tầng, giá 24.5 tỷ + Tầng 1: Kinh doanh, Wc. + Tầng 4,5:Phòng ngủ, thờ, sân phơi. ",27/09/2022,Tin thường,batdongsan_so_com_vn_1673798989.7802143,, 1
280 triệu VNĐ/m2,"Bán nhà vị trí đẹp số 9B TTQĐ 12A Lý Nam Đế, Hoàn Kiếm, 280tr/m2; 0912552577", 77.4m2,,,,,"Bán nhà vị trí đẹp số 9B TTQĐ 12A Lý Nam Đế, Hoàn Kiếm, 280tr/m2; 0912552577  Diện tích: 77,41m2 - Nhà 4 tầng, 1 tum, tiện làm văn phòng công ty và kinh doanh - Khu an ninh tốt, giao thông thuận tiện, dân trí cao - Gần trường, chợ, gần các tiện ích xung quanh  Giá: 280 triệu/m2 Liên hệ chính chủ: 0912552577 chị Tâm hoặc 0912346182 chị Thanh   http://www.sanbatdongsanviet.com.vn",23/09/2022,Tin thường,batdongsan_so_com_vn_1673798990.9649308,,
"3,2 tỷ VNĐ",Hà Cầu Hà Trì Hà Đông, 37m2,,,,,"Căn nhà này được Anh Hùng, Chị Quỳnh, tâm huyết xây dựng rất cẩn thận, phù hợp và đủ công năng sử dụng 4 PN cho một GĐ Tiện ích xung quanh như : Trường Mầm non, trường Lê Lợi, Chợ Hà Đông, Siêu thị, bãi đỗ xe,.... SĐCC, sang tên nhanh chóng LH : Em Thảo Thảo : 0965145894, để được tư vấn tốt nhất, NHIỆT TÌNH, TẬN TÂM, CHÂN THÀNH ",27/09/2022,Tin thường,batdongsan_so_com_vn_1673798992.259534,,
"6,1 tỷ VNĐ","Phố Quỳnh Mai, Phường Quỳnh Mai", 50m2,, 5, 4, 4,"SIÊU HIẾM, NHÀ ĐẸP, Ô TÔ, KINH DOANH.+ Diện tích: 50m.+ Sổ đỏ chính chủ, có thương lượng.+ Nhỉnh 6 tỷ.+ Thiết kế: Tầng 1 Thông sàn.+ Tổng 4 Ngủ, Bếp, Phòng thờ, sân phơi.+ khu vực trung tâm Quận Hai Bà Trung, vô vàn tiện ích.+ Thông phố 8/3, Kim ngưu, Thông Quỳnh lôi, Thành nhà.+ Vài bước chân ra trường học liên cấp đạt chuẩn quốc gia.+ 300m ra Bệnh viện thành Nhàn.+ Gần các trường Đại học Bách khoa, KTQD, Xây Dựng...+ Lên Hồ Gươm, phố cổ chỉ 10 xe đạp.+ Quý khách quan tâm vui lòng liên hệ.Mr Dương: 0825920555.",27/09/2022,Tin thường,batdongsan_so_com_vn_1673798993.702531, 3, 3
"6,1 tỷ VNĐ","Đường Quỳnh Mai, Phường Quỳnh Mai", 50m2,, 5, 4, 4,"SIÊU HIẾM, NHÀ ĐẸP, Ô TÔ, KINH DOANH.+ Diện tích: 50m.+ Sổ đỏ chính chủ, có thương lượng.+ Nhỉnh 6 tỷ.+ Thiết kế: Tầng 1 Thông sàn.+ Tổng 4 Ngủ, Bếp, Phòng thờ, sân phơi.+ khu vực trung tâm Quận Hai Bà Trung, vô vàn tiện ích.+ Thông phố 8/3, Kim ngưu, Thông Quỳnh lôi, Thành nhà.+ Vài bước chân ra trường học liên cấp đạt chuẩn quốc gia.+ 300m ra Bệnh viện thành Nhàn.+ Gần các trường Đại học Bách khoa, KTQD, Xây Dựng...+ Lên Hồ Gươm, phố cổ chỉ 10 xe đạp.+ Quý khách quan tâm vui lòng liên hệ.Mr Dương: 0825920555.",27/09/2022,Tin thường,batdongsan_so_com_vn_1673798994.8284736, 3, 3
"9,25 tỷ VNĐ",Đường Phùng Chí Kiên phường Nghĩa Đô, 50m2,, 6, 6, 6,"- Hướng : Bắc .- Tiện ích - an sinh cực đỉnh. Dân trí cao, an ninh cực kì đảm bảo, hàng xóm thân thiện - văn minh .- LH SĐT",27/09/2022,Tin thường,batdongsan_so_com_vn_1673798995.951587, 4, 4
