price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
105 triệu VNĐ,Đường Phú Tàng phường Bắc Phú, 64m2, 4,"Một Bước chân ngàn tiện ích.ĐỐI DIỆN KHU CÔNG NGHIỆP NỘI BÀI -> Khu vực làng công nhân, kinh doanh hàng quán sầm uất nhất sóc sơn - Diện tích : 83.7m2 + TẠI : XUÂN BÁCH - QUANG TIẾN - SÓC SƠN - HÀ NỘI .+ Vị trí mảnh đất đẹp - Mặt bìa làng đường rộng 5m ô tô tránh nhau, view ra cánh đồng rất thoáng mát- Cách chợ xuân bách 100m, gần trường học các cấp.- Cách sân bay Nội Bài 10 phút.- Khu vực tiện ích đầy đủ, giao thông thuận tiện, là lô đất tiềm năng đầu tư, ở lâu dài.- Sổ sách pháp lý rõ ràng - giao dịch ngay trong ngày+ Giá : 1.6 tỷ bao sổ chi phí sang tên đổi chủ",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807876.2505357,,,,,
"4,7 tỷ VNĐ","Ngô Thì Sỹ, Vạn Phúc, Hà Đông", 38m2, 4,"Mới Đẹp, Ở Luôn, Ngô Thì Sỹ – Hà Đông, Ngõ 3 Gác phi, Căn Góc, DT 38m2 x 4T. Chỉ 4.7 Tỷ.Vị trí: Nhà khu trung tâm Hà Đông, Ngõ rộng ô tô tránh cách nhà 50m, Ngõ thông tứ tung xung quanh tiện ích không thiếu gì, gần trường mầm non, tiểu học Vạn Phúc,  gần chợ, khu dân trí cao, an ninh tốt.Thiết kế: Nhà xây 4 tầng bê tông cốt thép chắc chắn, với 4 phòng ngủ, 3 phòng vệ sinh.+ Tầng 1 Phòng Khách, bếp +WC.+ Tầng 2,3 mỗi tầng 2 phòng ngủ + WC.+ Tầng 4 thiết kế phòng thờ + Sân Phơi .+ Pháp Lý: Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Giá bán: 4.7 tỷ ( Có thương lượng ).Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.    - Mr Luyện thổ cư: 0911779569- Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến 100 tỷ. “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807877.8083673, Đông nam, 3, 4, 4, 3
"2,3 tỷ VNĐ",Đường Đại Mỗ phường Tây Mỗ, 52m2, 4,- Hướng Đông Nam - Có thể kinh doanh hoặc cho thuê rất nhanh  - LH0912785252 để thỏa thuận ,18/08/2022,Tin thường,batdongsan_so_com_vn_1673807879.427232,, 50, 3, 1, 1
"17,5 tỷ VNĐ",cầu giấy hà nội, 106m2,,"Cần bán gấp nhà Trung Kính 106m2 x 6 tầng - Ô tô tránh nhau - Kinh doanh đỉnh 17,5 tỷ.Diện tích 106m2 x 6 tầng.Khu vực dân cư dân trí cao, giao thông cực kỳ thuận tiện.Nhà phù hợp ở hoặc kinh doanh văn phòng, spa, phòng khám... Đều đẹp.Sổ đỏ vuông vắn đẹp.Giá bán 17.5 tỷ có thương lượng.LH: 088 65 68 625",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807880.7197723,,,,,
"4,7 tỷ VNĐ","Ngô Thì Sỹ, Vạn Phúc, Hà Đông", 38m2, 4,"Mới Đẹp, Ở Luôn, Ngô Thì Sỹ – Hà Đông, Ngõ 3 Gác phi, Căn Góc, DT 38m2 x 4T. Chỉ 4.7 Tỷ. Vị trí: Nhà khu trung tâm Hà Đông, Ngõ rộng ô tô tránh cách nhà 50m, Ngõ thông tứ tung xung quanh tiện ích không thiếu gì, gần trường mầm non, tiểu học Vạn Phúc,  gần chợ, khu dân trí cao, an ninh tốt. Thiết kế: Nhà xây 4 tầng bê tông cốt thép chắc chắn, với 4 phòng ngủ, 3 phòng vệ sinh. + Tầng 1 Phòng Khách, bếp +WC. + Tầng 2,3 mỗi tầng 2 phòng ngủ + WC. + Tầng 4 thiết kế phòng thờ + Sân Phơi . + Pháp Lý: Sổ đỏ chính chủ, sẵn sàng giao dịch. + Giá bán: 4.7 tỷ ( Có thương lượng ). Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.                                                                                                                                                          - Mr Luyện thổ cư: 0911779569 - Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ.  “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807882.016306, Đông nam, 3, 4, 4, 3
"7,3 tỷ VNĐ",Đường Hồ Tùng Mậu phường Phú Diễn, 67m2, 4,"
    CHUNG CƯ MINI 7 PHÒNG KHÉP KÍN FULL ĐỒ - 5 PHÒNG ĐÔI - 2 PHÒNG ĐƠN - DÒNG TIỀN GẦN NỬA TỶ/ NĂM.
Chính chủ cần bán nhà CCMN Hồ Tùng Mậu 67m2 x 4 tầng, mặt tiền 4m, giá 7,3 tỉ
- Vị trí nhà nằm ngay sát Vinhomes Gardenia, khu đô thị Mỹ Đình, đối diện Goldmark City, giao cắt Hàm Nghi, Nguyễn Cơ Thạch, Nguyễn Đổng Chi - mỏ vàng trong làng cho thuê căn hộ cao cấp.
- Ngõ rộng nông ba gác vào tận nhà. Ngõ chính thông Nguyền Đổng Chi, Hàm Nghi, rất rộng.
- Diện tích ~ 70m2 và mặt tiền hơn 4 mét thông số vàng, diện tích xây từ tầng 1 khoảng 60m2, quá lý tưởng cho căn chung cư mini tầng - 7 phòng khép kín (5 đôi 2 đơn), dòng tiền 35 triệu/ 1 tháng,
- Nhà có 2 lớp cổng cực an toàn, hệ thống camera, khoá vân tay xịn sò.
- Sổ đỏ chính chủ, phân lô nở hậu
",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807883.6708786,, 2, 4, 7, 7
"1,15 tỷ VNĐ",Đường Trần Quý Cáp phường Khâm Thiên, 55m2, 2,"Giá bán: 1,15 tỷ ",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807885.0322363,, 5, 1, 2, 1
"4,5 tỷ VNĐ",Đường Phố Trạm phường Long Biên, 60m2, 4,"NHÀ ĐẸP DÂN XÂY  KHU PHỐ TRẠM: MẶT NGÕ Ô TÔ, GẦN PHỐ, MẶT TIỀN RỘNG + Nhà nằm ngay trên mặt ngõ phố Trạm, Ô tô vào nhà, chạy thông qua nhà thoải mái. + nhà cách mặt phố Trạm chỉ 200m, 500m đến chân cầu Trần Hưng Đạo quy hoạch, di chuyển cực thuận tiện, Tương lai cực sáng+ hiện trạng có nhà 3 tầng xây kiên cố với 3 phòng ngủ, chủ mới về chỉ cần vôi ve qua là đẹp long lanh + Diện tích 60m2 mặt tiền 4,5m cực đẹp để xây tòa nhà 5 tầng có gara ô tô+ giá rao bán: 4,6 tỷ còn thương lượng - mức giá khó tìm được căn thứ 2 Chi tiết xin liên hệ: Vũ Tuấn - chuyên bđs thổ cư, biệt thự, nhà phố Long Biên...theo số..   0399.o.27.o.11.o.14.o",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807886.3308237,, 4, 3, 3, 3
"2,715 tỷ VNĐ",Đường Thụy Lâm phường Xuân Nộn, 86m2, 4,"
    Bán 86,2m giá đầu tư F0 cho anh chị Đường Yên, Xuân Nộn, Đông AnhMặt tiền và Hậu: 4,50mĐường trước đất gần 4.50m oto tránhGiá Công Khai : 31,5tr/m Cách 500m Đến Trường Cấp 1+2Cách 200m ( Dự Án)Khu Công Nghiệp Đông AnhCách 500m đến UBNN xã Xuân Nộn, TTYT Xuân NộnDi chuyển 600m Đến Xí NGhiệp Nước Sach Đông AnhĐi 700m Đến Chợ Kim ( 1 trong những chợ chủ lực của huyện)800m Đến Viện Bắc Thăng Long( Viện Than Ba) Bv Tuyến Đầu Của HuyệnPháp Lí Rõ Ràng, Sẵn Sàng Giao DịchLiên hê: 0353073021 em Lợi
",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807887.800476,,,,,
"5,4 tỷ VNĐ",Đường Khương Đình phường Khương Đình, 54m2, 5,"Nhà xây chắc chắn, cách ô tô 2 bước chân, rộng rãi mát mẻ. Công năng nhà đầy đủ, T2, T3 4 phòng ngủ, t4 phòng thờ sân phơi rộng rãi. Bạn nên trồng thêm rau sạch đảm bảo bữa ăn gia đình. Gần hồ không khí mát mẻ thuận tiện TDTT. Tiện ích rất nhiều bởi gần khu TTTM và Chung cư lớn. SỔ ĐỎ CHÍNH CHỦ",18/08/2022,Tin thường,batdongsan_so_com_vn_1673807889.087036,, 3, 4, 4, 3
