price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Hướng,Lộ giới,Số toilet
"3,4 tỷ VNĐ","xuân đỉnh,Bắc Từ Liêm, Hà Nội", 40m2,"
    
- Vị trí: Nhà năm khu vực giao thông thuận tiện gần đường Phạm Văn Đồng, Nguyễn Hoàng Tôn, khu Ngoại Giao Đoàn, công viên Hòa Bình.Gần chợ, trường cấp 1,2,3 Xuân Đỉnh.


- Nhà cách đường 2 ô tô tránh 20m, có bãi đỗ xe.


- Nhà xây 5 tầng mới được vài năm còn rất đẹp.


-Tặng Full nội thất.


- Giá 3.4 tỷ (có thương lượng).


- Liên hệ : A Vũ - 0347676600 (để gặp chính chủ và xem nhà miễn phí.Miễn các bạn trung gian).

",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822779.347716,,,,,,
"4,665 tỷ VNĐ",KHƯƠNG ĐÌNH THANH XUÂN, 35m2,"NHÀ KINH DOANH NGÕ 460 KHƯƠNG ĐÌNH, THANH XUÂN, DIỆN TÍCH 35M2, 5 TẦNG, NGÕ RỘNG THÔNG PHỐ, Ô TÔ CHẠY QUA NHÀ, ĐỐI DIỆN CHUNG CƯ FIVE STAR. + Vị trí trung tâm Thanh Xuân dân trí cao, gần chợ, trường học, bệnh viện, ngân hàng và giao thông thuận tiện. + Nhà 5 tầng cực đẹp mặt ngõ nông rộng thông phố, nhà của hot girl TIK TOK. + Sổ đỏ chính chủ, pháp lý sạch. + Liên hệ em Thái để được tư vấn và hỗ trợ miễn phí.",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822780.465737,,,,,,
"11,223344 tỷ VNĐ",Đường Cửu Việt phường Trâu Quỳ, 44m2,"Tôi có lô đất cần bán GẤP tại mặt phố Thành Trung, Trâu Quỳ, Gia Lâm, Hà Nội (Mặt ngõ 333 Ngô Xuân Quảng cũ). Diện tích đất 44m2 = 4m x 11m. Hướng Tây tứ trạch. Đường trước nhà rộng gần 40m. Kết nối trung tâm thị trấn Trâu Quỳ, Học viện Nông nghiệp đi VinHomes Ocean Park 1 2, VinCom Gia Lâm… Trung tâm phân khu N11 phía Đông nội thành Hà Nội, cách chỉ 15 phút chạy xe. Trung tâm thị trấn Trâu Quỳ đang ngày càng phát triển đa dạng về mọi mặt, thay da đổi thịt từng ngày theo nguồn vốn giải ngân công, giải ngân tư đang được rót về dồi dào… Ông anh chủ nhà đang rất thiện chí bán nên cũng mong gặp đươc khách thiện chí mua để tiện vào việc. Thông tin liên hệ: Trần Vỹ BĐS – 0989894845 để xem đất và gặp trực tiếp chủ nhà đàm phán giá cả giao dịch. Đất mặt phố, phố kinh doanh, phố thành trung, trâu quy, gia lâm, hà nội, ngõ 333, học viện nông nghiệp, nông nghiệp 1, vincom gia lâm, vinhome ocean park",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822781.6345937, 4,,,,,
"11,223344 tỷ VNĐ",Đường Cửu Việt phường Trâu Quỳ, 44m2,"Tôi có lô đất cần bán GẤP tại mặt phố Thành Trung, Trâu Quỳ, Gia Lâm, Hà Nội (Mặt ngõ 333 Ngô Xuân Quảng cũ). Diện tích đất 44m2 = 4m x 11m. Hướng Tây tứ trạch. Đường trước nhà rộng gần 40m. Kết nối trung tâm thị trấn Trâu Quỳ, Học viện Nông nghiệp đi VinHomes Ocean Park 1 2, VinCom Gia Lâm… Trung tâm phân khu N11 phía Đông nội thành Hà Nội, cách chỉ 15 phút chạy xe. Trung tâm thị trấn Trâu Quỳ đang ngày càng phát triển đa dạng về mọi mặt, thay da đổi thịt từng ngày theo nguồn vốn giải ngân công, giải ngân tư đang được rót về dồi dào… Ông anh chủ nhà đang rất thiện chí bán nên cũng mong gặp đươc khách thiện chí mua để tiện vào việc. Thông tin liên hệ: Hùng Dũng - 0936098052 để xem đất và gặp trực tiếp chủ nhà đàm phán giá cả giao dịch. Đất mặt phố, phố kinh doanh, phố thành trung, trâu quy, gia lâm, hà nội, ngõ 333, học viện nông nghiệp, nông nghiệp 1, vincom gia lâm, vinhome ocean park",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822782.917162, 4,,,,,
5 tỷ VNĐ,Ngã Tư Sở, 57m2,"+Bán nhà Phố Ngã Tư Sở - Đống Đa, 57m2, 5 Tầng, Mặt tiền 5m, LÔ GÓC, Nhỉnh 5 tỷ. +Trung tâm Quận Đống Đa, gần Royal City, tiện ích bạt ngàn.+Vị trí nhà cách đường lớn 50m, đường trước nhà rất rộng thông các ngõ.+Nhà chủ xây tâm huyết để ở, nhà Lô Góc thoáng mát, khách mua xách vali về ở ngay về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch. LH: SĐT/ZALO: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822783.967548, 5, 5, 7,,,
12 ngàn VNĐ,"Cổ Đông,Sơn Tây,Hà Nội", 60m2,"✅ Sát quốc lộ 21 có quy hoạch mở rộng 80 chỉ 200.✅ Diện tích 63.8m2, MT 5.8m nở hậu- 10p di chuyển đến ĐHQG- 10p di chuyển đến CNC và ĐH FPT- Có thể X2, X3 trong thời gian tới khi 09/2022 1500 sinh viên khoá đầu tiên về học.________________________________Liên hệ em Hùng để nhận tặng 02 chỉ vàng ngay trong ngày hôm nay.☎️☎️☎️ 0855216669/0387507522",27/05/2022,Tin thường,batdongsan_so_com_vn_1673822785.1922724, 6, 1, 1, Đông nam, 7, 1
"18,3 tỷ VNĐ",Đường Hạ Yên phường Trung Hòa, 85m2,"- Nhà thuộc phố Yên Hòa, thông các ngả ra Trần Kim Xuyến, Hạ Yên, Vũ Phạm Hàm... xung quanh toàn là các tòa chung cư cao cấp, dãy liền kề, biệt thự. Ngõ rộng ô tô dừng đỗ ngày đêm, phù hợp cho nhu cầu vừa ở vừa muốn kinh doanh, cho thuê văn phòng. Hàng xóm thân thiện, văn minh, an ninh tốt.- Nhà khung cột bê tông chắc chắn,cac phòng rất rộng , đón ánh sáng tự nhiên ngập tràn.- Sổ đỏ vuông đẹp, pháp lý chuẩn.- Gía :18.3 tỷ - Thương lượng tốtLiên hệ KIM CƯƠNG 0939.28.6833 ( Uy tín, hỗ trợ mọi thủ tục liên quan) ",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822786.241464, 6, 6, 4,, 6, 5
"10,8 tỷ VNĐ",Đường Mễ Trì phường Mễ Trì, 48m2,"
    
- Vị trí cực kỳ đắc địa, chỉ cần vài bước chân là ra mặt đường đôi Mễ Trì, 8 làn xe chạy , khu đô thị Mễ Trì, gần KengNam, sân Mỹ Đình , 10 phút ra bến xe Mỹ Đình , 3 bước chân ra Cầu Giấy, công viên Mễ trì.... 
+ Thiết kế:
- Nhà xây dựng 6 tầng khung cột bê tông chắc chắn
thiết kế
Tầng1: Cửa Hàng, Gara + WC
Tầng 2: Thông sàn văn phòng , WC ngoài 
Tầng 3: Bếp, khách+WC
Tầng 4: phòng ngủ khép kín rộng.
Tầng 5: 2 Phòng ngủ , wc 
Tầng 6: Phòng thờ, sân phơi siêu rộng. Phòng giặt đồ 

Chủ Thiện chí bán, giá thương lượng tốt 
Giá 10.8 tỷ 
Liên hệ, KIM CƯƠNG 090.1617.686 ( Để được mua nhà giá tốt nhất)
",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822787.2986374, 4, 5, 4,, 6, 5
4 tỷ VNĐ,Phương Mai, 48m2,"+Bán nhà Phố Khương Mai - Thanh Xuân, 48m2, 5 Tầng, Mặt tiền 5m, LÔ GÓC, Nhỉnh 4 tỷ. +Trung tâm Quận Thanh Xuân, tiện ích bạt ngàn.+Vị trí nhà cách đường lớn 80m, đường trước nhà rất rộng thông các ngõ.+Nhà chủ xây tâm huyết để ở, nhà Lô Góc thoáng mát, khách mua xách vali về ở ngay về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch. LH: SĐT/ZALO: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822788.3957028, 5, 5, 5,,,
992 ngàn VNĐ,Đường Bắc Hồng phường Bắc Hồng, 62m2,"Bán đất phù liễn Bắc Hồng Đông Anh giá chỉ 1X  oto đỗ cửa  Diện Tích: 62.5m. Chiều rộng: 5m. Đường ô tô đỗ cửa. Bán đất Bắc Hồng Đông Anh: Gần UBND xã Bắc Hồng, Trường mầm non, cấp 1,2, chợ Bắc Hồng. Cách Khu công nghiệp Bắc Thăng Long 5km. Gần dự án Ga Bắc Hồng là điểm trung chuyển tương lai của Đông Anh. Tầm tiền nhỏ, dễ đầu tư hoặc công nhân mua ở định cư lâu dài.",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822789.5216885, 5,,,,,
956 ngàn VNĐ,Đường Bắc Hồng phường Bắc Hồng, 41m2,"Bán đất Thuỵ Hà Bắc Hồng Đông Anh chưa đến 1 tỉ Diện tích: 41.6m. Mặt tiền: 3.6m. Ngõ rộng : 1.9m Bán đất Thuỵ Hà Bắc Hồng chưa đến 1 tỉ  Bán kính 1km là chợ Vân Trì, chợ Bắc Hồng, ngân hàng, cây xăng, bến xe bus…
 Cách đường Võ Nguyên Giáp 500m.
 Cách trung tâm Hà Nội và Sân bay Nội Bài chỉ 10 phút chạy xe.
 Gần các khu dự án lớn, tiềm năng giá tăng cao.  Tư vấn nhà đất thổ cư Đông Anh miễn phí Kiểm tra quy hoạch giá rẻ Hỗ trợ thủ tục sang tên, làm sổ ",28/05/2022,Tin thường,batdongsan_so_com_vn_1673822790.463172, 3,,,,,
