price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Hướng
"3,3 tỷ VNĐ",Mậu Lương - Kiến Hưng - Hà Đông, 33m2, 5, 4, 3,"BÁN GẤP NHÀ MẬU LƯƠNG - 30M*5T - LÔ GÓC - Ô TÔ CÁCH 30M - GIÁ CHỈ 3.3 TỶ+ Vị trí tại trung tâm Kiến Hưng, rất nhiều tiện ích xung quanh. Ngay gần khu đô thị Xa La, hưởng trọn tiện ích của khu đô thị Xa la.+ Nhà nằm tại lô góc, ngõ thoáng đẹp, nhà xây mới, đang chuẩn bị hoàn thiện.+ Nhà xây 5 tầng, diện tích 33m2, thiết kế mỗi tầng 1 phòng ngủ rộng.+ Hàng xóm xung quanh thân thiện, dân trí cao+ Nhà phân lô vuông vắn - Sổ đỏ chính chủ - công chứng trong ngày.+ Giá chỉ: 3.3 tỷ (có thương lượng)+ Liên hệ: Mrs Nhung - nhà đẹp Hà Đông: 0944.795.382 để được tư vấn.",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803658.8997653,,,
5 tỷ VNĐ,Hoàng Văn Thái, 39m2, 6,,,"Bán nhà 6 Tầng Phố Hoàng Văn Thái, Thanh Xuân 39m2, Ô TÔ gần, Nhỉnh 5 Tỷ.+ Vị trí cực đẹp, ô tô tránh cách 8m, thông sang Khương Trung, Tô Vĩnh Diện, Vương Thừa Vũ.+ Nhà cách đường lớn 60m, khu dân trí cao, rất đáng sống.+ Thiết kế nhà hiện đại, nội thất cao cấp, chủ tặng lại hết cho khách.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.LH: Em Hoan, 0925088355, chuyên Thổ cư Thanh Xuân, Đống Đa, miễn phí xem nhà 24/7.",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803660.6500804,,,
"6,2 tỷ VNĐ",Đường Cầu Giấy phường Quan Hoa, 64m2, 5, 5, 5,"- Bán nhà ở Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội. Từ nhà đi bộ sang ĐH Thủ Đô, đi 3 phút đến Trường tiểu học và THCS FPT, THPT Cầu Giấy, gần công viên Thủ Lệ. - Diện tích 60 m2, thiết kế hiện đại sang trọng, nhà khung cột bê tông chắc chắn, khách về thêm thùng sơn đẹp long lanh - Chủ nhà là giáo sư ĐH Sư Phạm về hưu, phúc hậu, tính tình hiền lành nay bán nhà để về Bách Khoa ở cùng con cháu tiện chăm sóc - Sổ đỏ chính chủ, sẵn sàng giao dịch. - Giá: 6.3 tỷ (giá có thương lương với khách thiện chí) - Gọi ngay: Em Hương để xem nhà, miễn trung gian và MG",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803661.9655614, 5, 3,
680 triệu VNĐ,Đường Quốc Lộ 3 phường Quang Tiến, 45m2,,,,"
    HÓT ! HÓT ! HÓT ! 
F0 phân lô Quảng Hội, Quang Tiến, Sóc Sơn.
- Đường hơn 4m giá chỉ hơn 600tr
- 17 lô đã có sổ từng lô riêng biệt sẵn công chứng
- MT 4m hậu 4m khổ đất vuông đẹp.
- Cách KCN Nội Bài 1,5km.
- Cách các Khu Nghỉ Dưỡng hồ Đồng Quan: 1km.
- LH chính chủ : 0368898638 để đặt cọc sớm kẻo hết
",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803663.3398848, 4,,
12 tỷ VNĐ,"La Khê, Hà Đông, Hà Nội", 60m2, 5, 4,," # Bán nhà quận Hà Đông phường La Khê đường Lê Trọng Tấn, đối diện KĐT Park City. LH: Tình Nhà Đất 0906113879. + CC cần bán gấp nhà mặt phố víp, khu vực kinh doanh cực tốt nhiều loại hình, đặc biệt vị trí càng tiềm năng không tưởng, khi dự án trước nhà mở đường đôi đi qua thông từ Lê Trọng Tấn – Phan Đình Giót – Ngô Quyền. nhanh tay LH thương lượng trực tiếp để sở hữu nhanh căn nhà vị trí kinh doanh, tiềm năng không tưởng này. + Vị trí trung tâm: tuyệt đẹp, hiếm nhà bán, mặt phố, vỉa hè rộng, đường 3 ô tô tránh, khu vực đông đúc buôn bán nhộn nhịp ngày đêm. + Nhà 5 tầng ban công thoáng mát, móng cột chắc, thông sàn T1,2 kinh doanh, tổng 4 ngủ + ws, bếp, khách, phòng thờ, sân phơi riêng, đầy đủ công năng, về ở ngay. + Sổ đỏ vuông đẹp chính chủ, sẵn sàng giao dịch. # HotLine: 0906113879 Tình Nhà Đất quận Hà Đông – Hà Nội ( uy tín, tận tâm, nhiệt tình, sẵn sàng tư vẫn, hỗ trợ 24/7 ).",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803665.019577, 4, 12,
"6,9 tỷ VNĐ",Đường Ngọc Lâm phường Ngọc Lâm, 45m2, 6, 4, 5,"+ Vị trí tuyệt đẹp, ngay gần Chợ Ngọc Thụy, vài bước là ra Mipec, Trường Việt Pháp và Khu TĐC Ngọc Thụy. +Nhà ngay gần phố, đường vào nhà rộng thoáng, ô tô 7 chỗ vào nhà được, tiện ích bạt ngàn, an sinh tuyệt vời.+ Nhà đẹp được xây dựng kiên cố, thiết kế thông sàn hiện đại, đầy đủ mọi công năng trong gia đình.+ Sổ đỏ SIÊU MẪU, giá chào 5,5 tỷ có thương lượng.+ Liên hệ: 0979057536 Trung Kiên để được tư vấn và xem nhà miễn phí.+ CAM KẾT THÔNG TIN NHÀ và ẢNH THẬT 100%",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803666.2024558, 4, 4,
,hà nội, 79m2,,,,"🌍 Mở bán đất dự án giá rẻ tại Ân Thi - Hưng Yên nằm trọn trong lõi khu công nghiệp , sát nút giao cao tốc 5b giá chỉ từ 866tr/lô diện tích từ 70_80m2.☀Tiện ích: 💦Gần các khu công nghiệp Tân Phúc _ Hoàng Hoa Thám Phù Ủng _Bắc Sơn _ Bãi Sậy , có giá trị đầu tư lâu dài. 💦Cách trung tâm thị trấn Kẻ Sặt khoảng 5 đến 10phút đi xe🔥Cách trung tâm thị trấn Ân Thi khoảng 3 đến 4km 🔥Nằm sát khu vực được quy hoạch dự án khu dân cư mới , đất đấu giá .....❄Bán kính chưa đầy 1km có đầy đủ các cửa hàng tiện ích, hệ thống trường học liên cấp, chợ trung tâm xã, trung tâm hành chính, UBND, trạm y tế,...Khu phân lô được thiết kế với đường vào rộng 5_7 mét ,trải nhựa thông thoáng.🎋 Nằm liền sát vị trí giao thông chiến lược giữa các tỉnh phía bắc ,liên kết 5 tỉnh Hà Nội _Hưng Yên _ Hải Dương _Hải Phòng Quảng Ninh .🌀Mặt tiền từ 4 đến 5 mét phù hợp với thiết kế nhà hiện đại.🎋Pháp lý sổ đỏ đất ở lâu dài - sở hữu vĩnh viễn.✅Quy trình mua bán:Bước 1: đặt cọc 100 triệu đồng trong thời hạn 30 ngày.Bước 2: Thanh toán 95% ngay khi ký hợp đồng chuyển nhượng.Bước 3: Nhận sổ đỏ thanh toán 5% còn lại.📩 Thông tin chi tiết xin liên hệ:0988192843",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803667.487013, 5, 5, Đông
4 tỷ VNĐ,Đường Vĩnh Hưng phường Vĩnh Hưng, 35m2, 5, 2, 4,"Bán nhà riêng đường Vĩnh Hưng, Hoàng Mai, 35m2 ô tô vào nhà   trí: Nhà bán nĩng Ô tô tránh, Kinh doanh online ụ phĩng 300m, 2 bãi gạầm 2017, chởt giấi, thiếng 1: Gara ô tô + Bầng 3,4: 02 Phòng ngầ + sân phểt kểng tầ: Tủi mái.   ủp.   nhà chuyệ ầ
",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803668.7685845, 4, 3,
"3,2 tỷ VNĐ","Bán nhà số 29B ngõ 58 Trương Định, Hai Bà Trưng, 3,2 tỷ; 0977883388", 34m2,,,,"Bán nhà số 29B ngõ 58 Trương Định, Hai Bà Trưng, 3,2 tỷ; 0977883388  Cần bán đất và nhà ở trên đất tại địa chỉ số 29B ngõ 58 Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Tp. Hà Nội- Nhà ở trên đất 3,5 tầng, diện tích xây dựng 22,8m2, diện tích sử dụng: 73,4m2, Mặt tiền 4m. Mỗi tầng 1 phòng, có sân trước nhà rộng, 100m ra Phố Trương Định. Gần các tiện ích thuận tiện như chợ, bệnh viện, trường học...- Diện tích 34,3m2.  - Hướng Bắc, ghé Tây. - Giá bán : 3.2 tỷ.- Liên hệ chính chủ: 0977883388 - Anh Cảnh.       http://www.sanbatdongsanviet.com.vn",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803670.0840695,,,
10 tỷ VNĐ,Đường Trần Quốc Hoàn phường Dịch Vọng, 40m2, 6, 4, 5,"-
",07/09/2022,Tin thường,batdongsan_so_com_vn_1673803671.627935, 4, 7,
