price,address,Diện tích,Hướng,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Số tầng
"7,042 tỷ VNĐ","Số 8 Lê Đức Thọ, Mỹ Đình 2, Nam Từ Liêm, Hà Nội", 107m2, Đông bắc, 60, 60, 3, 2,"* Chung cư cao cấp 5 sao mặt đường Lê Đức Thọ, đẹp nhất Mỹ Đình.- Căn hộ B25.08. Diện tích: 107m2. Hướng: Tây Bắc. Giá 8.6 tỷ chỉ còn 7.042 tỷ (65tr/m2), full toàn bộ thuế phí.- Giảm trừ đến 15% cho khách hàng thanh toán sớm.- Hỗ trợ lãi suất 0% trong 16 tháng cho 60% giá trị căn hộ với khách hàng vay vốn (Chỉ 1,6 tỷ nhận nhà ở ngay).----------------------------------------------------* Thiết kế và bàn giao căn hộ The Zei:- Toàn bộ căn hộ có 2 ban công kính, view đẹp, thông thoáng mát mẻ.- Sàn tre tự nhiên cao cấp, tủ bếp đầy đủ, hút mùi bếp thương hiệu Hafele, các phòng có điều hòa âm trần cao cấp, thiết bị vệ sinh Grohe nhập khẩu Đức cao cấp.- Căn hộ đã hoàn thiện khách hàng xách vali chỉ về ở.----------------------------------------------------* Tiện ích chung cư The Zei Số 8 Lê Đức Thọ.- 4 tầng TTTM với những thương hiệu quốc tế cao cấp.- Chuỗi nhà hàng Á Âu sang trọng.- Rạp chiếu phim CGV lớn nhất trong khu vực.- Bể bơi 4 mùa 700m2.- Phòng tập gym, yoga, khu spa hiện đại.- Sân chơi trẻ em, sân tập thể thao, khu BBQ ngoài trời, khu dạo bộ trên cao & vườn thiền.- Không gian xanh đa lớp với 2 quảng trường lớn phía trước và sau tòa nhà, công viên khoáng đạt trên tầng thượng. Cách mỗi 3 tầng căn hộ bố trí 1 vườn treo xanh mát.----------------------------------------------------- Liên hệ ngay để có thông tin chi tiết nhất và tham quan nhà mẫu:- Phòng kinh doanh Đất Xanh Miền Bắc: Mạnh Linh 0969817600.- Website: Https://diaocmienbac.com.vn/du-an/the-zei-giam-gia-cuc-soc/",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783249.2084012,
"3,1 tỷ VNĐ","Đường Ngọc Trì, Thạch Bàn, Long Biên", 32m2,, 4, 5, 3, 4,"Chủ nhà cần bán gấp căn nhà cực đẹp phố Ngọc Trì, diện tích 32m2, 4 tầng, mặt tiền 4m, giá chỉ 3,1 tỷ. + Vị trí đắc địa, chỉ 20m ra đường ô tô tránh, vài bước chân tới Hồ Bến, Chợ Đồng Đình và Trường C3 Thạch Bàn, Hà Nội Garden City. Ngỏ rộng thoáng cách ô tô chỉ vài bước chân. + Nhà chủ tự xây rất tâm huyết, mới ở chỉ được 3 năm do thay đổi công việc nên bán lại cho khách có duyên. Thiết kế 4 tầng rất đẹp, đầy đủ công năng, tổng 3 phòng ngủ khép kín, nội thất chất lượng. + Sổ đỏ vuông đẹp, pháp lý rõ ràng, sẵn sàng giao dịch. Chủ nhà cần bán gấp nên rất thiện chí, giá chỉ 3,1 tỷ. Khách mua nhà thiện chí có thể thương lượng và gia lộc thông tin nhà hoàn toàn đầy đủ và chính xác.Anh/chị có nhu cầu mua nhà liên hệ em Phúc chuyên nhà đất thổ cư tại quận Long Biên để được tư vấn và xem nhà hoàn toàn miễn phí.Gọi ngay khi nhà chưa bán: Mr. Hoàng Phúc (Chuyên thổ cư). ",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783250.1389124, 4
"1,9 tỷ VNĐ","Bán CHCC 76m2 toà HH1B Linh Đàm, Hoàng Mai; 1.9tỷ; 0986491829", 76m2,,,,,,"Bán CHCC 76m2 toà HH1B Linh Đàm, Hoàng Mai; 1.9tỷ; 0986491829  Mình cần bán Căn 76m2 toà HH1B với 3 phòng ngủ+2vs, nhà full đồ nội thất đầy đủ thật 100% như trong ảnh. 🌅View hồ đẹp long lanh, hướng Đông Nam vô cùng thoáng mát. Nhà mình ít người nên giữ gìn rất mới và sạch đẹp.  💰Giá thương lượng 1tỷ9.. ☎️ Số đt: 0986491829 Call, zalo hoặc facebook (xem nhà trực tiếp và được tư vấn miễn phí 24/7).                                                   ☘️A.c.e nào ưng thì liên hệ mình nhé! Cảm ơn Ad đã duyệt bài ạ!!!       http://www.sanbatdongsanviet.com.vn",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783250.9268043,
"8,5 tỷ VNĐ","Đường Đội cấn, Đội Cấn, Ba Đình", 41m2,, 3, 4, 4, 3,"
    MÔ TẢ:+ Ngõ to kinh doanh sầm uất ngày đêm, ngõ thông sang Kim Mã, Vạn Phúc, nhà cách mặt phố Đội Cấn 16m, ô tô tải trước cửa.THIẾT KẾ:+ Nhà lô góc cực thoáng, phù hợp vừa ở vừa kinh doanh: đa dạng hoặc vừa ở vừa cho thuê.+ Nhà chia làm 2 khối, khối ngoài 4 tầng, tổng 4 phòng ngủ, WC.+ Khối sau 3 tầng, tổng 2 phòng ngủ. + Sổ đỏ chính chủ, sẵn sàng giao dịch.",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783252.008996, 3
"6,55 tỷ VNĐ","Đường Khương Đình, Khương Đình, Thanh Xuân", 48m2,,, 1,,,"( SIÊU PHẨM ) BÁN NHÀ KHƯƠNG ĐÌNH, 48Mx4 TẦNG, 6,55 TỶ, CÓ TL 🤝🤝🤝   Mô Tả: Đường trước nhà ô tô 5 tạ đi qua thoải mái.  + Mặt ngõ rộng, cách phố 30 mét.  + Hệ thống cửa cổng sử dụng khoá vân tay rất đắng cấp.  Thiết kế: Nhà xây 4 tầng full trần, nội thất cao cấp chủ để lại toàn bộ. Có sân để được 4-5 xe máy thoải mái.  + Tầng 1: Sân để xe + Phòng khách + WC.  + Tầng 2,3: Mỗi tầng 2 phòng ngủ + WC.  + Tầng 4: Phòng thờ + sân phơi + WC khép kín.  + Sổ đỏ phân lô sẵn sàng giao dịch.  + Cam kết thông tin và hình ảnh thật 100%.  + Liên hệ : 0934.438.222 ( Mr.Ngọc ) để dc xem nhà ngay và gặp trực tiếp chủ nhà ",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783253.1309936, 4
"6,8 tỷ VNĐ",Nguyễn Hoàng Nam Từ Liêm Hà Nội, 50m2,,,,,,"- Diện tích 50m2 X5 Tầng. Mặt tiền 4.1mGiá 6.8 tỷ ( có thương lượng )  - Vị trí cực đẹp, cách mặt phố Nguyễn Hoàng chỉ 20m, thông ra Mỹ Đình, gần trường Cao Đẳng Y Hà Nội.  - Thiết kế 5 tầng Tổng 10 phòng khép kín cho thuê hiệu xuất 50 triệu/tháng! - nhà có thể lên 7 tầng Có ô chờ thang máy!  - Giao Thông thuận tiện, tiện ích xung quanh đầy đủ!  - Nhu cầu cho thuê cực cao! - Khách mới mua vào chỉ việc đếm tiền hàng tháng!  - Sổ đỏ cực đẹp, pháp lý chuẩn! Liên hệ em Quân để được tư vấn và xem nhà! 0385 94 1802 Miễn ( TG Quảng Cáo )",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783254.0395286,
"6,5 tỷ VNĐ","Đường Đình Thôn, Mỹ Đình 1, Nam Từ Liêm", 48m2,, 4, 3, 10, 10,"
    
BÁN TOÀ CCMN DỊCH VỤ MỸ ĐÌNH - 6 TẦNG - 10 PHÒNG - CÓ THANG MÁY - DOANH THU 540tr/năm.

- Giá chào chỉ 6.5 tỷ chủ nhà cần bán gấp.

- Hơn 6 tỷ nhà xây mới có thang máy, lại 6 tầng, lại còn 10 phòng quá hiếm.

- Trung tâm Mỹ Đình khu vực đông dân cư, gần nhiều trường Đại học nhu cầu thuê ở cao.

- Gần các phố Lê Quang Đạo, Phú Đô, Mễ Trì, Đình Thôn, Nguyễn Hoàng, Lê Đức Thọ.

- Tiện ích an sinh đầy đủ chợ, trường, bệnh viện gần nhà.

* Pháp lý chuẩn, sổ đỏ vuông vắn, thương lượng trực tiếp chủ nhà.
* LH em Đức tư vấn và hỗ trợ xem nhà miễn phí: 0886.883.123(zalo).
* Chuyên BĐS DÒNG TIỀN CCMN, APARTMENT, HOTEL, MẶT PHỐ... đa dạng phân khúc các quận nội thành Hà Nội.
",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783255.3430426, 6
14 tỷ VNĐ,"Đường An Xá, Cống Vị, Ba Đình", 30m2, Đông nam, 6, 22, 12,,"Em Cần bán gấp nhà biệt thự nhà liền kề mặt phố phù hợp nhà kinh doanh khách sạn mặt biển chỉ hơn 14 tỷ Căn shophouse 4,5 tầng có diện tích đất 120m², bề ngang 6m dài 20m.Tổng diện tích sàn xây dựng là 480m².Hướng Tây Bắc, đường 22,5m, thông ra đường biển Võ Nguyên Giáp 60m.Đối lưng tuyến phố đi bộ 100 tỷ được tỉnh Quảng Bình phê duyệt.Nằm trong quần thể dự án với quy mô 21hecta, hơn 300 shophouse, 1500 căn hộ và khách sạn Novotel.Thuộc khu đô thị quốc tế Regal Legend Quảng Bình toạ lạc tại bán đảo Bảo Ninh, được mệnh danh là Sơn Trà, Đà Nẵng thứ 2. Với vô vàn tiềm năng phát triển trong tương lai.Sở hữu 1 căn shophouse ở đây, quý khách vừa có thể kinh doanh mô hình boutique hotel (khách sạn mini), hay cho các cửa hàng thuê lại kinh doanh buôn bán.Hơn hết, bất động sản biển luôn có tiềm năng sinh lợi cao.Chính sách đặc biệt:* Ưu đãi chiết khấu lên tới 14,5 %.* Hỗ trợ vay lên tới 70%.* Hỗ trợ vay lãi suất 0% và ân hạn nợ gốc 24 tháng.* Thanh toán ban đầu chỉ từ 15% được phép chuyển nhượng ngay.* Hỗ trợ tư vấn thiết kế nội thất miễn phí cùng nhiều ưu đãi đặc quyền dành riêng cho suất ngoại giao đặc biệt.------------------------------Nhận ngay bảng giá và chính sách bán hàng Regal Legend Quảng Bình độc quyền từ chủ đầu tư:Hotline: 0911067373Mr.Van Anh (hỗ trợ đưa đón và tham quan nhà mẫu 24/7). Pava. vn  đơn vị phát triển truyền thông và hỗ trợ  đăng tin bất động sản Quảng Bình.",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783256.4760098, 5
"19,5 tỷ VNĐ","Chính chủ cần bán nhà ngõ phố  Thái Hà Hoàng Cầu Yên Lãng Trung Liệt Đống Đa dt 75 m2 giá 19,5 tỷ", 75m2, Tây nam, 4, 6, 8, 6,"Chính chủ cần bán nhà ngõ phố  Thái Hà Hoàng Cầu Yên Lãng Trung Liệt Đống Đa dt 75 m2 giá 19,5 tỷ  Gia đình em cần bán gấp căn nhà xây mới tại ngõ phố Thái Hà,  Hoàng Cầu,  Yên Lãng, phường Trung Liệt, Quận Đống Đa, diện tích 70 m2 thực tế xây dựng 75m2, mặt tiền 4,5m, nhà xây dựng 7 tầng cầu thang máy, trang trí nội thất thiết kế hiện đại phong cách, nhà sàn gỗ nhập khẩu, cầu thang máy cầu thang bộ, thiết bị wc cao cấp, nóng lạnh, điều hòa tiên nghi đầy đủ,  tầng 1 thiết kế phòng khách , chỗ để xe, tầng 2 + 3 + 4 + 5  thiết kế mỗi tầng 2p ngủ rộng wc, tầng  6 thiết kế bếp ăn phòng khách, tầng 7 thiết kế phòng thờ sân phơi, nhà nằm trên mặt ngõ thoáng mát, khu dân trí cao, giao thông đi lại thuận tiện, sđcc, giá bán 19 ,5 tỷ Có thương lượng, mtg, môi giới làm phiền. LH Anh Thụy 0936359198 / 0961218968 quý khách sẽ được phục vụ tận tình được tư vấn từ A đến Z để quý khách mua được căn nhà như Ý",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783257.6767972, 7
"3,7 tỷ VNĐ","Đường Nguyễn Huy Tưởng, Thanh Xuân Bắc, Thanh Xuân", 26m2,, 4, 6, 6,,"+ Chính Chủ cần Bán Nhà Mặt Phố Nguyễn Huy Tưởng Quận Thanh Xuân Vị Trí Tuyệt Đỉnh DT 26 m2 x 6 Tầng Giá 3.7 Tỷ.  + Khu phố VIP của Thanh Xuân, tập trung nhiều chung cư, tòa nhà văn phòng, nhiều trường Đại học. Phố to, hè rộng, kinh doanh buôn bán tấp nập. Nhà đang cho thuê 16 triệu/ tháng. + Nhà đẹp 6 tầng, mỗi tầng 1 phòng rộng, thửa đất vuông vắn, + LH:Hoàng Bắc,  chuyên nhà đất Hà Nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",16/12/2022,Tin thường,batdongsan_so_com_vn_1673783258.6903505, 6
