price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Hướng,Lộ giới
"3,45 tỷ VNĐ",Cầu Am- Hà Đông, 47m2, 4,"SIÊU HIẾM nhà đẹp Cầu Am, Hà Đông, gần ô tô, ngõ thông, 47mx4 tầng Nhà hiếm đẹp có 1-0-2 trung tâm Quận Hà Đông vạn Phúc tuyến phố huyết mạch. Giao thông di chuyển thuận lợi các phố: Yết Kiêu, Nguyễn Trãi, Văn Quán, Trần Phú, Vạn Phúc,Ngô Quyền, Tố Hữu..... Nhà được thiết kế công phu, khung cột bê tông đẹp chắc chắn mang phong cách hiện đại ấm cúng. Phòng nào cũng có ban công cửa sổ vô cùng thoáng sáng, view trước nhà rất đẹp, chỉ việc đến ở ngay. Xung quanh đầy đủ tiện ích gần phố: Siêu thị, ngân hàng, trường học, bệnh viện, cạnh chợ bước chân ra phố mua được cả thế giới. Hàng xóm xung quanh toàn công chức thân thiện, nếp sống hiện đại, văn minh. Sổ đỏ chính chủ, pháp lý sạch. Giá: 3.45 tỷ ( có gia lộc). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",17/12/2021,Tin thường,batdongsan_so_com_vn_1673835638.1079812,,,,,
"6,5 tỷ VNĐ",Mỗ Lao- Hà Đông, 54m2,,"Nhỉnh 6 tỷ nhà đẹp gara ô tô, ngõ thông, Mỗ Lao, Hà Đông, 54m, mặt tiền 5m. Mỗ Lao, Hà Đông, nổi tiếng một trong những nơi đáng sống bậc nhất Hà Đông, dân đông, phố rộng hè thoáng, môi trường trong lành, tiện ích ngút ngàn: Siêu thị, chợ, trường học các cấp, trục chính di chuyển thuận lợi: Ao Sen, An Hòa, TRần Phú, Chiến Thắng, Nguyễn Khuyến, Đại An, Văn Quán,... Nhà được xây dựng trên mảnh đất đẹp, vượng khí tài lộc, gia chủ làm ăn rất phất, nhiều nhà nay bán bớt để mở rộng kinh doanh. Nhà có gara ô tô, ngõ thông tứ tung, các phòng đẹp thoáng sáng, mặt tiền rộng 5m rất hiếm. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 6.5 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",16/12/2021,Tin thường,batdongsan_so_com_vn_1673835639.8544836, 5,,,,
"2,82 tỷ VNĐ",Quang Trung- Hà Đông, 42m2, 4,"Bán nhà 42m2x 4 tầng cạnh tàu điện Cát Linh, Hà Đông, ngõ thoáng, gần ô tô Nhà bán nằm vị trí đẹp giao thông vô cùng thuận lợi trục chính Quang Trung, di chuyển các hướng Phan Đình Giót, Yên Nghĩa, Ba La, Văn Phú, Văn La, Trần Đăng Ninh, Lý Thường Kiệt,Hà Cầu, Tố Hữu...cạnh các phố chính kinh doanh sầm uất, nhiều tiện ích. Xung quanh: siêu thị, các bệnh viện lớn, ngân hàng, chợ, trung tâm thương mại, công viên... Nhà được thiết kế khung cột chắc chắn, các phòng thoáng sáng đầy đủ công năng, chỉ việc ở ngay. Cạnh park city. Sổ đỏ vuông, pháp lý chuẩn. Giá: 2.82 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.       - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",16/12/2021,Tin thường,batdongsan_so_com_vn_1673835642.2716632,,,,,
"4,24 tỷ VNĐ",Văn Quán- Hà Đông, 51m2, 4,"HOT! Văn Quán, Hà Đông, 51m2x 4 tầng, nhỉnh 4 tỷ, ô tô gần Giới thiệu đến quý khách hàng một căn nhà tại vị trí Trung tâm Quận Hà Đông, nhà đẹp nhất khu gần Hồ Văn Quán rất hiếm, ngõ thoáng, giao thông di chuyển quá thuận lợi các phố: Thanh Bình, Phùng Hưng, Phúc La, Quang Trung, Trần Phú, Nguyễn Trãi, Chiến Thắng, Nguyễn Khuyến,.... Tiện ích ngút ngàn: xung quanh là các ngân hàng, trường học các cấp, tàu điện, bến xe, siêu thị, việc đi lại quá dễ dàng nhanh chóng. Nhà được chủ là dân xây dựng chuyên nghiệp xây rất chắc chắn, ở giữ gìn bao năm sạch đẹp như mới, các phòng đều mở cửa sổ thoáng sáng với 4 tầng rộng đẹp, khu hiếm nhà bán. Sổ đỏ cất két, giao dịch ngay. Giá: 4.24 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",17/12/2021,Tin thường,batdongsan_so_com_vn_1673835644.1173365,,,,,
4 tỷ VNĐ,Hà Nội, 46m2,," - Bán nhà phố Tôn Đức Thắng, quận Đống Đa. - Tòa nhà tọa lạc vị trí đắc địa, trung tâm Hà Nội đi đâu cũng rất thuận tiện, Lăng Bác, Văn Miếu, … - Nhà xây dựng trên diện tích 46 m, 4 tầng, trang bị toàn bộ nội thất đẹp, chỉ việc xách vali về ở. - Giá chỉ 4 tỷ thương lượng sâu với chủ nhà, bao sang tên, tặng full nội thất xịn.  - Sổ đỏ chính chủ.Liên hệ miễn phí: 0856 968 656 - Thanh Bình Giáo sư Thổ cư.",17/12/2021,Tin thường,batdongsan_so_com_vn_1673835645.9878523,,,,,
"6,4 tỷ VNĐ",Phố Tây Sơn Phường Trung Liệt Quận Đống Đa Hà Nội, 50m2,,"+ Vị trí đẹp, ngõ 252 là ngõ rất rộng, ô tô tránh, mặt hồ bán nguyệt, mặt chợ, kinh doanh sầm uất ngày đêm. Buôn bán gì cũng đắt hàng, tiện ích khu vực rất nhiều. Ngay cạnh song song là phố Thái Hà danh giá, nối Chùa Bộc kinh đô Thời trang, có tòa TTTM Pason, tòa Mipec Tây Sơn, các cơ quan và khối hành chính sự nghiệp lớn, làm ăn rất tốt. + Nhà xây dựng kiên cố, chắc chắn, khung cột bê tông cốt thép xây 5 tầng, - Tầng 1: Bán hàng - Tầng 2: Phòng khách, wc. - Tầng 3,4: Mỗi tầng 1 phòng ngủ rộng, wc. - Tầng 5: phòng thờ, sân phơi.  + Vài bước chân ra phố Tây Sơn, Thái Hà, gần ngay trường ĐH Ngân Hàng, Thuỷ Lợi, Bệnh viện ĐH Y. Khu vực cơ sở hạ tầng an ninh tốt, hàng xóm thân thiện, xung quanh ngập tràn tiện ích, an sinh tuyệt vời. + Sổ đỏ chính chủ                                                Liên hệ: Mr Khanh 0989075515 hỗ trợ xem nhà.",18/10/2021,Tin thường,batdongsan_so_com_vn_1673835647.6883907,,,,,
"5,15 tỷ VNĐ",Phố Tô Vĩnh Diện Phường Khương Mai Quận Thanh Xuân Hà Nội, 36m2,,"+ Vị trí cực đẹp, cách 1 nhà ra 2 phố Tô Vĩnh Diện và Hoành Văn Thái phía sau, tương lai sát mặt phố lô góc khi 2 tuyến đường được mở rộng. Tiện ích ngập tràn bao quanh bởi các Trường đại học Y, Thủy lợi, Công đoàn... gần các tuyến phố trung tâm như Lê Trọng Tấn, Trường Chinh, Tôn Thất Tùng... + DT 36m x 5T x MT 3.1m x 5.15 tỷ + Nhà 4 tầng + 1 lửng đẹp long lanh, thiết kế hiện đại, nhà thoáng mát, ánh sáng tự nhiên, đầy đủ công năng.Khu vực dân trí cao, an sinh tốt, hàng xóm thân thiện. - Tầng 1: Khách + wc + để xe. - Tầng lửng: Bếp + phòng ăn. - Tầng 3+4+5: 3 ngủ khép kín rộng đẹp khép kín, thoáng sáng. - Phù hợp vừa ở, vừa Kinh doanh online các loại. + Sổ đẹp, sẵn sàng giao dịch. Liên hệ Mr Khanh 0989075515",17/12/2021,Tin thường,batdongsan_so_com_vn_1673835649.8155148,,,,,
"3,95 tỷ VNĐ",Ngõ Thịnh Hào 1 Phường Hàng Bột Quận Đống Đa Hà Nội, 42m2,,"+ Vị trí ngay gần đầu ngõ vài bước là ra tới phố Tôn Đức Thắng, nhà thoáng mát, ánh sáng tự nhiên, sạch sẽ, yên tĩnh, an ninh tốt, dân trí cao, hàng xóm thân thiện. Nhà xây dựng kiên cố, chắc chắn, khung cột bê tông cốt thép, thiết kế hiện đại, nội thất đẹp về ở ngay. + Thiết kế: Tầng 1: Khách, bếp, wc. Tầng 2,3: mỗi tầng 2 phòng ngủ + wc. Tầng 4: phòng thờ, sân phơi. + Nhà nằm vị trí khu vực trung tâm Quận Đống Đa, đi lại thuận tiện vô cùng đắc địa giao thông thuận tiện gần rất nhiều tuyến phố huyết mạch như Tôn Đức Thắng, Đê La Thành, Kim Liên, Nguyễn Lương Bằng, Chùa Bộc, Tây Sơn... + Sổ đỏ sẵn sàng giao dịch         Liên hệ Mr Khanh: 0989075515",10/09/2021,Tin thường,batdongsan_so_com_vn_1673835654.145089,,,,,
"3,75 tỷ VNĐ",Ngõ Thịnh Hào 2 Phường Hàng Bột Quận Đống Đa Hà Nội, 40m2,,"+ Vị trí trung tâm quận Đống Đa, đường trước nhà 3m, cách phố Tôn Đức Thắng khoảng 30m, nhà thoáng mát, ánh sáng tự nhiên, sạch sẽ, yên tĩnh, an ninh tốt, dân trí cao, hàng xóm thân thiện. Nhà xây dựng kiên cố, chắc chắn, khung cột bê tông cốt thép, thiết kế hiện đại, nội thất đẹp về ở ngay. + Thiết kế: Tầng 1: Khách, bếp, wc. Tầng 2,3: mỗi tầng 2 phòng ngủ + wc. Tầng 4: phòng thờ, sân phơi. + Giao thông thuận tiện, đi lại thuận lợi, gần rất nhiều tuyến phố huyết mạch như: Xã Đàn, Tôn Đức Thắng, Đê La Thành, Kim Liên, Nguyễn Lương Bằng, Chùa Bộc, Tây Sơn... + Sổ đỏ sẵn sàng giao dịch            Liên hệ Mr Khanh: 0989075515",13/09/2021,Tin thường,batdongsan_so_com_vn_1673835656.4299226,,,,,
"6,42 tỷ VNĐ",Quang Trung- Hà Đông, 55m2, 5,"SIÊU PHẨM Quang Trung, Hà Đông, gara ô tô, ngõ thông, 55m2, 5 tầng siêu hiếm Cần bán ngay nhà đẹp trong tháng, nhà mới cách bố trí phòng cổ điển theo phong cách biệt thự Pháp, các tầng thoáng sáng đầy đủ công năng sử dụng. Nhà đẹp nhất khu. Đường thông thoáng, gara ô tô vào nhà, phố thoáng ô tô chạy vòng quanh, dân trí xung quanh toàn quan chức về đây tụ họp, khu phố văn minh, ở quá yên tĩnh. Vài bước chân ra mặt phố Quang Trung kinh doanh sầm uất. Xung quanh các chợ, siêu thị, ngân hàng, khu vui chơi, bệnh viện,..không thiếu thứ gì, vài bước chân ra phố mua gì cũng có, tiện ích ngút ngàn. Giao thông di chuyển các hướng: Hà Cầu, Cầu Đơ, Nguyễn Trãi, Ngô Thì Nhậm,Quang Trung, Văn Phú..., nhà đẹp khu hiếm. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 6.42 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",17/12/2021,Tin thường,batdongsan_so_com_vn_1673835658.4550512,,,,,
