price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Lộ giới,Hướng,Số toilet
"7,2 tỷ VNĐ","NGuyễn Lân, Thanh Xuân", 46m2, 3, 5, 4,"SIÊU PHẨM NHÀ ĐẸP Ở CỰC SƯỚNG- _PHỐ VIP NGUYỄN LÂN- 10M Ô TÔ TRÁNH-KINH DOANH VĂN PHÒNGDT 46 M x 5 tầng. MT 3m8Mô tả.- Nhà đẹp thông số vàng cách ô tô tránh 10m, kinh doanh văn phòng đỉnh - Nhà đẹp đón Tết dân tự xây cực kỳ chắc chắn tâm huyết từng viên gạch, đẹp miễn chê, ở cực sướng, nhà thiết kế vô cùng hợp lý, tận dụng hết công năng sử dụng, cầu thang giữa, nội thất cửa ra vào sàn gỗ xịn mịn, nội thất vệ sinh cao cấp, - VỊ TRÍ: khu vực đông dân,  dân trí toàn cán bộ cấp cao, an ninh tốt, an sinh đỉnh, giao thông vô cùng thuận tiện.+ Nhà thết kế có 4PN, PK, Bếp, VS, P.thờ, sân phơi...đầy đủ công năng sử dụng.+ Sổ đỏ chính chủ, pháp lý sạch.+ Giá: 7,2 tỷ (có thương lượng)+ LH xem nhà Ms HẠNH 0986116707",31/12/2021,Tin thường,batdongsan_so_com_vn_1673831792.0770965,,,
"8,5 tỷ VNĐ","Vạn Phúc, Hà Đông, TP Hà Nội", 62m2, 4, 4, 4," MẶT PHỐ KINH DOANH - Ô TÔ TRÁNH - CHỢ HOA VẠN PHÚC - TIỆN ÍCH NGẬP TRÀN  🌺 DT 62 x 4 tầng. MT nhỉnh 4m.  💰 Nhà ở vị trí ngay sát Chợ hoa Vạn Phúc, Chợ đồ cổ, khu hot nhất Vạn Phúc.💰 Kinh doanh các thể loại, đều sầm uất.💰 Đường ô tô tránh, rất thuận tiện giao thông.+ Mô tả:Tầng 1: sân để xe máy, phòng khách, 1 wc, bếp.Tầng 2,3: 2 phòng ngủ, 1 vệ sinh giữaTầng 4: phòng thờ sân phơi.- Giá nhỉnh 8,5 tỷ- Sổ đang cất két sẵn sàng giao dịch.- LH: Ms hạnh (1977), sdt 0986116707.",12/01/2022,Tin thường,batdongsan_so_com_vn_1673831793.2050683, 6,,
"16,8 tỷ VNĐ",Nguyễn Cảnh Dị - Đại Kim - Hoàng Mai- Hà Nội, 61m2, 4, 6, 4,"NHÀ MẶT PHỐ - VỈA HÈ RỘNG - THOÁNG 2 MẶT - HIẾM NHÀ BÁN - GẦN CHỢ - GẦN TRƯỜNG - AN SINH ĐỈNH - KINH DOANH CỰC TỐT 🌹🌹🌹.DT 61m x 6 tầng. Mt: 4,2 m  👉 Nhà nằm mặt phố ngay cạnh Nguyễn Cảnh Dị, gần Trường Tiểu Học Đại Từ, thuộc KĐT Đại Kim, khu vực hiếm nhà bán. Xung quanh Nhà hàng, Cà phê, Karaoke kinh doanh sầm uất. Cách chợ Đại Từ 200m, vài phút đi bộ ra Hồ Linh Đàm. Khu vực nhiều cây xanh, vỉa hè rộng rãi. Ở rất tuyệt mà kinh doanh thì càng tuyệt vời hơn.👉 Nhà xây 6 tầng, thiết kế thông sàn. Mặt phố có vỉa hè. Nhà thoáng 2 mặt, mặt trước nhà là đường 24m, đường sau nhà 9m. Đi vào 2 cửa trước sau đều được. Nên rất phù hợp vừa ở vừa kinh doanh hay cho thuê. Trước dịch chủ cho Công ty thuê trên 30 triệu/tháng.👉 Giá 16,8 tỷ (có TL)👉 SDCC. GIAO DỊCH NGAY👉 LH xem nhà Ms HẠNH 0986116707",23/02/2022,Tin thường,batdongsan_so_com_vn_1673831794.1894345,,,
17 tỷ VNĐ,Hà Nội, 110m2,,,,"Chủ nhà cần bán gấp nhà mặt phố Nguyễn Trãi - SĐT: 0366 555 258.Diện tích 110 m2, 6 tầng, mặt tiền 8 m, giá 17 tỷ thương lượng sâu. - Nhà mặt phố vị trí đẹp, diện tích, mặt tiền rộng, vỉa hè rộng kinh doanh hay cho thuê cực tốt.Thiết kế: - Tầng 1: Kinh doanh, WC. - Tầng 2 + 3 + 4 + 5: Nhiều phòng, WC. - Tầng 6: Phòng thờ + sân phơi.Sổ đỏ sẵn sàng giao dịch.Liên hệ: Nguyễn Thanh - SĐT: 0366 555 258.",23/02/2022,Tin thường,batdongsan_so_com_vn_1673831795.2775257,,,
"5,5 tỷ VNĐ","Trần Phú, Hà Đông, Hà Nội.", 45m2,, 4, 4," # Bán nhà riêng Trần Phú, Hà Đông, an ninh, an sinh đỉnh. DT 43/45m2 4T. Giá 5.5 tỷ ( Có Thương Lượng ).  + Vị trí tuyệt đẹp nằm cạnh KĐT Văn Quán, tiếp giáp quận Thanh Xuân xung quanh tập trung nhiều trường Đại Học, phố trung tâm tiện ích và tiềm năng.  + Ngõ rộng ô tô đỗ ngày đêm vài chục mét ra phố chính, giao thông thuận tiện.  + Khu dân trí cao, tuyệt đỉnh an sinh, an ninh đỉnh.  + Nhà chủ tự xây mới 4 tầng khung cột chắc chắn, thiết kế cầu thang giữa, mỗi tầng 2 phòng rộng thoáng sáng.  + Giá 5.5 tỷ khách thiện trí giá chốt bất ngờ.  + Sổ đỏ chính chủ, sẵn sàng giao dịch.  + Để tham khảo thêm hàng 100 ngôi nhà mặt phố, vị trí kinh doanh, lô góc, đẹp độc lạ, những khu đất vượng khí đón tài lộc giá từ 3 đến 40 tỷ.  # LH SĐT: 0906113879 Tình nhà phố ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông, Hà Nội ).",23/02/2022,Tin thường,batdongsan_so_com_vn_1673831796.4892836,,,
,PHAN TRỌNG TUEJ THANH TRÌ HA NỌI, 76m2,,,,"+Khu nhà p/lô,liền kề,ô tô chạy vòng quanh, nằm trong tổ hợp KĐT Đại Thanh.Khu vực đang phát triển từng ngày. +Nhà xây 6 tầng,thiết kế thông sàn +Thang máy xin sò. +Vị trí đẹp phù hợp vừa ở vừa kinh doanh văn phòng cực đỉnh. +KĐT Đại Thanh với bạt ngàn tiện ích:trường MN,siêu thị MT,nhiều dịch vụ giải trí VIP. +Nhà xây 6 tầng,thiết kế thông sàn +Giao thông kết nối thuận tiện : sát đường Phan Trọng Tuệ (vành đai 4).đi Hà Đông,KĐT Linh Đàm.CV Chu Văn An, TheManor Nguyễn Xiển,vành đai 3. +Pháp lý sạch đang chờ ra sổ. +Giá 6.6 tỷ có thượng lượng +LH Mr Phúc 0978.895.889zalo-0912.338.038",15/02/2022,Tin thường,batdongsan_so_com_vn_1673831797.5963736,,,
,bằng b hoàng mai ha nội, 42m2,,,,"+Ngõ rộng,thông.RẺ trong tầm tài chính nhà có vị trí vừa ở vừa kinh doanh,ô tô vào  nhà +Vị trí rất đẹp ô tô đỗ cửa ngày đêm,kinh doanh tốt.Chủ làm ăn phát đạt mua nhà diện tích lớn hơn. +Nhà tự xây 4 tầng,mặt tiền 4m,còn đẹp như mới,khách mua về ở ngay. +Tặng lại toàn bộ nội thất. +Khu phố đẹp,ít nhà bán,môi trường sạch thoáng,thân thiện,dân trí cao. +Gần chợ,trường MN,THCS,nhà văn hóa,sân chơi cộng đồng. +Kết nối với KĐT Linh Đàm, bán đảo,hồ Linh Đàm với nhiều tiện ích VIP. +Giao thông thuận tiện :nhiều đường vào TTTP,đi vành đai 3,bến xe cao tốc Pháp Vân,bệnh viện. +Pháp lý chuẩn,đẹp sang tên ngay. +4.5 tỷ có thương lượng. Mr Phúc.097.8895.889zalo-0912.338.038. ",22/01/2022,Tin thường,batdongsan_so_com_vn_1673831798.6216302,,,
"3,5 tỷ VNĐ","Phan Đình Giót, Hà Đông, Hà Nội.", 35m2,, 4, 4," # Bán nhà Phan Đình Giót, Hà Đông, ô tô qua, DT 35m2, 4T, giá chỉ nhỉnh 3 tỷ. + Vị trí thuận tiện ngõ thông, ô tô chạy vòng quanh, giao thông thuận lợi.  + Khu dân đông qua lại đông đúc phù hợp ở kết hợp kinh doanh nhỏ. + Gần sát KĐT Ngô Thì Nhậm, trường THCS Trần Đăng Ninh, chợ Bông Đỏ, gần viện Đa Khoa Hà Đông, cách Bưu Điện Hà Đông, Cầu Trắng, Chợ Lớn Hà Đông, siêu thị Mê Trô vài phút chạy xe, trung tâm phố tiện ích. + Nhà xây mới, thiết kế hiện đại, đầy đủ công năng. chủ mới mua về chỉ việc về ở. + Giá 3.5 tỷ. + Sổ đỏ vuông, phong thủy đẹp sẵn sàng giao dịch. # LH SĐT: Tình nhà phố 0906113879 ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông, Hà Nội ).",23/02/2022,Tin thường,batdongsan_so_com_vn_1673831799.7805316,,,
"16,3 tỷ VNĐ",Hà Nội, 92m2,,,,"Cần bán gấp tòa nhà Tô Vĩnh Diện, Thanh Xuân, gara ô tô, thang máy, dòng tiền tốt - SĐT: 0366 555 258. Diện tích 92m2, 8 tầng, tiện ích đỉnh, phù hợp vừa ở vừa kinh doanh dòng tiền.Giá cực shock: 16.3 tỷ thương lượng sâu.Mô tả:Tòa nhà dịch vụ văn phòng - Dòng tiền tốt - Khu dân trí cao - Hiếm có - Đón tài lộc.Mặt ngõ như mặt phố, ô tô 29 chỗ vào nhà.Vị trí nằm ở trung tâm Hà Nội, thông Hoàng Văn Thái, Nguyễn Ngọc Nại, Vương Thừa Vũ, Lê Trọng Tấn…Gần trường Đại học Y, Trường Chinh, Tôn Thất Tùng…Khu vực BĐS biến động theo ngày.Sổ đẹp, chính chủ. Kinh doanh bất chấp.Nguyễn Thanh vua dòng tiền, mặt phố Hà Nội - 0366 555 258.Cam kết tư vấn tận tâm và hỗ trợ cô chú, anh chị mua nhà với giá tốt nhất thị trường.Săn nhà theo nhu cầu của quý khách nhanh, tiết kiệm thời gian và hoàn toàn miễn phí.",23/02/2022,Tin thường,batdongsan_so_com_vn_1673831800.8835506,,,
"4,3 tỷ VNĐ",ngõ 104 Nguyễn An Ninh, 40m2, 3, 5, 6,"Chuyển đổi tôi cần bán nhà  mới xây được 2 năm ngõ 104 Nguyễn An Ninh đi thông sang 176 Trương Định, Hà Nội.DT 40m2 x 5 tầng, giá 4.3 tỷ.Nhà xây dựng 40m2 x 5 tầng,  nhà đẹp không lỗi phong thủy. Thiết kế có giếng trời lấy ánh sáng và không khí vào phòng. để lại toàn bộ nội thất.-Thiết kế bao gồm - Tầng 1: Phòng khách, bếp ăn riêng biệt, WC.- Tầng :2,3: Mỗi tầng 2 phòng rộng, 1 WC.- Tầng 4:1 phòng ngủ, phòng thờ-Tần 5: sân phơi và vườn trồng cây.Khu dân trí cao, an ninh tốt, hàng xóm thân thiện, tiện chợ gần trường học bệnh viện, cách ĐH Kinh Tế, Bách Khoa, Xây Dựng 1km, ngõ trước nhà 2 xe tránh nhau thoải mái.Sổ đỏ chính chủ. Giá 4.3 tỷ (có thương lượng) Liên hệ chị Yến ĐT:0702138238",21/02/2022,Tin thường,batdongsan_so_com_vn_1673831802.022564, 3, Tây, 3
