price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số toilet,Hướng
"1,75 tỷ VNĐ","đường Độc Lập, Phường Cự Khối, quận Long Biên, Hà Nội", 40m2, 3, 2,"Bán Ngay Nhà Cự Khối, Long Biên 40m2, 3T chỉ 1,85 tỷ (ngõ thông, ô tô đỗ cửa)  Tầng 1 thiết kế Phòng khách, bếp, wc. Tầng 2 : Phòng ngủ, wc. Tầng 3 phòng ngủ, sân phơi..  + Nhà xây dựng chắc chắn, bố trí công năng sử dụng hợp lý, nhà thuộc ngõ Độc Lập của Phường Cự Khối, xung quanh gần chợ, trường học và các tổ hợp dịch vụ, xung quanh không xa kết nối các tuyến như UBND Phường Cự Khối, Bát Khối, Cầu Thanh Trì… + Lh gọi ngay Mr Tùng : 0965 722 358",11/12/2022,Tin thường,batdongsan_so_com_vn_1673783812.9300115,,,,
5 tỷ VNĐ,"Đường Bắc Cầu, Long Biên, Long Biên", 130m2, 3, 5,"Bán biệt thự ven sông Hồng, dt 130m, Mt 12m, giá hơn 5 tỷ. + Nhà 2 mặt phố, thuận thiện đi lại. + Đại sứ quán thuê cho Sếp. + View sông nguồn tiền ổn định. + Biệt thự 5 ngủ, 3 nhà wc. + Sổ đỏ đẹp, giao dịch ngay. + Liên hệ ngay không mất cơ hội sống cạng Thành Phố Ven Sông HÀN. LH:Giang Bất động sản: Chuyên thổ cư , Đất nền, Chung cư, Tư vấn phong thủy, Hỗ trợ ngân hàng. Hỗ trợ thiết kế nhà.  Tuyển dụng đào tạo Bất Động Sản chuyên nghiệp. Nhận mua bán, ký gửi nhà.2280/11360/126 #Ngocthuy #Nguyenvancu Telegram, Zalo: 0934035888 https://t.me/batdongsantc ",11/12/2022,Tin thường,batdongsan_so_com_vn_1673783814.2255828, 11, 10, 3,
35 tỷ VNĐ,"Đường Lâm Hạ, Bồ Đề, Long Biên", 120m2, 7, 6,"+ Toạ lạc vị trí đẹp nhất quận Long Biên, toàn biệt thự, văn phòng, nhà cao tầng. Tương lai cực giá trị, xung quanh nhà hàng, cửa hiệu vô vàn ... + Hàng xóm quan chức cấp cao, vỉa hè hai bên, ô tô dừng đỗ ngày đêm ... Kinh doanh, Văn Phòng đẹp miễn chê.+ Tổng diện tích 120m2, xây 7 tầng, an sinh đỉnh cao.+ Sổ đỏ phân lô, pháp lý chuẩn, giao dịch ngay.+ Giá bán: 35 tỷ.Liên hệ: Hoàng Duy (Duy Nhà Đẹp) – 0945950386 (miễn trung gian).",11/12/2022,Tin thường,batdongsan_so_com_vn_1673783815.2827172, 6, 9, 6,
6 tỷ VNĐ,"nam dư , linh nam , hoàng mai", 60m2, 1, 2,"Bán nhà   mặt phố Nam Dư , trần phú ,hoàng mai   DT  60m2 , nhà Lô Góc có 2 mặt tiền 5m và 12m hiện đang cho thuê ,nhà nằm vị trí giao thông thuận tiện  học  cách cầu thanh trì 500m , cách chợ 300m gần trường tiểu học , cấp 2 và cấp 3 hoàng mai  . vị trí nhà hai mặt phố đều kinh doanh rất tốt .  nhà rất phù hợp cho các bác đầu tư xây tòa văn phòng , khách sạn   , sổ đỏ chính chủ Giá :  6 tỷ  ( có thương lượng )",11/12/2022,Tin thường,batdongsan_so_com_vn_1673783816.1823103, 5, 35, 1, Tây nam
3 tỷ VNĐ,"Đường Ngô Gia Tự, Đức Giang, Long Biên", 31m2, 5, 3,"Bán nhà Ngô Gia Tự, Dt 31m, nhà 5 Tầng, Giá hơn 3 tỷ.+ Ngõ Ngô Gia Tự ngõ 2 ô tô tránh, ô tô 7 chỗ qua nhà.+ Đường trải nhựa đẹp, sạch sẽ, thoáng đãng.+ Khu vực dân trí cao, an ninh tốt, hàng xóm cực kì thân thiện.+ Chủ đầu tư có tiếng xây cẩn thận, bảo hành 2 năm.+ Thiết kế thông sàn, tổng 3 phòng khép kín, phòng thờ sân phơi tầng 5. LH:Giang Bất động sản: Chuyên thổ cư , Đất nền, Chung cư, Tư vấn phong thủy, Hỗ trợ ngân hàng. Hỗ trợ thiết kế nhà.  Tuyển dụng đào tạo Bất Động Sản chuyên nghiệp. Nhận mua bán, ký gửi nhà.2285/1148/1295 #Ngogiatu #Nguyenvancu Telegram, Zalo: 0934035888 ",11/12/2022,Tin thường,batdongsan_so_com_vn_1673783817.3412097, 4, 3, 4,
"4,5 tỷ VNĐ","Đường Quốc lộ 32, Kim Chung, Hoài Đức", 42m2, 3, 4,"
    Cực Hiếm,  Bán Nhà riêng Lai xá, Kim Chung, Hoài Đức, Ô tô, Kinh doanh, 45m 4 tầng chỉ 4,x tỷ
+ Giá người nhà, có TL ( x mầm non)
- Vị trí cực đỉnh, Kinh doanh, Cho thuê. Đang phát triển từng ngày.
- Đầu tư sinh lời, Nhà hàng, Khách sạn, Nhà nghỉ.
-Giao thông thuận tiện, Đường Quốc lộ 32, Đường TL 422, Đường vành đai 3.5, Bến xe Phùng, Bến xe Mỹ Đình,
- Tiện ích Xung quanh Trường học cấp 1,2,3, Đại Học Thành Đô, Đại Học Công Nghiệp HN, chợ, Y tế,
- Sổ Hoa Hậu CC, Sang tên nhanh gọn.
- Giá thương lượng. Thiện chí
Xem nhà gọi Mr Đức Nhà Đẹp 0898839292. Rất nhiều Nhà Đẹp phù hợp mọi nhu cầu Anh Chị Em nhé.
",11/12/2022,Tin thường,batdongsan_so_com_vn_1673783818.3146057, 5, 3, 2,
5 tỷ VNĐ,"Đường Giang Văn Minh, Kim Mã, Ba Đình", 60m2, 5, 4,"Chủ nhà đi nước ngoài bán gấp nhà Giang Văn Minh 60m, 5T, nhà đẹp ở luôn , giá 5 tỷ+ Nhà chủ xây rất tâm huyết còn mới, mỗi tầng 2 ngủ khép kín, thoáng, nội thất xịn.+ Nhà nằm mặt ngõ to rộng , khu vực sầm uất có thể kinh doanh, hàng xóm cán bộ, dân trí cao.+ Khu vực hiếm nhà bán, pháp lý đầy đủ ( giá thương lượng )LH : TRUNG 0896695659 ( Tư vấn hỗ trợ 24/7 ).",11/12/2022,Tin thường,batdongsan_so_com_vn_1673783819.2820175, 6, 4, 5,
"4,5 tỷ VNĐ","Đường Vạn Bảo, Kim Mã, Ba Đình", 56m2, 5, 4,"Chính chủ bán gấp nhà Vạn Bảo, Ba Đình, 56m x 5T, nhà đẹp ở luôn , giá 4.5 tỷ.+ Nhà chủ xây tâm huyết, đẹp, hiện đại, nội thất xịn, 3 ngủ khép kín, thoáng tự nhiên. + Nhà khu vực phố VIP ít nhà bán, ba bước ra phố, trường học , bệnh viện , chợ, TTTM quanh nhà. + Pháp lý đầy đủ sẵn sàng giao dịch.LH : TRUNG 0896695659 ( Tư vấn hỗ trợ 24/7 )",11/12/2022,Tin thường,batdongsan_so_com_vn_1673783820.5587256, 5, 4, 5,
"1,55 tỷ VNĐ","Đường Đại lộ Thăng Long, Vân Côn, Hoài Đức", 52m2, 3, 4,"
    CỰC HIẾM CÓ 1 0 2 Bán Nhà Quyết Tiến, Vân Côn, Hoài Đức 52m chỉ 1,x tỷ
+ Giá người nhà ( x mầm non)
- Vị trí đẹp, rộng thoáng, yên tĩnh.
- Gần các Trường Đại Học Đại Nam, Học viện Chính sách, .Khu vực phát triển nhiều Công ty, Doanh nghiệp..
- Sổ CC, pháp lý rõ ràng, sang tên nhanh gọn. Giá thương lượng
- Thông tin chi tiết liên hệ Mr Đức Nhà Đẹp. Rất nhiều Nhà Đất đẹp phù hợp mọi nhu cầu Anh Chị Em.
",11/12/2022,Tin thường,batdongsan_so_com_vn_1673783821.5909264, 5, 3, 2,
"3,83 tỷ VNĐ",La Khê- Hà Đông, 40m2, 4,,"Gia đình cần bán nhà trước Tết tại La Khê, Hà Đông 40mx4 tầng ô tô hơn 3 tỷ Nhà đẹp ở ngay đón Tết sum vầy tại La Khê, Hà Đông với 4 tầng hiện đại đầy đủ công năng sử dụng tổng 4 ngủ, nội thất Châu Âu hiện đại 40m ngõ ô tô thông cách phố rất gần. Nhà cạnh chợ Bông Đỏ rất thuận tiện ra ga La Khê, bến xe bus trường học các cấp. Giao thông thuận lợi giáp Ngô Thì Nhậm ra Quang Trung đối diện Ngô Quyền hàng xóm Văn Phú sang Lê Trọng Tấn. Sổ vuông sẵn sàng giao dịch. Giá: 3.83 tỷ ( gia lộc). Liên hệ : Huyền ( 0363703491- 0965472910) – Gặp trực tiếp chính chủ.",11/12/2022,Tin thường,batdongsan_so_com_vn_1673783822.8555412,,,,
