price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet,Hướng,Lộ giới
7 tỷ VNĐ,Nhân Hòa, 46m2, 5, 6,"+ Vị trí đẹp nhất Phố, tiện ích vô vàn, thông sang Vũ Trọng Phụng, Quan Nhân, Nguyễn Trãi.+ Mặt ngõ thông 2 ô tô tránh nhau, khu vực kinh doanh sầm uất hoặc ở thì tuyệt vời.+ Khu vực rất hiếm nhà bán, hàng xóm toàn cán bộ công an, tướng tá, giáo viên.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.    LH: Em Hoan, 0925088355, chuyên Thổ cư Thanh Xuân, Đống Đa, miễn phí xem nhà 24/7.",11/09/2022,Tin thường,batdongsan_so_com_vn_1673802772.5126684,,,,
"4,5 tỷ VNĐ","hoàng mai,hà nội", 55m2,,,"5Bán Nhà Quận Hoàng Mai, Phố Trương Định, 55m, 5t, mt 4m, 4,5 tỷ.+ Nhà thiết kế hiện đại chủ mới xây ở 3 năm, làm ăn có lộc nên chủ chuyển chỗ to hơn tặng lại 1 số đồ nội thất trị giá hơn 200 triệu.+ Nhà ngõ 3 gác tránh xe máy, cách 150m ra đường ô tô tránh nhau, gần trường mầm non, cấp 1,2, chợ.+Trương Định gần Giáp Bát, Giải Phóng, Kim Đồng, Mai Động, Minh Khai, trường Đại Học Kinh Tế Quốc Dân Xây Dựng, Bách khoa, Bệnh viện Bạch Mai+ Sổ đỏ hoa hậu. Sẵn sàng giao dịch.Lh: 0346363362 : Phú Gia chuyên nhà phố Hà Nội.",11/09/2022,Tin thường,batdongsan_so_com_vn_1673802774.0605276,,,,
"2,8 tỷ VNĐ",Bùi Xương Trạch, 26m2, 4,,"+ Vị trí đẹp nhất Phố, tiện ích vô vàn, thông sang Vũ Trọng Phụng, Quan Nhân, Nguyễn Trãi.+ Mặt ngõ thông 2 ô tô tránh nhau, khu vực kinh doanh sầm uất hoặc ở thì tuyệt vời.+ Khu vực rất hiếm nhà bán, hàng xóm toàn cán bộ công an, tướng tá, giáo viên.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.    LH: Em Hoan, 0925088355, chuyên Thổ cư Thanh Xuân, Đống Đa, miễn phí xem nhà 24/7.",11/09/2022,Tin thường,batdongsan_so_com_vn_1673802775.3181646, 3,,,
6 tỷ VNĐ,la khê, 52m2, 4, 4,"Bán Nhà, Lê Trọng Tấn. Hà Đông. Ô Tô Kinh Doanh 52m2 x 4 tầng. Mặt Tiền 4m Giá 6 Tỷ.   PHÂN LÔ - KINH DOANH – Ô TÔ QUA CỬA  + Nhà phân lô cách đường Lê Trọng Tấn vài bước chân, giao với các đường, Nguyễn Trãi, Quang Trung, Tố Hữu, Văn Khê, Láng Hoà Lạc, Ngả đi các hướng nội thành và các tỉnh lân cận rất thuận tiện. + Nhà gần trường học các cấp La Khê; Nhà gần Trung Tâm Thương mại AON, Thiên Đường Bảo Sơn, Bệnh Viện Đa Khoa Hà Đông, Siêu Thị MeTro Hà Đông, Cách Uỷ Ban và Công An Phường La Khê vài chục mét, gần Nhà Thi Đấu Hà Đông, Bến Xe Yên Nghĩa, Tuyến Xe Buýt Nhanh, Ga Tàu Điện Trên Cao, Hàng xóm Pack CiTy, cũng như rất nhiều dịch vụ xung quanh đa dạng và phong phú các loại hình vui chơi giải trí khác. Giao thông thuận tiện, an sinh đỉnh, an ninh an toàn. + Nhà nằm trên khu phố sầm uất và rất tấp lập của Hà Đông, buôn bán, kinh doanh, hàng ăn, spa, văn phòng và các loại hình dịch vụ rất đa dạng và phát triển. Cực hiếm nhà bán ở khu vực đó.  + Nhà thiết kế 4 tầng:                                                                                                          - - - Tầng 1: Phòng khách, Bếp, wc  - Tầng 2,3: Mỗi tầng 2 phòng ngủ và wc - Tầng 4 : Phòng thờ, sân phơi. + Nhà xây dựng bê tông cốt thép rất chắc chắn, nhà mới chủ về chỉ việc ở.  Sổ đỏ chính chủ, cất két sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",11/09/2022,Tin thường,batdongsan_so_com_vn_1673802776.8660226, 4, 3,,
"6,8 tỷ VNĐ",hào nam - đống đa, 50m2, 4, 4,"Mô tả : - Nhà nằm ở TT quận Đống Đa, ngõ thông thoáng sạch sẽ , giao thông cực kỳ thuận tiện. - Vị trí rộng, đẹp nhất ngõ thông ra Đê La Thành. Khu vực đông đúc người qua lại dễ dàng kinh doanh tại nhà , cho thuê phòng ở vì bán kính 1km là 3 Trường Đại Học.  * Thiết kế 4 tầng * 50M2 : 4 ngủ đầy đủ công năng , T1 kinh doanh, bên hông nhà có sân để xe máy , tầng lửng. Nhà cực thoáng sáng bởi mặt tiền rộng , bộ cửa rộng , trước mặt không bị chắn nên thoáng sáng cực kỳ.  Pháp lý : Sổ đỏ chính chủ , vuông vắn , nở hậu. Giá chỉ 6.8 tỷ. Liên hệ trực tiếp Hotline : 0966442707 để nhận thêm thông tin chi tiết.",11/09/2022,Tin thường,batdongsan_so_com_vn_1673802778.2863457, 4, 3, Đông nam,
5 tỷ VNĐ,Đường Bùi Huy Bích phường Hoàng Liệt, 40m2, 5, 4,"
    
NHÀ ĐẸP HOÀNG LIỆT Ở NGAY - Ô TÔ - KINH DOANH - NGÕ THÔNG - 3 BƯỚC RA MẶT PHỐ - 4 NGỦ - ĐỦ CÔNG NĂNG - NỘI THẤT ĐỒNG BỘ - Ở SƯỚNG.
 
+ Diện tích: 40m.
+ Giá chào: 5 tỷ.
+ Nhà nằm trên ngõ thông, ô tô, kinh doanh sầm uất. Phù hợp làm tóc, nail, spa, cửa hàng tạp hóa.
+ Giao thông thuận tiện, sát ngay BX Nước Ngầm chỉ vài phút ra BV Bạch Mai, Tai Mũi Họng, Thanh Nhàn....
+ Gần đường Giải Phóng, Phan Trọng Tuệ, Trương Định, Bùi Huy Bích, Nguyễn Hữu Thọ, Linh Đàm,....
+ Thiết kế hiện đại vừa kinh doanh + ở với nội thất xịn sò đồng bộ.

- Tầng 1: thiết kế thông sàn kinh doanh.
- Tầng 2:  phòng khách + phòng bếp. 
- Tầng 3,4 : mỗi tầng 2 phòng ngủ. 
- Tầng 5 phòng thờ, sân phơi rộng.
+ Hàng xóm thân thiện, khu vực an ninh tốt.
+ Sổ đẹp sẵn sàng giao dịch.
+ Liên hệ Ms Hương 0928077333 chuyên BĐS khu vực Hoàng Mai uy tín, tận tâm, xem nhà miễn phí 24/7.
",11/09/2022,Tin thường,batdongsan_so_com_vn_1673802779.468168, 3, 4,, 3
"4,8 tỷ VNĐ","Nhà đẹp chỉ 4,8 tỷ, lô góc 2 mặt ngõ tại Ngô Quyền, Quang Trung, Hà Đông; 0912606098", 50m2,,,"Nhà đẹp chỉ 4,8 tỷ, lô góc 2 mặt ngõ tại Ngô Quyền, Quang Trung, Hà Đông; 0912606098   - Diện tích 50m2, sổ đỏ chính chủ, lô góc 2 mặt ngõ ô tô, mặt tiền rộng.  - Vị trí đẹp, trung tâm Hà Đông, nằm trong khu vực phân lô Học Viện Chính Trị, dân trí cao, an ninh tốt. Nhiều tiện ích xung quanh, giao thông thuận tiện, nhiều tuyến đường lớn bao quanh: Ngô Thì Nhậm, Vạn Phúc, KĐT Văn Khê, Tố Hữu… Tiềm Năng Phát triển mạnh mẽ.  - Hiện Trạng Nhà c4, có thể ở ngay, 2 phòng ngủ.  - Sổ đỏ vuông văn, không lỗi phong thuỷ.   Giá bán: 4,8 tỷ  Liên Hệ: 0912606098 (miễn tiếp QC)      http://www.sanbatdongsanviet.com.vn",11/09/2022,Tin thường,batdongsan_so_com_vn_1673802780.6100175,,,,
866 triệu VNĐ,hoàn kiếm hà nội, 80m2,,,"🌺 Bán lô đất gần QL38 cạnh nút giao cao tốc HN - HP 🌿 Diện tích từ 70-90m2 phù hợp với thiết kế nhà hiện đại , sang tên công chứng chuyển nhượng ngay . 🌿💥 Đường 6m trải nhựa , đủ hướng cho các nhà đầu tư. 🍀 Nằm trên trục đường huyết mạch Tân Phúc Võng Phan chạy qua các KCN như Ân Thi- Phù Cưd - Tiên Lữ - Bình Giang và các KCN lân cận .Thu hút các nhà đầu tư trong và ngoài nước tạo cho hàng nghìn lao động địa phương và các tỉnh lân cận đổ về. ☘️ Nằm trong khu dân cư đông đúc đầy đủ các tiện ích như trường học , y tế , cửa hàng tiện ích bán kính không quá 1km. 🍀 Cơ hội cho các nhà đầu tư , ưu đãi giảm 3% khi khách hàng mua từ 2 lô trở lên ",11/09/2022,Tin thường,batdongsan_so_com_vn_1673802783.59326, 5,,, 6
,"Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội.", 45m2, 6, 6,"BÁN NHÀ 6 TẦNG LÁNG HẠ, LÔ GÓC, KD, mt9M, nhỉnh 7 TỈ - THƯƠNG LƯỢNG. - Nhà 6 tầng mới xây, DT 45M, phong cách Châu Âu, CHƯA BÓC TEM. - Vị trí trung tâm 30m ra mặt phố Láng Hạ, rất gần Giảng Võ, La Thành. Khu vực VIP, nhiều toà nhà Văn phòng, gần chợ, trường học, bệnh viện. - Thích hợp mở quán cà phê, spa, quán ăn, văn phòng. 0️⃣9️⃣7️⃣9️⃣7️⃣0️⃣2️⃣4️⃣5️⃣3️⃣     -----  0️⃣3️⃣5️⃣6️⃣5️⃣5️⃣1️⃣0️⃣9️⃣1️⃣ SĐT: 0979702453 (Minh 1984) – 0356551091",11/09/2022,Tin thường,batdongsan_so_com_vn_1673802797.0353827, 9, 4,,
"4,7 tỷ VNĐ",Lê Trọng Tấn- Hà Đông, 35m2, 5,,"Bán nhà Lê Trọng Tấn, Hà Đông 35mx5T ô tô vào nhà ngõ thông hơn 4 tỷ Bán nhà phố vip Quang Trung, Hà Đông, ô tô vào nhà diện tích 35m thiết kế 5 tầng hiện đại, ngõ ô tô thông tứ tung, nội thất hiện đại chỉ việc đến ở. Bán kính xung quanh nhà đầy đủ tiện ích gần bể bơi, công viên gần hồ sinh thái, trường học các cấp, ngân hàng, siêu thị, bệnh viện, chợ không thiếu. Giao thông thuận lợi giáp Văn Phú thông Dương Nội qua Ngô Thì Nhậm gần Ngô Quyền sang Hoàng Đôn Hoà ra Phan Đình Giót. Chủ nhà thành đạt đổi nhà to hơn, gia lộc cho khách thiện chí mua. Sổ vuông đẹp sẵn sàng giao dịch. Giá: 4.7 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",11/09/2022,Tin thường,batdongsan_so_com_vn_1673802798.4031534,,,,
22 tỷ VNĐ,Lý Quốc Sư Hoàn Kiếm, 50m2,,," - Diện tích 50m2 x2 tầng,  Mặt tiền 5.3m. Giá bán 22 tỷ ( có thương lượng )  - Nhà nằm ở vị trí trung tâm phố Cổ, kinh doanh sầm uất giữa lòng Thủ Đô!  - Hiện trạng khối nhà 2 tầng, chủ xác định bán đất nên không có gì miêu tả nhiều. - Phố Lý Quốc Sư giao thoa giữa các tuyến phố Hàng Mành, Ấu Triệu, Nhà Thờ. - Sổ đỏ chính chủ sẵn sàng giao dịch.  ACE có nhu cầu liên hệ với em để được tư vấn. Miễn ( TG Quảng Cáo ) ",11/09/2022,Tin thường,batdongsan_so_com_vn_1673802799.5281816, 5,,,
7 tỷ VNĐ,Kiến Hưng- Hà Đông, 50m2, 5,,"Bán nhà Kiến Hưng Hà Đông ô tô vỉa hè kinh doanh 50mx5T chỉ 7 tỷ Tôi cần bán nhà riêng tại Kiến Hưng, Hà Đông xây chắc chắn thiết kế 5 tầng, diện tích rộng 50m, đường ô tô tránh có vỉa hè kinh doanh, văn phòng hay ở rất sướng. Bán kính xung quanh nhà đầy đủ tiện ích: Trường học các cấp, chợ, ngân hàng, siêu thị,…Giao thông thuận tiện ra các trục chính nối Thanh Hà ra Văn Phú xuôi Phú Lương gần Quang Trung hàng xóm Đa Sỹ giáp Xa La. Chủ nhà thành đạt chuyển sang ở biệt thự rộng hơn cần bán căn nhà tâm huyết trong tháng 8 âm. Sổ vuông đẹp sẵn sàng giao dịch. Giá: 7 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",11/09/2022,Tin thường,batdongsan_so_com_vn_1673802800.8695936,,,,
"11,8 tỷ VNĐ",Đường Vạn Phúc phường Vạn Phúc, 50m2, 3, 2,"
    + Siêu phẩm duy nhất có ở mặt phố Vạn Phúc phường Vạn Phúc Hà Đông 50m2 3T chỉ hơn 11tỷ+ vị trí cực đẹp,kinh doanh cực đỉnh,dòng tiền cho thuê khủng ,làm gì cũng có tiền + vỉa hè rộng , thỏa mái đá bóng+ ô tô tránh, ô tô dừng đỗ ngày đêm + cần bán nhà ở vị trí lối với đường Tố Hữu , Quang Trung,Trần Phú, đường thông tứ tung sang Himlam Vạn Phúc, KĐT Văn Khê, …+ sổ đỏ chính chủ sẵn sàng giao dịch + giá chào 11,8tỷ(có thương lượng)+ Gọi ngay Mrs Hương Chuyên Biệt thự, Liền Kề, Mặt Phố, thổ cư Hà Đông.
",11/09/2022,Tin thường,batdongsan_so_com_vn_1673802802.04259, 5, 2,, 10
