price,address,Diện tích,Mặt tiền,Lộ giới,Details,Ngày đăng,Loại tin,id,Hướng,Số phòng ngủ,Số toilet,Số tầng
"6,2 tỷ VNĐ","Đường Yên Bình, Văn Quán, Hà Đông", 64m2, 4, 3,"Siêu Hiếm Đất Giá Rẻ Yên Bình, Văn Quán – Hà Đông, Ngõ Ô Tô, DT 64m2, MT 4.5 m, Chỉ 6.2 Tỷ.Vị trí: - Mảnh Đất vàng còn sót ở vị trí quá đẹp, ngõ ô tô,  cách nhà 10m là đường tránh xe phù hợp KD, xây CCMN, tiện ích ngập tràn, - Đường thông tứ tung, ... Gần nhiều bệnh viện lớn như BV 103, Viện Bỏng Quốc Gia,...- Đi khắp khu vực tìm không còn mảnh nào vừa rẻ và đẹp như vậy.+ Giá bán: 6.2 Tỷ ( Có thương lượng )Pháp lý: sổ đỏ chính chủ sẵn sàng giao dịchLiên hệ trực tiếp 24/7 để đi xem nhà đất miễn phí.    - Mr Luyện thổ cư: 0911779569- Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ. “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",27/09/2022,Tin thường,batdongsan_so_com_vn_1673799034.7354636,,,,
9 tỷ VNĐ,"93 Láng Hạ, quận Đống Đa, Hà Nội", 110m2,,,"🔥🔥 GREEN DIAMOND 93 Láng Hạ🔥Tuyệt tác XANH giữ nội đô LỊCH SỬ - Căn hộ siêu cao cấp trung tâm quận Đống Đa 🔮Tọa lạc độc tôn tại Láng Hạ - Vị trí đắt giá không còn cơ hội để sở hữu.🔮Kiến trúc vượt thời gian - Mang phong cách kiến trúc tân cổ điển và hiện đại cùng những vật liệu tốt nhất.🔮Sống đẳng cấp cùng hệ thống tiện ích ""All In One"": Trung tâm thương mại; Khu vui chơi trẻ em; Phòng tập Golf, Gym, Yoga, Spa; Bể bơi vô cực, Massege Sauna... 🔮 Hơn 320 căn hộ hạng sang thiết kế đa phong cách tân cổ điển và hiện đại đều gắn chặt với yếu tố thiên nhiên.👉👉 Liên hệ ngay để nhận báo giá ngay khi mở bán chính thức.📱 Hotline: 0977.568.223 💎💎 Thông tin dự án:🍀 Vị trí dự án: Số 93 Láng Hạ, quận Đống Đa, Hà Nội🍀 Quy mô dự án: trên 5000 m2🍀 4 tầng hầm: hơn 16.000 m2 5 tầng TTTM và dịch vụ giải trí, 324 căn hộ hạng sang.🍀 Tầng cao công trình: 27 tầng nổi🍀 Loại hình sản phẩm: Tổ hợp chung cư cao cấp, Văn phòng - TTTM, Nhà trẻ, Khu đa năng, Hầm đỗ xe thông minh.🍀 Chủ đầu tư: Công ty Bất động sản Vinaconex---------------------------------------------------📝Liên hệ Phòng kinh doanh để nhận tư vấn và báo giá chi tiết:📱 Hotline: 0977.568.223",27/09/2022,Tin thường,batdongsan_so_com_vn_1673799036.445359, Đông nam, 3, 2,
"3,1 tỷ VNĐ",Đường Cổ Điển A phường Tứ Hiệp, 127m2,, 20,8240964.476.9190,27/09/2022,Tin thường,batdongsan_so_com_vn_1673799037.708528,, 4, 3,
"1,62 tỷ VNĐ","Bán CHTT Học viện KTQS 212 Tân Xuân, Xuân Đỉnh, Bắc Từ Liêm, 1,62 tỷ; 0932555268", 68m2,,,"Bán CHTT Học viện KTQS 212 Tân Xuân, Xuân Đỉnh, Bắc Từ Liêm, 1,62 tỷ; 0932555268  - Diện tích: 68m2, phòng p104-N4.- Căn hộ 2 phòng ngủ, 1 wc, phòng khách và bếp, ban công. Cửa chính và ban công hướng Đông Nam.- Đã sửa lại đẹp như hình, chủ mới chỉ cần mang hành lý đến ở luôn. - Khu dân trí cao an ninh tốt, đảm bảo trật tự an toàn xã hội, có bảo vệ 24/24. Có khu vui chơi của các con, sân tập thể thao và nhiều tiện ích chung quanh, gần chợ, trường, bệnh viện... - Giá bán chỉ 1,620 tỷ, giấy tờ đầy đủ.- Anh chị quan tâm liên hệ chính chủ 0932555268  (miễn tiếp QC)       http://www.sanbatdongsanviet.com.vn",27/09/2022,Tin thường,batdongsan_so_com_vn_1673799039.108977,,,,
"9,5 tỷ VNĐ",20, 75m2, 5,,"SIÊU HIẾM, Bán nhà trung tâm Quận Hà Đông, Hàng xóm với phố Lê Lợi, Tô Hiệu,  75M2, 9 Tỷ 5. Cách Trường cấp 2 Lê Lợi 200m, Chợ Hà Đông 500m. Có thể thuận tiện di chuyển sang Phố Quang Trung, Tô Hiệu, Lê Lai, Bà Triệu…. Vị trí đắc địa gần trường Bệnh Viện Hà Đông, Bệnh viện 103 , Đại Học Kiến Trúc, Đại Học Hà Nội... . Mặt phố to, đỗ xe trước cửa . Thuận tiện bắt xe buýt, Tàu điện trên cao tuyến Yên Nghĩa - Cát Linh. Nhà được xây trên diện tích 75m2, 3 tầng thiết kế bê tông hiện đại, nội thất sang trọng, thiết bị vệ sinh cao cấp. Phù hợp để ở, đầu tư, cho thuê, tầm tài chính từ 6 tỷ đến 10 tỷ. Miễn phí 100% dịch vụ , Khách chủ tự đàm phán giá, Chúng tôi hỗ trợ tư vấn, pháp lý phong thuỷ, quy hoạch …… Nhà đẹp , Pháp lý chuẩn, giá bán 9 tỷ 5 ( Có thương lượng ) -------------------------------------- Ngôi nhà mới của bạn là HẠNH PHÚC của tôi. Thuận nhà đất - Tư vấn BDS miễn phí, tận tâm. ĐT: 0986.581.285.",27/09/2022,Tin thường,batdongsan_so_com_vn_1673799040.6429255,,,,
5 tỷ VNĐ,đường Trần Cung, 55m2, 4, 2,"Bán nhà CỰC ĐẸP đường Trần Cung, Bắc Từ Liêm, LÔ GÓC, CHO THUÊ DÒNG TIỀN, GIÁ ĐẦU TƯ S = 55m2, 5 tầng, mặt tiền 4m, giá 5 tỷ. + Vị trí đẹp, vài chục mét ra phố ô tô tránh, gần rất nhiều trường đại học, cao đẳng lớn: Cao đẳng y dược ASEAN, Cao đẳng Du lịch, Đại học Điện lực, Học viện Công nghệ Bưu chính Viễn thông, Học viện Chính trị, Đại học Ngoại ngữ, Đại học Quốc gia, Đại học Sư phạm,… + Giao thông: Phạm Văn Đồng, Hoàng Quốc Việt, Cổ Nhuế, Ngoại Giao Đoàn, Công viên Hòa Bình, Xuân La, Xuân Tảo,… + Thiết kế: Tổng 6 phòng, cho thuê dòng tiền ổn định. * Sổ đỏ đẹp, chủ tha thiết muốn bán. * Liên hệ em Bình, 0345752279 để xem nhà, không tiếp môi giới.",27/09/2022,Tin thường,batdongsan_so_com_vn_1673799042.441799,, 6,, 5
"6,6 tỷ VNĐ",Đường Lê Trọng Tấn phường La Khê, 51m2,, 6,,27/09/2022,Tin thường,batdongsan_so_com_vn_1673799044.089167,, 4, 3, 5
"14,3 tỷ VNĐ",Đường Tôn Đức Thắng phường Ô Chợ Dừa, 74m2, 10, 20,- Giá 14.3 tỷ còn thương lượng ,27/09/2022,Tin thường,batdongsan_so_com_vn_1673799045.9473224,, 4,, 7
50 tỷ VNĐ,Lạc Long Quân Tây Hồ Hà Nội, 154m2, 8,,"- DT 154m2 x5 tầng. Mt 8m.Giá bán 50 tỷ ( có thương lượng )  Vị trí toạ lạc trên mặt phố Lạc Long Quân, vỉa hè rộng 8m kinh doanh sầm uất  - Nhà 5 tầng thiết kế hợp lý với đầy đủ ánh sáng, thoáng mát và vô cùng sạch sẽ- Phù hợp làm văn phòng công ty, có tầng hầm để xe, 2 thang máy - Thiết kế:+ Tầng 1,2,3,4: Thông sàn.+ Tầng 5 là tầng thoáng - Sổ đỏ chính chủ vuông vắn nở hậu vượng lộc.  ACE có nhu cầu liên hệ với em để được tư vấnMiễn ( TG Quảng Cáo ) ",27/09/2022,Tin thường,batdongsan_so_com_vn_1673799047.7212737,, 4, 8, 5
"10,9 tỷ VNĐ","Trần Thái Tông, Dịch Vọng Cầu Giấy Hà Nội", 52m2,,,"BÁN NHÀ THANG MÁY KINH DOANH ĐỈNH phố Trần Thái Tông Cầu Giấy 52m 6T MT6m nhỉnh 10 tỷ Nhà nằm ở vị trí đắc địa, khu vực đông văn phòng cho thuê nhất nhì phố, cạnh nhà có bãi ô tô ngày đêm. Ở hay kinh doanh đều được.Thiết kế :- Tầng 1 thông sàn- Tầng 2, 3, 4, 5: mỗi tầng 2 phòng ngủ, - Tầng 6: Phòng thờ sân phơiThang máy nhập khẩu, chạy êm ruSổ đỏ chính chủ, cất két, sẵn sàng giao dịch+ Pháp lý chuẩn, sổ đỏ nở hậu chính chủ, giao dịch trong ngày.Liên hệ: Mrs Phượng 0974352054 - Tư vấn tận tâm, miễn phí 24/24h (zalo, Fb) , hỗ trợ tư vấn Pháp lý, vay vốn.",27/09/2022,Tin thường,batdongsan_so_com_vn_1673799051.356683,,,, 6
