price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới
,Bát Khối, 30m2,"+ Vị trí nhà ngay cạnh công viên điều hoà, Trường cấp 1-2 Long Biên¸gần nhà Thờ cổ đi lễ rất gần, cùng rất nhiều tiện ích. Ô tô đỗ cổng. + Ngõ 129 Bát Khối ô tô phóng vèo vèo, thông sang Khu Công viên di chuyển tiện lợi. + Thiết kế:  + Tầng 1 phòng khách, bếp, wc. + Tầng 2: phòng khách. + Tầng 3,4: 1 ngủ rộng + wc. + Tầng 5: phòng thờ + sân cảnh. +Sổ đỏ chính chủ, giao dịch ngay",24/06/2022,Tin thường,batdongsan_so_com_vn_1673818198.2144136,,,,,
"13,7 tỷ VNĐ",Đường Nguyễn Chánh phường Trung Hòa, 70m2,"+ TRUNG TÂM QUẬN CẦU GIẤY - MẶT NGÕ Ô TÔ TRÁNH – NGÕ THÔNG, KINH DOANH. + BÁN ĐẤT TẶNG NHÀ – MẶT TIỀN 6M, ĐẦU TƯ XÂY CHUNG CƯ HOẶC KHÁCH SẠN THÌ CỰC ĐẸP. ======= + Vị trí: Nhà có vị trí đẹp, ô tô tránh đỗ, kinh doanh tốt. Ngõ thông Nguyễn Chánh – Tú Mỡ - Trung Kính. Giao thông thuận lợi, gần Đại Lộ Thăng Long, tiện ích vô vàn: Gần BIG C Thăng Long, Trường học các cấp, Chuyên Hà Nội Amsterdam…  + Nhà cũ 02 tầng, Chủ xác định bán đất tặng nhà. Chủ mới mua về đầu tư xây tòa nhà VP, Chung cư mini hoặc khách sạn mini kinh doanh cực đỉnh.  + Pháp lý: Sổ đỏ chính chủ vuông đẹp sẵn giao dịch.  + Giá bán thương lượng chính chủ 13.7 tỷ - LH Mr Huấn 0862385889 (Miễn Môi giới). ",24/06/2022,Tin thường,batdongsan_so_com_vn_1673818199.812139, 6,,,,
"4,9 tỷ VNĐ","Đầm Nấm, Long Biên", 31m2,"+ Đầm Nấm- Ngọc Thụy 31m2, Mặt tiền 10m - 4.9 tỷ  - Mảnh đất siêu hiếm, 3 mặt đường: Đường chính 12m, Ngách 6m và 2mkhoảng cánh 2 nhà, 3 góc thoáng. Vỉa hè rộng thênh thang, kinh doanh thôi rồi. -Thửa đất cam kết không có lô thứ hai. - Tiện ích, công viên, hồ điều hòa ( Khai Sơn chuẩn bị đào), trường học các cấp gần kề. - Sổ chính chủ sẵn sàng sang tên trong ngày.",24/06/2022,Tin thường,batdongsan_so_com_vn_1673818201.0847337,,,,,
,"Tư Đình, Long Biên", 55m2,"+ Vị trí cực đẹp, gần sân golf Long Biên. + Nhà phân lô của Lữ đoàn 144 cấp cho cán bộ. Ô tô tránh, đỗ ngày đêm, khu vực phát triển từng ngày.  + Đường thông Cổ Linh, Đàm Quang Trung, đi bộ ra Aeon mall. + Khu dân trí cao, an ninh cực tốt, Lính gác bên cạnh suốt ngày.  + Thiết kế 3 tầng, đang ở tầng 1. Hai tầng trên hiện còn xây thô chủ mới về hoàn thiện nốt, móng cọc cực chắc chắn, giấy phép xây dựng 6 tầng, +Sổ đỏ sẵn sàng sang tên",24/06/2022,Tin thường,batdongsan_so_com_vn_1673818202.3787556,,,,,
"7,35 tỷ VNĐ",Cự Lộc - Thanh Xuân - Hà Nội, 35m2,"BÁN NHÀ MẶT PHỐ CỰ LỘC – THANH XUÂN, 5 TẦNG 35M2 – 7.35 TỶ Chính chủ nhờ bán nhà mặt phố Cự Lộc – Thanh Xuân. 5 tầng 4 ngủ đủ công năng, nhà đẹp ở ngay. Khu vực trung tâm, kinh doanh sầm uất đa loại hình. Cuộc sống văn minh. Sổ đỏ chính chủ. Chủ nhà thiện chí. Liên hệ: KS. Phương – 0918120568 để xem nhà và thương lượng trực tiếp với chủ nhà.",24/06/2022,Tin thường,batdongsan_so_com_vn_1673818203.7092388, 3, 5, 4, 4,
"4,48 tỷ VNĐ",Phố Trung Văn, 38m2,"TRUNG TÂM TRUNG VĂN, NHÀ ĐẸP Ở NGAY, FULL NỘI THẤT, Ô TÔ ĐỖ CỬA, AN NINH, AN SINH ĐỈNH + Trung Văn – Nam Từ Liêm. + Diện tích 38m – 4 tầng – MT3.6m + Giá chào 4.48 tỷ + Liên hệ xem nhà: 0902083139 + Vị trí đắc địa, cách mặt phố Trung Văn 15m, cách đường Tố Hữu, Lê Văn Lương 100m, ngay cạnh UBND phường Trung Văn và TT Y Tế, trường CĐXD, gần các trường cấp 1,2 chuẩn quốc gia. + Nhà ngay cạnh khu Biệt thự Hoàng Thành, CC Season Avenue, tiện ích xung quanh không thiếu thứ gì. + Nhà xây tâm huyết chắc chắn, đẹp long lanh. Thiết kế mỗi tầng 2 ngủ và vệ sinh. Tổng 4 ngủ đủ công năng. + Sổ đỏ vuông đẹp.",24/06/2022,Tin thường,batdongsan_so_com_vn_1673818205.0975242, 3, 4, 4, 4,
"3,4 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 36m2," ""times="""" new="""" roman"";="""" mso-ansi-language:="""" fr'="""" span="""" p="""" class=""MsoListParagraphCxSpFirstSPAN"" fr'mô="""" tả="""" :="""">Bán nhà Ngọc Thụy Long Biên Vị trí nhà cực đẹp trung tâm, Lô góc thoáng sáng. Gần phố, gần chợ Ngọc Thụy, trường học các cấp, trường Việt Pháp, khu đô thị Khai Sơn,TTTM MiPec, cầu Chương Dương sangBờ Hồ chưa đầy 5 phút. Khu vực dân trí cao, nhiều tiện ích...  ""times="""" new="""" roman"";="""" mso-ansi-language:="""" fr'*="""" nhà="""" thiết="""" kế="""" 5="""" tầng="""" khung="""" cột="""" bê="""" tông="""" mới="""" đẹp="""" long="""" lanh,="""" lô="""" góc="""" thoáng="""" sáng,="""" phong="""" thủy="""" vượng="""" khí="""" quanh="""" span="""" p="""" class=""MsoListParagraphCxSpMiddleSPAN"" fr'-="""" 1="""" :="""" khách,="""" bếp,="""" wc.="""" fr'="""">- Tầng 2.3.4 :mỗi tầng 1Phòng ngủ, 1 wc khép kín  ""times="""" new="""" roman"";="""" mso-ansi-language:="""" fr'-="""" tầng="""" 5="""" :p="""" thờ="""" ,p="""" giặt,="""" sân="""" phơi,="""" chơi="""" rộng="""" có="""" mái="""" che="""" cực="""" kỳ="""" thoáng,="""" nhà="""" mới="""" xây="""" đc="""" 1="""" năm="""" đầy="""" đủ="""" nội="""" thất="""" về="""" ở="""" ngay.="""" span="""" p="""" class=""MsoListParagraphCxSpMiddleSPAN"" fr'+="""" sổ="""" đỏ="""" chính="""" chủ="""" hình="""" viên="""" gạch,="""" cất="""" két="""" giao="""" dịch="""" ngay="""" tay="""" roman""'="""">        ",24/06/2022,Tin thường,batdongsan_so_com_vn_1673818206.5655978, 4, 5, 3, 3, 5
20 triệu VNĐ,Đường Thụy Lâm phường Thụy Lâm, 150m2,"
    Đất giãn dân khu 5 Thụy Lâm, Đông Anh+  Diện Tich:150m+  Mặt tiền 7m15, hậu 7m15+  Đường 3m50.sát cạnh đất đấu giá x4 Thụy lâm! Ngõ thông +  Giá chỉ 20tr/m Hotline 0377236666 gặp Mrs Diễm bao giá rẻ nhất thị trường
",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818207.9708385, 7,,,,
"5,4 tỷ VNĐ","Yên Nghĩa, Hà Đông, Hà Nội.", 51m2," * Bán đất khu C Hòa Bình, Yên Nghĩa, Hà Đông. phân lô, vỉa hè đường ô tô tránh. DT 51m, MT 4,1m, giá 5.4 tỷ. + Vị Trí: thoáng đẹp, tiềm năng, gần Trường Đại Học Phenikaa, Trường Mầm Non Lê Trọng Tấn, Tòa Chung cư HH2 Xuân Mai Dương Nội, vài chục mét ra mặt đường lớn Tố Hữu kéo dài, giao thông thuận tiện. + Sổ đỏ vuông hoa hậu chính chủ, sẵn sàng giao dịch. # nhanh tay LH: 0983858722 Tình nhà phố ( chuyên mua, bán, nhận ký gửi có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818209.3837957, 4,,,, 10
"6,8 tỷ VNĐ","Phương Mai, Đống Đa, Hà Nội", 50m2,"Mô TảNhà nằm vị trí đắc địa nhất quận Đống Đa, phố Phương Mai, gần các bệnh viện lớn: Bạch Mai, Lão Khoa,….Diện tích nhà 50m2x 5 tầng.+ có 5 Phòng ngủ+ Gần các trường học điểm của Quận và các trường đại học lớn như Bách Khoa, Kinh tế,….+ Nhà Lô góc cực thoáng+ Gần các chợ lớn và trung tâm TM Vincom thuận tiện mua sắm.+ Giá 6.8 tỷ+ Sổ đỏ cất két giao dịch ngay.Liên hệ: Nghĩa – 0868181683 – Để làm việc trực tiếp với chủ",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818210.7212179,,,,,
"6,75 tỷ VNĐ","đông tác, Đống Đa, Hà Nội", 45m2,"Mô tả: Nhà bán nằm tai trung tâm Đông Tác, Đống Đa, với thiết kế 5 tầng 45m2 nhà chủ tự xây mới khung cột chắc chắn về chỉ việc ở, + Gần các trường điểm của Quận Đống Đa. + Đi lại thuận tiện + Xung quanh nhiều chợ, TTTM lớn Vincom tiện mua sắm + Sổ đỏ vuông đét, cất két sẵn sàng giao dịch ngay. + Giá: 6.75 tỷ Liên hệ: Nghĩa – 0868181683 – Để làm việc trực tiếp với chủ",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818211.832246,,,,,
"3,95 tỷ VNĐ","Khương Đình, Thanh Xuân, Hà Nội.", 30m2," * Bán nhà mặt ngõ Khương Đình quận Thanh Xuân. nhà đẹp, đầy đủ nội thất, về ở ngay. DT 30/34m, 4T, giá chỉ dưới 4 tỷ. + Vị Trí: thuận tiện, ngõ thẳng, thông, ba gác tránh xe máy, vài chục mét ra mặt phố giao thông thuận lợi, gần hồ Hạ Đình, trường học các cấp tiện ích đủ đầy. + Nhà khung cột chắc, thiết kế hiện đại, nhà thoáng đẹp lung linh hơn hình mô tả, Full đầy đủ nội thất, tổng 4 ngủ, chuẩn công năng. + Sổ vuông đỏ đẹp chính chủ, sẵn sàng sang tên. * Nhanh tay LH: 0906113879 Tình nhà phố ( chuyên mua, bán, nhận ký gửi, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818212.9751878,, 4, 4,, 2
,pháo đài láng, 35m2,"Bán nhà Pháo Đài Láng Đống Đa 35m, 5T ,MT 5m nhỉnh 4 tỷ + Nhà mới thiết kế hiện đại,mới 100% , sân trước nhà 3m,ba bước ra phố  + Khu vực trung tâm , tiện ích vô vàn, khách chỉ việc xách vali về ở + sổ nở hậu vuông đẹp sẵn sàng giao dịchXem nhà và tư vấn hỗ trợ miễn phí .Trung 0896695659",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818214.2228503,,,,,
"7,7 tỷ VNĐ",Đường Trương Công Định phường Yết Kiêu, 43m2,"
    
PHÂN LÔ-MẶT PHỐ-LÔ GÓC-VỈA HÈ-Ô TÔ KD32 Trương Công Định 43m2 58T2 4T 3.8m Nhỉnh 7tỷ Hà Đông HNMô tả:+ Hàng FO công chức nhà nước-+ Lô góc 2 mặt phố Trương Công Định , KD sấp mặt+ Chủ nhà là Hiệu trưởng Trường học, chồng là BS Viện.Thiết kế:+ Tầng 1: Phòng Khách Bếp WC để xe+ Tầng 2, 3: gồm 4 phòng ngủ WC giữa+ Tầng 4: phòng thờ sân phơiHành lang rộng khu buôn bán sầm uất.Sổ đỏ cc sẵn sàng giao dịchGiá còn thương lượng. LH em Hiền 0977662320.Chuyên nhà đẹp giá rẻ Hà Đông.Tư vấn miễn phí.Gặp chủ thương lượng.Hỗ trợ ngân hàng. MTG


 


",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818215.4445412, 3, 4, 4, 3, 8
"12,9 tỷ VNĐ",Hà Đông, 90m2," BÁN NHÀ NGÃ TƯ VĂN PHÚ QUANG TRUNG VĂN PHÚ BTLK 90M 5T THANG MÁY 12 TỶ 9 Vị trí: Trung tâm Hà Đông Phát triển mạnh tiện ích xung quanh đầy đủ Giao thông thuận lợi, gần các Trường Đại Học Kiến Trúc, Học Viện An Ninh Nhân Dân , Cao đẳng Y Hà Đông, Bệnh viện Hà Đông.. Không gian xanh sạch đẹp, thoáng ô tô đỗ ngày đêm Số đẹp, pháp lý sạch sẽ sẵn sàng giao dịch Xem nhà liên hệ Mr Đức 0898839292",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818216.6662724,,,,,
5 tỷ VNĐ,Vũ Tông Phan, 44m2,"Hơn 5 Tỷ, sở hữu nhà Phố Vũ Tông Phan - Thanh Xuân, 46m2, 5 Tầng, Ô TÔ, KINH DOANH.+ Trung tâm Phố Vũ Tông Phan, giao thông thuận tiện, 3 phút ra Ngã Tư Sở, gần trường học, siêu thị.+ Đường trước nhà rộng Ô TÔ qua, Ở hay KINH DOANH đều được.+ Thiết kế nhà hiện đại, nội thất cao cấp, chủ tặng laị hết cho khách.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh.LH: Mr Hoan, 0925088355, chuyên thổ cư Hà Nội với nguồn nhà hơn 13 000 căn nhà tại Hà Nội, miễn phí xem nhà 24/7.",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818217.850694,, 5, 5,,
"4,5 tỷ VNĐ",Phố Văn Cao, 40m2,"Chính chủ bán nhà Văn Cao Ba Đình 40m x5t , mt 5m nhỉnh 4 tỷ+ Nhà mới xây 3 năm mới 98% chủ thiết kê sang trọng , hiện đại, công năng hợp lý vô cùng+ Vị trí trung tâm quận Ba Đình , đi đâu cũng tiện, ba bước trường , chợ , bệnh viện + Khu vực an sinh vô cùng tốt , pháp lý sạch , sổ đỏ đẹp Xem nhà và tư vấn hỗ trợ miễn phí .Trung 0896695659",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818219.0734987,,,,,
