price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
15 tỷ VNĐ,Hà Nội, 67m2,"Nhà nằm trên phố Đào Tấn, nối liền với phố Linh Lang, Liễu Giai, Văn Cao, Nguyễn Chí Thanh, Nguyễn Văn Ngọc…Khu văn minh nhiều người nước ngoài sinh sống, gần với Đại Sứ Quán Nhật, Úc, Hồ Tây, công viên Thủ Lệ, tòa nhà Lotte…Đường rộng, kinh doanh tốt, ô tô tải tránh nhau thoải mái, nhu cầu thuê nhà cao, phù hợp để ở, đầu tư để giữ dòng tiền…Thông số như sau:Diện tích 67 m2.Mặt tiền rộng 5.6 m.Nhà 6 tầng.Sổ đỏ chuẩn.Giá bán chỉ 15 tỷ thương lượng mạnh.Liên hệ ngay 24/7, trung gian, môi giới xin đừng làm phiền ạ - 0366 555 258.",06/06/2022,Tin thường,batdongsan_so_com_vn_1673821416.3625271,,,,,,
"15,5 tỷ VNĐ",Trần Đại Nghĩa HBT Hà Nội, 80m2,"Bán tòa chung cư mini 7 tầng thang máy ngõ 128 Đại La Hai Bà Trưng. Diện tích sử dụng mỗi tầng  80m2,đã cho thuê full phòng.doanh thu 1 tỷ 100tr trên 1 năm . được thiết kế cực hiện đại, mặt trước và sau đều là ngõ thoáng. Với kiến trúc bao gồm:Tầng 1: chỗ để xe, 2 căn hộ khép kín.Tầng 2, 3, 4,5: mỗi tầng 4 căn hộ riêng biệt, đầy đủ nội thất. Tầng 6 : Thiết kế 2 phòng Master rộng, vệ sinh khép kín.Tầng 7 : Sân phơi cực rộng, có thể tổ chức liên hoan sinh nhật, BBQ.  Tổng tòa có 20 căn hộ khép kín.Nội thất hoàn thiện đầy đủ 100%, đã cho thuê full phòng mỗi căn hộ đã có sẵn giường ngủ và tủ quần áo, điều hòa, nóng lạnh, bếp + hút mùi, máy giặt, tủ lạnh, dàn phơi...Vị trí trung tâm lý tưởng, ngay ngã tư Lê Thanh Nghị - Trần Đại Nghĩa, cạnh 3 trường ĐH lớn Bách Khoa - Kinh Tế - Xây Dựng và bệnh viện Bạch Mai, tiềm năng cho thuê vô cùng lớn.* Sổ đỏ chính chủ. Giá 15,5 tỷ (có thương lượng) liên hệ chị yến ĐT:0702138238",06/06/2022,Tin thường,batdongsan_so_com_vn_1673821417.468569, Nam, 7, 3, 7, 10, 10
"28,4 tỷ VNĐ",mặt phố Xã Đàn, 71m2,"Bán nhà mặt phố Xã Đàn, Trung Phụng,phường Phương Liên, Đống Đa, Hà Nội. DT 71m giá 28.4 tỷ. vỉa hè rộng 6mDiện tích 71m đang có nhà cấp 4 kinh doanh sầm uất, đang cho thuê kinh doanh Nhà nằm trong khu phố đẳng cấp nhất quận Đống Đa DT rất phù hợp xây Tòa nhà Văn Phòng, Khách Sạn, Trung Tâm Thẩm mỹ, Bệnh Viện Vị trí trung tâm, ô tô chạy 2 chiều ngay ngã ba Xã Đàn- Phạm Ngọc Thạch,  Trung Phụng, gần công viên Thống Nhất, ĐH Bách Khoa, ĐH Y, ĐH Ngân Hàng... tiện ích an sinh đỉnh cao.* Sổ đỏ chính chủ. Giá 28.4 tỷ (có thương lượng), bao sang tên liên hệ chị Yến ĐT:0702138238",06/06/2022,Tin thường,batdongsan_so_com_vn_1673821418.6404364, Tây bắc, 4, 20, 1, 1, 1
"6,784 tỷ VNĐ",Đường Kim Chung phường Đông Anh, 128m2,"
    Bán đất Xã Kim Chung Đông Anh _ Bán đất thôn Nhuế Kim Chung  Sát hồ điều hoà ✅ Thông Tin     Diện tích : 128m_Lô góc     Mặt tiền 8m và 16.43m     Đường trước đất rộng 5m     Sau lưng nhà văn hoá thôn Nhuế     Cách hồ Điều Hoà , công viên mini 30m    Cách chợ chỉ 100m⭐ Cách đường cao tốc Thăng Long – Nội Bài (Võ Văn Kiệt) 100m.⭐ Cách cầu Thăng Long 3km, di chuyển vào nội Thành chỉ mất 10 phút.⭐ Gần khu công nghiệp Bắc Thăng Long đông đúc, sầm uất.⭐ Gần chợ, trường học các cấp, ngân hàng, tiện ích đầy đủ…⭐ Khu vực rất hiếm đất bán, tính thanh khoản cao.☎️ Em Linh :
",06/06/2022,Tin thường,batdongsan_so_com_vn_1673821419.8801172,, 16,,,,
"4,5 tỷ VNĐ",ngõ 155 Bạch Mai, 35m2,"Tôi chính chủ cần bán nhà ngõ 155 phố Bạch Mai, Hai Bà Trưng.Hà Nội.DT 35mx5T xây mới đẹp long lanh, vuông vắn, thông thoáng, rộng rãi, gia đình ở hoặc cho thuê cực tốt vì gần nhiều trường Đại Học: Bách Khoa, Kinh Tế, Xây Dựng- Thiết kế Châu Âu hiện đại, tối ưu mọi công năng sử dụng+ Tầng 1: Phòng khách, bếp ăn, vệ sinh+ Tầng 2,3,4: Mỗi tầng 1 phòng ngủ rộng, vệ sinh khép kín+ Tầng 5: Phòng thờ, sân phơi- Nội thất mới 100% cao cấp: Hệ thống cửa từ trên xuống dưới + cầu thang + sàn nhà các tầng + tủ bếp tất cả đều được làm bằng gỗ tự nhiên cao cấp, được chính tay chủ nhà là dân trong nghề nội thất thiết kế và sản xuất.- Vị trí: Nhà nằm trong ngách yên tĩnh, cách mặt phố Bạch Mai 1 phút đi bộ. Khu vực xung quanh ngay sát nhiều trường đại học, công sở, bênh viện, buôn bán sầm uất, thuận lợi cả sinh hoạt và làm ăn kinh doanh.- Pháp lý: Sổ đỏ chính chủ.- Giá bán: 4.5 tỷ (có thương lượng) liên hệ chị Yến ĐT:0702138238",06/06/2022,Tin thường,batdongsan_so_com_vn_1673821420.9493043, Nam, 6, 3, 5, 3, 4
"1,85 tỷ VNĐ",Thôn thượng, 37m2,"- Chính chủ bán nhà Cự Khê Thanh Oai giáp Hà Đông. 1.85 tỷ. 5 tầng. Nhà mới siêu đẹp.- Từ Nhà đến trung tâm Văn Phú , Chợ Hà Đông chưa đến 10 phút di chuyển.- Nhà nằm ngay sát KĐT Thanh Hà. Hà Đông. Hưởng đầy đủ tiện ích của Khu Đô Thị.- Khu vực đông dân cư, tấp nập, cách đường ô tô 40m.- Gần chợ , gần trường cấp 1 cấp 2.- Nhà 5 tầng xây mới. kết cấu tốt, nội thất mới tinh+ Tầng 1 : Để xe, bếp phòng khách +vệ sinh+ Tầng 2 + 3 + 4: Phòng ngủ + vệ sinh+ Tầng 5: Phòng thờ sân phơiGiá cả có thương lượng ( bao sang tên sang sổ, khách mua không phải chịu thêm bất kì chi phí ngoài nào nữa )- Liên Hệ chính chủ Mr. Khắc Anh 0968608331",06/06/2022,Tin thường,batdongsan_so_com_vn_1673821422.0134578, Đông nam, 4,, 5, 4, 4
5 tỷ VNĐ,Đường Trường Chinh phường Phương Mai, 57m2,"
    Thiết kế:- Tầng 4: 1 phòng ngủ khép kín, và sân phơi.
",06/06/2022,Tin thường,batdongsan_so_com_vn_1673821423.0607,, 4, 3, 4, 4, 3
"3,9 tỷ VNĐ",Đường Cầu Giấy, 30m2,"Nhà cực hiếm ngõ phố Cầu Giấy - Chùa Hà diện tích 30m2 5 tầng mặt tiền 4.8m giá nhỉnh 3tỷ. Mô tả: + Nhà gần công viên Nghĩa Đô, bảo tàng Dân Tộc, các trường các cấplà các trường ĐIỂM của Quận Cầu Giấy...ĐH Điện Lực, - Nhà đẹp, ngõ rộng gần phố. - Nhà 5 tầng xây hiện đại, xinh xắn, hợp lý. - Thiết kế mỗi tầng 1 phòng tổng 3 phòng ngủ, 3 WC - Sổ đỏ đẹp sẵn sàng giao dịch. + Chi Tiết Xin Liên Hệ Bùi Anh Thái. 1979 - 0987. 862962.",06/06/2022,Tin thường,batdongsan_so_com_vn_1673821424.2804363,, 4, 2, 5, 3, 3
16 tỷ VNĐ,Hà Nội, 57m2,"Bán nhà đường Đào Tấn ô tô vào nhà - LH: 0856 968 656.Vị trí đẹp lô góc sáng thoáng, mặt ngõ ô tô tải tránh, kinh doanh đỉnh.Diện tích 57 m2.Xây dựng 6 tầng phù hợp thang máy.Mặt tiền 6m.Thiết kế hiện đại, nội thất cực đẹp, khu văn minh, an ninh dân trí cao.Khu vực xung quanh toàn tòa nhà cao tầng người Nhật Hàn Úc rất đông.Sổ đỏ chính chủ giao dịch ngay.Giá chào chỉ nhỉnh 15 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn. Liên hệ ngay, miễn trung gian, môi giới, Vũ Bình xin cảm ơn: 0856 968 656.",06/06/2022,Tin thường,batdongsan_so_com_vn_1673821425.4044666,,,,,,
"3,98 tỷ VNĐ",Mỗ Lao - Hà Đông, 33m2,"MỖ LAO – HÀ ĐÔNG, NGÕ THÔNG Ô TÔ, 3.98 TỶ Khu vực đô thị đáng sống, văn minh, hang xóm thân thiện. Ngõ thông Trần Phú, Vũ Trọng Khánh, Thanh Bình, Tố Hữu Liền kề khu đô thị Mỗ Lao, Văn Quán. Gần kề các trường Kiến Trúc, Bưu Chính viễn thông, Học Viện An ninh … Nhà vị trí cực đẹp, 3 ô tô tránh nhau cách 15m, ngay sát hồ điều hòa. Nhà xây kiên cố kết cấu 5 tầng 3 ngủ có thể về ở luôn. Sổ đỏ chính chủ, sẵn sàng giao dịch. Thương lượng trực tiếp chủ nhà. Liên hệ: Phương - 0918120568",06/06/2022,Tin thường,batdongsan_so_com_vn_1673821426.555389,, 3,, 5, 4, 4
