price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Hướng,Số phòng ngủ,Mặt tiền,Số toilet,Lộ giới
"6,48 tỷ VNĐ",Thanh Bình- Hà Đông, 58m2,"Hiếm! Thanh Bình, Hà Đông, phân lô, vỉa hè, ô tô tránh, 58m, giá đầu tư Nhà đẹp thuộc khu phân lô cán bộ, với 5 tầng thoáng sáng đầy đủ công năng sử dụng. Tiềm tiền hiếm tìm đâu ra. Nhà tự xây quá đẹp long lanh như cung điện, nội thất xịn xò. Đường thông hè thoáng ô tô chạy vòng quanh, vỉa hè kinh doanh, hoặc vừa ở vừa làm văn phòng quá tuyệt, dân trí xung quanh toàn quan chức về đây tụ họp, khu phố văn minh, ở quá yên tĩnh. Bán kính xung quanh các chợ, siêu thị, trường đại học lớn, ngân hàng, khu vui chơi, bệnh viện,..không thiếu thứ gì, tiện ích ngút ngàn. Giao thông di chuyển các hướng: Yết Kiêu, Nguyễn Văn Lộc, Ao Sen, An Hòa, Nguyễn Trãi, Chiến Thắng, Văn Quán, Nguyễn Khuyến, Quang Trung..., nhà đẹp khu hiếm. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 6.48 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827709.4529471,,,,,,
"6,47 tỷ VNĐ",Trần Phú- Hà Đông, 59m2,"GẤP! NHỈNH 6 TỶ, 59m,kinh doanh, ô tô tránh, vỉa hè, Trần Phú, Hà Đông Trần Phú- Hà Đông, nổi tiếng một trong những nơi đáng sống bậc nhất Hà Đông, dân đông, phố rộng hè thoáng, vài bước ra hồ, hưởng trọn lợi ích của Khu đô thị Văn Quán. Môi trường trong lành, tiện ích ngút ngàn: Siêu thị, chợ, trường học các cấp, trục chính di chuyển thuận lợi: Quang Trung, Thanh Xuân, Nam Từ Liêm. Nhà có vị trí đắc địa hiếm có khó tìm, ô tô chạy vòng quanh, vỉa hè, phẩn lô hơn 6 tỷ tìm đâu ra phù hợp vừa ở vừa làm văn phòng, các tầng thoáng sáng, chủ tự xây tâm huyết bán đi rất tiếc. Vài bước ra các phố lớn: Phúc La, Mỗ Lao, Yết Kiêu, Vạn Phúc, Nguyễn Trãi,.... Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 6.47 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827710.6696918,,,,,,
"6,47 tỷ VNĐ",Trần Phú- Hà Đông, 59m2,"GẤP! NHỈNH 6 TỶ, 59m,kinh doanh, ô tô tránh, vỉa hè, Trần Phú, Hà Đông Trần Phú- Hà Đông, nổi tiếng một trong những nơi đáng sống bậc nhất Hà Đông, dân đông, phố rộng hè thoáng, vài bước ra hồ, hưởng trọn lợi ích của Khu đô thị Văn Quán. Môi trường trong lành, tiện ích ngút ngàn: Siêu thị, chợ, trường học các cấp, trục chính di chuyển thuận lợi: Quang Trung, Thanh Xuân, Nam Từ Liêm. Nhà có vị trí đắc địa hiếm có khó tìm, ô tô chạy vòng quanh, vỉa hè, phẩn lô hơn 6 tỷ tìm đâu ra phù hợp vừa ở vừa làm văn phòng, các tầng thoáng sáng, chủ tự xây tâm huyết bán đi rất tiếc. Vài bước ra các phố lớn: Phúc La, Mỗ Lao, Yết Kiêu, Vạn Phúc, Nguyễn Trãi,.... Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 6.47 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827711.8420892,,,,,,
"6,48 tỷ VNĐ",Thanh Bình- Hà Đông, 58m2,"Hiếm! Thanh Bình, Hà Đông, phân lô, vỉa hè, ô tô tránh, 58m, giá đầu tư Nhà đẹp thuộc khu phân lô cán bộ, với 5 tầng thoáng sáng đầy đủ công năng sử dụng. Tiềm tiền hiếm tìm đâu ra. Nhà tự xây quá đẹp long lanh như cung điện, nội thất xịn xò. Đường thông hè thoáng ô tô chạy vòng quanh, vỉa hè kinh doanh, hoặc vừa ở vừa làm văn phòng quá tuyệt, dân trí xung quanh toàn quan chức về đây tụ họp, khu phố văn minh, ở quá yên tĩnh. Bán kính xung quanh các chợ, siêu thị, trường đại học lớn, ngân hàng, khu vui chơi, bệnh viện,..không thiếu thứ gì, tiện ích ngút ngàn. Giao thông di chuyển các hướng: Yết Kiêu, Nguyễn Văn Lộc, Ao Sen, An Hòa, Nguyễn Trãi, Chiến Thắng, Văn Quán, Nguyễn Khuyến, Quang Trung..., nhà đẹp khu hiếm. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 6.48 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827712.976061, 5,,,,,
"18,5 tỷ VNĐ","Chùa Láng, Láng Thượng, Đống Đa", 68m2,"Cần bán HOA HẬU ĐỐNG ĐA NHÀ ĐẸP LONG LANH CHỦ TỰ XÂY TẶNG TOÀN BỘ NỘI THẤT NHẬP KHẨU 7 TẦNG THANG MÁY Ở SƯỚNG, KINH DOANH, VĂN PHÒNG, SPA Mô tả: +Đường Chùa Láng gần các trường đại học danh tiếng như Ngoại Thương, Ngoại Giao +Nhà nằm trong khu vip phân lô, ô tô chạy vòng quanh, đỗ cửa ngày đêm +Sát vách chung cư cao cấp, hưởng tiện ích của chung cư +Nhà 2 mặt thoáng, ban công trước sau +Chủ tự xây, thiết kế cực đẹp và hiện đại, toàn bộ nội thất nhập khẩu, nhà nở hậu +Hàng xóm tri thức, cán bộ các trường Ngoại Thương, Ngoại Giao và nhiều cơ quan nhà nước khác. Chủ nhà là chủ doanh nghiệp lớn xây để ở, cần chuyển đổi nên muốn bán nhanh, chỉ bán từ nay tới hết tháng 4 dương lịch -Tầng 1: Thông sàn, gara, phòng vệ sinh -Tầng 2, 3: Mỗi tầng 2 phòng và 1 vệ sinh -Tầng 4, 5: Mỗi tầng 2 phòng và 3 vệ sinh -Tầng 6: Bếp, phòng khách và 1 vệ sinh -Tầng 7: Phòng thờ, sân phơi, 1 phòng và 1 vệ sinh *Pháp lý: +Sổ đẹp, sẵn sàng giao dịch, pháp lý chuẩn, sang tên nhanh *Diện tích: 68m2 *Giá tiền: 18.5 tỉ (Có thương lượng) Liên hệ: Minh 0964 915 213 / 0389 609 210 Chúng tôi còn hàng trăm căn khác tại Hà Nội, hãy gọi điện ngay để được tư vấn miễn phí những căn nhà phù hợp với quý khách! Dịch vụ môi giới Bất Động Sản cùng nhiều dịch vụ khác theo tiêu chuẩn Nhật Bản. 0964 915 213 / 0389 609 210 (Minh)",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827714.03223,,,,,,
"8,3 tỷ VNĐ","Sơn Đồng, Hoài Đức, Hà Nội", 75m2,"""Shophouse Sơn Đồng Center tinh hoa nghìn năm - khơi nguồn thịnh vượng - 150 lô liền kề diện tích từ 65m2 - 103m2- Mặt tiền từ 5,1m - 6,3m - mặt đường 10m- Tầng cao :4,5 tầngVị trí:- Nằm tại đường Tỉnh Lộ 422 Sơn Đồng - Song Phương -Hoài Đức- Cách ngã tư Trạm Trôi - Quốc lộ 32 chưa đến 3km - hạ tầng đã hoàn thành đồng bộ.- Nằm sát làng nghề đúc tượng - sơn - tạc tượng - đồ mỹ nghệ, đồ thờ nổi tiếng.- Pháp lý hoàn chỉnh:- Sổ đỏ chính chủ từng lô.- Cơ hội đầu tư tiềm năng tăng 50% khi Hoài Đức lên quận và thông đường Trịnh Văn Bô kéo dài từ Mỹ Đình qua Kim Chung Di Trạch lên.- Phía Bắc: Giáp Tỉnh Lộ 422B Sơn Đồng, Vân Canh.- Phía Nam: Giáp làng Lại Yên, đất dự phòng phía Bắc khu đô thị An Khánh, giáp đường trục huyện từ ngã tư Phương Bảng, theo đường Lại Yên An Khánh.- Phía Đông: Giáp khu dân cư 2 xã Vân Canh và Lại Yên.- Phía Tây: Giáp với trục đường Sơn Đồng Song Phương.Hạ tầng đã xong, hiện đang xây thô - sổ đỏ chính chủ - đất ở lâu dài""",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827717.5320857, 4, Đông bắc, 3,,,
75 tỷ VNĐ,"đường Vũ Trọng Phụng, phường Thanh Xuân Nam", 183m2,"Cần bán nhà diện tích 183m2, mặt tiền 7,2m tại đường Vũ Trọng Phụng, phường Thanh Xuân Nam, quận Thanh Xuân. Vị trí: đắc địa mặt phố VIP quận Thanh Xuân, quy hoạch đã ổn định, mặt đường đang được spa làm đẹp, vỉa hè 2 bên thênh thang. Cách mặt phố Nguyễn Trãi vài bước chân. Hiện trạng: đang là nhà cấp 4 chủ xác định bán đất. Gia chủ nhiều tuổi bán chia tài sản cho con cháu. Khách mua về xây lên toàn nhà 8 – 9 tầng thì chấm hết. Đường Vũ Trọng Phụng là tuyến ngắn nên rất hiếm đất bán. Giao thông: thuận tiện di chuyển Nguyễn Trãi - Nguyễn Huy Tưởng - Nguyễn Tuân - Lê Văn Thiêm - Nguỵ Như Kon Tum... Tiện ích: ngập tràn và đầy đủ. Pháp lý: Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 75 tỷ Thanh Xuân giờ giá lên vù vù, anh chị em cô chú đi mua cứ mạnh dạn, nhanh chân là được! Liên hệ: Mr. Ngọc – 0344.978.570 (chuyên khu vực Thanh Xuân Nam). Hỗ trợ cho vay trả góp chỉ từ 7 triệu/tháng, thủ tục đơn giản, giải ngân nhanh.",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827721.2099478, 1,, 5,,,
"3,1 tỷ VNĐ","Kim Mã, Ba Đình, Hà Nội", 39m2,"🆘🆘🆘HIẾM🆘🆘🆘 Cần bán nhà ở Phường Kim Mã, Ba Đình.—————HỘ KHẨU BA ĐÌNH - KHÁCH GỌI CHÁY MÁY - 3 BƯỚC RA MẶT PHỐ - CHỦ THIỆN CHÍ. * Mô tả:+ DT: 39m2+ Nhà 3 tầng+ MT: 2,7m+ Giá: 3,1 tỷ.+ Phố Kim Mã lõi của quận Ba Đình, đi đâu cũng thuận tiện. Nhà gần phía trung tâm, gần bên xe Kim Mã, Nguyễn Thái Học, Giang Văn Minh. + Nhà 3 tầng cũ nhưng còn rất chắn chắn, khách mua về sơn sửa lại, lên thêm tầng thoải mái. * Thiết kế: - T1: Để xe + Khách và bếp.- T2: Phòng ngủ + WC.- T3: Phòng ngủ + sân phơi+ WC. 📕📕📕Sổ đỏ chính chủ☎️☎️☎️ Liên hệ: 0878031991",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827722.3339415, 3,,, 2, 3,
"8,8 tỷ VNĐ",Thái Thịnh, 46m2,"
    VỊ TRÍ CỰC ĐẸP - NGÕ TO Ô TÔ TRÁNH - Ô TÔ 7 CHỖ VÀO NHÀ - KINH DOANH
Bán nhà phố Thái Thịnh - Đống Đa.
Diện tích 46m2 x 6 tầng x 5m mặt tiền.
- Nhà chủ tự xây tâm huyết cực kì chắc chắn, giờ muốn chuyền vào miền Nam ở với con gái nên cần nhượng lại cho khách có thiện chí.
- Vị trí cực đẹp, trước nhà ô tô tránh nhau, kinh doanh đỉnh.
- Nhà gần chợ, trường học cấp 1 cấp 2, bệnh viện Nội Tiết, tiện ích xung quanh không thiếu thứ gì.
- Thiết kế:
+ Tầng 1: Kinh doanh hoặc gara ô tô.
+ Tầng 2: Phòng khách + Bếp.
+ Tầng 3,4,5: Mỗi tầng 2 phòng rộng + WC.
+ Tầng tum: trồng rau cỏ.
- Giá 8.8 tỷ.
- Sổ đỏ CC vuông đẹp.
Liên hệ 0365176087 Đoàn ( chỉ tiếp khách thiện chí )
",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827723.3342652, 6,, 5, 5, 4, 5
"15,4 tỷ VNĐ",Ngọc Khánh, 100m2,"
    BÁN NHÀ PHÂN LÔ CÁN BỘ Ở NGỌC KHÁNH - BA ĐÌNH - HÀ NỘI. ( ẢNH THẬT ).
Diện tích 100m2 x 5 tầng x 5m mặt tiền.
- Vị trí đẹp, 2 mặt ngõ ô tô tránh.
- Nhà thiết kế hiện đại, nội thất nhập khẩu xịn.
- Sổ đỏ CC giao dịch ngay nhanh chóng, không dính quy hoạch, tranh chấp.
*Thiết kế:
Tầng 1: Phòng khách, bếp, wc.
Tầng 2,3,4: Mỗi tầng 2 phòng ngủ đẹp.
Tầng 5: Phòng thờ, wc, sân phơi.
- Giá 15.4 tỷ thương lượng.
Liên hệ 0365.176.087 Đoàn ( chỉ tiếp khách thiện chí ).
",14/04/2022,Tin thường,batdongsan_so_com_vn_1673827724.4243488, 5,, 6, 5, 6,
