price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Mặt tiền,Lộ giới,Hướng
"2,54 tỷ VNĐ",Phùng Hưng- Hà Đông, 37m2, 5,"Bán nhà Phùng Hưng, Hà Đông, 37mx5 tầng, ngõ thoáng gần ô tô, nhỉnh 2 tỷ Cần bán gấp nhà trung tâm quận Hà Đông, nằm sát khu đô thị Văn Quán, xung quanh là các bệnh viện lớn, vài bước chân ra chợ, ngõ thoáng rộng, ô tô rất gần thuận tiện đi lại, xung quanh trường học các cấp, ngân hàng, siêu thị, không thiếu thứ gì. Nhà đẹp xây khung cột chắc chắn, các phòng mở cửa sổ thoáng sáng, nhà mới xây phong cách hiện đại, đầy đủ công năng sử dụng. Chỉ việc xách vali đến ở. Giao thông di chuyển các phố: Đa Sỹ, Tô Hiệu, Bà Triệu, Văn Quán, Xa La, Yên Xá, Nguyễn Trãi,....gần chợ lớn Hà Đông, chợ đầu mối 365 mua bán kinh doanh sầm uất. Chủ nhà nhiều bất động sàn bán bớt để mua máy móc sản xuất, gia lộc cho khách thực sự yêu nhà. Giá: 2.54 tỷ ( có thương lượng). Sổ đỏ vuông, sẵn sàng giao dịch. Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",19/02/2022,Tin thường,batdongsan_so_com_vn_1673832015.149941,,,,,
"11,9 tỷ VNĐ",Phố Nghĩa Đô, 45m2, 6,"Bán nhà phố Nghĩa Đô trung tâm Quận Cầu Giấy . Nhà nằm khu phân lô Víp vị trí đẹp nhất phố trước nhà hai ô tô tránh, vỉa hè rộng , gara , khu vực dân trí cao, xung quanh nhiều tiện ích Thiết kế 6 tầng nội thất hiện đại, thang máy nhập. Diện tích tầng 1 42m từ tầng 2 45m( Gara + Khách bếp +3 ngủ rộngkhép kín + phòng thờ + sân phơi)  Sổ đỏ chính chủ sang tên nhanh Liên hệ 0️⃣9️⃣0️⃣5️⃣9️⃣1️⃣6️⃣5️⃣6️⃣8️⃣ MTG",19/02/2022,Tin thường,batdongsan_so_com_vn_1673832016.758228, 4, 4,,,
,"mặt đường 11 Ngô Gia Khảm, Quận Long Biên, Hà Nội", 30m2, 6,"Chính chủ bán nhà mặt đường 11 Ngô Gia Khảm, Quận Long Biên, Hà Nội (Liền cổng bến xe Gia Lâm)Diện tích: 30m2 x 6 tầng, mặt tiền 4,5m- Nhà mới đẹp, 6 tầng khép kín,6 tầng đều có điều hòa,  tiện nghi đầy đủ- Rất tiện làm văn phòng, spa..Giá bán: Thỏa thuận - Sổ đỏ chính chủLiên hệ chủ nhà: 0929271958, 0868811165   Nguồn:  http://nhadathanoi.net.vn/nha-mat-pho/chinh-chu-ban-nha-mat-duong-11-ngo-gia-kham-quan-long-bien-ha-noi-3512.html",19/02/2022,Tin thường,batdongsan_so_com_vn_1673832019.982194,,, 4,,
"17,5 tỷ VNĐ","Lê Trọng Tấn, Khương Mai, Thanh Xuân, Hà Nội", 128m2,,"Chính chủ bán nhà Lê Trọng Tấn Thanh Xuân. DT 128m2*4T giá 17.5 tỷ.- Vị trí, Nhà mặt đường to như phố, kinh doanh sầm uất, gần mặt phố Lê Trọng Tấn. Đường trước nhà rộng ô tô tránh nhau thoải mái, đường thông kinh doanh được tất cả các dịch vụ.- Thiết kế: 4 tầng, nội thất sang trọng, hệ thống điều hòa âm trần, thiết kế tủ toàn gỗ Sồi Nga, cầu thang gỗ Lim.+ Tầng 1: Gara ô tô, phòng khách và phòng bếp, wc.+ Tầng 2,3: Mỗi tầng 2 phòng ngủ, wc khép kín, có ban công.+ Tầng 4: Phòng thờ, sân phơi.- Sổ đỏ: Chính chủ, pháp lý chuẩn.- Liên hệ: A Thành 0912525146",19/02/2022,Tin thường,batdongsan_so_com_vn_1673832022.3570213,,,,,
"1,5 tỷ VNĐ","phố Bạch Mai, Quận Hai Bà Trưng (sau nhà mặt phố)", 13m2,,"Chính chủ bán nhà phố Bạch Mai, Quận Hai Bà Trưng (sau nhà mặt phố)Diện tích: 13m2, có gác xép cao, vệ sinh khép kín, cách 10m ra phố, đối diện TTTM Chợ Mơ, có sổ đỏ chính chủ.Vị trí trung tâm, thuận tiện giao thông sinh hoạt, gần trường, chợ, bệnh viện, bến xe...Giá bán: 1,5 tỷ - Có thương lượngChính chủ: 0832164466
 
 
Nguồn:  http://nhadathanoi.net.vn/chinh-chu-ban-nha-rieng/chinh-chu-ban-nha-pho-bach-mai-quan-hai-ba-trung-sau-nha-mat-pho-3509.html

",19/02/2022,Tin thường,batdongsan_so_com_vn_1673832023.6894572,,,,,
140 tỷ VNĐ,KĐT Trung Hòa, 235m2, 9,"Chủ cần tiền đầu tư, muốn nhượng lại tòa nhà 9 tầng mặt phố VIP khu đô thị Trung Hòa, Cầu Giấy. Vị trí đẹp nhất phố, khu vực dân cư đông đúc và kinh doanh sầm uất. Ngay gần ngã 4Toà nhà được xây dựng mới tinh, đẳng cấp và hiện đại, đầy đủ GPXD, PCCC, 2 thang máy, mặt tiền cực rộng, mặt phố to oto dừng đỗ ngày đêmDiện tích: 235m2 x 9 tầng, mặt tiền 15mGiá: 140 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)BUILDING MẶT PHỐ TRUNG TÂM - CÓ HẦM - THÔNG SÀN XÂY MỚI - KINH DOANHLiên hệ xem nhà và nhận thông tin chi tiết: 0981367887- Thửa đất phân lô vuông đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch",19/02/2022,Tin thường,batdongsan_so_com_vn_1673832024.8643148,,, 15, 21,
"18,3 tỷ VNĐ","Mặt phố Trường Chinh, p. Khương Mai, q. Thanh Xuân, Tp. Hà Nội", 59m2, 7,"59m2, 7t Thang máy, vỉa hè R3m, thiết bị &nội thất nhập ngoại mới, đắt tiền, KINH DOANH bất chấp các ngành nghề. Khẳng định giá RẺ NHẤT Mặt phố Trường chinh- quận Thanh Xuân. * MÔ TẢ BẤT ĐỘNG SẢN (HÌNH ẢNH KÈM THEO): + Thông số: SĐ 59m2, 7t, R5m, 1 vỉa hè mặt phố R3m, 1 vỉa hè mặt ngõ 1m. thiết kế thông sàn tầng 1 đến 4, 3t trên ở gia đình. + Vị trí: Nhà Mặt phố Trường Chinh, cách Ngã tư Sở, Ngã tư Vọng 1km, BTL. Không quân, Học viện Khoa học Quân sự, Đại học Kinh tế Quốc dân, Bách Khoa, Bệnh viện Bạch Mai 1.5m; Nhà mặt phố Kinh doanh đa ngành nghề, lĩnh vực; mặt ngõ sau ô tô tránh, thông, kinh doanh. Khu vực toàn quan chức ở, dân trí cao, an ninh tốt. + Pháp lý: Nhà sổ đỏ, không tranh chấp, quy hoạch; đầy đủ giấy phép xây dựng, Phòng chống cháy nổ, đã vào sổ hoàn công. + Giá bán: 18.3 Tỷ (Có Thương lượng cho Gia chủ mới nhiệt tình mua). + LH Em Tuấn (24/7): Tư vấn pháp lý, xem BĐS, hỗ trợ sang nhượng miễn phí.  Nhận tìm BĐS các quận Nội thành Hà Nội theo đúng yêu cầu của Quý anh, chị: Nhiệt tình- chính xác- Nhanh và uy tín (Hoàn toàn miễn phí). Cảm ơn Quý anh chị đã xem tin!",11/09/2021,Tin thường,batdongsan_so_com_vn_1673832027.3077028, 5, 7, 5, 11,
"4,3 tỷ VNĐ",ngõ 104 Nguyễn An Ninh HM Hà Nội, 40m2, 5,"Cần bán nhà  mới xây được 2 năm ngõ 104 Nguyễn An Ninh đi thông sang 176 Trương Định Tương Mai, Hoàng Mai,Hà Nội.DT 40m2 x 5 tầng, giá 4.3 tỷ.Nhà xây dựng 40m2 x 5 tầng,  nhà đẹp không lỗi phong thủy. Thiết kế có giếng trời lấy ánh sáng và không khí vào phòng. để lại toàn bộ nội thất.-Thiết kế bao gồm - Tầng 1: Phòng khách, bếp ăn riêng biệt, WC.- Tầng :2,3: Mỗi tầng 2 phòng rộng, 1 WC.- Tầng 4:1 phòng ngủ, phòng thờ-Tần 5: sân phơi và vườn trồng cây.Khu dân trí cao, an ninh tốt, hàng xóm thân thiện, tiện chợ gần trường học bệnh viện, cách phố 100m giao thông thuận tiện, ngõ trước nhà 2 xe tránh nhau thoải mái, SH quay đầu.Sổ đỏ chính chủ. Giá 4.3 tỷ (có thương lượng) Liên hệ chị Yến ĐT:0702138238",17/02/2022,Tin thường,batdongsan_so_com_vn_1673832029.2575426, 5, 3, 3, 3, Tây
"15,5 tỷ VNĐ",ngõ 128 Đại La, 80m2, 7,"Bán tòa chung cư mini 7 tầng thang máy ngõ 128C Đại La Hai Bà Trưng. Diện tích sử dụng mỗi tầng  80m2,đã cho thuê full phòng.doanh thu 1 tỷ 100tr trên 1 năm . được thiết kế cực hiện đại, mặt trước và sau đều là ngõ thoáng. Với kiến trúc bao gồm:Tầng 1: chỗ để xe, 2 căn hộ khép kín.Tầng 2, 3, 4,5: mỗi tầng 4 căn hộ riêng biệt, đầy đủ nội thất. Tầng 6 : Thiết kế 2 phòng Master rộng, vệ sinh khép kín.Tầng 7 : Sân phơi cực rộng, có thể tổ chức liên hoan sinh nhật, BBQ.  Tổng tòa có 20 căn hộ mini, mỗi căn hộ gồm 1 phòng ngủ + 1 phòng khách + 1 bếp + phòng tắm + ban công thoáng.Nội thất hoàn thiện đầy đủ 100%, khách chỉ cần xách vali đến ở: mỗi căn hộ đã có sẵn giường ngủ và tủ quần áo, điều hòa, nóng lạnh, bếp + hút mùi, máy giặt, tủ lạnh, dàn phơi...Vị trí trung tâm lý tưởng, ngay ngã tư Lê Thanh Nghị - Trần Đại Nghĩa, cạnh 3 trường ĐH lớn Bách Khoa - Kinh Tế - Xây Dựng và bệnh viện Bạch Mai, tiềm năng cho thuê vô cùng lớn.* Sổ đỏ chính chủ. Giá 15,5 tỷ (có thương lượng) liên hệ chị yến ĐT:0702138238",17/02/2022,Tin thường,batdongsan_so_com_vn_1673832030.568062, 10, 10, 7, 3, Nam
"6,6 tỷ VNĐ",phố Lê Thanh Nghị HBT HN, 45m2, 4," Bán nhà mặt ngõ phố Lê Thanh Nghị, Bách Khoa, Hai Bà Trưng, Hà Nội-Diện tích 45m2, 4 tầng khung cột bê tông mới.  -Thiết kế bao gồm:-T1: thông sàn kinh doanh nhỏ-T2: 1 phòng khách, bếp, vệ sinh.-T3:2 phòng ngủ vệ sinh giữa.-T4:1 phòng ngủ, 1 phòng thờ, 1 vệ sinh.Vị trí  đắc địa, ngay ngã tư Trần Đại Nghĩa- Lê Thanh Nghị, từ nhà ra mặt phố chỉ 30m, ngõ to rộng thoáng, xe Lam đỗ cửa thoải máiPhù hợp với nhu cầu vừa ở vừa kinh doanh, hoặc đầu tư cho thuê sinh lờiChủ nhà hiện không ở nên đã cho sang sửa lại cực kỳ đẹp theo phong cách Tân cổ điển Châu âu bắt mắt, trang trí, nội thất thời thượng, khách mua về chỉ việc ởSổ đỏ chính chủ giá 6,6 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",18/02/2022,Tin thường,batdongsan_so_com_vn_1673832031.882554, 4, 3, 4, 3, Nam
