price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền
"1,76 tỷ VNĐ","Đường Núi Trúc, Ngọc Khánh, Ba Đình", 13m2, 6, 4, 2, 2,"
    💥 SIÊU RẺ CHỈ 1.76 TỶ-NHÀ MẶT NGÕ PHỐ NÚI TRÚC BA ĐÌNH 13M2 4T MT 4M SĐCC 💥  ⭕️ LH NGAY 0982833366 (RẺ NHẤT CHÙA BỘC-NHÀ ĐẸP-DT TO THÔNG SỐ VIP)---------------------------- NHÀ MẶT NGÕ PHỐ NÚI TRÚC BA ĐÌNHCÁCH MẶT PHỐ 20M, NGÕ THẲNG TẮP THÔNG TỨ PHÍA + SỔ ĐỎ RIÊNG- Nhà mặt ngõ thông gần phố kinh doanh onlie được, diện tích sổ 8,1m2 nhưng thực tế rộng 13m2 sổ kiểu đặc thù như phố Tân  Mai Hoàng Mai, hợp với gđ nhỏ mua ở luôn khu vực trung tâm Ba Đình tiện ích không thiếu gì.- Nhà tiện xem trong bất cứ khi nào.- Thiết kế: 4 tầng ở luôn các đều có cửa sổ+ Tầng 1: phòng khách,  bếp, wc rộng.+ Tầng 2,3: tổng 2 ngủ ( không có wc).+ Tầng 4: phòng thờ sân phơi.- Sổ đỏ riêng giao dịch luôn.----------------------------🚀 GIÁ BÁN CHỈ: 1.76 TỶ (NHÀ THẬT+THÔNG TIN THẬT+ẢNH THẬT+GIÁ THẬT)----------------------------☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366  ZALO 0902223785(Chuyên nhà đẹp rẻ Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%...
",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791144.4219263,
"5,5 tỷ VNĐ","Đường Xuân Đỉnh, Xuân Đỉnh, Bắc Từ Liêm", 60m2, 5, 5, 6, 4,"
    
Bán nhà đẹp ngõ ôtô phố Xuân Đỉnh 60m2 5tầng 5.5tỷ Bắc Từ Liêm (1)

NGÕ RỘNG THOÁNG- LÔ GÓC.-THÔNG SANG 205 XUÂN ĐỈNH

+ Chủ muốn bán sớm để đầu tư làm ăn, vị trí cực đẹp tiếp giáp Khu Ngoại Giao Đoàn. 2 bước chân ra ôtô, công viên Hoà Bình, Đại Sứ Quán Hàn Quốc.20 phút đi sân bay Nội Bài.
+ Gia chủ xây dựng rất chắc chắn. Thiết kế hiện đại nội thất sang trọng.
+ T1. Khách cầu thang giữa bếp wc
+ T2.3.4: mỗi tầng 2 ngủ và wc
+ T5. Phòng thờ sân phơi 
+ Sổ đỏ chính chủ sẵn sàng giao dịch 
Chú ý: Nhà đất cuối năm giao dịch cực nhanh xem ngay kẻo lỡ!
1. LH: A. Hoàng Anh 0934266313 (xem nhà miễn phí)
2. Link kho nhà đẹp: https://www.facebook.com/356939308270722
3. Hỗ trợ tài chính cho vay mua nhà đến 80% giá trị căn nhà, lãi suất thấp nhất thị trường.
4. ACE Môi giới kết hợp làm việc tại: https://www.facebook.com/108917115160629",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791146.4744146, 4
"3,38 tỷ VNĐ","Đường Chùa Bộc, Quang Trung, Đống Đa", 39m2, 6, 4, 4, 5,"
    💥 RẺ NHẤT CHÙA BỘC-NHÀ NHƯ MỚI THÔNG SỐ ĐẸP 39M2 4T MT 4M CHỈ 3.38 TỶ 💥  ⭕️ LH NGAY 0982833366 (RẺ NHẤT CHÙA BỘC-NHÀ ĐẸP-DT TO THÔNG SỐ VIP)---------------------------- NHÀ PHỐ VIP CHÙA BỘC ĐỐNG ĐA 39M2 4T MT 4M CHỈ 3.38 TỶDIỆN TÍCH LỚN NHÀ NHƯ MỚI + TẶNG FULL NỘI THẤT + TRUNG TÂM ĐỐNG ĐỐNG ĐA Ở SƯỚNG- Nhà cách mặt phố khoảng 70m, ngõ 43 thông sang ngách 2 Tam khương cạnh Đại học Y, học viện Ngân hàng, Vincom phạm Ngọc Thạch, tiện ích cao ở sướng.- TẶNG FULL NỘI THẤT CHỈ VIỆC Ở: Bàn ghế, ti vi ,tủ áo, điều hoà vv...- Thiết kế;- Diện tích sổ 38.5m2, nhà xây 32m2 còn lại làm sân để xe riêng của nhà.+ Tầng 1: phòng khách, bếp ,wc.+ Tầng 2: 2 phòng ngủ.+ Tầng 3: 1 phòng ngủ, wc rộng.+ Tầng 4: phòng thờ, sân phơi.- Sổ đỏ chính chủ giao dịch ngay----------------------------🚀 GIÁ BÁN CHỈ: 3.38 TỶ (NHÀ THẬT+THÔNG TIN THẬT+ẢNH THẬT+GIÁ THẬT)----------------------------☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366  ZALO 0902223785(Chuyên nhà đẹp rẻ Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%...
",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791147.8327813,
"3,8 tỷ VNĐ","Đường Lý Nam Đế, Cửa Đông, Hoàn Kiếm", 17m2, 6, 6, 4, 5,"
    💥 SIÊU PHẨM 6 TẦNG THANG MÁY LÝ NAM ĐẾ MT 4M CHỈ 3.8 TỶ 💥  ⭕️ LH NGAY 0982833366 (SIÊU PHẨM 6 TẦNG THANG MÁY-NHỎ TIỀN-CÔNG NĂNG VIP)---------------------------- BÁN NHÀ NGÕ PHỐ LÝ NAM ĐẾ 17M2 6T THANG MÁY MT 4.1M NHỎ TIỀN LÕI HOÀN KIẾM CÔNG NĂNG ĐỈNH CAO+ Nhà nằm trong con ngõ nhỏ phố Lý Nam Đế, hàng xóm toàn quân đội. 40m ra mặt phố, dân trí cao, an ninh và yên tĩnh. Chủ nhà hơi lười nên sắm hẳn thang máy gần tỷ để đỡ mỏi chân.+ Khung cột bê tông chắc chắn, 3 mặt thoáng.- Tầng 1: phòng khách, để xe.- Tầng 2-5: mỗi tầng 1 phòng ngủ khép kín.- Tầng 6: Bếp, sân phơi.+ SĐCC, Pháp lý chuẩn giao dịch ngay----------------------------🚀 GIÁ BÁN CHỈ: 3.8 TỶ (NHÀ THẬT+THÔNG TIN THẬT+ẢNH THẬT+GIÁ THẬT)----------------------------☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366  ZALO 0902223785(Chuyên nhà đẹp rẻ Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%...
",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791149.5412123,
3 tỷ VNĐ,"Xuân Phương, Phương Canh, Nam Từ Liêm", 33m2, 2, 5, 3,,"Anh Thế nhờ bán nhà riêng đường Xuân Phương, quận Nam Từ Liêm, ngõ rộng, gần ô tô, nhà đẹp ở ngay. + S = 33m, 5 tầng, mặt tiền 4m, giá 3 tỷ. + Vị trí: Gần các trường đại học lớn như Đại học Công Nghiệp Hà Nội, đại học Thành Đô, cao đẳng FPT,... + Giao thông: Gần Quốc lộ 32, đường Trịnh Văn Bô, Phương Canh, Vân Canh,... + Thiết kế: 5 tầng, 3 phòng ngủ, phòng thờ, sân phơi. + Sổ đỏ vuông đẹp chính chủ sẵn sàng giao dịch, chủ nhà thiện chí. + Liên hệ Trường : 03673680538 để được tư vấn và xem nhà miễn phí. ",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791152.1696935, 4
"15,5 tỷ VNĐ","Đường Nguyễn Công Thái, Đại Kim, Hoàng Mai", 53m2, 15, 5, 5,,"Mô tả: Vị trí nhà cực đẹp, mặt phố Nguyễn Công Thái, khu phân lô nằm trong khu đô thị Đại Kim, Hoàng Mai, vỉa hè đá bóng, View vườn hoa, ô tô dừng đỗ, kinh doanh sầm uất ngày đêm, vài bước chân ra hồ Linh Đàm, bệnh viện Thu Cúc, AEON Đại Kim sắp khởi cônggiá trị tăng lên gấp bội. + Nhà xây 5 tầng chắc chắn lên tầng thoải mái, thiết kế hiện đại, 2 thoáng trước sau, Full nội thất,  + Giao thông vô cùng thuận tiện, tiện ích xung quang vô vàn, nào trường, chợ, bệnh viện không thiếu thứ gì. + Sổ đỏ siêu đẹp, nét căng, chuẩn pháp lý, sẵn sàng giao dịch ngay. Lh: Vũ Đông, để xem nhà miễn phí 100%, được thỏa thuận trực tiếp với chủ nhà, với nhiều năm kinh nghiệm trong lĩnh vực BĐS thổ cư Hà Nội, đang sẵn có 500 căn nhà từ 6 tỷ đến 60 tỷ, tại các quận nội thành Hà Nội để khách hàng tham khảo và lựa chọn. ",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791154.3349025, 4
"3,98 tỷ VNĐ","Đường Thạch Bàn, Thạch Bàn, Long Biên", 35m2, 3, 5, 4, 5,"Bán nhà xây mới Thạch bàn gần Hồ, Công Viên, Giao thông thuận tiện. + Vị trí cực đẹp giữa khu vực sầm uất gần hồ, công viên Thạch bàn đông vui tấp nập. + Ngõ thông từ Thạch Bàn sang Ngõ 1 Huỳnh Tấn Phát cách AEON chỉ vài trăm mét, Đường Nguyễn Văn Linh chỉ vài bước. + Khu vực lõi gần các nhà máy, khu công nghiệp công nghệ cao dân cư hòa đồng ở cực thích. + Nhà 2 mặt thoáng mặt tiền hơn 4m  xây dựng chắc chắn diện tích gần 35m2 ép cọc 180m bằng 30 cọc xây dựng không có 1 lỗi nào vật liệu loại 1 có kiểm định. Xây móng, tường riêng biệt chỉ duy nhất 1 căn mở cửa thoáng 3 bên. + Sổ đỏ phân lô siêu đẹp chờ giao dịch Gọi e Hoàn đi xem ngay 0868246333",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791156.8800938, 4
"5,9 tỷ VNĐ","Đường Vương Thừa Vũ, Khương Trung, Thanh Xuân", 35m2, 15, 4, 4, 4,"
    💥 CHỈ 5.9 TỶ - MẶT NGÕ 164 VƯƠNG THỪA VŨ - Ô TÔ TRÁNH - 35M2 4T SĐCC 💥 ⭕️ LH NGAY 0982833366 (SIÊU PHẨM NGÕ Ô TÔ TRÁNH THANH XUÂN GIÁ CỰC RẺ)---------------------------- MẶT NGÕ 164 VƯƠNG THỪA VŨ THANH XUÂN 2 Ô TÔ TRÁNH NHAUKINH DOANH - NHÀ DÂN CHỦ TỰ XÂY TÂM HUYẾT  35M2 4T MT 3MThông thương các ngả - ngõ 2 ô tô tránh chạy vòng quanh nhà và thông ra 211 Khương Trung. - Thiết kế: + Tầng 1: Phòng Khách, để xe, bếp. + Tầng 2+3:  mỗi tầng 2 phòng ngủ + 1wc. + Tầng 4: 1 phòng ngủ + sân thượng - 1 phòng mở (thờ hoặc tuỳ gia chủ mới)+ THOÁNG TRƯỚC SAU- SĐCC giao dịch ngay---------------------------- 🚀 GIÁ BÁN CHỈ: 5.9 TỶ (NHÀ THẬT + THÔNG TIN THẬT + ẢNH THẬT + GIÁ THẬT)---------------------------- ☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366  ZALO 0902223785(Chuyên mặt phố, biệt thự, nhà ngõ ô tô Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%...
",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791159.105141,
"21,5 tỷ VNĐ","Đường Kim Mã, Ngọc Khánh, Ba Đình", 35m2, 50, 7, 4, 6,"MẶT PHỐ KIM MÃ LÔ GÓC, VỈA HÈ, 2 THOÁNG, KINH DOANH VÔ ĐỊCH  Nhà Mặt phố Kim Mã 35m, 7 tầng Thang máy nhỉnh 21 tỷ Căn Nhà lô góc, mặt phố Kim Mã , Phố trung tâm Ba Đình.Gần các trường tiểu học, cấp 2, 3. Gần nhiều ...
",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791161.1726086, 3
"7,58 tỷ VNĐ","Đường Nguyễn Văn Hưởng, Giang Biên, Long Biên", 55m2,,,,,"Mặt phố Q. Long Biên, 4 ôtô tránh, vỉa hè, Kinh doanh đỉnh, Diện tích 55m² MT 5m nhỉnh 7 tỷ.+ Mặt phố tại P Phúc Lợi khu vực dân cư đông đúc, nhiều chung cư nhu cầu mua sắm cực lớn trong khi cung cấp còn thiếu.+ Mặt đường vỉa hè kinh doanh đỉnh bán trà đá cũng đông vui xuốt ngày. Đường xá thuận tiện rộng thoáng mát mẻ.+ Sổ đỏ phân lô vuông vức mặt tiền 5m diện.Tích 55m² tỷ lệ vàng mặt phố dễ xây nhà, bố trí nhà ở hay kinh doanh đều đỉnh.+ Thiện chí mua, thiện chí bán thích là mua được.Gọi em Hoàn đi xem là thích 0868246333",01/11/2022,Tin thường,batdongsan_so_com_vn_1673791163.7088265, 5
