price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Lộ giới
"26,2 tỷ VNĐ","đường Nguyễn Hữu Thọ, phường Đại Kim", 75m2, 5, 7, 5,"Cần bán căn nhà ngay mặt đường Nguyễn Hữu Thọ MẶT PHỐ - VIEW HỒ LINH ĐÀM - KINH DOANH SẦM UẤT - CHỦ TỰ XÂY - SÂN THOÁNG. Vị trí rất đắc địa: nằm ngay ở trên mặt phố Nguyễn Hữu Thọ, nhìn ra hồ Linh Đàm, trước nhà là sân cực rộng, buôn bán và đỗ ô tô bạt ngàn. Kinh doanh tấp nập, sản sinh dòng tiền, tiện ích vô vàn không cần đề cập. Thông số: diện tích 75m2 (tầng 1 xây 70m2), mặt tiền gần 5m, xây dựng 5 tầng với cấu trúc: - Tầng 1: thông sàn + WC - Tầng 2 đến tầng 5: 7 phòng + Wc + 1 tum Sổ đỏ rõ ràng, sẵn sàng giao dịch. Giá: 26,2 tỷ Liên hệ: E. Ngọc – 0344.978.570 (miễn phí xem nhà, miễn môi giới, trung gian).",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830183.171005,,,
37 triệu /tháng,279 Hoàng Mai, 76m2,,,,"🔥Cất Nóc Tháng 3 Tài chính 900tr - 1 tỷ nhận ngay nhà Sang, Những căn cuối cùng giá 2,8 tỷ 2PN. Dự án duy nhất quận Hoàng Mai có tiện ích 5 sao bàn giao nhà năm 2022. Vay ngân hàng ưu đãi 0% 💥Lệnh “Lock” liên tục được thực hiện trong phiên giao dịch tại sự kiện mở bán “Giỏ hàng” cuối cùng những căn hộ cuối cùng đẹp nhất tòa tháp Fantasy cho thấy sức nóng và sự quan tâm của khách hàng và nhà đầu tư đến dự án Feliz Homes. ⭐Sự kiện diễn ra thành công tốt đẹp với sự tham gia của gần 200 khách hàng, giỏ hàng các căn hộ ra mắt trong đợt mở bán này đã tìm được chủ nhân. ✅Không chỉ gia nhập cộng đồng cư dân văn minh, hiện đại tại dự án đáng sống bậc nhất khu vực quận Hoàng Mai, các khách hàng chốt đơn tại sự kiện còn nhận ngay nhiều quà tặng ý nghĩa:   👍 Nhận ngay 01 Hổ vàng 24K may mắn    👍 Hỗ trợ vay tối đa lên tới 𝟳𝟱% giá trị căn hộ   👍 Chiết khấu đến 𝟮%   👍 Nhận ưu đãi lãi suất 0% trong vòng 12 tháng   👍Đặc biệt là tấm vé tham dự chương trình bốc thăm trúng thưởng với nhiều quà tặng cực khủng như: Ô tô Mercedes C180 AMG, xe máy Honda SH mode, xe máy điện Vinfast Feliz, máy lọc không khí sẽ được trao cho các cư dân Feliz Homes tại sự kiện Tri ân khách hàng. 💰Báo giá các căn hộ đẹp nhất dự án:Căn hộ 2PN – 77m2 giá từ 2,8 tỷCăn hộ 3PN diện tích 97m2 giá từ 3.25 tỷCăn hộ 3PN diện tích 108m2 ( căn góc ) view thành phố, view Hồ Đền Lừ giá từ 3.6 tỷ🌳Bể bơi điện phân đồng, 🌳Vườn dạo bộ chân mây,🌳Khu Yoga, Vườn thiền. Các tổ hợp thư giãn Gym, hoạt động ngoài trời .🚙Bãi đỗ xe thông minh ngoài trời#279hoangmai#FelizhomesHoangMai -----------------------------------☎️ 𝐇𝐨𝐭𝐥𝐢𝐧𝐞 𝐏𝐊𝐃 𝐂Đ𝐓: ",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830184.510423,,,
900 triệu VNĐ,thôn Sen Trì xã Phúc Tiến huyện Thạch Thất thành phố Hà Nội, 62m2,,,,"Bán gấp 62m2 xã Bình Yên - 100% thổ cư - làn 2 đường TL 420 - sát vách CNC Hòa Lạc - giá siêu rẻ. * Chính chủ cần tiền bán gấp lô đất 70m2 tại xã Bình Yên, trục chính thôn Yên Mỹ, xã Bình Yên, tuyến 2 đường 420 kinh doanh tốt. Liên hệ Mr Nhật & add zalo em để tìm hiểu ạ. Nhận ngay 2 chỉ vàng cho khách liên hệ trong hôm nay. * Vị trí: - Thuộc thôn Yên Mỹ, xã Bình Yên. - Ngay sát khu công nghệ cao, cách khu công nghệ cao hòa lạc 5p đi xe. - Giá đầu tư, dễ dàng thanh khoản. - Sẵn sổ từng lô, công chứng sang tên trong ngày. * Giao thông. - Cách trường mầm non, trường cấp 1, cấp 2 Bình Yên chỉ 2 phút đi xe. - Gần UBND xã Bình Yên. - Cách đường 420 chỉ 25m. - Đường hai ô tô tránh nhau. - Giao thông kết nối hoàn hảo. - Vị trí đắc địa. * Hạ tầng: - Đường trải nhựa, lòng đường vào rộng rãi. - Đường điện cao áp, cống thoát nước, kỹ thuật, cảnh quan sẵn. - Hỗ trợ vay vốn ngân hàng. * Liên hệ Mr Nhật & add zalo em để tìm hiểu ạ. Nhận ngay 2 chỉ vàng cho khách liên hệ trong hôm nay.",09/03/2022,Tin thường,batdongsan_so_com_vn_1673830185.7122064,,,
"9,477 tỷ VNĐ",25 lê văn lương, 158m2, 8, 4, 3,"CHIÊM NGƯỠNG KIỆT TÁC TÂN CỔ ĐIỂN CĂN HỘ MẪU BRG DIAMON RESIDENCE Toạ lạc tại tầng 26 với chiều cao trần sàn vượt trội nhất khu vực, hai căn hộ mẫu với hai phong cách - hai cá tính riêng biệt hứa hẹn sẽ mang đến cho khách hàng không gian sống đẳng cấp châu Âu và nguồn cảm hứng bất tận. Toàn bộ sản phẩm nội thất đều đến từ các thương hiệu nổi tiếng trên thế giới, thường thấy ở những dự án triệu đô Được trang bị các thiết bị thông minh mang đến cho khách hàng trải nghiệm tuyệt vời nhất (hệ thống rèm tự động; điều khiển ánh sáng, nhiệt độ trên smart phone,...) Đồng bộ về “ngôn ngữ thiết kế” đem lại cảm giác hài hòa, sang trọng, mang một chút màu trầm cổ điển Diện tích: 160m2 Quy mô: 4PN, 3 toilet Nhanh tay đăng kí trải nghiệm ngay hôm nay ----------- BRG DIAMOND RESIDENCE – KIM CƯƠNG XANH TRÊN TỌA ĐỘ VÀNG Hotline: 0865992501 Add: 25 Lê Văn Lương, Hà Nội",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830187.0306783, Đông nam,,
"4,6 tỷ VNĐ","ngọc thuỵ, long biên, hà nội", 48m2, 5, 4, 4,"BÁN GẤP NHÀ LONG BIÊN, Ô TÔ ĐỖ CỬA, LÔ GÓC XÂY MỚI, 48M, 5 TẦNG, MT 5M, 4,6 TỶ. CHỦ NHÀ NAM TIẾN CẦN BÁN GẤP NHÀ NGỌC THUỴ LONG BIÊN-Ô TÔ ĐỖ CỬA- DT48M-5 TẦNG- 4,6 TỶ. - Diện tích: 48m ( Sổ đỏ ), 50m ( Thực Tế ), Mặt tiền 5m - Thiết kế: 5 Tầng, 4 ngủ, phòng thờ, sân phơi rộng. - Pháp lý: Sổ đỏ chính chủ, pháp lý sạch, giao dịch trong ngày. - Tiện ích: Nhà đẹp về ở ngay, 200m ra TTTM Mipec, 5’ sang phố cổ, 3 bước ra chợ, gần trường c1,2 quốc tế. ngõ rộng thông thoáng 4 chỗ đỗ cửa, hàng xóm xq thân thiện. - Nhà Dân xây, khung cột bê tông chắc chắn, thiết kế hiện đại, chuẩn công năng. - LÃI NGAY KHI CỌC. - Liên hệ: Mr Tiến. 0965.99.1583. CHUYÊN NHÀ ĐẸP LONG BIÊN, HỖ TRỢ CHECK QUY HOẠCH, SỔ ĐỎ TRAO TAY.",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830188.293818,, 5, 6
"3,2 tỷ VNĐ","bồ đề, long biên, hà nội", 38m2, 4, 4, 3,"TRUNG TÂM LONG BIÊN, 3’ SANG PHỐ, AN SINH ĐỈNH 38M – 4 TẦNG – NHỈNH 3 TỶBÁN NHÀ PHỐ LÂM DU - LONG BIÊN - AN SINH ĐỈNH - 38M - 4 TẦNG - 3.2 TỶ.-    Diện tích: 38m ( Sổ đỏ ), 40m ( Thực Tế ), Mặt tiền 4m-    Thiết kế: 4 Tầng, 3 ngủ, phòng thờ, sân phơi rộng.-    Pháp lý: Sổ đỏ chính chủ, pháp lý sạch, giao dịch trong ngày.-    Tiện ích: Cách phố cổ 2', gần trường học quốc tế, bán kính 200m nhiều ngân hàng, TTTM,  Khu vực dân trí cao, xung quanh nhiều công chức Nhà Nước.-    Nhà Dân xây, khung cột bê tông chắc chắn, thiết kế hiện đại, chuẩn công năng. -    Liên hệ: Mr Tiến. 0965.99.1583. CHUYÊN NHÀ ĐẸP HÀ NỘI, HỖ TRỢ XEM NHÀ MIỄN PHÍ, CHECK QUY HOẠCH, SỔ ĐỎ TRAO TAY.",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830189.900519,, 4, 5
"8,8 tỷ VNĐ",Nguyễn Lương Bằng, 90m2, 4, 4, 4,"Bán nhà mặt ngõ Nguyễn Lương Bằng, nhà đôi sân chơi giữa, ngõ thông, kinh doanh, ô tô đỗ cửa, diện tích 90m2 x 4tầng 8.8tỷ ( có thương lượng ). + Gần UBND Phường Quang Trung. + Cách Bệnh Viện Đa Khoa Đống Đa 50m. + Tầng 1: Bếp, Khách, Wc. + Tầng 2, 3: Mỗi nhà 1 phòng ngủ + Wc. + Tầng4: Phòng thờ + Wc. + Sổ Đỏ chính chủ sẵn sàng giao dịnh. + Liên hệ mr Sơn 0379491999 trung gian, môi giới miễn làm phiền.",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830191.1212516,, 4, 5
32 tỷ VNĐ,Nghĩa Tân-Cầu Giấy- Hà Nội, 140m2, 8,,,"BÁN TÒA CĂN HỘ-VĂN PHÒNG, LÔ GÓC 2 THOÁNG – CẦU GIẤY – 32 TỶ * TÒA NHÀ DỊCH VỤ THIẾT KẾ 7 TẦNG, LÔ GÓC 2 MẶT  THOÁNG, Ô TÔ TRÁNH, QUAY ĐẦU TẠI CHỖ, THÔNG CÁC TUYẾN PHỐ, gồm văn phòng và các căn hộ cho thuê tại Nghĩa Tân-Cầu Giấy. * Diện tích tổng thể: 140m2; thiết kế 8 tầng thang máy. Tòa nhà mới xây được 2 năm, kiên cố, chắc chắn, tính thẩm mỹ cao, CÓ THANG MÁY, thiết kế 7 tầng công năng đa dạng gồm:- T1: Sân, sảnh, lễ tân, bảo vệ, gara.( sàn thông đang cho thuê làm văn phòng)- T2: Thông sàn. (có thể đổi sang sử dụng dịch vụ đa năng như phòng sinh hoạt chung, lớp học, phòng gym…)- T3,4,5,6: mỗi tầng 3 căn hộ khép kín full nội thất, tổng 12 căn hộ đang cho thuê (mỗi căn hộ có PN, Bếp, WC, Ban công phơi đồ). Giá cho thuê 7,5 triệu/1 căn hộ.- T7: Thông sàn.- T8: Penthouse, phòng thờ, sân tiểu cảnh. * Vị trí: Tòa nhà nằm ở khu phố sầm uất, nhộn nhịp Nghĩa Tân/Cầu Giấy; án ngữ ngã ba, thông tứ phía ra phố Nghĩa Tân, phố Tô Hiệu, đường Hoàng Quốc Việt, đường Nguyễn Văn Huyên…tất cả đều không quá 200m. Đường thông hè thoáng, ô tô tránh nhau, quay đầu tại chỗ.- Gần công viên, trường học, trung tâm hành chính, thương mại, dịch vụ, tài chính … đối tượng dân văn phòng, công chức rất nhiều, chính là nguồn khách hàng cho thuê tiềm năng và ổn định.- Phù hợp vừa ở vừa cho thuê hoặc cho thuê trọn gói cả tòa nhà với thu nhập ổn định 120tr/tháng. Đây chính là sự lựa chọn thông minh và sáng suốt của các nhà đầu tư trong thời điểm thị trường đang có những diễn biến phức tạp và quá nhiều biến động. * Pháp lý chuẩn, không lỗi phong thuỷ. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá mong muốn: 32 tỷ (có thương lượng với khách thiện chí). * Liên hệ: Thanh Định 0335.368.282 / 0987.320.936Bằng uy tín, lương tâm và trách nhiệm, cam kết giới thiệu tới khách hàng những sản phẩm đã được chọn lọc tốt nhất.Miễn phí cho khách mua từ khâu đi xem nhà đến khi giao dịch thành công.",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830192.442716,, 7, 10
18 tỷ VNĐ,"Hoàng Cầu, Đống Đa, Hà Nội", 65m2, 8, 10, 10,"Bán nhà ngõ 34 Hoàng Cầu, Đống Đa 65m2, 8 tầng thang máy, mặt tiền 6m, giá chào 18 tỷ còn thương lượng.KINH DOANH KHÁCH SẠN 8 TẦNG, THANG MÁY – Ô TÔ VÀO NHÀ – SÁT CHUNG CƯ TÂN HOÀNG MINH – DÒNG TIỀN ỔN ĐỊNH+ Dòng tiền ổn định 50 tr/ tháng. Khách mua về có thể tự kinh doanh dòng tiền sẽ cao hơn.+ Ngõ 34 Hoàng Cầu to đẹp nhất phố, hiếm nhà bán, ngay sát chung cư Tân Hoàng Minh, trước nhà rộng thoáng, ô tô vào nhà, ngõ thông ra ngõ 16 Hoàng Cầu.+ Ngay sát khu VIP chung cư Tân Hoàng Minh, tiện ích nhiều vô kể, vài bước chân ra Hồ Hoàng Cầu, Quận ủy Đống Đa, Ngã 6 Ô Chợ Dừa, khu vực trung tâm quận Đống Đa.+ Nhà xây 8 tầng thang máy, tầng 1 làm hầm để xe. Còn lại mỗi tầng 2 phòng.- Tổng 14 phòng cho thuê.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Liên hệ: Mr. Hoan 0877.855.777 Zalo, Viber, Fb ( Hoan Biệt thự, Liền Kề, Mặt Phố, Khách Sạn). Miễn phí xem nhà đến tư vấn pháp lý.+ Fanpage: https://www.facebook.com/Estatebds.vn",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830193.6365237,, 6, 8
"2,5 tỷ VNĐ",Việt Yên, 50m2,,,,"Vị trí đẹp:- Trung tâm đắc địa Huyện Thanh Trì- Vị trí đỉnh cao hiếm người bán.- Diện tích: 50m x 2 tầng,  Sổ đỏ chính chủ, pháp lý sạch.- Giá: 2,5 tỷ ( Có thương lượng ).Miễn môi giới và trung gian..!Liên hệ Ngọc 0961339889(Liên hệ để được tư vấn, xem nhà hoàn toàn miễn phí).Tôi đang có rất nhiều căn nhà với nhiều phân khúc khác nhau.",14/03/2022,Tin thường,batdongsan_so_com_vn_1673830194.7116466,,,
