price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Hướng
"3,65 tỷ VNĐ","Bùi Xương Trạch, Thanh Xuân, Hà Nội", 36m2, 4, 4, 4,"+ Sổ đỏ cất két, sẵn sàng giao dịch.+ Ô tô chạy cách 10 m.+ Khu vực cao thoáng nhất Định Công không bao giờ ngập nước. + Nhà 2 mặt thoáng vĩnh viễn.+ Tổng 4 ngủ. Đầy đủ nội thất, chủ mới chỉ việc vào ở.+ Cách 100 m chợ dân sinh, TTTM. Các trường cấp 1,2,3.+ Thông Giải Phóng, Vành Đai 3, Trường Chinh....+ 10 phút xe máy đến ĐH Quốc Gia, Bách Khoa, Thăng Long.... 🤝 LH: Mr Quý: 0986560636 ( Zalo)🏠 Xem nhà miễn phí 24/7. 🏦 Hỗ trợ thủ tục pháp lý, ngân hàng.",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809099.4142098,,,
"3,9 tỷ VNĐ",Đường Hồng Tiến phường Bồ Đề, 43m2,,,,"⚡ Diện tích: 43m, gía: 3.9 tỷ. Sổ đỏ.  Liên hệ: Hòa 0374562993.Miễn trung gian Môi giới. ",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809101.5269403, 7,,
"3,2 tỷ VNĐ",khu đô thị mới tây nam linh đàm, 68m2, 10, 2, 2,"*SIÊU PHẨM - CHUNG CƯ HƯNG THỊNH TẠI LINH ĐÀM CHUẨN BỊ MỞ BÁN ️ Hanoi Melody Residences - Hưng Thịnh Tây Linh Đàm *Vị Trí Đắc Địa: tại trung tâm bán đảo Linh Đàm, dễ dàng kết nối nhiều trục đường huyết mạch *50 Suất trực tiếp từ CĐT - Giá gốc *1OO% căn hộ có 2 Logia đón nắng gió và ánh sáng tự nhiên. *Gồm 29 tầng nổi, 3 tầng hầm để xe. Tầng 1&2 là shophouse. Căn hộ ở từ tầng 3-29. Mỗi block 8 đến 12 căn hộ với 15 thang máy, có thang vận chuyển rác riêng *Mật độ ""Siêu Thoáng"". *Hỗ trợ vay đến 70% giá trị căn hộ *Pháp lý: minh bạch, sở hữu lâu dài. —-------------------------  *VỊ TRÍ VÀNG - 4 MẶT TIỀN TRUNG TÂM T.P HÀ NỘI: Chung cư hiếm hoi sở hữu vị trí trung tâm - Kết nối hoàn hảo các điểm tiện ích đắt giá nội thành Hà nội: *Cách bệnh viện Bạch Mai chỉ 20 phút đi xe. *Cách bến xe Giáp Bát chỉ 15 phút đi xe. *Cách bến xe Nước Ngầm chỉ 10 phút đi xe. *Cách trường Tiểu học Chu Văn An chỉ 2 phút đi bộ. *Cách chợ Đại Thanh, chợ Linh Đàm - 500m *TỔNG QUAN VỀ DỰ ÁN: - Chủ đầu tư uy tín: Hưng Thịnh - Phát triển dự án: Hưng Thịnh Corporation - Diện tích: 3.28 ha ( gồm 4 block căn hộ) - Quy mô: 29 tầng - Giao nhà: Dự kiến Quý 1/2024 *THIẾT KẾ THÔNG MINH - HƯỞNG TRỌN TIỆN ÍCH HIỆN ĐẠI Không gian linh hoạt: 68m2; 76m2; 82m2; 98m2; 121m²; 147m² (2-3 𝐏𝐍) Với thiết kế hình chữ L giúp tất cả các căn hộ đều có mặt thoáng tự nhiên. Không gian mát mẻ quanh năm, địa thế tự nhiên, không khí trong lành, mảng xanh tự nhiên, hồ điều hòa,... Hơn 200 Tiện ích nổi bật: Siêu thị, trung tâm thương mại, Gym, spa, nhà hàng, nhà trẻ, khu thể thao phức hợp, bể bơi vô cực, … Mọi thông liên hệ trực tiếp: 0987808686",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809106.0383046,,,
"1,9 tỷ VNĐ",phường tây mỗ đại mỗ, 43m2, 10, 1, 1,"Hiện nay chúng tôi đang phân phối quỹ căn hộ Imperia Smart City với đa dạng các loại diện tích: Studio - 1PN - 2PN - 3PN và tầng, hướng, view công viên hồ trung tâm đẹp nhất dự án (đặc biệt có căn vip giá độc quyền đã bán hết trên bảng hàng chúng tôi đều có) với chính sách ưu đãi khủng: - Thanh toán 10% ký ngay hợp đồng mua bán. - Tặng tiền mặt lên đến 65 triệu/căn hộ. - Bốc thăm trúng 1,5 cây vàng SJC - có ngay 100 triệu. - Chiết khấu 19% khi thanh toán sớm. - Chiết khấu 10% khi thanh toán theo tiến độ thường. - Hỗ trợ vay lên đến 70 - 80% giá trị căn hộ. - Vay vốn lãi suất 0% trong 24 tháng. - Miễn phí dịch vụ trong 5 năm. Hotline: 0987808686. Thông tin dự án Imperia Smart City: - Chủ đầu tư: Công ty cổ phần HBI. - Chiều cao: 38 - 39 tầng. - Diện tích: Từ 28.3m2 đến 75.6m2. - Dự kiến bàn giao: T9.2023 - T5.2024. Tiện ích dự án: - Một bước chân tới ngay công viên hồ trung tâm 10.2 ha. - Gần sát nhà để xe 10 tầng đáp ứng nhu cầu của cư dân mà các phân khu khác chưa làm được. - Cạnh trường học VinSchool đã đi vào hoạt động. - Gần các tuyến ga metro số 5,6,7 dễ dàng di chuyển các khu vực trong và ngoài thành phố. - Gần trung tâm thương mại Vincom Mega Mall. - Tham quan vườn nhật lớn nhất Đông Nam Á hàng ngày mà không mất bất kỳ khoản phí nào. - Bể bơi hơn 1000m2 ngay chân tòa nhà. - Tổ hợp 15 công viên thể thao ngay trước mặt dự án. - Cư dân Imperia được hưởng tất cả quyền lợi của cư dân Vinhomes và được hưởng thêm quyền lợi riêng của CĐT. Liên hệ tư vấn, nhận bảng giá và chính sách mới nhất:0987808686",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809107.4873693,,,
"1,9 tỷ VNĐ",phường tây mỗ đại mỗ, 43m2, 10, 1, 1,"Hiện nay chúng tôi đang phân phối quỹ căn hộ Imperia Smart City với đa dạng các loại diện tích: Studio - 1PN - 2PN - 3PN và tầng, hướng, view công viên hồ trung tâm đẹp nhất dự án (đặc biệt có căn vip giá độc quyền đã bán hết trên bảng hàng chúng tôi đều có) với chính sách ưu đãi khủng: - Thanh toán 10% ký ngay hợp đồng mua bán. - Tặng tiền mặt lên đến 65 triệu/căn hộ. - Bốc thăm trúng 1,5 cây vàng SJC - có ngay 100 triệu. - Chiết khấu 19% khi thanh toán sớm. - Chiết khấu 10% khi thanh toán theo tiến độ thường. - Hỗ trợ vay lên đến 70 - 80% giá trị căn hộ. - Vay vốn lãi suất 0% trong 24 tháng. - Miễn phí dịch vụ trong 5 năm. Hotline: 0987808686. Thông tin dự án Imperia Smart City: - Chủ đầu tư: Công ty cổ phần HBI. - Chiều cao: 38 - 39 tầng. - Diện tích: Từ 28.3m2 đến 75.6m2. - Dự kiến bàn giao: T9.2023 - T5.2024. Tiện ích dự án: - Một bước chân tới ngay công viên hồ trung tâm 10.2 ha. - Gần sát nhà để xe 10 tầng đáp ứng nhu cầu của cư dân mà các phân khu khác chưa làm được. - Cạnh trường học VinSchool đã đi vào hoạt động. - Gần các tuyến ga metro số 5,6,7 dễ dàng di chuyển các khu vực trong và ngoài thành phố. - Gần trung tâm thương mại Vincom Mega Mall. - Tham quan vườn nhật lớn nhất Đông Nam Á hàng ngày mà không mất bất kỳ khoản phí nào. - Bể bơi hơn 1000m2 ngay chân tòa nhà. - Tổ hợp 15 công viên thể thao ngay trước mặt dự án. - Cư dân Imperia được hưởng tất cả quyền lợi của cư dân Vinhomes và được hưởng thêm quyền lợi riêng của CĐT. Liên hệ tư vấn, nhận bảng giá và chính sách mới nhất:0987808686",11/08/2022,Tin thường,batdongsan_so_com_vn_1673809108.9744306,,,
"3,2 tỷ VNĐ",Ngọc Thụy, 30m2, 5, 3,,"+ Nhà đẹp long lanh, full nội thất, chủ mới chỉ việc sách vali về ở. + Ngõ rộng, 15 m là ra bãi gửi xe ô tô, gần chợ Ngọc Thụy , tiện ích, an sinh đỉnh. + Thiết kế: - Tầng 1: Phòng khách + bếp - Tầng 2,3,4: Mỗi tầng 01 phòng ngủ - Tầng 5: Phòng thờ + sân phơi. + Sổ đỏ hoa hậu sẵn sàng giao dịch. - Lh Mr Trác: 0795217103",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809110.3610213, 4,,
"20,5 tỷ VNĐ",Đường Mạc Thái Tổ phường Yên Hòa, 43m2, 8, 5, 5,"Mô tả:  - Tầng 1: Kinh doanh .  - Tầng 6: Phòng thờ + Sân phơi. - Sổ chính chủ, vuông, pháp lý rõ ràng + Liên hệ - Mr.Nghĩa 0982411338 – CHUYÊN NHÀ ĐẸP HÀ NỘI",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809111.7493112, 4, 10,
5 tỷ VNĐ,"BÁN NHÀ TÂN MAI 50M X 4 TẦNG MẶT TIỀN 4,8 GIÁ 5TỶ", 50m2,,,,"5SIÊU HIẾM - SIÊU ĐẸP - Ở LUÔN -Ô TÔ – BÁN NHÀ TRƯƠNG ĐỊNH 50M X 4 TẦNG MẶT TIỀN 4,8 GIÁ 5TỶNgõ 4 chỗ lùi vào nhà, 70m ra đường ô tô tránh, gần bx nước Giáp Bát, Nước Ngầm, giáp Tân Mai, Giải Phóng, gần trường dh Kinh Tế, Bách Khoa, Xây Dựng0346363362 ; Phú Gia chuyên nhà phố Hà Nội",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809113.1635242,,,
"4,6 tỷ VNĐ",Phan Đình Giót- Hà Đông, 39m2, 5,,,"Bán nhà lô góc KD Phan Đình Giót, Hà Đông, ô tô, 39mx5T hơn 4 tỷ Chính chủ bán nhà riêng Phan Đình Giót, Hà Đông, gần chợ Bông Đỏ mặt ngõ thông ô tô đặc biệt lô góc kinh doanh cực hiếm, diện tích lớn 39m thiết kế 5 tầng hiện đại vừa ở vừa kinh doanh. Nhà phù hợp kinh doanh đa dạng: siêu thị mini, spa, tóc, nail, phòng khám, hiệu thuốc, quán ăn, tạp hoá…nằm trong khu dân cư đông đúc, tấp nập suốt ngày đêm. Giao thông thuận lợi trục chính đến Lê Trọng Tấn, đối diện Văn Phú thông sang Ngô Quyền, vài bước ra Dương Nội. Chủ nhà cần tiền nên chỉ bán trong tháng 7 âm này cơ hội mua được giá tốt. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 4.6 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809114.638058,,,
"4,65 tỷ VNĐ",Yên Phúc- Hà Đông, 40m2, 5,,,"Hơn 4 tỷ Yên Phúc, Hà Đông, 40mx 5 tầng, lô góc kinh doanh, ô tô Chính chủ bán nhà lô góc kinh doanh tuyệt đỉnh, Mặt ngõ thông ô tô, thiết kế hiện đại 5 tầng thoáng sáng, diện tích rộng 40m rất gần phố. Nhà bán vị trí đẹp nhất khu, dân cư tấp nập thông sang Khu đô thị Văn Quán, gần trường học, kinh doanh đa dạng: siêu thị mini, spa, tóc, nail, phòng khám, hiệu thuốc, quán ăn,... Giao thông trục chính thông Yên Xá giáp Phùng Hưng đối diện Mỗ Lao gần Vạn Phúc xuôi xuống Nhuệ Giang. Chủ cần tiền chỉ bán nhà trong tháng 7 âm, cơ hội mua được giá tốt nhất thị trường. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 4.65 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809116.3026576,,,
