price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số toilet,Hướng
"4,5 tỷ VNĐ",Khương Đình, 42m2, 5, 5,"1 NHÀ RA PHỐ! Khương Đình, Thanh Xuân 42m2, 5 Tầng, LÔ GÓC, Giá 4.5 Tỷ. + Trung tâm Quận Thanh Xuân, gần Ngã Tư Sở, TTTM, trường học, chợ. Thông sang Thượng Đình, Nguyễn Trãi, Tây Sơn. + Nhà mới đẹp, nội thất cao cấp, khách mua về ở ngay. + Sổ đỏ vuông vắn, pháp lý chuẩn, sẵn sàng dao dịch. LH: Em Hoan, 0925088355, chuyên thổ cư Thanh Xuân, Đống Đa với nguồn nhà hơn 13 000 căn, miễn phí xem nhà 24/7.",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808743.1892123,,,,
"4,1 tỷ VNĐ",Ngọc Lâm, 37.4m2, 3, 2,"+ Nhà Lô Góc 2 thoáng vĩnh viễn, ngay mặt ngõ Ngọc Lâm thông sang Nguyễn Văn Cừ, thông Ngõ Hàm Rồng, cách cầu Chương Dương 300 m, 10 phút chạy xe sang phố cổ giao thông cực kỳ thuận tiện. + Khu vực hiếm nhà bán, tiện ích xung quanh khỏi bàn an sinh đỉnh. + Nhà 3 tầng với đầy đủ Công Năng SD, khách mua về ở ngay hoặc cải tạo cơi nới thêm tầng thêm công năng để phù hợp nhu cầu của khách quá ok. - Thiết kế : T1 : Phòng Khách , VS , phòng Bếp. T2: 2 PN + VS Chung T3 : phòng thờ , 1 PN , VS , sân phơi . - Sổ Vuông vắn chính chủ sẵn sàng giao dịch.    ",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808744.8158586, 4,,,
"5,2 tỷ VNĐ","Vạn Phúc, Hà Đông, Hà Nội", 40m2, 4, 4,"  # Bán nhà quận Hà Đông đường Vạn Phúc, khu phân lô víp, dân trí cao, an ninh tốt, ô tô thông vòng quanh. 40m2, 4T, mt 5m, giá chỉ 5 tỷ. + Vị trí: thoáng sạch đẹp, 3m ô tô tránh thông chạy vòng quanh, 30m ra đường đôi Vạn Phúc giao thông thuận tiện. + Nhà chủ tự xây móng cực chắc, khi cần lên thêm tầng vô tư, nhà thiết kế đẹp, hợp lý, mỗi tầng 2 phòng rộng + ws, đầy đủ công năng. + Nhà phù hợp ở, kinh doanh Văn phòng, Công ty, online, làm tóc...hay đầu tư giữ tiền cho thuê đều hợp lý. + Sổ đỏ phân lô vuông đẹp, pháp lý chuẩn, sang tên nhanh. # nhanh tay LH: 0983858722 Tình nhà phố ( chuyên bán, nhận ký gửi nhà đất Thổ cư, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808746.1153836, 5, 3,,
"4,4 tỷ VNĐ",Đường Trần Bình phường Mỹ Đình 2, 40m2, 4, 4,"
    Bán nhà Phố Trần Bình Nam Từ Liêm lô góc KD đương thông 40M 4.4 tỷ LH 0845681666Nhà Mỹ Đình Nam Từ Liêm đẹp gần nhiêu đường lớn như Phạm Hùng, Thiên Hiền, Mễ Tri, Lê Quang Đạo, Lê Quang Đạo, Hàm Nghi.Nhà ngõ thông kinh doanh nhiều công năng đầy đủVị trí nhà nhiều tiên ích siêu thị chợ Trường cấp 1, 2, 3 Mỹ Đình, cấp 3 Trí Đức Trần Quôc Tuấn, công viên Hồ Điều Hoà, Bể Bơi Quốc Gia.Pháp lý sổ đỏ sẵn sàng giao dịch ngay.LH Trần Hảo 0845681666 để có giá tôt tư vấn xem nhà miễn phí 24/7.Luôn mang lại Giá Tri - Uy - Tín Niềm Tin tới khách hàng.
",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808747.328513, 4, 2, 3,
"5,8 tỷ VNĐ",Đường Ngô Quyền phường La Khê, 46m2, 4, 4,"+ Không mua căn nhà này thì quý khách hàng không thể mua được căn nhà đẹp hơn.+ Thông số căn nhà: diện tích 47m2, 4 tầng, thông các tuyến phố Tố Hữu_Vạn Phúc_Lê Trọng Tấn_Ngô Thì Nhậm_Ngô Quyền+ Thiết kế că nhà: căn nhà thiết kế 4 tầng theo phong cách hiện đại tạo không gian ấm cúng, vượng khí cho căn nhà. Đem đến tài lộc, may mắn cho gia chủ sở hữu ngôi nhà này.-          Tầng 1: bếp, phòng khách-          Tầng 2, 3: mỗi tầng 2 phòng ngủ, không gian uống café thư gian sau một ngày đi làm mệt nhọc, vất vả.-          Tầng 4: phòng thờ, sân phơi.+ Căn nhà toạ lạc trong lòng khu vực phố cổ của Quận Hà Đông nên được hưởng trọn vẹn những tiện ích và giáo dục, y tế, các trung tâm mua sắm, rạp chiếu phim, các trung tâm tổ chức sự kiện, khu vui chơi … của Quận Hà Đông. Chuỗi tiện ích liên hoàn:+ Về giáo dục: Gần Tiểu học Đoàn Kết, Tiểu học Văn Khê, THCS Trần Đăng Ninh, THCS Văn Khê, THPT Nguyễn Trãi, Mầm non Sơn Ca, phòng giáo dục đào tạo quận Hà Đông.+ Về pháp lý: Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Về giải trí, trung tâm mua sắm: 5 phút ra trung tâm thương mại Hồ Gươm Plaza Hà Đông, rạp chiếu phim CGV Hồ Gươm Plaza Hà Đông, siêu thị Media mart Hà Đông, chợ Hà Đông, trung tâm thương mại Melinh Plaza, Bưu điện Hà Đông, sân vận động Hà Đông, khu vui chơi thiếu nhi Hà Đông, ga đường sắt trên cao Cát Linh – Hà Đông.+ Cơ quan hành chính: Nhà nằm ở vị trí vàng, trung tâm Hà Đông ngay cạnh UBND quận Hà Đông, UBND phường, UBND quận, Nhà thi đấu quận Hà Đông, + Về Y tế: Bệnh viện Quận đội 103, Bệnh viện Đa khoa Hà Đông… +Về Ngân hàng: có ngân hàng BIDV, ngân hàng AGRIBANK, VIETBANK, TECHCOMBANK… cho vay tối đa 70% -80% giá trị căn nhà.+ An ninh tuyệt đối: ngay gần công an quận Hà Đông, công an phường Nguyễn Trãi …Mọi thông tin chi tiết liên hệ Thành Vinh xem nhà miễn phí, nhiệt tình, uy tín, tận tâm.Tư vấn 24/7, hỗ trợ vay ngân hàng 80% lãi suất ưu đãi nhất thị trường.",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808748.6462545, 3, 3, 4,
"5,3 tỷ VNĐ",Đường Kim Giang phường Thanh Liệt, 52m2, 6, 6,"GIÁ SỐC BÁN NHANH THÁNG 8. CHỶ 5,3 TỶ CÓ NGAY CĂN NHÀ MỚI KOONG 6 TẦNG TẠI KIM GIANG - THANH LIỆT + Diện tích: 52m, MT 4m + Giá sốc tháng 8: 5,3 tỷ. + Nhà nằm trong con ngõ 750 Kim Giang đẹp nhất khu vực, gần UBND xã, trường học các cấp,... Hàng xóm công viên Chu Văn An, khu tổ hợp The Mannor Central Park dịch vụ tiện ích không thiếu gì. + Nhà do chủ đầu tư có tiếng trong khu xây dựng với kinh nghiệm hơn chục năm trong nghề. + Thiết kế hiện đại, 6 tầng với 6 ngủ đầy đủ công năng cho gia đình nhiều người và tiện kinh doanh. - Tầng 1: Gara + bếp - Tầng 2: Phòng khách sang trọng. - Tầng 3,4,5 mỗi tầng 2 phòng ngủ. - Tầng 6: phòng thờ + sân phơi. + Sổ đỏ cất két sẵn sàng giao dịch. + Liên hệ Ms Hương - NHÀ ĐẸP 0928077333 chuyên BĐS thổ cư uy tín, tận tâm, xem nhà miễn phí 100%",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808749.9298193, 4, 3, 6,
"3,8 tỷ VNĐ",hoàng mai hà nội, 35m2,,,"3Ô TÔ ĐỖ CỬA- KINH DOANH SẦM UẤTBán nhà Tân Mai 35m x 4 tầng giá 3,8 tỷHưởng trọn tiện ích của cc Magarin, hòa phát, k35, 2 phút ra Hồ Đền Lừ, 10 phút ra time city, gần các trường dh Kinh Tế, Bách khoa, Xây Dựng.Giáp giải Phóng, Tam Trinh, Trần Đại Nghĩa… đi lại giao thông vô cùng thuận tiện.0346363362 PHú Gia chuyên nhà phố Hà Nội",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808751.3290758,,,,
170 triệu VNĐ/m2,Quận Cầu Giấy, 38m2,,," NHÀ ĐẸP PHỐ TRUNG KÍNH 38M2*5, MT 4M 10M RA Ô TÔ. NHỈNH 6 tỷ. 0962745289+ Vị trí mặt tiền ngõ thông rộng kinh doanh , 10m ra ô tô, bãi gửi xe ô tô, khu vực hiếm nhà bán.Trung tâm Quận Cầu Giấy. Tiện ích nhất khu vực.+ Nhà gần ngay ngã tư Trung Kính – Yên Hòa, thông đi Phạm Hàm- Nguyễn Khang- Đường Láng…3 bước chân ra chợ Hợp Nhất. 10m ra ô tô tránh dừng đỗ ngày đêm, gần phố, hai mặt thoáng, dân trí cao, an ninh tốt, tiện ích vây quanh, quy hoạch ổn định, gần nhiều trường học các cấp..v..v..+ Sổ đỏ vuông vức trước sau như một. Chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận. + Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7. ",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808752.5906994,,,,
"10,5 tỷ VNĐ",Đường Đào Tấn phường Cống Vị, 70m2, 6, 10,"
    
Bán nhà 70m2 6tầng CCMN 10Phòng kinh doanh 60tr/thg nhỉnh 10tỷ phố Đào Tấn Ba Đình(2)
BÁN TÒA CCMN 6 TẦNG THANG MÁY - 10 CĂN HỘ - DÒNG TIỀN 60TR/ THÁNG – GIÁ 10.5TỶ - PHỐ ĐÀO TẤN BA ĐÌNH. 

+ Vị trí đắc địa, khu trung tâm Ba Đình, phù hợp mọi đối tượng khách hàng, tập trung nhiều Người nước ngoài sinh sống.
+ Mặt ngõ rộng, thoáng thông tứ tung gần ô tô, giao thông thuận tiện, khu vực như cầu thuê ở cực cao.
+ Phòng được bố trí thiết kế đầy đủ tiện nghi điều hoà, nóng lạnh, giường, tủ, bếp, chăn, ga, gối, đệm... Khách đang ở ổn định chủ mới chỉ việc thu tiền.
+ Thiết kế thang máy, thang bộ giữa nhà bố trí các phòng, vân tay hiện đại.
+ Sổ đẹp, vuông vắn 64m2, sẵn sàng giao dịch.
Chú ý: 
1. LH: A. Hoàng Anh 0337628046 (xem nhà miễn phí)
2. Link kho nhà đẹp: https://www.facebook.com/356939308270722
3. Hỗ trợ tài chính cho vay mua nhà đến 80% giá trị căn nhà, lãi suất thấp nhất thị trường.
4. ACE Môi giới kết hợp làm việc tại: https://www.facebook.com/108917115160629",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808753.9201422, 4, 6, 10,
"4,4 tỷ VNĐ",Đường Phạm Hùng phường Mỹ Đình 2, 40m2, 4, 4,"
    Bán nhà Phố Phạm Hùng Nam Từ Liêm lô góc KD đương thông 40M 4.4 tỷ LH 0845681666Nhà Mỹ Đình Nam Từ Liêm đẹp u đường lớn như Phạm Hùng, Thiên Hiền, Mễ Tri, Lê Quang Đạo, Lê Quang Đạo, Hàm Nghi.Nhà ngõ thông kinh doanh nhiều công năng đầy đủVị trí nhà nhiều tiên ích siêu thị chợ Trường cấp 1, 2, 3 Mỹ Đình, cấp 3 Trí Đức Trần Quôc Tuấn, công viên Hồ Điều Hoà, Bể Bơi Quốc Gia.Pháp lý sổ đỏ sẵn sàng giao dịch ngay.LH Trần Hảo 0845681666 để có giá tôt tư vấn xem nhà miễn phí 24/7.Luôn mang lại Giá Tri - Uy - Tín Niềm Tin tới khách hàng.
",14/08/2022,Tin thường,batdongsan_so_com_vn_1673808755.1922867, 4, 3, 3,
