price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Hướng,Lộ giới
"4,68 tỷ VNĐ","Khương Trung, Thanh Xuân", 65m2,"SIÊU PHẨM KHƯƠNG TRUNG - THANH XUÂN - Ô TÔ – 65M – MT6 – NHỈNH 4 TỶ  + Ngõ rộng, ô tô tránh, thông tứ tung, xung quanh tiện ích vô vàn. + Nhà xây chính chủ, khung cột chắc chắn, chủ xây tâm huyết, ở được ngay. + Thiết kế 3 tầng, mỗi tầng 2 ngủ + Sổ đỏ : Chính chủ, vuông vắn, pháp lý rõ ràng, + Diện tích: 65m + Giá: 4,680 tỷ có thương lượng. + Liên hệ: Em Phượng 0362368485 ",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824348.6298804,,,,,,
"4,9 tỷ VNĐ","Vương Thừa Vũ, Thanh Xuân, Hà Nội", 39m2,"BÁN NHÀ VƯƠNG THỪA VŨ – THANH XUÂN, PHÂN LÔ Ô TÔ, 5 TẦNG 39M2, 4.9 TỶ Chính chủ nhờ bán nhà 5 tầng 39m2 ngõ phố Vương Thừa Vũ – Thanh Xuân, khu vực trung tâm quận Thanh Xuân, nhà đẹp ở luôn Thuận tiện di chuyển Lê Trọng Tấn, Nguyễn Ngọc Nại, Hoàng Văn Thái, Ngã Tư Sở, Khuất Duy Tiến, Nguyễn Tuân … Gần các trường Đại học Y, Đại học Thủy Lợi, Công Đoàn, khu vực tiện ích đầy đủ Sổ đỏ chính chủ, giao dịch ngay. Giá thương lượng trực tiếp. Liên hệ: 0918120568 xem nhà miễn phí",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824350.1408458, 4, 5, 4, 4,,
"19,5 tỷ VNĐ","cầu giấy, dịch vong, cầu giấy", 105m2,"BÁN NHÀ KHU VIP CẦU GIẤY , KINH DOANH VĂN PHÒNG, NGÕ Ô TÔ TRÁNH, MT 6M, DIỆN TÍCH 105M2, GIÁ 19.5 TỶ Cc cần bán nhà phố Cầu Giấy, trung tâm quận Cầu Giấy , ngõ ô tô tránh nhau, nhà đẹp hiện đang cho thuê văn phòng + Nhà có vị trí đẹp siêu đẹp tại phố Cầu Giấy, con phố Vip và trung tâm. Nằm trong khu phân lô của quân đội nên hàng xóm đều là những người có học thức, vui vẻ nhiệt tình. Khu vực tập trung nhiều cơ quan đoàn thể, doanh nghiệp cùng các trường đại học tấp nập nhộn nhịp. Nhà mặt ngõ nhưng ngõ ô tô tránh nhau lượn vòng quanh. Gara rộng thoải mái. + Nhà có diện tích siêu hợp lý nên xây dựng thiết kế được 1 tòa nhà quá đẹp, tổng 105m2 xây 6 tầng khung cột bê tông chắc chắn, mặt tiền 4.7m nên ô tô thoái mái cho vào nhà nếu gia chủ có nhu cầu để xe vào gara + Nhà thích hợp vừa ở vừa kinh doanh văn phòng, xung quanh nhiều công sở, tòa nhà thương mại, giao thương thuận lợi phát triển. Nhà thoáng trước sau, thiết kế mỗi tầng 2 phòng ngủ, cầu thang giữa, có sân trước nhà rộng rãi. + Sổ đỏ vuông đẹp, chính chủ, giá bán 19.5 tỷ có thương lượng cho khách thiện chí mua. + Liên hệ: 0886083333 gia đình chỉ gặp trực tiếp người mua, miễn MG trung gian",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824351.4324358, 4, 6, 10,,,
"5,2 tỷ VNĐ","Đường Võ Chí Công, quận Tây Hồ, Hà Nội", 148m2," Chỉ 5,2 tỷ Sở Hữu Ngay Căn Hộ 4 Phòng Ngủ Diện Tích 148m2 tại Tây Hồ. Chiết khấu ngay 3% khi mua tại thời điểm này, tặng ngay quà tân gia, hỗ trợ vay ngân hàng tối đa 70%.
 Hotline VPBH: 0977 568 223
Vị trí: Khu đô thị Ciputra, mặt đường Võ Chí Công, Tây Hồ, Hà Nội


 Chính Sách Bán Hàng
- Miễn 2 năm phí dịch vụ
- Vay tối đa 50% lãi suất 0% 24 tháng
- Tặng ngay 30 triệu tiền nội thất


Dành cho khách hàng thanh toán tiến độ
- Đặt cọc: 100 triệu ngay khi ký Thỏa Thuận Đặt Cọc
- Đợt 1: Thanh toán 30%GTCH bao gồm VAT ký HĐMB trong vòng 7 ngày sau khi ký TTĐC
- Đợt 2: Thanh toán 20%GTCH bao gồm VAT trong vòng 1 tháng kể từ ngày ký HĐMB
- Đợt 3: Thanh toán 15%GTCH bao gồm VAT 6 tháng kể từ ngày ký HĐMB
- Đợt 4: Thanh toán 30%GTCH bao gồm VAT 12 tháng kể từ ngày ký HĐMB và nộp 2% kinh phí bảo trì khi khách hàng nhận bàn giao nhà
- Đợt 5: Thanh toán 5%GTCH bao gồm VAT khi có thông báo nhận sổ


Call/Sms/Fb/Zalo Em Vân Anh: 0977 568 223
 Udic Westlake – Đẳng Cấp Không Phô Trương",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824352.6272395,,, 4, 2, Tây bắc,
"5,95 tỷ VNĐ",Dương Quảng Hàm - Cầu Giấy - Hà Nội, 45m2,"BÁN NHÀ TT CẦU GIẤY - 6 TẦNG THANG MÁY - Ô TÔ ĐỖ - KINH DOANH ĐỈNH - NỞ HẬU.- Vị trí tuyệt vời , ô tô qua nhà thoải mái , khu vực kinh doanh cực kỳ sầm uất, xung quanh tiện ích bạt ngàn.- Thiết kế 6 tầng có thang máy , tầng 1 thông sàn kinh doanh, tầng 2,3,4,5 thông sàn ( phòng rộng ).Liên hệ Mr. Tiến Hoàng -0976817296- tư vấn nhiệt tình tận tâm 24/7.",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824353.6514995,,,,,,
34 tỷ VNĐ,"Việt Hưng, Long Biên", 200m2,"-Vị trí thoáng, không gian xanh yên tĩnh view công viên. Là nơi đáng sống bậc nhất Hà Nội. Nơi giới tình hoa hội tụ. Giao thông các hướng đi Nội thành, đi tỉnh hay đi sân bay đều siêu thuận tiện. -Nhà mới xây thô, chủ mua về có thể hoàn thiện theo ý mình. -Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. -Lh: Hữu Thuận, 0976683183. Hỗ trợ xem nhà miễn phí.",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824354.8253622,,,,,,
"5,9 tỷ VNĐ",Đường Yên Hòa phường Dịch Vọng, 54m2,"+ Chủ là dân xây dựng, tự xây rất tâm huyết, chất lượng khỏi bàn. Toàn bộ cửa, cầu thang đều là gỗ lim, nội thấy đầy đủ, khách mua chỉ việc ở.                             + Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Liên hệ: Minh Thiện – Nhà đẹp    +327613333",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824355.933395, 4, 4, 4, 1,, 2
5 tỷ VNĐ,Quan Nhân - Nhân Chính - Thanh Xuân, 58m2,"+Trung tâm quận Thanh Xuân, thông sang nhiều đường lớn: Nguyễn Trãi, Đường Láng, Lê Văn Lương.+Vị trí đắc địa, 5 phút ra Royal City, gần bện viện, trường học các cấp và công viên.+Nhà mới đẹp, nội thất cao cấp, khách mua xách vali về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sằng dao dịch.LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824357.020487, 5, 4,,,,
"5,99 tỷ VNĐ","Lê Trọng Tấn, Thanh Xuân, Hà Nội", 41m2,"SIÊU ĐẸP  LÊ TRỌNG TẤN – THANH XUÂN, PHÂN LÔ Ô TÔ, 41M2 -           Chính chủ nhờ bán nhà 41m2 mặt tiền 4.3m nội thất cơ bản, chủ mới về ở luôn -           Ngõ phân lô vuống vắn. Ô tô nhỏ đỗ cửa. Nhà cách ô tô tránh, dừng đỗ ngày đêm 50m. -           Thuận tiện di chuyển ra Ngã Tư Sở, Trường Chinh, Nguyễn Trãi, Ngã Tư Vọng, Đại học Thủy lợi, Đại học Công Đoàn, Đại học Y, Đại học KTQD, Đại học Bách Khoa, Kinh tế  -        Cam kết hình ảnh thật. Đến xem tận nơi còn đẹp hơn hình. -           Sổ đỏ chính chủ, sẵn sàng giao dịch. Thương lượng trực tiếp chủ nhà. -           Liên hệ: KS. Phương - 0918120568",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824358.2541864, 4, 5, 4, 4,,
"23,6 tỷ VNĐ","Phố Đào Tấn, Kim Mã, Ba Đình", 90m2,"BÁN NHÀ PHỐ ĐÀO TẤN, Ô TÔ LƯỢN VÒNG QUANH, KINH DOANH DÒNG TIỀN HƠN 100TR, THANG MÁY, DIỆN TÍCH 90M2, GIÁ 23.6 TỶ Cc cần bán nhà phố Đào Tấn, trung tâm quận Ba Đình, 3 mặt ngõ ô tô tránh nhau, nhà đẹp 6 tầng + Nhà có vị trí đẹp siêu đẹp tại phố Đào Tấn, con phố Vip và trung tâm của quận Ba Đình, nhà lô góc mặt ngõ nhưng ngõ ô tô tránh nhau lượn vòng quanh, ngõ thông các hướng và từ đầu ngõ tới cuối ngõ kinh doanh tấp nập ngày đêm không khác gì mặt phố. + Nhà có diện tích siêu hợp lý nên xây dựng thiết kế được 1 tòa nhà quá đẹp, tổng 90m2 xây 6 tầng khung cột bê tông chắc chắn, mặt tiền 9m nên ô tô thoái mái cho vào nhà nếu gia chủ có nhu cầu để xe vào gara + Nhà thích hợp vừa ở vừa kinh doanh, khu vực cho người Hàn hay Nhật thuê cực được giá. Hiện gia đình đang cho thuê hết với dòng tiền 150tr/tháng. Tầng 1 làm gara và cho thuê kinh doanh, còn từ tầng 2 đến tầng 6 thiết kế tổng 6phòng ngủ nên nhà càng thích hợp để kinh doanh căn hộ cho thuê, Trường mầm non tư thục hoặc văn phòng công ty, phòng khám. + Sổ đỏ vuông đẹp, chính chủ, giá bán 23.6 tỷ có thương lượng cho khách thiện chí mua. + Liên hệ: 0886083333 gia đình chỉ gặp trực tiếp người mua, miễn MG trung gian",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824359.5427387, 9, 6, 6,,,
