price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet,Số tầng,Hướng
"10,3 tỷ VNĐ",Văn Phú - Hà Đông, 90m2, 4,"Bán nhà liền kề Văn Phú, Hà Đông, 90m, MT 4.5m thang máy hơn 10 tỷ Nhà đẹp liền kề Văn Phú đẹp nhất khu, thông số vàng diện tích 90m, mặt tiền rộng 4.5m, 2 bên vỉa hè ô tô chạy vòng quanh, có ô chờ thang máy thích hợp ở hợp làm văn phòng. Nhà cạnh công viên, trường học hưởng trọn tiện ích của Khu đô thị. Giao thông thuận lợi thông các ngả giáp Khu đô thị Phú Lương gần Thanh Hà sang Kiến Hưng xuống Văn La vài bước ra Quang Trung. Sổ vuông sẵn sàng giao dịch. Giá: 10.3 tỷ ( gia lộc). Liên hệ : Huyền Ba La Sat Thổ cư ( 0363703491- 0965472910) – Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785279.099521,,,,,
2 tỷ VNĐ,"Đường Khương Trung, Khương Trung, Thanh Xuân", 30m2, 4,"
    NHÀ ĐẸP KHƯƠNG TRUNG - THANH XUÂN - Ở NGAY- 30M2 - 3 TẦNG - 2 NGỦ.DT 30m2 x 3 tầng x giá chỉ 2.35 Tỷ. Mô tả: + Nhà nằm vị trí cực đỉnh, gần chợ, vài bước ra ô tô,  giao thông đi lại thuận tiện.+ Chủ để lại toàn bộ nội thất xịn sò, nhà vẫn còn mới khách chỉ việc xách valy về ở chả phải sửa sang gì.Thiết kế: + Tầng 1: Phòng khách + bếp+ Tầng 2, 3: Ngủ + WC+ Sổ vuông đẹp, sẵn sàng giao dịch.Liên hệ: 0844899222 - 0865089699 Ms Thanh  (Miễn tiếp MG, TG)  ",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785280.3013046, 3, 2, 2,,
,"Đường Vĩnh Phúc, Vĩnh Phúc, Ba Đình", 30m2,,"Bán nhà Vĩnh Phúc Ba Đình 28m2 giá 2.9 tỷNhà đẹp lòng lanh, hiếm có khó tìmVị trí siêu đẹp, ngõ thông, ra đường vỉa hè ô tô tránh, sân riêng để xeThiết kế 4 tầng hiện đại với nhiều phòng, phòng nào cũng có cửa sổ ngập tràn ánh sáng, rất vượng khíKhu dân trí cao, an sinh tốt, đầy đủ tiện nghi không thiếu gìGiá:2.9 tỷSổ đẹp vuông vắn, chính chủLiên hệ: 0878604850
",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785281.3146005, 3, 3,, 4,
,MỸ  HƯNG THANH OAI, 140m2, 9,"-VỊ TRÍ ; thông thoáng ,kinh doanh,mảnh đất vàng để đầu tư sinh lời,an cư lập nghiệp,gần trường gần chợ-cạnh KĐT mỹ hưng và KĐT thanh hà  ,gần đường cenco5 trục 8 làn đường-cách trung tâm 7km thuận tiện ..đi làm ,công tác -cách vành đai 4  vài trăm mét-Sổ đỏ pháp lý rõ ràng,trong két ,trao ngay trong ngày.-lh; e để biết thêm thông tin",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785282.3677776, 4,,,,
"25,5 triệu VNĐ/m2","Chung cư C17, Phương Ngọc Thụy, Long Biên, Hà Nội", 114m2,,"Chính chủ cần bán căn góc 114 m2 gồm 1 phòng bếp, 1 phòng khách, 3 phòng ngủ, 2 vệ sinh, 3 ban công. Đã có sổ hồng. Địa chỉ: chung cư C17 Bộ Công An, nhõ 264 Ngọc Thụy, Long Biên, Hà Nội. Căn hộ nằm trong dự án có vị trí trung tâm, khuôn viên độc lập cùng với khu nhà liền kề, giao thông đi lại thuận tiện vơi đầy đủ tiện ích xung quanh như công viên, chợ, siêu thị, trường học mẫu giáo, câp 1, cấp 2. Cách hồ Hoàn Kiếm 15 phút đi xe, cách cầu Chương Dương 2 km, cách cầu Long Biên 1km Đặc biệt căn hộ thuộc dự án của Bộ Công An nên chất lượng xây nhà rất tốt, thiết kế hiện đại, hành lang rộng, phòng nào cũng có ánh sáng tự nhiên, tạo nên không gian sống trong lành, gần với thiên nhiên. Toàn bộ dự án nằm trong một khuôn viên riêng biệt, có bảo vệ 24/24, an ninh tốt, dân trí cao. Do nhu cầu chuyển công tác, không làm việc tại Hà Nội nên tôi muốn bán cho người có nhu cầu thật sự. Giá: 25.5 tr/m2 Diện tích: 114 m2 Thông tin liên hệ: Mr Bắc – 0942 865 128",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785283.2653754,, 3, 2,,
"3,7 tỷ VNĐ","Đường Lê Quang Đạo, Mỹ Đình 2, Nam Từ Liêm", 33m2, 4,"+ Nhà vị trí đẹp, diện tích 33 m2 x 5 tầng giá 3,7 tỷ, nhà cực gần đường ô tô, thông tứ phía. Rất nhiều lối đẹp vào nhà.  + Nhà 5 tầng rộng rãi, hiện đang cho thuê.  + Thiết kế:  - Tầng 1: Khách, bếp wc. - Tầng 2+3 +4 mỗi tầng 1 phòng, 1 vệ sinh. - Tầng 5: Phòng thờ, sân phơi. + Trung tâm làng Phú Đô, tiện ích ngập tràn, mua bán sinh hoạt cực kỳ thuận tiện. + Gần bệnh viện Hồng Ngọc, sân vận động Mỹ Đình, The Manor Mễ Trì, Vinhome Smartcity, Phạm Hùng...  + Sổ đỏ vuông đẹp sẵn sàng giao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất,thổ địa hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7  ",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785284.5499837, 3, 3,, 5,
"1,5 tỷ VNĐ","Đường Bùi Ngọc Dương, Bạch Mai, Hai Bà Trưng", 135m2, 7,"Mô tả: + Nhà vị trí cực đẹp, TT Quận Hai Bà, con phố cực hiếm nhà bán, Mặt ngõ ô tô tránh thông tứ tung muôn ngả, kinh doanh sầm uất, mặt tiền quyền lực. + Gần nhiều TTTM lớn, Bệnh viện lớn và nhiều trường ĐH quốc gia…. tiện ích khỏi bàn. + Nhà xác định bán đất không nên không có gì mô tả nhiều. + Pháp lý chuẩn, sổ đỏ đẹp (có thương lượng). + LH em Chiến chuyên - Đất/Nhà thổ cư - Xem/Mua miễn phí 24/7",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785285.6101363,,,,,
"38,5 tỷ VNĐ","Đường Định Công Thượng, Định Công, Hoàng Mai", 60m2,,"
    




BÁN NHÀ ĐỊNH CÔNG 60M GIÁ 3.85 TỶ- KINH DOANH ĐỈNH- Ô TÔ ĐỖ CỬAChính chủ cầnbán gấp nhà Định Công 60m 4 tầng giá 6.85 tỷMô tả: - Vị trí vàng, ngõ thông khắp ngả , kinh doanh sầm uất . Gần Lê Trọng Tấn , tiện ích không thiếu gì- Nhà xây dựng chắc chắn , thoáng trước sau . An sinh tuyệt đỉnh- Thiết kế:Tầng 1: Khách, bếp, để xe, vệ sinh .Tầng: 2,3: Mỗi tầng 2 phòng ngủ rộng, đầy đủ tiện nghi.Tầng 4: Phòng thờ, sân phơiLH xem nhà: 0768300999 em NHUNG
",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785286.6273832, 10, 4,, 4,
9 triệu VNĐ/m2,HÀ NỘI, 80m2,,"👍 Diện tích các lô đất dao động từ 60m2 -80m2 rất phù hợp với phân khúc đại chúng. 👍 Đường thông ngõ thoáng, mặt rộng từ 4 - 5m - Vị trí đắc địa: Ứng Hoà - Hà Nội Gần tỉnh lộ 426, UBND, Trạm y tế, Trường học các cấp. Xung quanh là dân cư hiện hữu, hiền hoà. Môi trường sống trong lành, vô cùng thoáng mát và hiện đại. 🍀 Diện tích đa dạng : 60m - 80m2 nở hậu. 🧱 Hạ tầng sạch đẹp, mốc giới rõ ràng , điện nước đầy đủ , pháp lí minh bạch 🏆 Cơ hội vàng cho các nhà đầu tư , tiềm năng về sinh lời cao 🌈 Đón đầu về quy hoạch 📕 Sổ đỏ cất két - 100% đất ở lâu dài ⚜️ Cách nút giao đường cao tốc Tây Bắc QL5 với đường Cienco 5 chỉ 100m ⚜️ Cách thị trấn Vân Đình QL 21 khoảng 7km ⚜️ Cách thị trấn Tế Tiêu 6km ⚜️ Bán kính 500m đầy đủ tiện ích gồm trường học các cấp, chợ, trạm y tế, UBND xã... ⚜️ Cách KCN Đồng Văn Hà Nam 5km ⚜️ Cách nút giao Pháp Vân - Cầu Giẽ 15 Phút đi xe. ⚜️ Cách ngã ba Ba La Hà Đông khoảng 30km. 🍀 Phù hợp với các cặp vợ chồng trẻ mới cưới ra an cư lập nghiệp 🍀 Phù hợp với các nhà đầu tư hướng đến phân khúc đại chúng, bỏ tiền ra ít biên độ lợi nhuận cao, sản phẩm an toàn. ⚡️Nhanh tay đừng bỏ lỡ ☎️ Liên hệ chính chủ : 0989809368",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785287.6735835,,,,,
4 triệu VNĐ,lê duẩn, 38m2,,"SIÊU HIẾM bán nhà Đống Đa 38m- 4 tỷ, FULL nội thất, 3 gác tránh Hotline 0382515356  - Nhà nằm trên NGÕ THÔNG liên kết nhiều phố lớn: Tôn Đức Thắng, Khâm Thiên, Lê Duẩn..., 3 gác lạng lách. - Lên Lăng Bác vài phút đi bộ, - Hàng xóm công chức, đoàn kết. - Chợ, TTTM hay siêu thị cũng chỉ vài phút là tới. - Trường học cấp 1, 2, 3 đầy đủ xung quanh.  - Nhà tự xây TÂM HUYẾT, đầy đủ công năng sử dụng, SỔ CHÍNH CHỦ - PHÁP LÝ SẠCH, sẵn sàng sang tên. Liên Hệ: Chính thổ cư Đống Đa 0382515356 Để được hỗ trợ xem nhà miễn phí và đàm phán trực tiếp với chủ.",30/11/2022,Tin thường,batdongsan_so_com_vn_1673785288.6429894,,,,,
