price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Hướng,Lộ giới,Số phòng ngủ,Số toilet
"2,45 tỷ VNĐ",Quang Trung - Hà Đông, 35m2, 4,"Nhỉnh 2 tỷ, Quang Trung, Hà Đông, 35mx4 tầng, ô tô gần, ngõ thoáng Chính chủ gửi bán nhà đẹp trung tâm Hà Đông tuyến đường huyết mạch nối liền các phố, cạnh các cơ quan hành chính của Quận, gần các bệnh viện lớn, bán kính xung quanh đầy đủ tiện ích. Nhà bán siêu đẹp, ngõ thoáng , ô tô gần,có ngân hàng, siêu thị, chợ, bệnh viện, trường học các cấp... không thiếu thứ gì, cách phố gần. Nhà được xây hiện đại, khung cột bê tông chắc chắn, đầy đủ công năng sử dụng , các phòng thoáng sáng, nhà mới chỉ việc xách vali đến ở. Giao thông di chuyển các tuyến phố trung tâm: Lê Trọng Tấn, Văn Phú, Ngô Thì Nhậm, Yên Nghĩa, Ba La, Hà Cầu, Phan Đình Giót,... Hàng xóm thân thiện, nơi ở văn minh, môi trường trong lành, khu vực đáng sống. Giá: 2.45 tỷ ( có thương lượng). Sổ đỏ vuông, sẵn sàng giao dịch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829927.9905376,,,,,
5 tỷ VNĐ,"Tổ 22 Thị Trấn Đông Anh, Đông Anh", 100m2,," Mô tả: + Mảnh đất 100m , mt 5m , nằm ở vị trí đẹp rất gần Trường CĐ Nghề Việt Hàn, Nhà máy Xích Líp, Khóa Việt Tiệp và Khu Công Nghiệp đã quy hoạch rộng hơn 1000ha. + Mặt đường rộng 5m, ô tô tránh trước nhà, trung tâm thị trấn, gần bệnh viện Thăng Long gần chợ, trường học, giao thông thuận tiện, cả khu phân lô bàn cờ thẳng tắp, khu dân trí cao đạt chuẩn khu Đô Thị Mới. + Khu vực đang thay da đổi thịt từng ngày, được quan tâm về cơ sở hạ tầng của các cấp, tiện ích vô vàn, mua xây nhà để ở, đầu tư rất tốt. + Sổ đỏ chính chủ, sẵn sàng giao dịch. + Giá chào 5xtr/m , có thương lượng. + Liên hệ: em SƠN 0915126183 để được xem đất và tư vấn miễn phí.",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829929.259143, 5,,,,
"5,6 tỷ VNĐ",Phường Mỗ Lao, 38m2,,"Mô tả: là khu đất cao cấp của công an cơ sở 1 Hà Đông nên dân trí cao, an toàn, ô tô tránh đường to đẹp thoáng, hợp với kinh doanh, nhà có 5 phòng ngủ T1: phòng khách + bếp T2,3 : mỗi tầng 2P + WC T4 : 1P + phòng thờ + sân phơi Vị trí: gần bigs, siêu thị, chợ Mộ Lao, gần HV Bưu Chính Viễn Thông, HV An Ninh,… Diện tích: 38m. Sổ đỏ vuông đẹp, nét, sẵn sàng giao dịch. Giá 5,6 tỷ có thương lượng. Liên hệ: Tôi Quang 0936590234 để được xem nhà miễn phí.",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829930.2784166,,,,,
"12,5 tỷ VNĐ","Bán nhà mặt ngõ số 3 ngõ 211 phố Giáp Nhất, Thanh Xuân, 12,5 tỷ; 0912187668", 60m2,,"Bán nhà mặt ngõ số 3 ngõ 211 phố Giáp Nhất, Thanh Xuân, 12,5 tỷ; 0912187668  Chính chủ sổ đỏ 57,6m2, đất 60m2, mặt tiền 6,18m. Nở hậu Hướng: Đông Bắc, đã xây nhà 4 tầng Giá 12,5 tỷVị trí cực kỳ thuận tiện: Cạnh quần thể di tích lịch sử Quốc gia đình Giáp Nhất, Sông Tô Lịch, 1 phút ra Ngã Tư Sở, ga đường sắt trên cao.Ngõ rộng xe 7 chỗ vào được nhà, thuận tiện xây dựng, kinh doanh, gần các trường Quang Trung, Nhân Chính, Phan Đình Giót,Thanh Xuân chất lượng cao, Ams…đi chợ dân sinh, siêu thị, trung tâm thương mại 5 phút đi bộ - Giá 12,5 tỷ - LH chú Mr Dương (chính chủ) 0912187668; 0964933580      http://www.sanbatdongsanviet.com.vn",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829931.3954275,,,,,
"11,5 tỷ VNĐ",ngõ 26 Lạc Trung, 85m2, 5,"Bán nhà khu phân lô cán bộ phố Yên Lạc, Kim Ngưu, Hai Bà Trưng,Hà Nội , DT 85m2x5 tầng, thang máy, ô tô vào nhà. Giá 11.5 tỷ Gia đình tự tay thiết kế và xây dựng theo phong cách hiện đại nên vô cùng chắc chắn, tối ưu công năng sử dụng, nội thất thiết bị toàn hàng chính hãng, cầu thang , cửa cính, cửa thông phòng đều được làm từ gỗ Lim nguyên khối, cửa sổ Nhôm Xingfa bản dày chất lượng cao, hệ thống đèn chùm, đèn chiếu sáng hiện đại tiết kiệm điện tối ưu…- Tầng 1: Gara ô tô, khu bếp ăn rộng rãi, thang máy và thang bộ được thiết kế giữa nhà để chia mỗi tầng 2 phòng rất hợp lý- Tầng 2,3 mỗi tầng thiết kế 2 phòng ngủ rộng,vệ sinh khép kín  _Tầng 4 1 phòng thờ,1 phòng ngủ, 1 vệ sinh - Tầng 5 là  sân trồng rau, sân phơi Vị trí nằm trọn trong khu phân lô cán bộ nên dân trí cực cao, an ninh đảm bảo, rất nhiều tiện ích đồng bộ như Trường đại học, bệnh viện, TTTM , đường trước nhà rộng rãi thoáng đãng, 2 mặt thoáng trước sau…Sổ đỏ chính chủ, giá 11.5 tỷ ( có thỏa thuận)liên hệ chị Yến ĐT:0702138238",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829934.8091218, 4, Đông bắc, 4, 5, 6
"1,675 tỷ VNĐ","Khoan Tế, Đa Tốn, Gia Lâm, Hà Nội", 50m2,,"- Anh trai cần tiền đầu tư kinh doanh gửi bán độc quyền 02 thửa đất đẹp tại Khoan Tế -Đa Tốn –Gia Lâm. - Diện tích thửa đất là 52m2 và 50m2 mặt tiền hơn 4m, đường trước đất hơn 2m, cách 15m ra đường 2 ô to tránh nhau, 70m ra đường nhựa trục chính Khoan Tế và hồ. - Đất vuông vắn nở hậu nhẹ, đất ở nhiều lộc chủ đất bán để làm ăn lớn hơn, vài bước chân ra đường 5m thông khắp nơi. - Khu vực dân cư đông đúc ,an ninh tốt hàng xóm thân thiện, không gian thoáng nhiều cây xanh xây nhà ở cực thích. Sổ đỏ chính chủ, pháp lý chuẩn giá đầu tư chỉ 33.5tr/m2 Liên hệ xem đất và biết thêm thông tin chi tiết E.Nhật: 0982852808, 0948584888",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829937.7084646, 4, Đông bắc, 2,,
"4,5 tỷ VNĐ","Vũ Tông Phan, Thanh Xuân", 50m2,,"BÁN GẤP NHÀ PHỐ VŨ TÔNG PHAN, THANH XUÂN, DIỆN TÍCH 50M2, MẶT TIỀN 4,5M, NGÕ TRƯỚC NHÀ THÔNG THOÁNG RỘNG 3M. + Vị trí cực hiếm, nhiều khách tìm kiếm, tiện đi các ngả như Nguyễn Trãi, Kim Giang, Trường Chinh, Lê Trọng Tấn,... Gần các trung tâm thương mại Royal City, Atermit Thanh Xuân,… + Nhà 3 tầng cực đẹp mặt ngõ nông rộng, ô tô 7 chỗ thông phố Khương Trung. Cách chỗ để ô tô chỉ vài bước chân. + Sổ đỏ chính chủ vuông đét cất két, sẵn sàng giao dịch. + Liên hệ em Thái để được tư vấn và dẫn xem nhà miễn phí.",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829938.8773382,,,,,
16 tỷ VNĐ,Hà Nội, 59m2,,"Building - Phân lô ô tô tránh - Thang máy Nhật - 2 mặt ngõ - SĐT: 0366 555 258. + Hai mặt ngõ phân lô ô tô chạy vòng quanh, an ninh, dân trí cao.  + Gần Lê Thanh Nghị, Trương định, Phố Vọng, Tạ Quang Bửu... nhiều trường đại học như Kinh Tế Quốc Dân, Xây Dựng, Bách Khoa... + Tòa building tiện làm văn phòng, kinh doanh hoặc vừa ở vừa cho thuê. +  Xung quanh nhiều trường học, cơ quan nên cực đông khách. + Diện tích 59m2, 7 tầng, mặt tiền rộng rất đẹp 5.8m.Sổ đỏ chính chủ vuông vắn.Giá chào chỉ 16 tỷ thương lượng sâu.Liên hệ luôn ạ 24/7 miễn phí - 0366 555 258.",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829939.7670026,,,,,
"26,8 tỷ VNĐ",Linh Lang, 80m2, 7,"Chủ chuyển hướng đầu tư, nhờ bán toà căn hộ dịch vụ xây mới 7 tầng có thang máy. oto đỗ cửa. Đầu phố Linh Lang, Q Ba Đình. Khu vực tập trung nhiều người Nhật và Hàn sinh sống.Nhà thiết kế 10P (mỗi phòng đều full nội thất và vệ sinh khép kín). doanh thu 100 triệu/thángDiện tích: 80m2 x 7 tầng, mặt tiền 5mGiá: 26.8 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)APARTMENT PHỐ TRUNG TÂM BA ĐÌNH - 10P - DT 100 TRIỆU/THÁNG - OTO ĐỖ CỬALiên hệ xem nhà và nhận thông tin chi tiết:0981367887 - Thửa đất cực vuông đẹp, sổ pháp lý chuẩn cất két sẵn sàng giao dịch",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829940.9528291, 5,, 15, 10, 10
"7,5 tỷ VNĐ","16/10/122, Vĩnh Tuy, hai Bà Trưng, Hà Nội", 75m2, 6,"Chính chủ cần bán nhà trọ có 14 phòng trọ khép kín. Trước cửa trường Đại học Kinh doanh và công nghệ. Kinh doanh tốt, luôn kín phòng, doanh thu 35 triệu /tháng. Không tieeps môi giới, trung gian!",17/03/2022,Tin thường,batdongsan_so_com_vn_1673829941.8833659, 8, Nam,, 10, 10
