price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet
"3,9 tỷ VNĐ","Trần Phú, Hà Đông, Hà Nội", 32m2, 4, 5,"+ Gia đình muốn bán căn nhà xây tâm huyết tại đường Trần Phú, Hà Đông. + Sổ đỏ cất két, sẵn sàng giao dịch. + Nhà xây mới 5 Tầng, mặt tiền 4,3 m, Tặng nội thất mới. + Lô góc , 2 thoáng, nở hậu đẹp, không 1 lỗi phong thuỷ. + Nằm trên con đường huyết mạch của Hà Nội; Trần Phú, Nguyễn Trãi, Khuất Duy Tiến. Các trường Đại Học; HV An Ninh Nhân Dân, ĐH Quốc Gia Hà Nội, HV Y Học Cổ Truyền….Các trung tâm Thương Mại, tiện ích ngập tràn.  🤝 LH: Mr Quý: 0986560636 ( Zalo)🏠 Xem nhà miễn phí 24/7. 🏦 Hỗ trợ thủ tục pháp lý, ngân hàng.",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787300.8198278,,,
9 tỷ VNĐ,"Đường Lê Quang Đạo, Phú Đô, Nam Từ Liêm", 65m2, 4, 7,"
    Bán tòa CCMN phố Lê Quang Đạo 65m 7 tầng. MT4m. DT hơn 700tr/năm. Thang máy, gần oto. 12 phòng kín khách. 9 tỷ.
Vị trí: Khu vực đông dân cư. Phố Lê Quang Đạo thông các tuyến phố: Lê Đức Thọ, Đồng Me. Tiện ích xung quanh nhiều: gần bến xe Mỹ Đình, gần sân vận động Mỹ Đình, trường đua F1....
Tòa nhà xây mới, thiết kế hiện đại, đầy đủ công năng gồm 12 phòng được trang bị đủ đồ, đã cho thuê kín. có nhà để xe, sân phơi...
Sổ đỏ: sẵn sàng giao dịch
LH: ĐIỆP nhà đẹp Mỹ Đình
",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787301.931852, 2, 12, 12
"2,3 tỷ VNĐ","Đường Trương Định, Trương Định, Hoàng Mai", 33m2, 5, 4,"
    

BÁN NHÀ NGÕ 129 TRƯƠNG ĐỊNH, RẺ 33M2, 4 TẦNG, MT 5 MÉT, GIÁ CHÀO 2.3 TỶ.
NHÀ DÂN XÂY CHẮC CHẮN, THOÁNG TRƯỚC SAU - VỊ TRÍ TRUNG TÂM - TƯƠNG LAI RA MẶT ĐƯỜNG 30M.
Mô tả: 
+ Vị trí: Nhà nằm khu trung tâm, thuận lợi, dễ di chuyển, 15 phút ra Bờ Hồ.

+ Nhà xây chắc chắn ở được ngay, thoáng trước sau, mùa hè chả mấy khi phải dùng điều hòa.

+ Tương lai sáng ngời ra mặt đường 30m.
Thiết kế:

+Tầng 1 : Khách, bếp, Wc.
+Tầng 2 : 1PN + 1 Wc.
+Tầng 3 : 1PN + 1 Wc.
Pháp lý:  Sổ đỏ sẵn sàng giao dịch.
Liên hệ: Ms Thanh 0844899222 để được tư vấn thêm.
",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787303.064862, 3, 3, 3
8 tỷ VNĐ,Trần Đăng Ninh - Hà Đông, 50m2, 5,," Kinh doanh vỉa hè mặt phố Trần Đăng Ninh, Hà Đông, 50m, MT 5m chỉ 8 tỷ Cần bán gấp đất mặt phố kinh doanh Vip Trần Đăng Ninh, Hà Đông song song trục chính Quang Trung thông số lý tưởng diện tích 50m, mặt tiền rộng 5m xây nhà 7 tầng thang máy đẹp nhất khu. Vị trí đắc địa đoạn đẹp nhất phố đường ô tô tránh dừng đỗ ngày đêm, vỉa hè rộng kinh doanh sầm uất đủ loại hình. Cạnh Quận uỷ, nhà thi đấu Hà Đông. Tiếp giáp trục chính Ngô Thì Nhậm sang Hà Cầu ra Văn Phú nối Lý Thường Kiệt xuống Lê Trọng Tấn hàng xóm Hoàng Đôn Hoà. Sổ vuông sẵn sàng giao dịch Giá 8 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787304.1110728,,,
"7,5 tỷ VNĐ","Nguyễn Đức Cảnh, quận Hoàng Mai Hà Nội", 50m2, 6,,"Thông tin chi tiết: + Nhà mặt phố kinh doanh sầm uất không thua kém gì phố Trương Định.Với lợi thế mặt tiền 6,2m đáp ứng mọi loại hình kinh doanh. + Các tầng trên là các phòng ngủ, khu bếp, khu sinh hoạt thiết kế đầy đủ công năng bố trí khoa học. + Sổ đỏ chính chủ bảo đảm pháp lý sẵn sàng giao dịch. Hình thửa vuông vắn nở hậu. Liên hệ: Đức Kiệt 0386826403 Miễn phí xem nhà,đất -  Nguồn hàng phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24g. Cảm ơn Quý anh/chị cô/bác đã quan tâm!",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787305.045564,,,
150 triệu VNĐ,"Đường Nguyễn Khang, Trung Hòa, Cầu Giấy", 250m2, 10,,"Đất nền Thanh Hoá - Chỉ từ 170tr/lôĐất nền Phú Thọ - Chỉ từ 300tr/lô
Đã có sổ theo từng lô - Full thổ cư
Hạ tầng hoàn thiện sẵn sàng ra hợp đồng và sang tên
https://batdongsanhungvuong.vnHÙNG VƯƠNG GROUP hungvuonggroupLiên hệ ngay: 0357637275",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787306.2863028,,,
"14,5 tỷ VNĐ","Đường Xã Đàn, Nam Đồng, Đống Đa", 47m2, 7, 5,"💥 BÁN NHÀ MẶT PHỐ XÃ ĐÀN 2 47M2 5T MT RỘNG 6.5M, Ô TÔ TRÁNH, GARA, CHỈ 14.5 TỶ 💥 ⭕️ LH NGAY 0982833366 ---------------------------- SIÊU RẺ NHÀ MẶT PHỐ XÃ ĐÀN 2, NAM ĐỒNG, ĐỐNG ĐA - RẺ HƠN NHÀ NGÕÔ TÔ - GARA - KINH DOANH SẦM UẤT - MẶT TIỀN RỘNG - NỞ HẬU.- Nhà xây được 10 năm khung cột chắc chắn, chủ mới về sơn lại là đẹp ở ngay.- Thiết kế: + Tầng 1 : Gara và wc.+ Tầng 2: Phòng khách và bếp, wc.+ Tầng 3 + 4 : Mỗi tầng 2 phòng ngủ và wc.+ Tầng 5 : Phòng thờ, sân phơi, wc.+ Sổ đỏ chính chủ, nở hậu đẹp.---------------------------- 🚀 GIÁ BÁN CHỈ: 14.5 TỶ (ẢNH THẬT-THÔNG TIN THẬT-NHÀ THẬT-GIÁ THẬT)---------------------------- ☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366  ZALO 0902223785 (Chuyên mặt phố, biệt thự, nhà ngõ ô tô Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%... ----------------------------DÀNH CHO ACE TÌM NHÀ HÀ NỘI - MIỄN PHÍ LỌC VÀ XEM NHÀ 100%LH: Mr. Phương_Nhà_Phố (1981)(FB/ZALO - 24/7)   - Tiếp khách có nhu cầu thực, khách xem cho vui hoặc không có quyền quyết xin phép không tương tác vì CV mình rất bận.- Phương_Nhà_Phố có thông tin hàng ngàn căn nhà với đủ phân khúc từ vài tỷ đến vài trăm tỷ, thông tin hình ảnh thật mô tả kỹ không làm mất thời gian công sức của ACE CÁC LĨNH VỰC BĐS ĐANG HOẠT ĐỘNG1. Biệt thự, nhà ở đẳng cấp, yên tĩnh, sân vườn2. Nhà mặt phố , tòa nhà văn phòng3. Nhà dòng tiền: Khách sạn, Nhà hàng, Apartment, Homestay, Chung cư Mini cho thuê4. Nhà mặt ngõ ô tô, Nhà phân lô, Nhà liền kề5. Chung cư, tập thể, nhà ở theo từng phân khúc tài chínhLiên hệ ngay để được tư vấn và tham khảo BĐS phù hợp nhất. Xin cảm ơn!!!!!!!!!",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787307.2587745, 20, 4, 5
"2,85 tỷ VNĐ","Đường Quốc lộ 32, Kim Chung, Hoài Đức", 39m2, 3, 4,"
    Tôi là Đức Cần Bán Nhà riêng rẻ nhất Yên Bệ, Kim Chung, Hoài Đức 39m 4 tầng, ô tô sát nhà chỉ nhỉnh 2 tỷ, tôi muốn bán nhanh trước Tết dương lich 2023
+ Đập hộp Nhà mới, đẹp về ở luôn, Ô tô cạnh nhà.
+ Vị trí đẹp, Sát KĐT Hinode Royal Park, KĐT Kim Chung Di Trạch. Gần các Trường Học cấp 1,2,3 , Trường Đại Học Thành Đô, Đại Học Công nghiệp Hà Nội. Rất tiện cho việc học tập của các cháu.
+ Giao thông thuận tiện, thông các ngả. Yên vĩnh, Yên bệ, Quốc lộ 32, Tỉnh Lộ 422..
+ Sổ CC, pháp lý rõ ràng, sẵn sàng giao dịch. Giá thương lượng, Chủ thiện chí
+ Tư vấn, xem nhà Gọi Mr Đức Nhà Đẹp 0898839292. Rất nhiều Nhà Đất đẹp phù hợp mọi nhu cầu Anh Chị Em.
",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787308.3628376, 3, 4, 3
"3,6 tỷ VNĐ","Đường Nguyễn Trãi, Khương Đình, Thanh Xuân", 31m2, 3, 5,"- CỰC HIẾM - CỰ LỘC THANH XUÂN - HÀNG XÓM ROYAL - VÀI NHÀ RA MẶT PHỐ  - Diện tích 31m, 4 tầng, Chào cực sốc 3.6 tỷ Vị trí quá đẹp, nhà cách phố Nguyễn Trãi rất gần, mấy bước ra phố, hàng xóm royal City Thiết kế: + T1: Khách + bếp  + T2,3 : 4 ngủ , wc giữa  + T4: Phòng thờ + Sân phơi  - Sổ đỏ cất két chỉ chờ sang tên.  - Liên hệ 0822432999 Mr Dũng chuyên mua - bán bđs mọi phân khúc tài chính.  Cam kết thông tin thật, ảnh thật 100%",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787309.3830655, 5, 5, 5
"5,15 tỷ VNĐ","Đống Đa, Hà Nội", 44m2,,,"Gia chủ nhiều nhà cần bán gáp trước tết xoay vốn kinh doanh:+ Diện tích: 44 m2 x 5 tầng.+ Mặt tiền: Mặt tiền 4.6 m.+ Sổ vuông chính chủ.+ Giá: 5,15 tỷ. + Vị trí:- Sau nhà mặt ô tô thông Văn Chương, Linh Quang...- Trước nhà ngõ to đùng ba gác, gần phố.- Vài bước Văn Miếu, Lăng Bác, Ga Hà Nội, Hồ Hoàn Kiếm. + Thiết kế:- Tầng 1: Khách, bếp, vệ sinh.- Tầng 2, 3, 4 Mỗi tầng 2 phòng ngủ khép kín.- Tầng 5: Phòng ngủ master, sân phơi, tiểu cảnh Nhật Bản. + Khu vực:- Lõi Đóng Đa tiện ích không thiếu gì.- Khu phố sạch đep, hàng xóm thân thiện.- Quy hoạch ổn định. + Duy nhất một căn không có căn thứ 2 cùng phân khúc và khu vực. + Nội thất;- Giường, tủ tường, tủ quần áo, bàn ghế đầy đủ.- Trang thiết bị gắn tường. + Phù hợp:- Khách mua xách vali về ở luôn, đón Tết.- Khách mua cho thuê dòng tiền.- Khách mua vừa ở vừa kinh doanh. + Liên hệ: Mr hải, 48 tuổi, 0946 921 974. (Anh, chị, em Môi giới, QC xin không làm phiền).",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787310.5040662,,,
