price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Hướng
100 triệu VNĐ/m2,Phường Cầu Diễn, 88m2,"Cực hiếm. Bán nhà đẹp víp Hồ Tùng Mậu 88m2 5T.ô tô vào nhà. Giá nhỉnh 100tr/m2.+ Nhà siêu mới, đẹp mặt ngõ kinh doanh, ô tô vào nhà, đường lớn trước cửa ô tô tránh nhau,xe chạy xung quanh thông ra các tuyến phố trung tâm nội đô. Nhà đẹp víp khu an ninh cao. Nhà mới công năng đầy đủ tiện ích.+ Nhà thiết kế hiện đại, hệ thống điều hòa âm trần tổng 10 chiếc hiện.+ Tầng 1,2: Gara ô tô,  thông sàn cho thuê văn phòng. 4 phòng ngủ, tầng thượng sân vườn thượng uyển: Bưởi diễn, ổi, khế….+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn.+ Tư vấn 24/7. ",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826562.3399982,,,,
16 tỷ VNĐ,Hà Nội, 77m2,"Bán nhà Phương Mai, kinh doanh siêu đỉnh - LH: 0856 968 656.Tòa nhà siêu VIP kinh doanh đỉnh, 77 m2, 7 tầng thang máy nhập khẩu.Giá chào chỉ 16 tỷ thương lượng mạnh, bao sang tên, tặng full nội thất xịn. - Nhà chủ tự xây để ở, cực đẹp nội thất nhập khẩu đầy đủ chỉ việc xách vali đến ở luôn. - Vị trí đẹp ô tô tránh nhau thoải mái, đang có trung tâm ngoại ngữ rất mong muốn thuê cả nhà 90tr/tháng. - Thiết kế phong cách hiện đại và công năng sử dụng tối đa. - Phù hợp với mọi loại hình kinh doanh: văn phòng, spa, nhà hàng cao cấp, hoặc có thể vừa ở vừa cho thuê… - Tất cả các phòng đều có ánh sáng tràn ngập. - Giao thông kết nối: Phạm Ngọc Thạch, Xã Đàn, Tông Thất Tùng, Chùa Bộc, Lê Thanh Nghị, Tạ Quang Bửu... Rất gần Học Viện Ngân Hàng, Đại học Y Hà Nội, Đại học Bách khoa Hà Nội, Trường Đại học Xây dựng Hà Nội...  - Khu vực an ninh, dân trí cao, giá trị bất động sản ngày càng tăng. - Pháp lý chuẩn, sổ đẹp sẵn sàng giao dịchMời quý khách liên hệ gấp ngay lập tức - 0856 968 656.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826563.5138617,,,,
7 tỷ VNĐ,"Khương Trung, Thanh Xuân, Hà Nội", 55m2,"+ Bán nhà phố Khương Trung, quận Thanh Xuân, diện tích 55m2, mặt tiền 4m, 4PN, phòng khách, phòng thờ và sân phơi. +Ngõ ô tô thông ra Vũ Tông Phan, giao thông thuận tiện. Gần khu vực Trung tâm Ngã Tư Sở chỉ 2 phút ra Royal City, Nguyễn Trãi, Láng, Tây Sơn, Trường Chinh…+ Nhà dân xây, thiết kế sang trọng, hiện đại, đầy đủ tiện nghi, tầng nào cũng có ban công thoáng sáng.+ Sổ đỏ chính chủ, sẵn sang giao dịch.* Liên hệ: Phùng Trang 0975124 520.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826564.5680373, 4, 5, 4,
"16,1 tỷ VNĐ",Hà Nội, 72m2,"Vườn hoa 1/6, phân lô, ô tô, thông Trần Quang Diệu, Hoàng Cầu, Thái Hà, Tây Sơn, Láng Hạ... - Liên hệ xem nhà 24/7: 0366 555 258. - Vài bước ra vườn hoa. - Khu cực VIP, kinh doanh sầm uất.Mô tả: - Nhà đẹp, ở luôn, đất lành nhiều lộc, kinh doanh vô địch. - Diện tích 72m2 x 6 tầng thang máy. - Thiết kế đẹp, đang cho thuê văn phòng công ty. - Sổ đỏ phân lô vuông vắn. - Giá chào chỉ 16.1 tỷ thương lượng mạnh.Liên hệ miễn phí ngay lập tức Nguyễn Thanh - 0366 555 258.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826565.6321917,,,,
"4,85 tỷ VNĐ","phố Kim Hoa, Đống Đa, Hà Nội", 38m2,"GIÁ NÀO CŨNG BÁN – TẶNG NỘI THẤTS = 38m, 5 tầng, mặt tiền 5m, giá 4.85 tỷMô tả: + Vị trí: Phố Kim Hoa, Đống Đa. + Nhà cực kì thoáng mát, thoáng trước sau, có bãi gửi ô tô ngay phố xã Đàn cách nhà mấy chục mét, nội thất toàn gỗ lim đắt tiền. + 30m ra mặt phố, 70m ra phố Xã Đàn. + Giao thông: Giải Phóng, Xã Đàn, Lê Duẩn, Đại Cồ Việt, Phạm Ngọc Thạch,... + Thiết kế:  + Tầng 1: Phòng khách bếp + WC.+ Tầng 2,3,4: Mỗi tầng 1 ngủ + WC.+ Tầng 5: Phòng thờ + sân phơi. + Sổ đỏ đẹp sẵn sàng giao dịch. * Liên hệ ngay em Bình, 0345752279 để được tư vấn và xem nhà miễn phí mọi khung giờ! * Không tiếp môi giới.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826566.7581778, 5, 5, 3,
16 tỷ VNĐ,Hà Nội, 79m2,"Siêu phẩm bán nhà phố Chùa Láng. Mặt ngõ ô tô tránh kinh doanh đỉnh. + Liên hệ xem nhà 24/7: 0366 555 258. + 6 tầng thang máy, gara ô tô, kinh doanh tốt. + Diện tích 79 m2, nôi thất xịn. + Khu dân trí cao, an ninh tốt.Giá chào chỉ 16 tỷ thương lượng mạnh.Sổ đỏ chính chủ.Liên hệ tư vấn xem nhà ngay (miễn phí 24/7) - 0366 555 258.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826567.8103642,,,,
"3,75 tỷ VNĐ","Bờ Sông Sét, Hoàng Mai, Hà Nội", 35m2,"NGÕ Ô TÔ – NHÀ ĐẸP Ở NGAYS = 35m, 5 tầng, mặt tiền 4m, giá 3.75 tỷ * Rẻ nhất trong phân khúc giá, không thể tìm thấy căn nhà nào tốt hơn. + Ngõ trước nhà rộng gần 3m, sạch sẽ thoáng mát, ô tô qua, cách mặt đường Sông Sét ô tô tránh 20m. + Thiết kế: Mỗi tầng 1 phòng, cầu thang cuối, tổng 3 ngủ và 1 phòng thờ, sân phơi rộng. + Giao thông: Giải Phóng, Kim Đồng, Trương Định, Tân Mai, bến xe Giáp Bát, chung cư Nam Đô,... * Bán gấp trong tuần, giá cả thương lượng. * Lh: Em Bình 0345752279, chỉ bán nhà đẹp giá tốt. * Không tiếp môi giới, đầu tư.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826568.9772828, 4, 5, 3,
"3,1 tỷ VNĐ",Đình Thôn Mỹ Đình Nam Từ Liêm, 31m2,31,28/04/2022,Tin thường,batdongsan_so_com_vn_1673826570.162113,,,,
200 triệu VNĐ/m2,Phường Nghĩa Tân, 40m2,"Cực hiếm. Bán nhà đẹp víp đường Phạm Tuấn Tài ô tô tránh nhau, 40m2, 5 tầng. Giá nhỉnh 200tr/m2.+ Nhà nội đô đường lớn trước cửa ô tô tránh nhau,xe chạy xung quanh, nhà đẹp víp khu an ninh cao kinh doanh café siêu hót xung quanh nhiều tiện ích công viên cây xanh mát lành.. + Đường lớn đi thông các tuyến phố ô bàn cờ trọng điểm, mặt tiền cửa gỗ, nội thất gỗ cao cấp chủ tặng hết….+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn. + Tư vấn 24/7. ",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826571.159445,,,,
"16,4 tỷ VNĐ",Hà Nội, 70m2,"Bán nhà Trần Quang Diệu, quận Đống Đa, kinh doanh tốt mọi loại hình - LH: 0856 968 656.Mô tả: - Nhà nằm trên phố Trần Quang Diệu thông Thái Hà, Tây Sơn, Hoàng Cầu, Đặng Tiến Đông, Nguyễn Lương Bằng... - Vị trí siêu đẹp, diện tích 70 m2, 7 tầng thang máy, đầy đủ công năng, trang bị toàn bộ đồ nội thất cao cấp. - Đường trước nhà rộng ô tô tránh nhau có vỉa hè 2 bên, ngõ thông tứ tung đi lại rất thuận tiện.Gần công viên, vườn hoa, ủy ban nhân dân quận Đống Đa... khu vực dân trí cao, an ninh đảm bảo, kinh doanh rất tốt. - Khách mua về có thể vừa ở vừa kinh doanh, làm văn phòng, cho thuê thoải mái… - Pháp lý đầy đủ, sổ đỏ chính chủ. - Giá chào chỉ 16.4 tỷ thương lượng sâu bao sang tên, tặng full nội thất xịn.Liên hệ 24/7 nhanh Mr Bình - 0856 968 656.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826572.278452,,,,
23 tỷ VNĐ,NGUYỄN VĂN CỪ, 98m2,"Lợi thế là vị trí và diện tích xử dụng lớn. Nhà rộng rãi, thoáng mát, gần hồ, công viên, kinh doanh đông dân cư qua lại, dân trí và an ninh tốt, gần khu văn phòng hành chính lớn",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826573.2558458, 4, 4,,
23 tỷ VNĐ,NGUYỄN VĂN CỪ, 98m2,"Bán nhà mặt phố giá tốt nhất khu vực, do có vị trí thuận lợi nằm chính giữa khu phố đắt giá, nhà rộng rãi , diện tích xử dụng lên đến 120m đất, xây dựng 4 tầng , nhà không có nhiều mô tả do xây dựng đã lâu, ưu điểm mạnh là vị trí và cảnh quan, tiện ích.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826574.1993208, 4, 4,,
23 tỷ VNĐ,NGUYỄN VĂN CỪ, 98m2,"Vị trí giữa trung tâm, khu phố đắt giá nhất Long Biên, di chuyển ra hướng Cầu Chui hay sang bên phố Q. Hoàn Kiếm thuận tiện, xung quanh tiện ích nhiều như trường học, hồ, ngõ dân cư, công viên.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826575.4150684, 4, 4,,
23 tỷ VNĐ,NGUYỄN VĂN CỪ, 98m2,"Vị trí tăng giá theo thời gian, kinh doanh tấp nập, nhộn nhịp người qua lại. vỉa hè to để xe thoải mái ra vào, cây xanh cảnh quan xung quanh thoáng mát , nhà xây 4 tầng, hơi cũ nhưng giá lại rất mềm trong khu vực .",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826576.4732368, 4, 4,,
"2,3 tỷ VNĐ",NGUYỄN VĂN CỪ, 98m2,"Vị trí trung tâm tại Quận Long Biên, di chuyển thuận tiên lên phố hay về phía đông HN, diện tích xử dụng lớn, thoải mái, thoáng mát , kinh doanh ngày và đêm , dân cư xung quanh đông đúc, dân trí và an ninh tốt, gần những toà văn phòng hành chính và tiện ích như hồ, trường học.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826577.3628592, 4,,,
23 tỷ VNĐ,NGUYỄN VĂN CỪ, 98m2,"Chính chủ cần bán nhà mặt phố chính tại Quận Long Biên, nằm trên cung đường kinh doanh sầm uất nhất Quận, dân cư qua lại nhiều, tiềm năng kinh doanh và tỷ suất tăng giá cao theo thời gian, do chủ nhà có con sang nước ngoài học nên không có thời gian quản lý và xử dụng, giá tốt và cạnh tranh nhất thị trường.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826578.7561762, 4, 4,,
23 tỷ VNĐ,NGUYỄN VĂN CỪ, 98m2,"Nhà diện tích to 120m2, giá mềm , xây dựng 4 tầng , mặt tiền rộng và thoáng, gần nhiều tiện ích như trường THCS Gia Thuỵ, Hồ bến xe Gia Lâm, gần nhiều vs ngõ dân cư đông đúc qua lại, tiềm năng kinh doanh lớn",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826579.708582, 4, 4,,
23 tỷ VNĐ,NGUYỄN VĂN CỪ, 98m2,"Vị trí nằm tại khu vực dân cư qua lại, gần nhiều chung cư và toà văn phòng tiềm năng kinh doanh đón lượng khách rất lớn xung quanh, gần Hồ bến xe Gia Lâm, gần trường THCS Gia Thuỵ . Nhà rộng rãi, diện tích xử dụng 120m2 rất thoáng ",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826580.6869652, 4, 4,,
"4,2 tỷ VNĐ","Nguyễn Văn Trỗi, Mộ Lao, Hà Đông", 40m2,"Nguyễn Văn Trỗi, sát Làng Việt Kiều Châu Âu, Nguyễn Văn Lộc.40m2, 4,2 tỷ thương lượng giá tốtMô tả: + Vị trí trung tâm Mộ Lao cạnh làng Việt Kiều Châu Âu tiện ích đẳng cấp, ô tô đỗ gần thuận tiện di chuyển Ngõ rộng, sạch sẽ, thoáng mát.+ Nhà xây dựng kết cấu BTCT chất lượng còn tốt, mặt tiền rộng, các phòng thông thoáng- Tầng 1: Phòng khách, bếp- Tầng 2,3: Mỗi tầng 2PN, WC- Tầng 4: Phòng thờ, sân phơi+ Sổ đỏ đẹp sẵn sàng giao dịch+ Liên Hệ: Em Thành 0962987228. Người Kết Nối- Cam kết thông tin chính xác, ảnh nhà thật Trân Trọng",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826582.1969252, 4, 4,, Đông
23 tỷ VNĐ,MẶT PHỐ NGUYỄN VĂN CỪ, 98m2,"Nằm dọc theo con đường huyết mạch Quận Long Biên, chính chủ gửi bán căn mặt phố Nguyễn Văn Cừ , Diện tích xử dụng lên tới 120m2, nhà xây 4 tầng, vị trí kinh doanh nhộn nhịp, gần nhiều ngõ giao vs mặt phố lớn, dân cư qua lại rất đông ",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826583.209225,, 4,,
