price,address,Diện tích,Lộ giới,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet
"2,85 tỷ VNĐ",Đường khu 7.2 ha phường Vĩnh Phúc, 85m2, 5,"
    Chinh chủ cần bán nhanh Căn hộ tập thể cao cấp thuộc khu 7,2 ha phố Vĩnh Phúc, Quận Ba Đình , Hà Nội.- Diện tích : 85m2.- Căn hộ thuộc lô góc 2 mặt thoáng ánh sáng ngập tràn thoáng mát ở cực sướng.- Được thiết kế hiện đại, đẹp, cách bố trí xắp xếp đồ rất hợp lí.- Khu vực giao thông thuận tiện đi lại.- Dân cư đông, dân trí cao, hàng xóm thân thiện, an ninh rất tốt.- Nội thất rất đẹp, sang xịn. Tôi để loại toàn bộ nội thất hiện đại cho chủ mới- Xung quanh  đầy đủ các tiện ích: trường học , siêu thị…..- Dưới chân nhà là ngân hàng và 2 sân chơi sinh hoạt chung rất nhiều hoạt động vui chơi cho trẻ .- Rất phù hợp cho hộ gia đình an cư sinh sống.- Pháp lí rõ ràng, sổ đỏ chính chủ.Giá : 2,85 tỷ, có gia lộc cho khách thiện trí.Liên hệ trực tiếp với tôi không qua trung gian: 0358874391.
",02/10/2022,Tin thường,batdongsan_so_com_vn_1673797713.022877,,,,
"4,2 tỷ VNĐ",Đường Mễ Trì phường Mỹ Đình 1, 50m2, 3," VỊ TRÍ ĐẮC ĐỊA - KHU ĐÔ THỊ CAO CẤP - KHU PHỐ NGƯỜI HÀN DÂN TRÍ CAO - AN NINH TUYỆT ĐỐI - TƯƠNG LAI RỰC SÁNG - VỊ TRÍ:+ Đường Đình Thôn - thông sang đường Phạm Hùng - đường Mễ Trì+ Nằm trong Khu Đô Thị Mễ trì, The Garden. - DIỆN TÍCH: 50m2. 5m*10m. ĐẤT VUÔNG. - TIỆN ÍCH:+ Vài bước chân, các con có thể đã đến trường. C1, C2. C3, ĐH gần nhà.+ Chợ, Siêu thị đầu phố.+ Các dịch vụ khác đầy đủ, an tâm sinh sống, ổn định lâu dài. - CÔNG NĂNG:+ Ở sướng vì rất yên tĩnh.+ Cho thuê kín vì khu vực có nhu cầu ở rất cao. - SỔ ĐỎ SẴN SÀNG. - Giá: 4,5 tỷ. VỊ TRÍ VÀNG - KHỔ ĐẤT ĐẸP - GIÁ PHÙ HỢP - XEM ĐẤT MIỄN PHÍ Liên hệ gặp chủ nhà.Em Quang SĐT: 0879 976 ***",02/10/2022,Tin thường,batdongsan_so_com_vn_1673797714.280523, 5, 5, 8, 8
"5,2 tỷ VNĐ",Đường Việt Hưng phường Việt Hưng, 75m2, 4," Không thể tin nổi: Nhà 4 tầng 75m2 trung tâm Việt Hưng ô tô qua nhà giá chỉ 5.2tỷ( thương lượng mạnh) Mô tả:+ Nhà 4 tầng sáng thoáng xây cực chắc chắn được vài năm, tổng 5 phòng ngủ đẹp nhất Long Biên, tiện nghi nội thất đầy đủ.+ Vị trí trung tâm Long Biên, gần Big C, trưởng học, bệnh viện lớn. Nhà ngõ ô tô, vài bước ra phố Ngô Gia Tự – thông các ngả ra Vũ Đức Thận, Hoa Lâm, Ô Cách, Lệ Mật, Nguyễn Văn Cừ.…+ Chủ cần bán gấp do đã đặt cọc mua nhà mặt phố.+ Giá chào 5.2 tỷ, giá chốt bất ngờ. Sổ đỏ cất két giao dịch tức thì.+ Liên hệ: Ms Liên 0981398926-  Chuyên nhà đất thổ cư Long Biên- Hà Nội để được tư vấn, hỗ trợ miễn phí.",02/10/2022,Tin thường,batdongsan_so_com_vn_1673797715.6594884, 4, 4, 5, 5
"5,5 tỷ VNĐ",Đường 800A phường Nghĩa Đô, 40m2, 1,"PHÂN LÔ - OTO ĐỖ CỬA – SÁT MẶT PHỐ NHỘN NHỊP – ĐÊM VỀ YÊN TĨNH NGỦ NGON + VỊ TRÍ:- Đường 800A – gần đường Nguyễn Văn Huyên.- Khu vực tấp nập người qua lại.- An ninh tốt, hàng xóm dễ gần vui tính.  + TIỆN ÍCH:- Chỉ vài phút đi học, đỡ tốn thời gian. Trường từ Mầm non đến Mầm già, đủ cả. - Chợ bên đường, Siêu thị đầu phố. Muốn gì có nấy. - Dịch vụ khác đầy đủ, khu trung tâm sầm uất. Sinh sống ổn định lâu dài. + DIỆN TÍCH: 38m2. 4 Tầng. Mặt tiền rộng + THIẾT KẾ:- Hiện đại, nhiều phòng đủ dùng.- Nhà còn mới, không tốn tiền sửa, về ở ngay.  + CÔNG NĂNG:- Ở yên tĩnh. - Hoặc cho thuê 6 phòng. Doanh thu trên 15tr/tháng. VỊ TRÍ VÀNG – NHÀ ĐẸP – GIÁ PHÙ HỢP – XEM NHÀ MIỄN PHÍ. Liên hệ gặp Chủ nhà.Em Quang – 087.997.6889 (MTG) Xin cảm ơn! ",02/10/2022,Tin thường,batdongsan_so_com_vn_1673797729.6350756, 4, 4, 4, 4
"1,3 tỷ VNĐ",QUang Trung, 38m2,,"RẺ như cho ! Nhà này không MUA thì còn mua nhà nào nữa?  ✅ DT 38m2 1tỷ3 Lô Góc tọa lạc tại trung tâm quận Hà Đông, giao thông thuận lợi. Sát trục Quang Trung, ngã ba Ba La.  ✅ Ngôi nhà được nhà nước phân cho cán bộ, hàng xóm thân thiện, an ninh cực tốt. Đặc biệt rất yên tĩnh!  ✅ Giấy tờ chính chủ, giao dịch ngay.Chủ cực thiện chí bán.    LH NGỌC SƠN 0812316789 ( Thổ Cư BĐS )   + Miễn phí xem nhà, hỗ trợ vay vốn ngân hàng, hỗ trợ pháp lý 24/7, thủ tục nhanh gọn…  Xin cám ơn quý khách đã xem bài đăng !",02/10/2022,Tin thường,batdongsan_so_com_vn_1673797731.0260653,,,,
3 tỷ VNĐ,"gia thương, thượng thanh", 33m2, 4,"Chủ cần tiền bán GẤP.Chỉ hơn 3 tỉ có nhà 4 tầng mới koong.Nội thất xịn xò. Chỉ xách vali về và ở. Cách ô tô tránh đỗ chỉ 5m+ Vị trí tuyệt đẹp, cách Khai Sơn City, trường Việt Pháp, Ao Lão vài bước chân, tiện ích không thiếu thứ gì.+ Nhà đẹp xây dựng chắc chắn, thiết kế hiện đại thông sàn, đầy đủ mọi công năng với gia đình trẻ.+ Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch ngay.Xem nhà free - Liên hệ Mrs. Hương.",02/10/2022,Tin thường,batdongsan_so_com_vn_1673797732.2670012, 4, 4, 3, 4
"3,3 tỷ VNĐ",Hà Trì- Hà Đông, 37m2,,"Bán nhà Hà Trì, Hà Đông 37mx5 tầng ngõ nông gần phố hơn 3 tỷ Bán nhà riêng siêu đẹp tại Hà Trì, Hà Đông nhà mới thiết kế 5 tầng hiện đại ngõ nông gần ô tô gần phố, nội thất hiện đại ở ngay. Nhà có đầy đủ tiện ích xung quanh trường trạm, chợ, ngân hàng, siêu thị, viện quân y 103, Viện Bỏng giáp các phố cổ trung tâm Tô Hiệu sang Lê Lợi cắt Bà Triệu ra Nhuệ Giang gần Tản Đà vài bước ra Khu đô thị Văn Phú. Hàng xóm thân thiện, khu vực văn minh ở sướng. Gia chủ thành đạt nay chuyển sang ở biệt thự rộng hơn cần bán gấp. Sổ vuông phân lô sẵn sàng giao dịch. Giá 3.3 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) – Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",02/10/2022,Tin thường,batdongsan_so_com_vn_1673797735.524641,, 5,,
"3,3 tỷ VNĐ",Đa Sỹ- Hà Đông, 38m2,,"Bán nhà Đa Sỹ, Hà Đông 38mx5 tầng ngõ nông gần ô tô chỉ 3 tỷ Cô tôi gửi bán nhà đẹp phố Đa Sỹ, Hà Đông diện tích vàng 38m thiết kế hiện đại với 5 rộng thoáng sáng ngõ cực to nông gần ô tô, nội thất đầy đủ ở ngay. Bán kính xung quanh nhà chợ, bể bơi, sân bóng đầy đủ vài bước ra phố mua gì cũng có. Giao thông lại thuận tiện giáp Hà Trì hàng xóm Văn Phú sang Phú Lương gần Mậu Lương lên các phố Bà Triệu sang Lê Lợi thông ra Văn Quán. Sổ vuông phân lô sẵn sàng giao dịch. Giá 3.3 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) – Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",02/10/2022,Tin thường,batdongsan_so_com_vn_1673797737.2875376,, 5,,
"7,68 tỷ VNĐ",Kiến Hưng- Hà Đông, 63m2,,"Bán nhà riêng Kiến Hưng, Hà Đông 63m MT 5m vỉa hè ô tô hơn 7 tỷ Cần bán nhà riêng tại Kiến Hưng, Hà Đông diện tích 63m có ô chờ thang máy, mặt tiền khủng 5m, các tầng hiện đại thoáng sáng vô cùng gần trường học và công viên, vỉa hè rộng đường ô tô tránh, nội thất hiện đại ở ngay hoặc kinh doanh làm văn phòng. Xung quanh nhà đầy đủ tiện ích nằm trong Khu đô thị Kiến Hưng. Giao thông giáp bệnh viện lớn Học viện Quân y 103, Viện Bỏng, chợ đầu mối 365 các Khu đô Thị Văn Phú sang Phú Lương giáp Thanh Hà gần Xa La hàng xóm Đa Sỹ. Sổ vuông phân lô sẵn sàng giao dịch. Giá 7.68 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) – Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",02/10/2022,Tin thường,batdongsan_so_com_vn_1673797738.7172277, 5,,,
"7,69 tỷ VNĐ",Kiến Hưng - Hà Đông, 63m2,,"Bán nhà Kiến Hưng, Hà Đông 63m, MT 5m vỉa hè kinh doanh hơn 7 tỷ Bán nhà đẹp tiện ích Khu đô thị Kiến Hưng, Hà Đông, mặt tiền rộng 5m diện tích vàng 63m có vỉa hè đường ô tô tránh, thiết kế các tầng hiện đại trước nhà thoáng vĩnh viễn cạnh công viên và trường học phù hợp ở hoặc kinh doanh làm văn phòng. Vị trí đắc địa nằm trên trục chính giáp phố Lê Xuân Điệp trường chợ, ngân hàng, siêu thị đầy đủ. Giao thông giáp bệnh viện lớn Học viện Quân y 103, Viện Bỏng, chợ đầu mối 365 các Khu đô Thị Văn Phú sang Phú Lương giáp Thanh Hà gần Xa La hàng xóm Đa Sỹ. Sổ vuông phân lô sẵn sàng giao dịch. Giá 7.69 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) – Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",02/10/2022,Tin thường,batdongsan_so_com_vn_1673797740.6347313, 5,,,
