price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Hướng
"2,2 tỷ VNĐ","Đường 19, Nguyên Khê, Đông Anh", 80m2, 5,"
Chủ bán đất Nguyên Khê, Đông Anh, ôtô, tiện ích, giá nhỉnh 2 tỷ, 0375555372
+ Vị trí : - Cán Khê, Nguyên Khê, Đông Anh, Hà Nội.
+ Thông tin : - Lô đất vuông vắn, 2 thoáng, ô tô 7 chỗ đỗ, xung quanh là khu cư dân cư đông đúc, ngõ thông khắp ngả, ..
- Diện tích : ~ 80m2.
- Xung quanh tiện ích ngập tràn điện đường, trường, trạm đầy đủ : vài trăm mét có các trường mẫu giáo, C1,2,3,... chợ, trạm y tế, bệnh viện, cụm công nghiệp Nguyên Khê ,...
- Sổ đỏ, pháp lý chuẩn, sẵn sàng giao dịch.
- Giá : 2.2 tỷ ( có gia lộc ).
- Liên hệ với em Hưng để được làm việc trực tiếp với chủ đất.
--------------
EM HƯNG CHUYÊN THỔ CƯ ĐÔNG ANH, HÀ NỘI - 0375555372",08/11/2022,Tin thường,batdongsan_so_com_vn_1673789170.3393774,,,,,
"28,5 tỷ VNĐ","Đường Lò Đúc, Phạm Đình Hổ, Hai Bà Trưng", 48m2, 7,"
    💥 Mặt phố Lò Đúc Lô góc - 48m2 6T Thang Máy - MT rộng gần 7m - Giá chỉ 28.5 Tỷ  💥 ⭕️ LH NGAY 0982833366 ---------------------------- NHÀ MẶT PHỐ LÒ ĐÚC HAI BÀ TRƯNG LÔ GÓC - NỞ HẬU - VỈA HÈ VÔ ĐỐI - THANG MÁYTHÔNG SỐ CỰC ĐẸP 48M2 6T MT RỘNG 6.6M+ Vị trí đẹp trung tâm HBT giáp HK, gần ngã tư Nguyễn Công Trứ, 5 phút lên Hồ Hoàn Kiếm+ Thiết kế 5 tầng 1 tum- Tầng 1,2,3,4,5: thông sàn kinh doanh vô đối- Tum: phòng thờ + sân phơi- Hiện nhà đang cho NH thuê 60 triệu 1 tháng+ Sổ đỏ chính chủ, nở hậu, sẵn sàng giao dịch---------------------------- 🚀 GIÁ BÁN CHỈ: 28.5 TỶ (ẢNH THẬT-THÔNG TIN THẬT-NHÀ THẬT-GIÁ THẬT)---------------------------- ☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366  ZALO 0902223785 (Chuyên mặt phố, biệt thự, nhà ngõ ô tô Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%...
",08/11/2022,Tin thường,batdongsan_so_com_vn_1673789171.9241385, 30, 6, 5, 6,
300 tỷ VNĐ,"Đường Trần Duy Hưng, Trung Hòa, Cầu Giấy", 1250m2,,Bán 1300m2 mặt phố Trần Duy Hưng Trung Hòa Cầu Giấy nhỉnh 255 triêu/m2. Nhà mặt phố Trần Duy Hưng mặt phố VIP mặt tiền rộng DT gần 1300m2 tuyên phố nhiều nhà cao tầng mới phù hợp xây TT thương mại trường học bệnh viện khách sạn hoặc tổ hơp văn phòng…. Sổ đỏ chính chủ giao dịch ngay. Giá chàonhỉnh 300 tỷ có thương lượng trục tiêp liên hệ Hoàng Sơn 0945999599,08/11/2022,Tin thường,batdongsan_so_com_vn_1673789177.2770686, 40,,,,
5 tỷ VNĐ,"Đường Phú Đô, Mỹ Đình 1, Nam Từ Liêm", 36m2, 5,"+ Chủ nhà cần bán nhà mới xây thiết kế hiện đại, diện tích 36m2x7 tầng, nội thất đẹp, + Nhà trong ngõ rộng,xe ba gác tránh nhau.  + Gần chợ lớn Phú Đô, hàng xóm thân thiện, gần trường Tiểu học,THCS Phú Đô, gần nhà văn hóa phường,  + Cách bệnh viện quốc tế hồng Ngọc 100 m, gần sân vận động Mỹ Đình, Trung tâm Hội nghị Quốc gia, bến xe Mỹ Đình, sổ đỏ chính chủ, giao dịch trong ngày. + Giá nhỉnh 5 tỷ LH:Anh Bắc,  chuyên nhà đất Hà Nội, dẩn khách và tư vấn miển phí 24/7 ",08/11/2022,Tin thường,batdongsan_so_com_vn_1673789178.4070432, 4, 7, 14,,
5 tỷ VNĐ,"Đường Lê Đức Thọ, Mỹ Đình 2, Nam Từ Liêm", 89m2, 8,"Căn hộ chung cư, The Zei Mỹ Đình Lê Đức Thọ, phường Mỹ Đình II, quận Nam Từ Liêm Căn hộ CC tầng trung, thang máy đi lại thuận tiện. Diện tích căn hộ CC : 89m2 thông thủy. Căn hộ CC : phòng khách tối ưu không gian dành cho gia đình. Căn hộ CC : 2 phòng ngủ, 2 WC ( phòng ngủ chính rộng rãi ). Thiết bị nội thất thuộc loại cao cấp nhất hiện nay, full đồ ( như hình ).  Giá bán căn hộ CC là:5 tỷ bao full phí. Sổ hồng chính chủ, bàn giao ngay sau khi giao dịch thành công. Xin liên hệ: Thành Xin Cảm ơn!",08/11/2022,Tin thường,batdongsan_so_com_vn_1673789179.500122, 2, 8, 2, 2, Nam
6 tỷ VNĐ,Văn Tiến Dungx, 81m2, 8," VỊ TRÍ ĐẮC ĐỊA –LÔ GÓC – Ô TÔ - GIÁ ĐẦU TƯ – PHÙ HỢP XÂY CCMN  + S= 81m, mặt tiền 8,3m , giá 6 tỷ.  + Vị trí: Gần các trường Đại học Công Nghiệp Hà Nội, cao đẳng FPT, cao đăng In, đại học Tài Nguyên và Môi Trường, học viện Cảnh Sát, khu vực phát triển mạnh, tiềm năng.  + Giao thông: Quốc lộ 32, Cầu Diễn, Hồ Tùng Mậu, Trịnh Văn Bô, 5 phút ra bến xe Mỹ Đình, sân vận động Mỹ Đình.  + Sổ đỏ cất két sẵn sàng giao dịch, chủ nhà thiện chí.  + Liên hệ Trường: 0373680538 để được tư vấn và xem nhà miễn phí. ",08/11/2022,Tin thường,batdongsan_so_com_vn_1673789180.5832238, 3,,,,
"5,2 tỷ VNĐ","Đường Xã Đàn, Phương Liên, Đống Đa", 38m2, 4,"
    
- Vị trí tại Phố Xã Đàn , cách mặt phố khoảng chừng 30m, khu vực đông dân cư sầm uất buôn bán tập nập, giao thông đi lại cũng rất thuận tiện
- Nhà mình ở đoạn đẹp nhất ngõ, thông thoáng dân cư đông đúc, vui vẻ, hoà đồng.

Với vị trí này, vừa ở vừa kinh doanh thì hết ý. 

Diện tích 38m2 x 4T thiết kế hợp lý
+ Tầng 1 : Kinh doanh hoặc PK + Bếp + WC
+ Tầng 2,3 : 2 PN + WC
+ Tầng 4 : Phòng thờ + Sân Phơi
- Sổ vuông vắn chủ đang cất két , sẵn giao dịch nhanh
- Giá bán 5.2 tỷ có thương lượng mạnh
- Liên hệ 0822432999
",08/11/2022,Tin thường,batdongsan_so_com_vn_1673789181.5895307, 5, 4, 4, 4,
"15,2 tỷ VNĐ","Đường Hoàng Mai, Hoàng Văn Thụ, Hoàng Mai", 77m2,,"NHÀ ĐẸP RỘNG HOÀNG MAI, HÀ NỘI. PHÂN LÔ - Ô TÔ TRÁNH - VỈA HÈ BỜ SÔNG - GARA Ô TÔ- KINH DOANH VĂN PHÒNG Nhà nằm ngay phân lô Khu ngõ 299 Hoàng Mai, gần ngay KĐT Đền LừNhà mới xây từ móng, có thiết kế thang máy tốc độ, nội thất full đồ + Vị trí trước nhà đường ô tô tải tránh nhau, kinh doanh văn phòng thoải mái, có thiết kế gara ô tô. + Thuộc khu Vip 299 Hoàng Mai, gần Timeciy, gần Hồ Đền Lừ, gần Tam Trinh, Tân mai+ Thiết kế cổ điển, có khe thoáng phía sau, phía trước thoáng vĩnh viễn, view sôngThiết kế có Thang máyTầng 1: gara ô tô, thông sàn.Tầng 2: thông sàn phòng khách, vệ sinh. Sân chơi.Tầng 3.4: mỗi tầng 2 phòng. Vệ sinh.Tầng 5: Bếp, vệ sinh.Tầng 6: sân phơi.+ Sổ đỏ đẹp.",08/11/2022,Tin thường,batdongsan_so_com_vn_1673789183.225155, 2, 6, 4, 5,
150 triệu VNĐ,"Đường Nguyễn Khang, Trung Hòa, Cầu Giấy", 250m2, 10,"Đất nền Thanh Hoá - Chỉ từ 170tr/lôĐất nền Phú Thọ - Chỉ từ 300tr/lô
Đã có sổ theo từng lô - Full thổ cư
Hạ tầng hoàn thiện sẵn sàng ra hợp đồng và sang tên
https://batdongsanhungvuong.vnHÙNG VƯƠNG GROUP hungvuonggroupLiên hệ ngay: 0357637275",08/11/2022,Tin thường,batdongsan_so_com_vn_1673789184.7909658,,,,,
"1,579 tỷ VNĐ","Đường Võ Nguyên Giáp, Mai Đình, Sóc Sơn", 60m2, 4,"Bán 60,75m2 đất TDC Hương Đình, Mai Đình, Sóc Sơn. Giá chưa đến 1,6 T.Y -S = 60,75m2. -MT = MH = 4,5m. -Dài 13,5m khổ đất vuông. -Đất đối diện sân bóng. -Đường trước đất rộng 8m dải nhựa. -Cách trường tiểu học 150m. -Cách KCN CN3 200m, cách KCN Nội Bài 500m. -LH e Lịch : để xem đất và làm việc chính chủ. ",08/11/2022,Tin thường,batdongsan_so_com_vn_1673789186.4904218,,,,,
