price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Mặt tiền,Số phòng ngủ,Số toilet
"7,7 tỷ VNĐ",Kiến Hưng - Hà Đông, 50m2, 6," Bán nhà Kiến Hưng, Hà Đông 50m 6 tầng thang máy KD hơn 7 tỷ Cô chú tôi cần bán căn nhà xây tâm huyết tại Khu đô thị Kiến Hưng, Hà Đông nhà đẹp 50m với 6 tầng thang máy nhập khẩu, đường phân lô vỉa hè ô tô tránh vừa ở vừa kinh doanh làm văn phòng. Vị trí đắc địa đẹp nhất khu xung quanh là chợ, các toà nhà văn phòng lớn nhỏ, chung cư, công viên đầy đủ. Giáp Khu đô thị Xa La gần Văn Phú sang Phú Lương hàng xóm Thanh Trì. Sổ vuông sẵn sàng giao dịch. Giá: 7.7 tỷ ( gia lộc). Liên hệ : Huyền ( 0363703491- 0965472910) – Gặp trực tiếp chính chủ.",26/12/2022,Tin thường,batdongsan_so_com_vn_1673782049.4063723,,,,,
"7,6 tỷ VNĐ",Kiến Hưng - Hà Đông, 50m2, 6,"Bán nhà Kiến Hưng, Hà Đông 50mx6 tầng thang máy ở ngay hơn 7 tỷ Siêu phẩm đẹp nhất Kiến Hưng , Hà Đông không có căn thứ 2 nhà dân xây tâm huyết 6 tầng thang máy nhập khẩu, nội thất xịn đẳng cấp với 50m các phòng thông sáng vừa ở vừa kinh doanh làm văn phòng. Gia chủ xây tâm huyết nay chuyển mục đích nên cần bán trước Tết. Khu vực văn minh đầy đủ tiện ích khu đô thị, giá tốt nhất khu. Giáp Khu đô thị Xa La gần Văn Phú sang Phú Lương hàng xóm Thanh Trì. Sổ vuông sẵn sàng giao dịch. Giá: 7.6 tỷ ( gia lộc). Liên hệ : Huyền ( 0363703491- 0965472910) – Gặp trực tiếp chính chủ.",26/12/2022,Tin thường,batdongsan_so_com_vn_1673782050.4685295,,,,,
,"Đường Khương Đình, Khương Đình, Thanh Xuân",,,"
    
Ngõ trước nhà nông rộng ba bước ra phố, tiện ích bạt ngàn: Chợ dân sinh, siêu thị Vinmart, trung tâm thương mại Royal City, trường học các cấp…..
- Sổ đỏ vuông đẹp, giao dịch nhanh chóng.
+ Cam kết thông tin và hình ảnh thật 100%.

+ Liên hệ : 0934.438.222 ( Mr.Ngọc ) để dc xem nhà và gặp trực tiếp chủ nhà
",26/12/2022,Tin thường,batdongsan_so_com_vn_1673782051.3812652, Đông nam, 5,,,
,"Đường Khương Đình, Khương Đình, Thanh Xuân",,,"
    
Ngõ trước nhà nông rộng ba bước ra phố, tiện ích bạt ngàn: Chợ dân sinh, siêu thị Vinmart, trung tâm thương mại Royal City, trường học các cấp…..
- Sổ đỏ vuông đẹp, giao dịch nhanh chóng.
+ Cam kết thông tin và hình ảnh thật 100%.

+ Liên hệ : 0934.438.222 ( Mr.Ngọc ) để dc xem nhà và gặp trực tiếp chủ nhà
",26/12/2022,Tin thường,batdongsan_so_com_vn_1673782052.236834, Đông nam, 5,,,
"2,5 tỷ VNĐ",Hồng Mai - Hà Nội, 35m2,,"💥 BÁN NHÀ MẶT PHỐ KINH DOANH BẤT CHẤP - MẶT TIỀN RỘNG - TRUNG TÂM QUẬN HAI BÀ TRƯNG - NHÀ LÔ GÓC - NGẬP TRÀN TIỆN ÍCH - GIAO THÔNG VÔ CÙNG THUẬN LỢI 💥💥💥+ Nhà Mặt Phố Kinh Doanh Sầm Uất. Vỉa Hè Rộng Rãi, Đường 2 Ô Tô tải tránh nhau vèo vèo. Từ Nhà Nên Hồ Hoàn Kiếm 10 Phút. Thông các tuyến phố Bạch Mai, Thanh Nhàn ,Minh Khai ,Đại La, Tạ Quang Bửu, …..+ Nhà Rất Gần Với Trường Tiểu Học Bạch Mai, Trường THCS Hai Bà Trưng....Rất Gần Với Các Trường Đại Học Lớn. Như Đại Học Bách Khoa, Đại Học Kinh Tế Quốc Dân.... Gần Trung Tâm Thương Mại Chợ Mơ, Và Rất Nhiều Các Tiện ích Khác...Nhà 2 tầng cũ còn vô cùng chắc chắn. Chủ đã mua biệt thự Tây Hồ nên vô cùng thiện trí giá trào chỉ 2.5 tỷ có thương lượng cho khách hữu duyên.Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Lưu ý:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý  ",26/12/2022,Tin thường,batdongsan_so_com_vn_1673782053.3833768,,,,,
"8,5 tỷ VNĐ","Đường Cổ Linh, Long Biên, Long Biên", 51m2,,"MẶT đường Ô tô tránh Vỉa hè Kinh doanh - PHỐ TRẠM - 51m2 mt4.25, giá đầu tư.  MẶT Ô TÔ TRÁNH - KINH DOANH - XÂY CĂN 7 TẦNG ĐẲNG CẤP  ",26/12/2022,Tin thường,batdongsan_so_com_vn_1673782054.2512693, Tây bắc,, 5,,
11 tỷ VNĐ,"Đường Ái Mộ, Bồ Đề, Long Biên", 60m2, 6,"60m2 Ái Mộ, Bồ Đề - oto tránh, garage, thang máy, đón tết luôn nhỉnh 11 tỉ. Nhà 6 tầng thang máy, ngõ trước nhà rộng, thẳng sạch sẽ. Hàng xóm khá giả, văn minh, học thức. Khu vực trung tâm Bồ Đề thuận ngay gần phố ẩm thực, vườn hoa, hồ điều hòa, UBND,...Gần các trục chính Nguyễn Văn Cừ, Ái Mộ, Bồ Đề, Hồng Tiến,.. Sổ vuông đẹp, chủ cần bán. Lh: 0962783229 Thu Hương",26/12/2022,Tin thường,batdongsan_so_com_vn_1673782055.3669417,, 5, 5, 5, 4
"7,8 tỷ VNĐ",La Thành Đống Đa Hà Nội, 74m2,,"- DT 74m2 X4 Tầng MT 14.1m Giá bán 7.8 tỷ ( có thương lượng )- Vị trí lô góc, ngõ xe ba gác, cực thoáng. Thuộc khu trung tâm Đống Đa đi lại thuận tiện.  - Nhà cũ chủ xác định bán đất.- Thiết kế 4 tầng chắc chắn.- Mỗi tầng 2 phòng ngủ và vệ sinh.- Thích hợp xây, sửa thành CCMNGiao thông kết nối : La Thành, Hào Nam, Vũ Thạnh! - Sổ đỏ đẹp sẵn sàng giao dịch!Liên hệ em Quân để được tư vấn!0385 94 1802Miễn ( TG Quảng Cáo )",26/12/2022,Tin thường,batdongsan_so_com_vn_1673782056.3803463,,, 14,,
"3,5 tỷ VNĐ","Đường Vĩnh Hồ, Thịnh Quang, Đống Đa", 39m2, 5,"Chủ nhà cần bán gấp nhà ngõ Thịnh Quang, Phố Vĩnh Hồ, Đống Đa Hà Nội. Nhà cách ngõ ô tô tránh 20m, gần CC Royal City, Hà Thành, Mipec Tower Ngã Tư Sở, Trường Chinh, gần nhiều trường ĐHHN, ĐH Thuỷ Lợi, Công Đoàn, Trường cấp 1,2 Thịnh Quang, cấp 3 Quang Trung. - Khu dân trí cao, an ninh tốt, xung quanh đầy đủ tiện ích. - Thiết kế 5 tầng, 3 PN, 4 WC, công năng hợp lý, giá bán tốt. Phù hợp với gia đình 3 thế hệ. - Sổ đỏ cc, nở hậu, sẵn sàng sang tên. - Liên hệ A Đông 0915 130 268 chuyên BĐS thổ cư, chung cư.",26/12/2022,Tin thường,batdongsan_so_com_vn_1673782059.197958,, 3, 3, 3, 4
"14,5 tỷ VNĐ","Đường Ngọc Lâm, Ngọc Lâm, Long Biên", 76m2, 2,"Bán nhà Mặt phố Ngọc Lâm, vỉa hè rộng, kinh doanh sầm uất, nhà hai mặt tiền, mặt trước Mặt phố Ngọc Lâm, mặt sau ngõ rộng rãi, thoáng, view hồ Ngọc Lâm, khu Víp Long Biên, khách mua xây kinh doanh thì tuyêt đỉnh. Diện tích 76m, giá chào nhỉnh 14 tỷ, sổ đỏ siêu đẹp, nở hậu nhẹ, chủ thiện chí bán. Liên hệ Mrs Thúy 0904665468 để xem nhà miễn phí.  ",26/12/2022,Tin thường,batdongsan_so_com_vn_1673782061.2006588,, 25, 4, 2, 3
"2,5 tỷ VNĐ","yên vĩnh, kim chung, hoài đức, hà nội", 55m2,,"Chính chủ cần bán mảnh đất ở Yên Vĩnh, vị trí nằm sát khu đô thị mới Kim Chung, Hoài Đức, Hà Nội. + Diện tích: 55m2, mặt tiền: 4,5m, giá: 2.5 tỷ + Mảnh đất này lô góc, nở hậu, đường rộng, đẹp, thoáng mát, ô tô tránh thoải mái vào tận nhà + Mảnh đất có 1 không có mảnh nào thứ 2, có tiền mà không mua miếng đất này quá phí. + Để ở, kinh doanh hoặc đầu tư sinh lời quá tuyệt. + Khu vực đang phát triển từng ngày, sát khu đô thị Hinode Royal Park, trường học các cấp, bệnh viên, siêu thị bao quanh, tiện ích bạt ngàn. + Chủ nhà đang nợ tiền ngân hàng cần bán gấp nên giá rất mềm. + Không làm việc với TG và MG. Chỉ làm việc trực tiếp giữa khách và chủ + Sổ đỏ nét, giao dịch ngay. Vui lòng liên hệ: Mrs. Bích Phượng: 0915568218 / 0834081167",26/12/2022,Tin thường,batdongsan_so_com_vn_1673782062.341419,,, 4,,
7 tỷ VNĐ,"Đường Việt Hưng, Việt Hưng, Long Biên", 80m2, 3,"
    - Khu phân lô bàn cờ, ô tô tránh, thông các ngả, tiếp giao Việt hưng, Vũ Đức Thận, Lệ Mật, Ngô Gia Tự... gần Vinhome Riverside, cầu Vĩnh Tuy, Big C Long Biên. - Nhà 3 tầng xây chắc chắn, móng 6 tầng.- Sổ vuông vắn, sang tên nhanh. Giá 7 tỷ (thương lượng mạnh).- Liên hệ Nam 0888868583 miễn trung gian.
",26/12/2022,Tin thường,batdongsan_so_com_vn_1673782063.475023,, 7, 5, 4, 3
