price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Hướng
"3,3 tỷ VNĐ","phú đô, nam từ liêm", 30m2, 5, 3, 5,"Bán nhà Phú Đô, Nam Từ Liêm, 30m x 5T, giá 3.3 tỷ + Vị trí đẹp, ngõ rộng thoáng, kết nối với các phố Lê Quang Đạo, Lê Đức Thọ, Hồ Tùng Mậu…. + Gần trường học các cấp, tiện ích xung quanh đầy đủ, chỉ vài phút là vào trung tâm thành phố + Nhà xây mới 5 tầng, thiết kế hiện đại, đầy đủ công năng + Chủ nhà trẻ tuổi, thiện chí bán Sổ đỏ chính chủ, sẵn sàng giao dịch Lh Mr Tùng 0969541111( Chuyên Thổ Cư Hà Nội) ",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815046.3227875,,,
,tôn đức thắng, 30m2,,,,"Bán Gấp Nhà VĂN CHƯƠNG, TÔN ĐỨC THẮNG, 4 tầng, chỉ 2.2 tỷ,  S rộng, sầm uất, có BANK + Vị trí: Khu trung tâm Đống Đa. Nhà rất gần phố Tôn Đức Thắng, gần hồ Văn Chương, 5p lên Lăng Bác, Hồ Gươm, Công viên Thống Nhất, Ga Hà Nội ... thông tứ hướng + Trường học các cấp, bệnh viên,siêu thi, vui chơi giải trí, thể thao… * Thiết kế: Nhà xây dựng khung chắc chắn, nâng thêm tầng thoải mái. + Tầng 1: Phòng khách, bếp, wc. + Tầng 2: Phòng ngủ rộng, wc. + Tầng 3: 2 phòng ngủ, sân phơi sáng. + Anh Vượng - 0912949598. Bất Động Sản Đống đa Sổ Đỏ Sẵn sàng giao dịch, Hỗ trợ tư vấn Pháp lý & bank",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815047.7878683,,,
3 tỷ VNĐ/m2,"Đường Vĩnh Hưng, quận Hoàng Mai", 32m2, 5, 3,,"Nhà nằm tại vị trí trung tâm quận Hoàng Mai, ngõ rộng thoáng. Nhà chủ mới xây còn rất mới, tặng lại toàn bộ nội thất xịn sò. Tất cả các phòng đều setup tủ ABS tiện ích, công năng từ đồ nhà bếp như lò vi sóng, máy rửa bát, máy sấy bát, tủ lạnh. Các vật dụng tiện nghi đều là nhãn hiệu BOOSH và thương hiệu nổi tiếng đắt tiền. Chỉ việc xách vali đến ở. Cần tư vấn chi tiết LH em : Long (zalo).",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815049.0534832, 5, 6,
5 tỷ VNĐ,Tấy Sơn, 42m2, 5, 4,,"Cần bán nhà Ngã Tư 42m2, Mặt tiền 4.3m, Ô TÔ gần, Ở, Nhỉnh 5 Tỷ.+ Trung tâm Ngã Tư Sở, Trường học Cấp 1,2,3 cách nhà hơn 100m, gần Royal City, bệnh viện, công viên, bãi xe Ô TÔ cách 30m.+ Vị trí nhà cách đường lớn 60m, ngõ rộng đường trước nhà rộng thông tứ tung.+ Nhà chủ mới xây hơn năm, nội thất xịn, chủ tặng lại hết cho khách, khách mua về ở ngay.+ Giá: 5.5 Tỷ ( Có thương lượng sâu).+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh.LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815050.6372898, 4,,
"1,403 tỷ VNĐ",Đường Tỉnh Lộ 131 phường Quang Tiến, 61m2,,,,"* Vị trí cực kì tiềm năng đối diện cổng KCN Nội Bài.
"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'-="""" dân="""" cư="""" đông="""" đúc,="""" cực="""" kì="""" phát="""" triển,="""" giao="""" thông="""" thuận="""" tiện="""" di="""" chuyển="""" mọi="""" hướng.="""" span="""" p="""" pspan="""" text'spanroboto="""" regular"";="""" float:="""" rgb(0,0,0);="""" display:="""" inline="""" !important;="""" rgb(255,255,255);="""" text-decoration-thickness:="""" initial'="""">- Cách cổng khu CN Nội Bài 500m, dân cư cực kì đông đúc, tiện ích không thiếu thứ j.Chủ đất bác Hưng quan chức có tuổi, bán để tán lộc cho con cháu. "",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'span="""" rgb(255,255,255);="""" text'sổ="""" đỏ="""" chính="""" chủ,="""" không="""" quy="""" hoạch,="""" pháp="""" lý="""" rõ="""" ràng="""" tranh="""" chấp.="""" span="""" p="""" pspan="""" text'="""">"",="""" segoeuipc,="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(255,255,255);="""" text-indent:="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" user-select:="""" text'giá="""" nhỉnh="""" 1="""" tỷ="""" rẻ="""" nhất="""" khu="""" vực,="""" có="""" thương="""" lượng="""" nhẹ="""" về="""" giá.="""" span="""" p="""" pspan="""" rgb(229,239,255);="""" text'span="""" text'="""">- Mảnh đất tiềm năng phù hợp để ở hoặc đầu tư anh chị quan tâm liên hệ qua sđt: 0333967741 
",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815052.629659, 4,,
"23,6 tỷ VNĐ",Đường Đào Tấn phường Cống Vị, 90m2, 6, 12, 12,"+ Vị trí trung tâm quận Ba Đình, quy hoạch ổn định, cách 1 nhà ra mặt phố, ô tô 7 chỗ vào nhà. Kinh doanh đỉnh - Tầng 2 : 3 phòng ngủ + WC ( chủ nhà đang ở ) - Tầng 6 : phòng thờ + sân phơi. ",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815057.3019238, 9, 4,
"2,2 tỷ VNĐ","Từ 2.2 tỷ sở hữu ngay nhà 35m2 5 tầng phố Hoàng Ngân, Lê Văn Lương", 35m2,,,,"Từ 2.2 tỷ sở hữu ngay nhà 35m2 5 tầng phố Hoàng Ngân, Lê Văn Lương  + Vị trí: Vài bước chân ra mặt phố Lê Văn Lương, ô tô đỗ cách nhà 150m. + Nhà rất gần rất đẹp, chắc chắn, không rạn nứt, có ô thoáng hút khí lưu thông từ tầng 1 lên tầng thượng. + Di chuyển các hướng đều thuận lợi, gần toà nhà chung cư the Golden Palm, khu mua sắm và nhiều dịch vụ tiện lợi khác. - Tầng 1, phòng khách, vệ sinh và bếp. - Tầng 2,3,4 chia mỗi tầng 1 phòng ngủ, vệ sinh khép kín. - Sổ đỏ chính chủ sẵn sàng giao dịch.  Liên hệ: Kim Hạnh 0946553655",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815058.332806,,,
"7,5 tỷ VNĐ",thượng đình, 48m2, 5, 6, 4,"Bán Nhà, Cự Lộc, Thanh Xuân. Ô Tô Kinh Doanh 48m2 x 5 tầng. Mặt Tiền 4.2m Giá 7.5 Tỷ.  NHÀ MẶT PHỐ – MỚI ĐẸP LONG LANH – KINH DOANH SIÊU KHỦNG  + Nhà mặt Phố Cự Lộc cách Đường Nguyễn Trãi vài chục mét,cách Ngã Tư Sở vài trăm mét, ngả đi các hướng Đống Đa, Hà Đông. Nhà gần các tuyến xe buýt, ga tàu điện trên cao, giao thông rất thuận tiện cho việc di chuyển nội thành và đi các tỉnh khác. + Nhà gần trường học các cấp 1,2,3. Hàng xóm Trung Tâm Thương Mại Roal Anl CiTy, gần các trường Đại Học lớn như; Đại Học Khoa Học Xã Hội Và Nhân Văn, Đại Học Thuỷ Lợi. Gần bệnh viện Đại Học Y Hà Nội, các chợ đầu mối. Xung quanh tiện ích ngập tràn.  + Nhà thiết kế 5 tầng:                                                                                                          - Tầng 1: Phòng khách, bếp, wc, cầu thang giữa. - Tầng 2,3,4: Mỗi tầng 2 phòng ngủ và wc - Tầng 5: Phòng thờ và sân phơi. + Nhà chủ tâm xây tâm huyết, khung côt bê tông cốt thép rất chắc chắn.  Sổ đỏ chính chủ, sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815059.6849604, 4,,
,Doãn kế Thiện .Cầu Giấy, 33m2,,,,"Bán nhà chính chủ Doãn Kế Thiện, Cầu Giấy, 5 tầng oto cách nhà 5m giá 4.38 tỷ LH 0845681666.",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815060.8239117,,,
"5,6 tỷ VNĐ",Kẻ Tạnh, 56m2,,,,"+  Nhà nằm ở vị trí cực kỳ đẹp, cạnh chợ Quán Tình, lô góc ô tô vào nhà thoải mái+, đường trước nhà phân lô bàn cờ ngõ thông các ngả, cách 20 m là Công viên+. Cuối ngõ thông thông ra hồ. Xung quanh đầy đủ các tiện ích như Trường học, chợ, TTTM Vincom Long Biên + Sổ vuông vắn.Giao dịch ngay",12/07/2022,Tin thường,batdongsan_so_com_vn_1673815061.9369915,,,
