price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"7,62 tỷ VNĐ",Kiến Hưng- Hà Đông, 50m2, 6,"Bán nhà Kiến Hưng, Hà Đông 50mx6 tầng thang máy ở ngay hơn 7 tỷ Giá đầu tư tốt nhất Kiến Hưng cần bán gấp nhà 50m với 6 tầng thang máy nhập ngoại, nội thất đẳng cấp tự xây hiện đại đường phân lô vỉa hè ở cực sướng hoặc làm văn phòng. Xung quanh nhà đầy đủ tiện ích của Khu đô thị. Hàng xóm văn minh, gia chủ thành đạt bán căn nhà xây tâm huyết rất tiếc. giáp Đa Sỹ hàng xóm Thanh Trì gần Khu đô thị Thanh Hà sang Văn Phú xuống Phú Lương. Sổ vuông sẵn sàng giao dịch. Giá: 7.62 tỷ ( gia lộc). Liên hệ : Huyền ( 0363703491- 0965472910) – Gặp trực tiếp chính chủ.",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781957.9473028,,,,,
"2,05 tỷ VNĐ","Đường Tây Mỗ, Tây Mỗ, Nam Từ Liêm", 60m2, 1,"Xin gửi tới quý khách hàng đang quan tâm tới các căn hộ chuyển nhượng tại dự án Vinhomes Smart City. Dưới đây là các căn hộ có giá tốt nhất tại dự án.Căn Studio: 28m2 khu S4 giá 1.19 tỷ  35m2 khu S4 giá 1.59 tỷ - 1.68 tỷ  34m2 khu GS giá 1.26 tỷ - 1.28 tỷ Căn 1PN 47m2 khu S4 giá 1.62 tỷ - 1.7 tỷ 47m2 khu S1 giá 1.69 tỷ - 2.05 tỷCăn 2PN 60m2 Phân khu S giá từ 1.95 - 2.15 tỷ Phân khu GS2 giá từ 2.49 tỷ Phân khu SAgiá từ 2.56 tỷ - 3 tỷ Căn 3PN 82m2 Tòa S4.01 giá 3.28 tỷ 90m2 Tòa S4.01 giá 3.97 tỷ 89m2 Tòa SA2 giá 4.2 tỷ Giá các căn hộ giao động tùy thuộc vào nội thất, hướng, view.Vinhomes Smart City là đại đô thị thông minh đầu tiên tại Việt Nam.   + Nằm trên Đại Lộ Thăng Long, khu vực có hệ thống giao thông hoàn thiện bậc nhất phía Tây Hà Nội.   + Hệ sinh thái thông minh Tiện ích dịch vụ đẳng cấp quốc tế        _ Hỗ trợ mọi vấn đề pháp lý, sang tên nhanh gọn       _ Hỗ trợ vay ngân hàng 70%Quý khách vui lòng liên hệ e Huy sđt 0977866262, để được tư vấn miễn phí và xem nhà ngay.",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781959.3734434, 6, 20, 2, 2,
"2,95 tỷ VNĐ","Lai Xá, Kim Chung, Hoài Đức, Hà Nội.", 40m2, 4,"Chủ cần bán nhà 5 tầng tại Lai Xá, Kim Chung, Hoài Đức, Hà Nội. + Diện tích: 40m2, nhà 5 tầng, mặt tiền: 8m, giá: 2.95 tỷ + Nhà mới, chủ tự xây kiên cố, thiết kế sang trọng, nội thất đẹp, đầy đủ công năng, trước nhà thoáng mát + Đường rộng, ô tô đỗ, di chuyển 1-2 phút đến khu đô thị, khu đất dịch vụ Lai Xá + Dân cư hiền hậu, thân thiện, dễ gần. + khu vực đáng sống, tiện ích bao quanh + Cần chuyển về quê xa, muốn bán luôn, giá nào cũng bán nếu khách thiện chí + Đất đẹp, nhà đẹp, giá mềm khỏi cần suy nghĩ + sổ đỏ nét, giao dịch ngay và luôn Anh/chị/em quan tâm vui lòng liên hệ Mrs. Bích Phượng: 0915568218 / 0834081167 ",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781960.3559358, 8,,,,
"23,5 tỷ VNĐ","Đường Thanh Nhàn, Thanh Nhàn, Hai Bà Trưng", 55m2, 3,"-Thiết kế nhà 3 tầng cũ, chủ đang cho thuê kinh doanh tầng 1  -Khu vực gần trợ, trường học, công viên, TTTM -3 phút lên phố cổ  -Gần các trường đại học lâu đời  -Nhà mặt phố làm gì cũng được, kết hợp vừa ở vừa kinh doanh. An sinh khu vực tuyệt vời  sổ đẹp nét từng chữ, mặt tiền rộng LH ngay em Hùng: 094 665 8282 (Miễn trung gian-xem nhà 24/7)",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781961.4146273,, 30, 2, 2,
30 tỷ VNĐ,Chung cư mini full nội thất phố Khương Thượng 110m 9 tầng, 110m2,,"Chung cư mini full nội thất phố Khương Thượng 110m 9 tầng  - Vị trí đẹp, 1 căn dòng tiền trung bình 150tr/tháng. Lô góc 3 thoáng vĩnh viễn. Cách phố 10m, ô tô đỗ cửa. - Giao thương với Tôn Thất Tùng, Trường Chinh, Chùa Bộc.. - Tổng 20 phòng khép kín, có ban công full nội thất. + Sổ đỏ chính chủ, giao dịch ngay. Giá chào bán 30 tỷ có thương lượng.  Liên hệ: Kim Hạnh 0946 553 655",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781962.356512,,,,,
"1,7 tỷ VNĐ","Lai Xá, Kim Chung, Hoài Đức, Hà Nội.", 40m2,,"Chính chủ cần bán mảnh đất Lai Xá, Kim Chung, Hoài Đức, Hà Nội. + Diện tích 40m2, mặt tiền 4.5m, giá 1.7 tỷ + Vị trí đẹp, đường thoáng mát, thông ra khu đô thị Hinode Royal Park, ô tô, kinh doanh, tiện ích xung quanh không thiếu gì. + Hưởng trọn vẹn cơ sở hạ tầng của khu đô thị + Khu dân trí cao, để ở hoặc đầu tư sinh lời rất oke + Chủ cần tiền trả nợ nên muốn bán luôn, giá nào cũng bán cho khách có thiện chí mua thực sự. + Sổ đỏ đẹp, giao dịch ngay Quý vị quan tâm vui lòng liên hệ Mrs. Bích Phượng: 0915568218 / 0834081167",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781963.4121494,,,,,
28 tỷ VNĐ,"Đường Nghi Tàm, Yên Phụ, Tây Hồ", 150m2, 6,"Mô tả:  -Nhà 6 tầng diện tích rộng tháng máy -2 mặt thoáng -vị trí đẹp xung quanh toàn Spa, Văn phòng công ty  -Chủ nhà trước cho thuê tháng 100 triệu, nay cho con đi học nên bán  - Thiết kế thang bộ ở giữa, thang máy và 2 Wc  LH ngay em Hùng: 094 665 8282 (Miễn trung gian-xem nhà 24/7)",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781964.4726295,, 20, 10, 6,
29 tỷ VNĐ,Chính chủ cần bán gấp nhà PLô Huỳnh Thúc Kháng Nguyễn Chí Thanh Nguyên Hồng Láng Hạ Đống Đa dt 80 m2 giá 29 tỷ, 565m2, 8,"Chính chủ cần bán gấp nhà PLô Huỳnh Thúc Kháng Nguyễn Chí Thanh Nguyên Hồng Láng Hạ Đống Đa dt 80 m2 giá 29 tỷ Bán nhà phân lô khu  VIP Nguyên Hồng Nam Thành Công, Nguyễn Chí Thanh, Huỳnh Thúc Kháng, phường Láng Hạ, Quận Đống Đa, nhà xây dựng  8 tầng 1 tum, nhà xây dựng lô góc 2 mặt tiền, ngõ trước nhà 2 ô tô tránh nhau, xe ô tô 7 chỗ vào nhà. Đất vuông vắn, dân trí cao , diện ích 80 m2,  Ngôi nhà thiết kế theo phong cách tân cổ điển.  có thang máy, nội thất xịn, thiết bị wc cao cấp, Tầng 1 thông sàn làm gara ô tô hoặc kinh doanh. Tầng 2,3 , 4 , 5 thông sàn khép kín làm phòng khách, phòng ngủ master hoặc VP cho thuê. Tầng 6 chia 2 phòng ngủ khép kín.  Tầng 7 bếp ăn và phòng khách. Tầng  8   phòng thờ, khu giặt và sân thoáng.Vị trí đắc địa tại trung tâm của Hà Nội, nằm sát trường ĐH NT Quân Đội, trường ĐH Luật, ĐH Ngoại giao, ĐH ngoại thương, trường tiểu học Nam Thành Công, Phan Huy Chú… gần Bệnh viện Nhi TW, bệnh viện phụ sản HN (trong bán kính 500m). Chủ nhà xây tâm huyết, sử dụng vật liệu cao cấp: gỗ lim, nhôm xingfa, thiết bị điện panasonic, thiết bị vệ sinh toto, đá tự nhiên, thang máy nhập khẩu…Sổ đỏ chính chủ, hỗ trợ vay mua nhà, Giá 24  tỷ hoặc giá hoàn thiện 29 Tỷ có thương lượng, MTG, môi giới Làm Phiền, LH chủ nhà anh Thụy, 0936359198 / 0961218968 quý khách sẽ được phục vụ tận tình được tư vấn từ A đến Z .",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781965.8107727, 6, 12,,, Đông nam
"12,9 tỷ VNĐ","Đường Kim Đồng, Trương Định, Hai Bà Trưng", 55m2, 6,"Bán Nhà Kim Đông -Ô tô- Thang máy- Lô Góc- Kinh doanh sầm uất- Ngõ thông phân lô- ở sướng- Kinh doanh  Kim Đồng 55mx6 tầng.Mặt tiền 4.3m Mô tả: + Thang máy xịn.+ Tầng 1 gara.+ Tầng 2 tầng lửng.+ Tầng 3+4+5 mỗi tầng 1 phòng khép kín.+ Tầng 6 bếp và sân thượng uyển + Gần bến xe Giáp Bát,Bến xe nước ngầm và các trung tâm thương mại Hoàng Mai. Vừa ở vừa kinh doanh quá đỉnh.Cho thuê cả nhà 40-50tr 1 tháng",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781967.2575948, 4, 8, 5, 5,
11 tỷ VNĐ,"Đường Doãn Kế Thiện, Mai Dịch, Cầu Giấy", 40m2, 7,"duy nhất một căn doãn kế thiện 7T thang máy kinh doanh ô tô vỉa hè rộng đường trước nhà 7m thuộc khu phân lô cán bộ hưu trí cực yên tĩnh cây xanh hai bên không khí cực thoáng đãng sạch đẹp. + Vị Trí : nhà có vị trí quá đẹp đường thông hè thoáng hai bên vỉa hè trồng nhiều cây xanh không khí hết sức trong lành, giao thông thuận tiện nối liền các tuyến phố : Phạm Hùng, Phạm Thận Duật, Phạm Văn Đồng, Mai Dịch,.... An ninh cực tốt, xung quanh nhà vô vàn tiện ích đi kèm , bệnh viện trường học bãi đỗ xe, chợ,... An sinh cực đỉnh + Thiết Kế Cơ Bản : 7T thang máy . T 1 Gara ô tô hoặc mặt bằng kinh doanh đa dạng. + Sổ Đỏ Phân lô ô tô vào nhà, pháp lý đầy đủ chính chủ sẵn sàng giao dịch + LH: Xuân Hưng 0775635555 0947323361 Để Gặp Trực Tiếp Chủ Nhà",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781968.3924646, 5, 7, 4, 4,
