price,address,Diện tích,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Hướng
"1,5 tỷ VNĐ","Phố Phan Văn Trường, Dịch Vọng Hậu, Cầu Giấy, Hà Nội", 33m2, 7, 1,"👉Diện tích: 33m2👉Tầng: 1👉Lợi thế: ô tô tránh, đỗ ngày đêm, Kinh doanh, cho thuê, gần chợ, gần trường học, công viên👉Giá bán: 1.5 tỷ - Nhà hiện đang cho thuê làm Văn phòng, sạch sẽ, tiện lợi, an sinh tốt, dân trí cao, cực kỳ phù hợp với gia đình vừa ở vừa kinh doanh.- Chủ nhà là Tiến sĩ - Giảng viên đại học, tri thức, thiện chí và dễ tính, sẵn sàng gia lộc khách mua nhiệt tình.- Vài bước chân ra phố Phan Văn Trường, chợ Nhà Xanh mua sắm sầm uất, cafe, nhà hàng, trường học, khu vui chơi,… quanh đó rất nhiều, phục vụ cuộc sống hàng ngày của gia đình.- Cạnh ĐH Ngoại Ngữ, Sư phạm, chuyên Toán-Tin, THPT Nguyễn Tất Thành, THCS Nghĩa Tân, mầm non,... khu vực trường học rất nhiều. - Sổ đỏ chính chủ giao dịch công chứng trong ngày.",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800718.2634068,,,,
"3,22 tỷ VNĐ",Đường Cao Lỗ phường Uy Nỗ, 70m2,,,"Đường trên 3m giá đầu tư cực ưu đãi tại xóm Thượng-Uy Nỗ
- CALL: 
- Diện tích: 70m2 mặt tiền 4,2m nở hậu ngõ thông + Tiện ích. Cách mặt phố cao lỗ chỉ 30m. Cách chợ tó 200m, Cách dự án 319 Đông Anh chỉ 200m. Bệnh viện đa khoa Đông Anh 500m, trung tâm hành chính huyện 700m. Khu vực víp không có lô thứ 2 giá vô cùng hợp lý. Khu vực đã phát triển tiện ích,giao thông thuận tiện Vị trí đất nằm tại trung tâm của huyện Giá bao rẻ 4xtr/m2 Liên hện trực tiếp em: ",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800719.6776242, 4,,,
"3,9 tỷ VNĐ",Đường Lê Trọng Tấn phường Quang Trung, 36m2, 5, 5,"
    Bán nhà Lê Trọng Tấn-Hà Đông nhà đẹp-ô tô vào nhà-hàng xóm PARK CITY-36M2X5T,mặt tiền 4m,3.9 tỷ.+ Vị trí quá đẹp ngõ nông gần mặt đường Lê Trọng Tấn đối diện ParkCity Hà Nội, ngay khu đất dịch vụ Giếng Sen, Bờ Hội, Ngô Đình Mẫn La Khê. Vài bước chân ra hồ La Khê, bể bơi, nhà văn hoá La Khê , xung quanh khu phân lô đã đồng bộ hạ tầng, tiện ích Khu đô thị.+ Nhà siêu đẹp,  ô tô vào nhà,  có bãi để ô tô đỗ ngày đêm cách 30m, chỉ vài bước chân ra mặt phố.+ Diện tích  36m2 x 5 tầng , mặt tiền 4m , thiết kế trẻ , hiện đại , khung cột bê tông chắc chắn + Sổ đỏ chính chủ, vuông vắn, pháp lý rõ ràng giao dịch ngay.- Mong muốn 3.9 tỷ (có thương lượng).- Liên hệ gặp chủ: 0343096686 ( Em Dịu )",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800721.6353855, 4, 3, 4,
"4,5 tỷ VNĐ",Đường Cầu Giấy phường Dịch Vọng, 40m2, 4, 4,"
    
Bán nhà đẹp 40m2 4tầng nhỉnh 4tỷ ngõ rộng 2 thoáng gần ôtô phố Cầu Giấy

NGÕ TRƯỚC NHÀ RỘNG THOÁNG TRƯỚC SAU - 4 NGỦ ĐẦY ĐỦ CÔNG NĂNG

- Ngõ trước nhà rộng thoáng, xe ba gác đỗ trước cửa.
- Nhà dân xây KCBT chắc chắn 4 tầng 4ngủ đẹp như mới về ở luôn. Thoáng trước sau phòng nào cũng mở cửa sổ thoáng.
+ Tầng 1 phòng khách, bếp và vệ sinh.
+ Tầng 2-3 mỗi tầng 2 phòng ngủ vệ sinh cầu thang giữa nhà.
+ Tầng 4 phòng thờ sân phơi.
- Sổ đỏ đẹp 36m2 vuông vắn giá chào 4.5tỷ sẵn sàng giao dịch.
Chú ý: 
1. LH: A. Hoàng Anh 0934266313 (xem nhà miễn phí)
2. Link kho nhà đẹp: https://www.facebook.com/356939308270722
3. Hỗ trợ tài chính cho vay mua nhà đến 80% giá trị căn nhà, lãi suất thấp nhất thị trường.
4. ACE Môi giới kết hợp làm việc tại: https://www.facebook.com/108917115160629",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800723.0107062, 4, 4, 3,
"1,45 tỷ VNĐ",Đường Đình Trung phường Xuân Nộn, 52m2,,,"* Chi tiết:- Bán kính 1km đổ lại đầy đủ tiện ích trường học, chợ Kim ,UBND,trạm y tế,nhà máy và KCN,bệnh viện BTL......- Dân cư văn minh phát triển,đông đúc
",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800724.3231978, 5,,,
"1,186 tỷ VNĐ","Chính chủ bán đất vị trí đẹp tại thôn Phượng Đồng, xã Phụng Châu, Chương Mỹ, 1,186tỷ; 0346239452", 120m2,,,"Chính chủ bán đất vị trí đẹp tại thôn Phượng Đồng, xã Phụng Châu, Chương Mỹ, 1,186tỷ; 0346239452 - Diện tích trên giấy tờ: 48m2, DTSD thực tế: Khoảng 120m2 (4x12m) 80m lưu không được sử dụng. Giấy tờ chính chủ. - Khu an ninh tốt, giao thông thuận tiện, dân trí cao - Gần trường, gần chợ, gần các tiện ích xung quanh- Ngõ ô-tô đỗ cửa, cách trường Đại học TDTT 200m. - Tiềm năng lớn: Đất có thể tăng giá theo tình hình chung của khu vực, đảm bảo sinh lời cao - Giá: 1,186 tỷ/ tổng- Liên hệ: 0346239452 (chị Hằng - sau 10h sáng).- Hoặc: 0903285264       http://www.sanbatdongsanviet.com.vn",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800725.5259798,,,,
51 tỷ VNĐ,Đường Trần Khánh Dư phường Hàng Bài, 200m2, 22, 1," Thích hợp xây tòa nhà Văn phòng 8 tầng thang máy, cho thuê làm Văn phòng hoặc cho thuê kinh doanh, doanh thu khủng, xây Biệt thự Phố cổ sống đẳng cấp. ",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800727.3471053, 7, 1, 2,
10 tỷ VNĐ,Nguyễn Lân, 48m2,, 5,"Siêu Phẩm! Phố Nguyễn Lân, Lô Góc 3 Mặt ngõ ô tô tránh, 50m2, 5 Tầng, KINH DOANH bất chấp, Nhỉnh 10 Tỷ.+ Trung tâm Phố Nguyễn Lân - Thanh Xuân, tiện ích vây quanh.+ Vị trí nhà đẹp, Ô tô chạy vòng quanh nhà, 20m ra mặt Phố Nguyễn Lân, cách mặt Phố Trường Chinh 60m. Kinh doanh đỉnh cao.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.LH: Em Hoan, 0925088355, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800728.671563, 12,,,
"1,45 tỷ VNĐ",Đường Đình Trung phường Xuân Nộn, 52m2,,,"* Chi tiết:- Bán kính 1km đổ lại đầy đủ tiện ích trường học, chợ Kim ,UBND,trạm y tế,nhà máy và KCN,bệnh viện BTL......- Dân cư văn minh phát triển,đông đúc
",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800730.260313, 5,,,
"6,98 tỷ VNĐ","Cầu Giấy, Hà Nội", 52m2,,,"- Nhà nằm ngay TT quận Cầu Giấy, nơi giao cắt các tuyếnđường lớn của Hà Nội: Cầu Giấy, Láng, Kim Mã, Vành Đai 2 - Xung quanh tập trung các trường đại học: GTVT, Ngoại Thương, Ngoại Giao, Báo Chí, ĐHQG - Công viên, các TTTM trong bán kính 2km - Nhà cách đường ô tô chạy 10m, ngõ thông kinh doanh nhỏ - Hiện chủ đang cho thuê nhè nhẹ 20tr/tháng - Nhà chủ tự xây chắc chắn, nhiều phòng - Sổ vuông trước sau như một, pháp lý sạch công chứng trong ngày  LH qua Fb/Zalo/Gọi điện: 0914427333 Mr. Định chuyên nhà thổ cư Cầu Giấy  Tư vấn miễn phí - Không mất chi phí - Mua nhà NHƯ Ý  TRÂN TRỌNG ! ",19/09/2022,Tin thường,batdongsan_so_com_vn_1673800731.7822409,,,,
