price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"7,8 tỷ VNĐ",Hồ Tùng Mậu Cầu Giấy Hà Nội, 40m2, 4, 6,"- Diện tích 40m2 X6 Tầng Mặt tiền 4.4m Giá 7.8 Tỷ ( có thương lượng )- Vị trí nhà nằm ngõ 39 Hồ Tùng Mậu cách mặt phố 60m tiện ích xung quanh đầy đủ không thiếu thứ gì! - Chủ xây mới cực tâm huyết, 6 tầng thang máy, thiết kế hiện đại tỉ mỉ từng chi tiết!* THIẾT KẾ : + Tầng 1: Phòng khách!+ Tầng 2, 3, 4: Mỗi tầng 1 phòng!+ Tầng 5: Bếp, Phòng ăn!+ Tầng 6: Phòng thờ + Sân Phơi.  Giao thông thuận tiện các quận Cầu Giấy , Ba Đình , Nam Bắc Từ Liêm , Phạm Hùng , Hồ Tùng Mậu, Phạm Văn Đồng! - Sổ đỏ vuông đẹp pháp lý chuẩn!Liên hệ em Quân để được tư vấn và xem nhà miễn phí!0385 94 1802Miễn ( TG Quảng Cáo )",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781910.6957638,,,,
69 tỷ VNĐ,"Đường Hàng Hành, Hàng Trống, Hoàn Kiếm", 43m2, 4, 10,"
    💥 Bán Khách Sạn Mặt phố cổ Hàng Hành, Hoàn Kiếm, 43m2 10T Thang Máy, Chỉ 69 Tỷ 💥⭕️ LH NGAY 0982833366 ---------------------------- BÁN KHÁCH SẠN - NHÀ MẶT PHỐ CỔ HÀNG HÀNH, HOÀN KIẾM - VEW HỒ HOÀN KIẾMMẶT PHỐ CỔ - TÒA NHÀ APARTMENT 10 TẦNG - THANG MÁY HIỆN ĐẠI.+ Vị trí nhà cực đẹp, gần ngay Hồ Gươm, Phố Đi Bộ, dân cư đông đúc, nhiều du khách nhất là khách nước ngoài ghé thăm.+ Phố Hàng Hành là một trong những tuyến phố nổi tiếng của Thủ đô, gần Quảng trường Đông Kinh Nghĩa Thục, đền Ngọc Sơn, Tháp Rùa, thông với Lương Văn Can, Bảo Khánh, Lý Thái Tổ, đi lại cực thuận tiện, ra sân bay Nội Bài 40 phút.+ Tòa nhà Apartment thiết kế 10 tầng, mỗi tầng 1 căn hộ rộng.+ Nhà được thiết kế hiện đại, đầy đủ công năng sử dụng, có thể vừa ở kết hợp cho du khách thuê cực đỉnh.+ Sổ đỏ chính chủ đẹp, sẵn sàng giao dịch.---------------------------- 🚀 GIÁ BÁN CHỈ: 69 TỶ (ẢNH THẬT-THÔNG TIN THẬT-NHÀ THẬT-GIÁ THẬT)---------------------------- ☎️ LH: PHƯƠNG_NHÀ_PHỐ  0982833366  ZALO 0902223785 (Chuyên Tòa văn phòng, Dự Án, Khách Sạn, Building Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%...
",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781912.070081, 30, 10, 11,
14 tỷ VNĐ,"Đường Cầu Giấy, Trung Hòa, Cầu Giấy", 75m2, 7, 7,"
    Cực Hiếm, Có 1 0 2 Cần Bán CCMN Cầu giấy 75m 7T 2 thoáng Ô tô cạnh nhà chỉ 14 tỷ
+ Cần bán Căn hộ cao cấp - Dòng tiền, Đang cho thuê kín phòng đẩy đủ tiện nghi.
+ Vị trí Siêu đẹp: Rất đông Sinh viên, nhu cầu thuê rất cao.
+Gần trường Các Đại Học Báo chí Tuyên truyền, ĐH Sư phạm, ĐH Quốc gia... gần chợ, gần đường lớn Cầu giấy, Nguyễn Khang, Quan Hoa, Nguyễn Văn Huyên.
+ Địa điểm Hot : Trung tâm phát tiển, tiện ích ngập tràn, Các trường đại học lớn xung quanh.
+ Sổ CC sang tên nhanh gọn.
+ Giá:  Có thương lượng ).
Liên hệ: Đức Nhà Đẹp . Rất nhiều nhà đẹp phù hợp mọi nhu cầu anh chị em nhé.
",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781912.9695823, 3, 15, 15,
62 tỷ VNĐ,"Đường Hàng Bồ, Hàng Bồ, Hoàn Kiếm", 90m2, 4, 8,"
    💥 Bán Khách Sạn Mặt phố cổ Hàng Bồ, Hoàn Kiếm, 90m2 8T Thang Máy, Chỉ 62 Tỷ 💥⭕️ LH NGAY 0982833366 ---------------------------- BÁN KHÁCH SẠN - NHÀ MẶT PHỐ CỔ HÀNG BỒ, HOÀN KIẾM - BA BƯỚC RA HỒ HOÀN KIẾMKHÁCH SẠN 8 TẦNG THÂNG MÁY - ĐẲNG CẤP 5 SAO - SANG TRỌNG - LỪNG LỮNG GIỮA TRUNG TÂM PHỐ CỔ+ Toạ lạc tại giữa trung tâm Phố Cổ, khách sạn có vị trí vô cùng đắc địa. Giao thông thuận lợi, là sự lựa chọn hàng đầu của khách du lịch khắp nơi.+ Khách sạn lừng lững 8 tầng, thang máy xịn xò, 16 phòng nội thất nhập khẩu theo phong cách LUXURY.+ Doanh thu ổn định hàng tháng khoảng 200-250 triệu+ Chủ là đại gia có tiếng ở Hà Thành, có nhiều tài sản, nay muốn bán bớt để chuyển mục đích kinh doanh. + Sổ đỏ vuông vắn, cất két, sẵn sàng giao dịch trong 1 nốt nhạc---------------------------- 🚀 GIÁ BÁN CHỈ: 62 TỶ (ẢNH THẬT-THÔNG TIN THẬT-NHÀ THẬT-GIÁ THẬT)---------------------------- ☎️ LH: PHƯƠNG_NHÀ_PHỐ  0982833366  ZALO 0902223785 (Chuyên Tòa văn phòng, Dự Án, Khách Sạn, Building Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%...
",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781913.9477818, 30, 17, 17,
"2,95 tỷ VNĐ","Đường Vạn Phúc, Vạn Phúc, Hà Đông", 44m2, 4, 5," + Bán nhà Vạn Phúc Hà Đông, nằm ngay ngã tư Vạn Phúc - Tố Hữu. + Giao thông cực kỳ thuận tiện, khu vực tiện ích an sinh đầy đủ. + Gần hồ, TTTM, trường học, chợ... + Nhà dân xây, thiết kế 5 tầng đầy đủ công năng cho gia đình ở. + Chủ ở có lộc muốn bán lên mặt phố giá rẻ nhất khu vực + Sổ đỏ chính chủ, giá chốt linh động.Liên hệ e Huy 0977866262 để được tư vấn và xem nhà ngay",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781915.0770535, 3, 5, 4,
"5,2 tỷ VNĐ","Đường Chính Kinh, Hạ Đình, Thanh Xuân", 42m2, 5, 5,"+Chính chủ cần bán nhà, phố chính kinh là tuyến phố sầm uất nhất, Quận Thanh Xuân, 42 m2x5 tầng giá bán 5,2 tỷ. + Nhà ngõ trước nhà rộng thoáng, sáng, sau nhà có khe thoáng.  + Chủ tự xây tâm huyết lên thêm tầng thoải mái, thêm thùng sơn đẹp lung linh. + Nhà có sân để xe lên rất tiện có thể kinh doanh tốt. + Nhà có 6 phòng ngủ đủ công năng sử dụng, lên có thể kết hợp vừa ở vừa cho thuê tháng thêm thu nhập trên 10 triệu.  + Nếu đầu tư lên thêm tầng 2 phòng nữa cho thuê cả nhà tháng 20 - 25 triệu. + Khu dân trí cao, gần rất nhiều các trường đại học, bệnh viện đại học y.  + Pháp Lý: sổ đỏ chính chủ sẵn sàng giao dịch. LH:Hoàng Bắc, chuyên nhà đất Hà Nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781916.1868258, 6, 4,,
9 tỷ VNĐ,"Phố Thái Hà, Trung Liệt, Đống Đa, Hà Nội", 50m2, 4, 6,"-    Chủ nhà là anh Tuấn, kỹ sư tin học FPT vui tính, xởi lởi. Bán nhà để về Cầu Giấy công tác. -    Nhà 50m2, vị trí nhà đẹp.  Nhà thuộc khu vực trục lõi đường Chùa Bộc – Thái Hà – Yên Lãng – Hoàng Hoa Thám –-     Láng Hạ, khu vực dân trí cao, ô tô đỗ trước cửa. Tiện ích đầy đủ, gần Điện - Đường - Trường - Trạm. Giá: 9 Tỷ - có thương lượng – Sổ đỏ chính chủ.-     Cam kết: Không thu thêm bất kỳ loại phí nào!Liên hệ: - Hiếu chuyên thổ Đống Đa : 0986.208.738!!!",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781920.726094,, 10, 6,
"13,9 tỷ VNĐ",Quan Nhân Thanh Xuân Hà Nội, 71m2, 6, 3,"- Diện tích 71m2 X3 Tầng, Mặt tiền 6mGiá bán 13.9 tỷ ( có thương lượng )- Toạ lạc tại vị trí đắc địa, đoạn đẹp nhất Quan Nhân, kinh doanh  tấp nập ngày đêm!- Lợi thế 3 mặt thoáng vĩnh viễn, mặt tiền siêu đẹp nên các phòng đều rất thoáng và sáng. - Thiết kế 3 tầng hợp lý vừa ở vừa kinh doanh đa dạng các loại hình dịch vụ.- Khách mua về đập đi xây tòa nhà văn phòng vừa ở vừa cho thuê kinh doanh rất đông khách! - Giao thông kết nối : Vũ Trọng Phụng, Giáp Nhất, Láng, Cự Lộc! - Sổ đỏ nở hậu cực đẹp, sẵn sàng giao dịch.Liên hệ em Quân để được tư vấn và xem nhà 0385 94 1802!Miễn ( TG Quảng Cáo )",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781922.0239863,, 4, 4,
"3,6 tỷ VNĐ",Dương Văn Bé - Hà Nội, 42m2,,,"+ Gia đình bán nhà phố Vĩnh Tuy, vị trí đắc địa, trước nhà ô tô 7 chỗ dừng đỗ thoải mái, tiện ích đầy đủ.  Nhà chủ xây kiên cố, sẵn 5 tầng vững trãi phòng riêng đẹp đầy đủ công năng, chủ mới chỉ việc xách vali về đón tết.  + Nhà có vị trí đẹp, gần trường Đại học Kinh doanh Công nghệ, nằm trong khu nhà liền kề Vĩnh Tuy, bãi gửi xe lớn. Đường trước nhà rất rộng, ô tô 7 chỗ dừng đỗ quay đầu thoải mái. Khu vực tập trung nhiều tiện ích, 3 phút di chuyển sang Times City, 10 phút sang các trường Đại học Kinh tế, Bách khoa.  + Nhà có thông số đẹp: Diện tích xây dựng 40m2, gia chủ tự xây khung móng riêng bê tông cốt thép chắc chắn, thiết kế hiện đại mỗi tầng 1 phòng rộng, vệ sinh từng tầng, nội thất dùng toàn đồ tốt. Công năng phù hợp cho một gia đình nhà phố. Chủ đã cọc tiền mua biệt thự nên cần thanh khoản gấp giá chỉ 3.6 tỷ có gia lộc cho khách hữu duyên. Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Lưu ý:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu.- Không kênh giá chủ nhà.- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý.  ",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781923.0185492,,,,
62 triệu VNĐ,"Đường Ngọc Chi, Vĩnh Ngọc, Đông Anh", 61m2, 4,,"Bán đất xã Vĩnh Ngọc Đông Anh năm 2023Chính chủ gửi bán lô đất đẹp tại xã Vĩnh Ngọc Đông Anh Diện tích 61.5m2Mặt tiền : 4mChiều dài : 15,3mvị trí đất tại Vĩnh Thanh Vĩnh Ngọc Đông AnhĐường rộng 5m, xung quanh dân cư đông đúc, hạ tầng đồng bộ, gần cầu Nhật Tân, gần công viên Kim Quy. thuận tiện đi lạiGiá bán 62tr/m2Liên hệ em Linh 0919841234 để xem đất thực tế và làm việc chính chủ",27/12/2022,Tin thường,batdongsan_so_com_vn_1673781924.1977034,,,,
