price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet
"8,2 tỷ VNĐ","Văn Quán, Hà Đông", 59m2, 5, 5,"+ Bán nhà Đường 19/5-Hà Đông,  OTO VÀO TẬN NHÀ, 59m2 x 5T, chỉ hơn 8 tỷ... + Vị trí: Bán nhà Đường 19/05, Gần Trần Phú Hà đông  cách đường Nguyễn Khuyến 300m, Cách chiến thắng 250m, Phố đông cư dân. Oto vào nhà. Thuận tiện di chuyển sang Phố Thanh Bình, Phùng Hưng, Trần Phú, Quang Trung…. + Tiện ích: Nhà sát ngay TTTM Hồ Gươm Plaza,Big C Hà Đông, gần trường học các cấp an sinh tốt...., Thuận tiện bắt xe buýt, Tàu điện trên cao tuyến Yên Nghĩa - Cát Linh. + Thiết kế: Nhà mới xây 5 tầng, hiện đại, nội thất sang trọng, thiết bị vệ sinh cao cấp. + Pháp Lý: Sổ đỏ sẵn sàng giao dịch. -------------------------------------- Ngôi nhà mới của bạn là HẠNH PHÚC của tôi. Thuận nhà đất - Tư vấn BDS miễn phí, tận tâm. ĐT: 0986.581.285.",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797485.141255,,,
"4,1 tỷ VNĐ",Đường Xuân Đỉnh phường Xuân Đỉnh, 46m2, 4, 5,"
    TÌM ĐÂU RA CĂN THỨ HAI ẠBán nhà Xuân Đỉnh nhỉnh 4 tỷ, 2 thoáng , DT 46m 5 TầngNHÀ ĐẸP Ở NGAY - SỔ NỞ HẬU - 2 THOÁNG TRƯỚC SAU - 5M RA Ô TÔ - NGÕ THÔNG+ Xung quanh hàng xóm toàn người làm công chức, ý thức cao, tôn trọng người khác.+ Vị trí gần công viên Hòa Bình, Khu Ngoại Giao Đoàn, Đại sứ quán Hàn Quốc, hàng xóm Tây Hồ, di chuyển thuận tiện các hướng, 5M ra Ô TÔ+ Tiện ích xung quanh không thể đầy đủ hơn: Trường các cấp, bãi đỗ ô tô, khu vui chơi, giải trí+ Nhà xây KCBT thiết kế 5 tầng, tất cả các phòng ngủ đều có ban công, cửa sổ, 2 mặt thoáng, thiết kế:+Chủ tặng full nội thất cho khách yêu chỉ việc xách vali tới ở+ Cam kết pháp lý chuẩn, sẵn sàng giao dịch.Liên hệ :Em Nam 0988534280Miễn phí xem nhà – Nhiệt tình tận tâm - Hỗ trợ 24/24.",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797486.3311005, 2, 4, 2
65 tỷ VNĐ,Đường Trần Đại Nghĩa phường Đồng Tâm, 128m2, 8, 3,"MẢNH ĐẤTCÓ 102  DÀNH CHO GIỚI TINH HOA ĐẤT HÀ THÀNH .- Vị trí: Nhà nằm mặt  ngõ to rộng như phố . Xe ô tô tránh, khu vực dân cư đông đúc kinh doanh mặt hàng gì cũng hái ra tiền- Diện tích: 128m2 - 3 tầng - mặt tiền 8m = 175 tr/m2- Khu vực trung tâm Quận Hai Bà Trưng, hiếm nhà bán, nhà rộng ,tầm tiền, - Tiện ích: Khu vực trung tâm, tiện ích phong phú, buôn bán sầm uất, gần nhiều trường đại học nổi tiếng. Cách trường Đại học Bách Khoa 5 phút đi bộ, gần công viên Thống Nhất, Bờ Hồ... - Giá bán:12 tỷ ( Giá sẽ có gia lộc cho khách hàng thiện chí!! )- Nếu quan tâm, hãy liên hệ ngay để Mr Tung 0978683258 được tư vấn cho AC chi tiết hơn.",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797487.5990546, 9, 4, 4
,Đường Trường Sa phường Đông Hội, 77m2,,,"  Lưu ý"",serif;="""" color:="""" black;="""" mso-fareast-font-family:="""" ""times="""" new="""" roman"";="""" mso-bidi-font-family:="""" mso-ansi-language:="""" vi'="""" :="""" khách="""" hàng="""" liên="""" hệ="""" trỰc="""" tiẾp="""" cdt="""" để="""" nhận="""" được="""" báo="""" giá="""" và="""" các="""" chính="""" sách="""" ưu="""" đãi="""" tốt="""" nhất="""" span="""" p="""" class=""MsoListParagraphCxSpLastSPAN"" vi'hotline="""" 096.476.9190="""" em="""" sơn="""" spanspanroboto="""" roman""'="""">+ Bàn giao nội thất hoàn thiện: Trần thạch cao, sàn gỗ nhập khẩu, full thiết bị vệ sinh, thiết bị bếp thương hiệu châu Âu (Maloca.. ) - bếp từ - hút mùi, cửa sổ - cửa ban công Eurowindow cách âm cách nhiệt, cửa gỗ các phòng.+ Nhận nhà ở ngay không phải chờ đợi.---------------* Chính sách hỗ trợ siêu hấp dẫn với khách hàng:- Hỗ trợ lên tới 65% giá trị căn hộ, lãi suất 0% và ân hạn nợ gốc trong 18 tháng.- Chiết khấu tới 15%.- Tặng voucher nghỉ dưỡng.* Tiện ích nội ngoại khu đa dạng.+ 3 mặt view hướng sông Hồng, sông Đuống tạo nên cảnh quan hữu tình. Gia chủ có thể sáng đón bình minh, chiều ngắm hoàng hôn bên sông vô cùng lãng mạn.+ 3 tầng hầm liên thông giải tỏa nỗi lo thiếu chỗ để xe.+ 1.700m²mặt bằng trung tâm thương mại, đáp ứng nhu cầu mua sắm của cư dân.+ 2 vườn dạo bộ trên cao và 01 bể bơi.+ 15 phút di chuyển tới phố cổ, sân bay Nội Bài.",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797489.047789, 21, 3, 2
840 triệu VNĐ,hai bà trưng hà nội, 80m2, 5,,"💰Ưu đãi cực hấp dẫn trả trước chỉ từ 148 triệu/ 20%.❄️Nhận ưu đãi 3% khi khách hàng ký giao dịch đầu tiên.❄️Nhận ngay ưu đãi lên tới 6% khi mua từ 2 sản phẩm.❄️Hạ tầng đồng bộ- mốc giới rõ ràng.❄️Đường nội khu trải nhựa 6m.🌟Hỗ trợ các khách hàng chưa có đủ tài chính: trả góp 0% lãi suất, vào tiền theo 6 đợt💫Vị trí nằm gần quốc lộ 5, cạnh nút giao cao tốc Hà Nội - Hải Phòng. 💫Cạnh quy hoạch khu đô thị rộng hơn 300 héc ta.💫Nằm sát quy hoạch đường: Tân Phúc- Võng phan lưu thông qua các khu công nghiệp.💫Cách trường học cấp 1, 2, trạm y tế, UB trong phạm 500m.💫Khoảng hơn 1km ra đến chợ, trung tâm mua bán sầm uất.💫Nằm trong vùng quy hoạch hàng nghìn héc ta khu công nghiệp  Bắc Sơn, Bãi Sậy, Tân Phúc, Hoàng Hoa Thám, Quang Vinh, Văn Nhuệ.⚡️Pháp lý minh bạch- sổ hồng từng lô.💎Thanh toán linh hoạt làm 6 lần:",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797490.7845209, 6,,
,Đường Cổ Điển A phường Tứ Hiệp, 127m2,,,""",serif;="""" background:="""" white;="""" color:="""" black;="""" line-height:="""" 107%;="""" mso-ansi-language:="""" vi'="""" span="""" p="""" class=""MsoListParagraphCxSpMiddleSPANRoboto"" 107%'*="""" quý="""" khách="""" nên="""" liên="""" hệ="""" trực="""" tiếp="""" với="""" pkd="""" chủ="""" Đầu="""" tư="""" tecco="""" để="""" nhận="""" chiết="""" khấu="""" cao="""" và="""" bảng="""" giá="""" gốc="""" sớm="""" nhất.="""">-: "",serif;="""" background:="""" white;="""" color:="""" black;="""" line-height:="""" 107%;="""" mso-ansi-language:="""" vi'0964769190="""" em="""" sơn="""" spanspanroboto="""" 107%'brspan*="""" giá="""" chỉ="""" từ="""" 2,="""" span="""" spanspan="""" vi'="""">2x tỷ căn 127m2. Có hỗ trợ vay 0% cùng nhiều Ưu đãi bên dưới:+ Dự án pháp lý đầy đủ, đã có sổ hồng.+ Không áp lực tài chính - Gói hỗ trợ LS 0% cho 60% GTCH.+ Tiện ích: Hạ tầng đường sá, cây xanh đồng bộ, quy hoạch hồ điều hoà, tiện ích nội khu đầy đủ.+ Xung quanh đầy đủ trường học, siêu thị, chợ, nhà thuốc, spa, các trung tâm thương mại, khu mua sắm...* Hotline Đại diện Chủ đầu tư0964769190 Em Sơn
",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797492.4614444, 26, 4, 3
18 tỷ VNĐ,Đường Ngọc Hà phường Đội Cấn, 75m2, 5, 4,"NGỌC HÀ – ĐỘI CẤN - BA ĐÌNH – MẶT PHỐ VỈA HÈ 2 BÊN – KINH DOANH SẦM UẤT. - Hoàng Hưng 0916.113.179 - Bán Nhà Bằng Sự Tử Tế.  + Vị trí Đắc địa, khu VIP Ba Đình, vài bước chân ra Lăng Bác, dân cư qua lại Sầm Uất, đường thông các ngả: Lê Hồng Phong, Hoàng Hoa Thám, Sơn Tây… + Nhà Đẹp, vỉa hè 2 bên, đường Ô TÔ Tránh, đoạn ĐẸP NHẤT PHỐ, KINH DOANH SẦM UẤT: Nhà hàng, Hiệu thuốc, Phòng Khám, Văn Phòng… + Nhà BTCT chắc chắn, đầy đủ công năng: Tầng 1 thông sàn KINH DOANH, tổng 04 Phòng ngủ, Phòng Khách, Bếp, Sân phơi…phù hợp: Ở KẾT HỢP KINH DOANH. + Khu vực dân trí cao, an ninh tốt. + Sổ đỏ chính chủ, sẵn sàng giao dịch. + Giá bán: 18 tỷ ( Có thương lượng ). Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí. - Hoàng Hưng 0916.113.179 - Bán Nhà Bằng Sự Tử Tế.  - Chuyên Nhà đất Ba Đình, Hoàn Kiếm, Tây Hồ. - Miễn trung gian, quảng cáo.",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797493.826446, 15, 4, 4
"3,85 tỷ VNĐ",Đường Hoàng Như Tiếp phường Bồ Đề, 42m2, 5, 5,"BÁN NHÀ HOÀNG NHƯ TIẾP - LONG BIÊN - DT 42 M2 X 5T - GIÁ 3,85 TỶ - NHÀ DÂN XÂY CÓ SÂN RỘNG Mô tả: Nhà dân xây được 9 năm, cực kỳ chắc chắn và vẫn đẹp như mới. Thiện chí tặng lại toàn bộ nội thất. Diện tích 42 m2 - Được thiết kế 5 tầng với 3 phòng ngủ. Tầng 1: Phòng khách + Bếp Tầng 2, 3, 4: Mỗi tầng 1 phòng ngủ rất rộng + WC Tầng 5: Phòng thờ + Phòng giặt đồ + Sân phơi Trước nhà sân rộng để xe thoải mái. Đường vào nhà rộng 2m. Rất thuận tiện đi lại, sinh hoạt. Từ nhà ra mặt phố HOÀNG NHƯ TIẾP chỉ 30m. Lên cầu CHƯƠNG DƯƠNG chỉ 500 m.  Xung quanh nhà tiện ích có: Trường tiểu học, Trung học cơ sở NGỌC LÂM. Đi 500m tới bệnh viện đa khoa TÂM ANH. Ra trường Quốc tế Wellspring LONG BIÊN chỉ 300m. Sổ đỏ chính chủ (Miễn TG-MG) LH: Em Đạo 0975892929 (Em tự hào vì đã giúp đỡ được hơn 300 khách hàng tìm được căn nhà trong mơ)",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797495.5512512, 2, 3, 4
15 tỷ VNĐ,Đường Cầu Giấy phường Quan Hoa, 50m2, 5, 9,0909160786,03/10/2022,Tin thường,batdongsan_so_com_vn_1673797497.024014, 8, 8, 9
16 tỷ VNĐ,Đường Xuân Thủy phường Dịch Vọng Hậu, 82m2, 9, 8,"
    
Tòa CCMN ngõ 85 Xuân Thủy, Cầu Giấy. DT 82m2 x 8T. MT 9m. Giá 16 tỷ.
8 TẦNG THANG MÁY - Ô TÔ CÁCH 10M - DÒNG TIỀN 120TR TRIỆU - TRUNG TÂM CẦU GIẤY - CHÉM KHÔNG HẾT KHÁCH

Mô tả: Nhà đang trong quá trình hoàn thiện

+ Khu trung tâm nhiều trường Đại học lớn như: Đại học Quốc Gia, Sư Phạm, Thương Mại, Báo chí Tuyên truyền... Khu vực hiếm nhà bán. 

+ Nhà 3 thoáng mặt tiền 9m. Phòng nào cũng có gác xép, cửa sổ. Xây mới tinh, chắc chắn từ nền móng.

+ Cách mặt phố Xuân Thủy 50m, cách đường ô tô 10.

Thiết kế:
+ Tổng 8 tầng 1 tum thang máy, dạng căn hộ dịch vụ. 
+ Tầng 1 để xe máy, từ tầng 2-8 mỗi tầng 4 căn hộ khép kín.

+ Tầng tum là 2 phòng và sân phơi. 

- Chủ nhà đã kí hợp đồng thầu trọn gói 120 triệu 5 năm. Tự vận hành dòng tiền 180tr.

- Sổ đỏ sẵn sàng giao dịch. 

LH: Thùy Anh (không chín tám ba sáu bốn ba ba bốn bốn)
Cam kết hình thật. Tư vấn tận tâm. Miễn phí xem nhà.
",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797498.1329901, 3, 30, 30
