price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Hướng,Số toilet
4 tỷ VNĐ,KHƯƠNG ĐÌNH, 36m2, 5, 5,"Vị trí: Nằm trong ngõ đẹp của Khương Đình,Ô tô tránh, thông sang phố Khương Hạ hoặc ra Cầu Khương Đình,  khu dân cư sầm uất, buôn bán kinh doanh ngày đêm tấp nập. Nhà xây khung cột chắc chắn, thiết kế thông sàn hiện đại, cả nhà thoáng sáng. Gần chợ, trường học, khu vui chơi giải trí. Giá 4 tỷ ( có thương lượng). Sổ đỏ chính chủ, vuông vắn. Liên hệ ngay em Thảo chuyên thổ cư Hà Nội.",07/04/2022,Tin thường,batdongsan_so_com_vn_1673828288.4095662,,,,
"3,5 tỷ VNĐ",GIANG BIÊN, 47m2, 4, 4,"Bán nhà 4T Giang Biên, nhà đẹp dân xây, ô tô đỗ cổng,gần nhiều tiện ích, giá rẻ. Ngõ Giang Biên thông ra đường 20m ven đê đang thi công, ngõ thông khắp nơi, khu vực Giang Biên phân lô chia ô bàn cờ rất đẹp ngõ nào ô tô cũng vào nhà. Nhà đẹp dân xây 4 tầng thiết kế mỗi tầng 2 phòng ngủ, tổng 4 phòng ngủ. + Tầng 1 : Phòng khách + Bếp + wc. + Tầng 2 + 3 : 4 Phòng ngủ. + Tầng 4 : Phòng thờ + sân phơi. Ngõ trước nhà nông , ô tô đỗ cổng, 15m ra ô tô thông các ngõ. Tiện ích gần chợ, trường học các cấp, gần khu ĐT Việt Hưng, Vinhomes. + Sổ đỏ , pháp lý rõ ràng. + Liên hệ: A Quân ; 0987353408 để được tv và xem nhà miễn phí.",07/04/2022,Tin thường,batdongsan_so_com_vn_1673828289.583425, 3, 3,,
,"Chính chủ bán lô đất tại Phù Linh, Sóc Sơn, 0395226789", 260m2,,,"Chính chủ bán lô đất tại Phù Linh, Sóc Sơn, 0395226789  - Địa chỉ : Vệ Linh, Phù Linh, Sóc Sơn , HN - Diện tích: 260m2 ( mặt tiền 10m, hậu 10m )- Vị trí tiềm năng, hướng Đông tứ trạch- Có thể chia 3 lô đẹp, gần nút giao đường Võ Nguyên Giáp kéo dài sắp thi công- Đủ mọi tiện ích ( gần trung tâm, gần chợ, gần mầm non, cấp 1,2... gần trục chính vào khu nghỉ dưỡng, Sân golf, khu di tích đền Gióng...)- Giao thông thuận lợi đi lại dễ dàng.- Vị trí trung tâm mật độ dân cư cao, thuận lợi cho nhu cầu xây dựng định cư lâu dài.- Pháp lý đầy đủ, thủ tục sang tên nhanh chóng, sổ đỏ chính chủ, không tranh chấp, không vướng quy hoạch giải toả!- Phù hợp với nhu cầu đầu cơ, tích trữ.- Tiềm năng lớn: đất luôn tăng giá theo tình hình hiện tại chung của BĐS của khu vực, bảo đảm sinh lời. - MỌI NHU CẦU VUI LÒNG XIN LIÊN HỆ: 0395226789       http://www.sanbatdongsanviet.com.vn",07/04/2022,Tin thường,batdongsan_so_com_vn_1673828290.6595476,,,,
"15,7 tỷ VNĐ",Hà Nội, 74m2,,,"Bán nhà phố Thái Thịnh Đống Đa - LH: 0856 968 656.Diện tích 74 m2, 7 tầng thang máy, mặt tiền 5.6 m. + Vị trí cực đẹp, ngõ cực rộng ô tô tránh. + Thông tứ tung sang Thái Hà, Yên Lãng, Láng Hạ, Huỳnh Thúc Kháng, Nguyên Hồng...  + Quá thích hợp cho việc kinh doanh nhà hàng cao cấp, café, spa cũng như mở văn phòng… + Nhà mình là hàng cực hiếm trong khu vực Đống Đa, thiết kế đẹp, nội thất cao cấp. + Sổ đỏ vuông đẹp, sẵn sàng giao dịch ngay. + Giá chào chỉ 15.7 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay 24/7 - 0856 968 656.",07/04/2022,Tin thường,batdongsan_so_com_vn_1673828291.8673158,,,,
"18,2 tỷ VNĐ",mặt phố 8/3 Kim Ngưu, 105m2, 3, 6,"Chính chủ cần bán nhà mặt phố 8/3, Hai Bà Trưng,Hà Nội Diện tích: 105m2x3T đang cho thuê kinh doanh.Mặt tiền 6.5m,kinh doanh sầm uất  Hiện trạng nhà 3 tầng đang cho thuê KD ngay ngã tư phố 8/3, vị trí trung tâm quận Hai Bà Trưng, rất thuận lợi xây Tòa nhà Văn Phòng, chung cư mini phòng khám,Trung tâm thẩm mỹ.Vị trí đắc địa: Gần khu dân cư đông đúc, chợ, trường học, bệnh viện, nằm giữa nút giao cầu Lạc Trung Thanh Nhàn cầu Mai Động.Sổ đỏ chính chủ, Pháp lý rõ ràng, sang tên nhanh chóngGiá 18.2 tỷ liên hệ chị Yến ĐT:0702138238",07/04/2022,Tin thường,batdongsan_so_com_vn_1673828293.0022795, 6, 8, Tây bắc, 3
"15,9 tỷ VNĐ",Hà Nội, 73m2,,,"Bán nhà đường Nguyễn Chí Thanh quận Đống Đa - LH: 0856 968 656.PHÂN LÔ CÁN BỘ - OTO TRÁNH - VỈA HÈ - KINH DOANH - ĐẸP HIỆN ĐẠI - THANG MÁY XỊN SÒ. + Nhà nằm tại khu phân lô cán bộ vận tải, dân trí cao, an ninh tốt, hàng xóm văn minh. + Vị trí đẹp, nhiều tiện ích, ô tô chạy vòng quanh, ô tô đậu đỗ vào nhà 24/24. + Nhà rất thoáng, 7 tầng thang máy hiện đại, 73m2, mặt tiền 5m. + Nội thất cao cấp toàn đồ nhập khẩu chủ tặng lại hết.Thiết kế: - Tầng 1: Gara kinh doanh +  wc. - Tầng 2, 3, 4, 5, 6: Các phòng + wc. - Tầng 6: Phòng thờ + sân phơi.Sổ đỏ vuông đẹp, sẵn sàng giao dịch.Gía chào chỉ 15.9 tỷ thương lượng sâu, bao sang tên, tặng  full nội thất xịn.Liên hệ ngay em Bình - 0856 968 656.",07/04/2022,Tin thường,batdongsan_so_com_vn_1673828294.125275,,,,
"5,8 tỷ VNĐ","đường lạc Trung, Hai Bà Trưng, Hà Nội", 48m2, 5, 6,"MẶT NGÕ – Ô TÔ – KINH DOANH – SỔ ĐỎ CHÍNH CHỦS = 48m, giá 5.8 tỷ * Vị trí cực đẹp, mặt ngõ, 3 thoáng vĩnh viễn, kinh doanh đỉnh cao ngày đêm. * Tiện ích bạt ngàn, giao thông thuận tiện, gần Kim Ngưu, Minh Khai, Thanh Nhàn,… + Thiết kế: 5 tầng, 6 ngủ, công năng tuyệt vời. + Sổ đỏ chính chủ, cần bán gấp. + Giá 5.8 tỷ có thương lượng. * Liên hệ: Tôi – Bình, 0345752279 để được tư vấn và xem nhà miễn phí.* Không tiếp môi giới. ",07/04/2022,Tin thường,batdongsan_so_com_vn_1673828295.372937, 4,,,
22 tỷ VNĐ,Làng Việt Kiều Châu Âu, 147m2, 4, 4,"BIỆT THỰ SONG LẬP, 2 MẶT TIỀN, 3 MẶT THOÁNG. MẶT TIỀN KHỦNG KINH DOANH TỐT, VỈA HÈ Ô TÔ ĐỖ NGÀY ĐÊM + Biệt thự song lập trung tâm Làng Việt Kiều Châu Âu- Mỗ Lao. Nhà 3 tầng thiết kế hiện đại, nhà hoàn thiện ngoài. + Nhà 2 mặt đường trước sau, 3 mặt thoáng. Đường vỉa hè ô tô tránh, dừng đỗ ngày đêm. + Biệt thự đã hoàn thiện xây thô cực kỳ chắc chắn. Chủ mới thiết kế theo ý mình phù hợp làm văn phòng, công ty, nhà hàng, khách sạn, showroom giới thiệu sản phẩm... + Sổ đẹp long lanh chủ đang nhờ ngân hàng giữ hộ. + Giá chào 22 tỷ + Liên hệ xem nhà: 0902.083.139",07/04/2022,Tin thường,batdongsan_so_com_vn_1673828296.6584976, 8,,, 4
6 tỷ VNĐ,"Thái Thịnh, HN", 50m2, 5,,"Cần bán nhà Thái Thịnh 50m2 5 tầng mt 4,5m nhỉnh 6 tỷ nhà đẹp + Chủ tâm huyết tự xây chăm chút tỉ mỉ đẹp lung linh về ở luôn. + Thiết kế hiện đại, nội thất xịn sò, chủ sẽ để lại toàn bộ nội thất cho khách mua. - Tầng 1: Phòng khách - bếp - WC. - Tầng 2,3: Mỗi tầng 1 phòng ngủ rộng - WC. - Tầng 4: 2 phòng ngủ - WC. - Tầng 5: Phòng thờ - Sân phơi. Liên hệ : Ms Linh 0904401939",07/04/2022,Tin thường,batdongsan_so_com_vn_1673828297.9590187,,,,
4 tỷ VNĐ,Đống Đa, 40m2,,,"Siêu phẩm phố Bùi Xương Trạch, Thanh Xuân 40mx5T nhỉnh 4 tỷ, hàng siêu hiếm Nhà 40m2 thiết kế 4 tầng  1 tum MT 4m giá hợp lý nhỉnh 4 tỷ. +Nhà gần ngay phố Bùi Xương Trạch, đường rộng thoáng mát, xe ba gác tránh, ra vào thoải mái. +Nhà dân xây cực kì chắc chắn, khung cột bê tông chuẩn, nội thất tiền tỷ chủ để lại, chỉ việc sách vali về ở. +Nhà gần các trục đường lớn Nguyễn Trãi, Nguyễn Xiển, Trường Chinh. +Nội thất đầy đủ, khu vực sầm uất, không gian yên tĩnh, nhà đi vào được bằng nhiều hướng, đi lại ra vào thuận tiện, vị trí đắc địa. +Xung quanh đều là tòa nhà dịch vụ cho thuê sinh viên, khách mua ở hoặc mua đầu tư cho thuê cũng ra tiền. +Nhà gần chợ dân sinh, gần cách siêu thị dễ dàng thuận tiện cho việc sinh hoạt đi lại. +Sổ đỏ chính chủ vuông đét như tờ a4, sẵn sàng giao dịch. Quan tâm: Liên hệ: Ms Linh 0904401939 chuyên Thổ Cư Thanh Xuân để biết thêm chi tiết. - Miễn phí 100% cho khách mua từ khi đi xem nhà đến khi giao dịch thành công hay không thành công, hỗ trợ pháp lý, kiểm tra sổ đỏ, quy hoạch, tư vấn giá cả.",07/04/2022,Tin thường,batdongsan_so_com_vn_1673828299.0750337,,,,
"7,7 tỷ VNĐ","Triều Khúc,Thanh Xuân,Hà Nội", 45m2, 4,,"+ Chính chủ cần bán nhà khu Triều Khúc, Thanh Xuân 50m2, 4 tầng, 2 mặt tiền, đường trước nhà rộng 7m, ô tô dừng đỗ ngày đêm. + Nhà thiết kế hiện đại, đầy đủ công năng sử dụng, dọn về ở ngay. +Giao thông tiện lợi, ngay trung tâm, tiện ích xung quanh chẳng thiếu gì, gần nhiều trường Đại học, trợ, an ninh tốt. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sang giao dịch. + Miễn môi giới và trung gian..! + Liên hệ: Đức Anh 0975517689 – Chuyên nhà đất thổ cư, nhà mặt phố Hà Nội. + Hỗ trợ pháp lý từ A-Z, tư vấn đầu tư Bất Động Sản hiệu quả hoàn toàn Miễn Phí.",06/04/2022,Tin thường,batdongsan_so_com_vn_1673828300.2572854,,,,
"7,5 tỷ VNĐ",Chiến Thắng- Hà Đông, 56m2, 5,,"Quá chất! Chiến Thắng, Hà Đông, 56m, 5 tầng, ô tô tránh, kinh doanh, văn phòng đỉnh Nhà phố Chiến Thắng vip khu vực rất thu hút các nhà đầu tư, làm văn phòng, kinh doanh hay ở thì quá đỉnh, vỉa hè rộng đá bóng ,xung quanh các trường đại học lớn: Công nghệ Bưu chính Viễn Thông, Học viện An ninh, Nhạc họa trung ương, Kiến Trúc...khu an sinh đỉnh, văn minh, đông đúc người qua lại. Nhà tự xây đẹp khung cột chắc chắn, mặt tiền rộng hiếm, , phù hợp kinh doanh hoặc làm văn phòng, xung quanh đầy đủ tiện ích. Giá: 7.50 tỷ ( có gia lộc). Sổ vuông như tờ A4, sẵn sàng giao dịch. Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",06/04/2022,Tin thường,batdongsan_so_com_vn_1673828301.2705746,,,,
"6,5 tỷ VNĐ",Tô Vĩnh Diện, 80m2, 4, 4,"+ Ngõ rộng ô tô tránh xe máy thoải mái, nhà bán cách mặt ngõ vài bước chân + Nhà 2 mặt thoáng trước sau, sau nhà là sân Nhà hát múa rối Việt Nam. + Nhà thiết kế sang trọng, tận dụng hết công năng căn nhà, nhà còn như mới, khách về chỉ xách đồ ở. Tầng 1: sân để xe, bếp, phòng khách. Tầng 2,3 mỗi tầng 2 ngủ, WC. Tầng 4: Phòng thờ, sân phơi. +Sổ đỏ nở hậu sẵn sàng giao dịch. Liên hệ: Em Đại-0963883403 để được tư vấn và xem nhà miễn phí.",06/04/2022,Tin thường,batdongsan_so_com_vn_1673828302.3825996,,,,
"7,51 tỷ VNĐ",Nguyễn Văn Lộc- Hà Đông, 55m2, 5,,"Bán nhà Nguyễn Văn Lộc, Hà Đông, 55mx5 tầng, ô tô tránh, kinh doanh đỉnh Bán nhà phố Nguyễn Văn Lộc vip nhất Hà Đông, xung quanh kinh doanh sầm uất ngày đêm, vài bước ra siêu thị Big C, Coopmart, xung quanh nhiều trường đại học, các địa điểm ăn chơi bậc nhất. Nhà tự xây tâm huyết, đường trước nhà ô tô tránh, vỉa hè rộng, hướng mát, khu vực đông dân cư sầm uất, kinh doanh đủ các loại hình, mặt tiền rộng 5m, nhà thoáng sáng, 5 tầng vừa ở vừa kinh doanh hoặc làm văn phòng quá đỉnh. Chủ nhiều nhà bán bớt, gia chủ thành đạt, nhà rất có lộc. Sổ vuông, nở hậu sẵn sàng giao dịch. Giá: 7.51 tỷ ( có gia lộc). Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",06/04/2022,Tin thường,batdongsan_so_com_vn_1673828303.4297988,,,,
"7,51 tỷ VNĐ",Nguyễn Vắn Lộc, 55m2, 5,,"Bán nhà Nguyễn Văn Lộc, Hà Đông, 55mx5 tầng, ô tô tránh, kinh doanh đỉnh Bán nhà phố Nguyễn Văn Lộc vip nhất Hà Đông, xung quanh kinh doanh sầm uất ngày đêm, vài bước ra siêu thị Big C, Coopmart, xung quanh nhiều trường đại học, các địa điểm ăn chơi bậc nhất. Nhà tự xây tâm huyết, đường trước nhà ô tô tránh, vỉa hè rộng, hướng mát, khu vực đông dân cư sầm uất, kinh doanh đủ các loại hình, mặt tiền rộng 5m, nhà thoáng sáng, 5 tầng vừa ở vừa kinh doanh hoặc làm văn phòng quá đỉnh. Chủ nhiều nhà bán bớt, gia chủ thành đạt, nhà rất có lộc. Sổ vuông, nở hậu sẵn sàng giao dịch. Giá: 7.51 tỷ ( có gia lộc). Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",06/04/2022,Tin thường,batdongsan_so_com_vn_1673828304.5757322,,,,
