price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"6,75 tỷ VNĐ","Bán đất ở và đất vườn thuộc thôn Hòa Phú, xã hòa Thạch, Quốc Oai, 0981984886", 3240m2,"Bán đất ở và đất vườn thuộc thôn Hòa Phú, xã hòa Thạch, Quốc Oai, 0981984886 - Tổng diện tích: 9 sào, trong đó có 450m² đất ở và đất vườn. Đường trước mặt rộng 5, cách HD09 chỉ 300m, đất thuộc công ty chè Long Phú   Giá: 750 tr/một sào Liên hệ: 0981984886      http://www.sanbatdongsanviet.com.vn",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829453.1605697,,,,,
"4,65 tỷ VNĐ",Đường Khương Đình- Thanh Xuân- Hà Nội, 46m2,"*Bán gấp nhà mặt ngõ Khương Đình, 10m ra phố, ô tô vào nhà, kinh doanh, mới, đẹp, chắc chắn, tặng nội thất. +Diện tích: 47m, mặt tiền 4m. +Thiết kế: 4 tầng, 4 ngủ, phòng thờ, sân phơi. +Chào giá 4.65 tỷ, thương lượng. +Sổ đỏ hoa hậu chờ giao dịch. * Liên hệ em Bình để được tư vấn, xem nhà hoàn toàn miễn phí. 0345752279 *Chỉ tiếp khách mua ở.",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829454.0661483, 4, 5, 4, 4, 5
19 tỷ VNĐ,Hà Nội, 67m2,"Bán nhà ngõ 95 Chùa Bộc -SĐT: 0366 555 258. Diện tích 67m2, xây 6 tầng, thang máy Nhật, mặt tiền hoa hậu 5m, ngõ thông kinh doanh tốt, ô tô tránh chạy vòng quanh. + Khu phân lô, đường ô tô tránh, tiện kinh doanh kết hợp để ở… +  Hàng xóm văn minh, dân trí cao, nga ukraine, vị trí đắc địa, tiện ích vô biên. + Nhà chủ tự xây rất cẩn thận, nội thất trang thiết bị đều được lựa chọn tỉ mỉ, tiện về ở ngay.Sổ đỏ chính chủ, sẵn sàng giao dịch.Giá bán chỉ 19 tỷ thương lượng mạnh.Liên hệ ngay: 0366 555 258.Miễn trung gian và báo mạng",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829455.088414,,,,,
55 tỷ VNĐ,Bạch Mai Hai Bà Trưng Hà Nội, 190m2,"+ Bán nhà mặt phố Bạch Mai, quận Hai Bà Trưng, kinh doanh sầm uất, thiết kế thông sàn, thang máy. + Vị trí rất đẹp, đỉnh nhất của phố Bạch Mai, chủ tự xây tâm huyết nay rất thiện trí cần bán. + Diện tích 190m2, mặt tiền 5m rất đẹp. + Sổ đẹp, sẵn sàng sang tên ngay. + Giá : 55 tỷ + LH trực tiếp: Minh Quang 0327085656 ( nhận thêm thông tin chi tiết )",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829456.275238,,, 6, 6,
"3,1 tỷ VNĐ","số 17 ngõ 86 Đê Trần  Khát Chân, Phường Thanh Lương, Hai Bà Trưng, Hà Nội", 33m2,"Bán nhà số 17 ngõ 86 Đê Trần  Khát Chân, Phường Thanh Lương, Hai Bà Trưng, Hà NộiNếu đi ô tô thì vào ngõ 651 Minh Khai - Ngõ 184 Đê Trần Khát Chân - Ngõ 86 Đê Trần Khát Chân là tớiDiện tích 33 m2 - Sân 8 m2 - Sổ đỏ chính chủ- Nhà xây kiên cố 4 tầng, thiết kế hợp lý gồm 5 phòng và sân thượng. Có 3 vệ sinh-  Vị trí thuận tiện giao thông, nhà ngay cạnh trường cấp 2 Hai Bà Trưng, gần đê Trần Khát Chân.- Khu an ninh rất tốt, dân cư văn minh, thân thiệnGiá bán:  3,1 tỷ - giao nhà ngay.LH: chủ nhà - C.Loan: 0913312888
 
 
Nguồn:  http://nhadathanoi.net.vn/chinh-chu-ban-nha-rieng/ban-nha-so-17-ngo-86-de-tran-khat-chan-phuong-thanh-luong-hai-ba-trung-ha-noi-3562.html

",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829457.286533,,, 4,,
18 tỷ VNĐ,Hà Nội, 60m2,"Chính chủ cần tiền gấp, bán nhà Trúc Khê - SĐT: 0366 555 258. - Vị trí đỉnh kinh doanh đắc địa. - Đường thẳng tắp vỉa hè để xe mặt tiền 4.5m. - Diện tích 60m2, 6 tầng phù hợp mở văn phòng hoặc vừa ở vừa kinh doanh… - Chủ tự xây tâm huyết, nga ukraine, trang bị nội thất châu Âu, thang máy Nhật Bản… - Khu hiếm nhà bán, dân trí cao, an ninh tốt, nhiều tiện ích. - Gia đình đang làm ăn có lộc thiện chí bán thương lượng amnhj chính chủ giá chào chỉ 18 tỷ.Liên hệ ngay Nguyễn Thanh - SĐT: 0366 555 258.",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829458.4603937,,,,,
"3,05 tỷ VNĐ","Vĩnh Hưng, Hoàng Mai", 30m2,"Bán nhà Lĩnh Nam 30m2, 5 tầng MT rộng – ô tô gần nhà. ----------------------------------------------------------- + Nhà còn rất đẹp, nội thất hoàn thiện. Xem nhà là thích. + Thiết kế: 3 phòng ngủ rộng, lát sàn gỗ, phòng thờ, sân phơi. + Ngõ trước nhà rộng 2.5m, Trước nhà thoáng,sáng, nhìn ra Times City. + Sổ đỏ vuông A4, pháp lý chuẩn. Chào 3.05 tỷ (Gia lộc). + Liên hệ: Đỗ Phong - 0929641121 ----------------------------------------------------------- Hỗ trợ các thủ tục pháp lý trong giao dịch nhà đất. Hỗ trợ liên kết vay vốn ngân hàng nhanh chóng, lãi suất ưu đãi.",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829459.5694268, 3, 2, 5, 3, 4
80 tỷ VNĐ,Phố Huế Hai Bà Trưng Hà Nội, 160m2,"+ Bán nhà mặt phố Huế, quận Hai Bà Trưng, kinh doanh khủng, Đẳng Cấp Đại Gia sở hữu. + Vị trí rất đẹp, đỉnh nhất của phố, gia đình đang có định hướng khác cho nên gia đình rất thiện chí bán. + Diện tích nhà là 160m2, 4 tầng xây chắc chắn + Giá là : 80 tỷ ( thiện chí bán ) + LH trực tiếp: Minh Quang 0327085656",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829460.7612398,,, 4, 5,
,"Thụy Khuê, Tây Hồ", 28m2,"MẶT PHỐ THỤY KHUÊ – LÔ GÓC – 3 MẶT THOÁNG – MẶT TIỀN RỘNG  Chủ muốn bán nhà để mua nhà mới cho con trai lấy vợ - cần bán gấp Nhà nằm ở vị trí trung tâm phố Thụy khuê, có vỉa hè, kinh doanh sầm uất Tầng 1 hiện đang cho thuê 15tr/tháng Thiết kế cơ bản 4 tầng + Tầng 1: Thông sàn + WC + Tầng 2: Khách + Bếp + WC + Tầng 3: 2 Ngủ + WC + Tầng 4; Phòng thờ+ sân phơi Sổ đỏ chính chủ, nở hậu cực đẹp Liên hệ Em Hằng ☎️ 0989918103",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829461.8563073,,, 4, 2, 3
2 tỷ VNĐ,"khu vực Đê La Thành, Quận Đống Đa, Hà Nội", 22m2,"Chính chủ bán nhà khu vực Đê La Thành, Quận Đống Đa, Hà NộiDiện tích xây dựng: 21,7m2Diện tích sử dụng: 43,4m2- Nhà xây ở 2 tầng chỉ việc ở- Giao thông thuận tiện đi lại , gần chợ, trường học- Có đầy đủ các tiện ích xung quanhGiá bán: 2 tỷ - Sổ đỏ chính chủLiên hệ chính chủ: 0946580728
 
 
Nguồn:  http://nhadathanoi.net.vn/chinh-chu-ban-nha-rieng/chinh-chu-ban-nha-khu-vuc-de-la-thanh-quan-dong-da-ha-noi-3561.html

",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829463.1348882,,, 2,,
18 tỷ VNĐ,Hà Nội, 80m2,"Bán nhà sổ đỏ phố Chùa Láng Đống Đa - LH: 0856 968 656.Nhà đẹp hai ô tô tránh - Vỉa hè rộng - Thang máy nhập khẩu - Vừa ở vừa kinh doanh mọi loại hình hết ý. + Phố Chùa Láng kinh doanh sầm uất, tụ tập rất nhiều toà văn phòng lớn, quán cafe, shop thời trang... + Diện tích 80m2, 7 tầng, mặt tiền 7m. + Thiết kế hiện đại, trang bị toàn bộ nội thất nhập khẩu Đức. + Thông thương thuận tiện phố Nguyễn Chí Thanh, Trúc Khê, Hiền Hồ, Huỳnh Thúc Kháng, Láng Hạ, Liễu Giai… + Khu dân trí cao, an sinh tốt, nhiều tiện ích… - Tầng 1 : Gara + 1 phòng - Tầng 2, 3, 4, 5, 6: Các phòng + WC. - Tầng 7: Phòng thờ sân phơiSổ đỏ chính chủ, pháp lý sạch.Giá chào chỉ 18 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay 24/7 - 0856 968 656.",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829464.2329507,,,,,
