price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet,Hướng
2 tỷ VNĐ,"Cổ Dương, Tiên Dương, Đông Anh, Hà Nội", 42m2, 4, 3,"+ Nhỉnh 2 tỷ có ngay nhà 3 tầng 42,3m2 Cổ Dương, Tiên Dương, Đông Anh. + Mặt tiền = Hậu = 4,1m, ngõ rộng ô tô 7 chỗ đỗ cửa. + Tương lai là trung tâm Quận Đông Anh. + Cách QL3, Siêu thị Lan Chi, Trần Anh 800m. + Cách Bệnh viện Đa khoa Đông Anh, Trung tâm hành chính Huyện 1km. + Cách trường MN Timeway, Trường liên cấp Quốc tế Archimedes 500m. + Bán kính 500m đầy đủ tiện ích Chợ, Winmart, Ăn uống giải trí + 15 phút sang tới nội thành Hà Nội. + Thông thương thuận tiện, dân cư phát triển + Phù hợp cho anh chị xây nhà kinh doanh và đầu tư. + Sổ đỏ chính chủ, pháp lý chuẩn sẵn sàng giao dịch. + Liên hệ: 0828212662 (Mr. Đức Anh) hỗ trợ 24/7.",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785832.560056,,,,
"3,65 tỷ VNĐ","Đường Trần Phú, Mộ Lao, Hà Đông", 112m2,, 1,"💥 CHỈ 3.65 TỶ-CĂN HỘ CHUNG CƯ CT1 BẮC HÀ COOPMART 16 TRẦN PHÚ 112M2 3PN + 2WC 💥 ⭕️ LH NGAY 0982833366 (KHU VỰC TẦM GIÁ CHỈ CÓ MỘT CĂN-NHANH MỚI CÒN)----------------------------- Chung Cư Bắc Hà được biết đến với chủ đầu tư uy tín FoDaCon, mang lại cho cư dân những không gian an sinh sau 1 ngày làm việc với rất nhiều tiện ích xung quanh tòa nhà, với tổng diện tích 3,350m2 thiết kế tổng 3 tòa tháp cao 23 tầng gồm 3 tầng thương mại, 1 tầng hầm, 8 căn/sàn, diện tích các căn từ 58-125m/căn. Toạ lạc nằm trên trục đường chính Trần Phú Nguyễn Trãi đối diện Học Viện An Ninh, là cửa ngõ để các phương tiện đi vào Trung tâm Thành phố.- Diện tích trên sổ 112m được thiết kế tổng 3 phòng ngủ rộng thoáng 2 vệ sinh + 1 phòng khách, phòng nào cũng thoáng sáng- Chủ nhà trẻ tuổi làm ăn phát lộc đã mua được nhà to hơn lên cần bán đi.- Sổ đỏ chính chủ, sang tên nhanh chóng, gọn nhẹ.----------------------------🚀 GIÁ BÁN CHỈ: 3.65 TỶ (NHÀ THẬT+THÔNG TIN THẬT+ẢNH THẬT+GIÁ THẬT)----------------------------☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366  ZALO 0902223785(Chuyên chung cư, nhà tập thể Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%... ----------------------------DÀNH CHO ACE TÌM NHÀ HÀ NỘI - MIỄN PHÍ LỌC VÀ XEM NHÀ 100%LH: Mr. Phương_Nhà_Phố (1981) CALL 0982833366-ZALO 0902223785 (FB/ZALO - 24/7)   - Tiếp khách có nhu cầu thực, khách xem cho vui xin phép không tương tác vì CV mình rất bận.- Phương_Nhà_Phố có thông tin hàng ngàn căn nhà với đủ phân khúc từ vài tỷ đến vài trăm tỷ, thông tin hình ảnh thật mô tả kỹ không làm mất thời gian công sức của ACE. CÁC LĨNH VỰC BĐS ĐANG HOẠT ĐỘNG1. Biệt thự, nhà ở đẳng cấp, yên tĩnh, sân vườn2. Nhà mặt phố , tòa nhà văn phòng3. Nhà dòng tiền: Khách sạn, Nhà hàng, Apartment, Homestay, Chung cư Mini cho thuê4. Nhà mặt ngõ ô tô, Nhà phân lô, Nhà liền kề5. Chung cư, tập thể, nhà ở theo từng phân khúc tài chínhLiên hệ ngay để được tư vấn và tham khảo BĐS phù hợp nhất. Xin cảm ơn!!",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785834.621553, 30, 3, 2,
"4,85 tỷ VNĐ","Đường Thanh Nhàn, Thanh Nhàn, Hai Bà Trưng", 47m2,, 5,"bán nhà thanh nhàn , hai bà trưng , hà nội , DT 47m2 , 5 tầng , giá hơn 4 tỷ , 10 giá trị và tiện ích ngôi nhà khách hàng nhận được như sau  1) giá trị thứ nhất của ngôi nhà ; thiết kế kiến trúc ngôi nhà hiện đại theo thời đại mới ,nhà trang trí trong ngoài đẹp long lanh như hoa hậu  chân dài  2) giá trị thứ 2 của ngôi nhà ; thiết kế kết cấu móng dầm cột khung bê tông cốt thép rất chắc chắn hiện đại ,  3) giá trị thứ 3 của ngôi nhà ; trước nhà có sân rộng để được nhiều xe máy , có nhiều không gian thoáng mát  4) giá trị thứ 4 của ngôi nhà ; sổ đỏ chính chủ nở hậu đẹp phong thủy , sẵn sàng giao dịch trong phút mốt  5) giá trị thứ 5 của ngôi nhà khách hàng nhận được ; dân trí sung quanh thân thiện , an ninh tốt  6) giá trị thứ 6 của ngôi nhà khách hàng nhận được ; đường thông ngõ thoáng giao thông thuận tiện  7) giá trị thứ 7 của ngôi nhà khách hàng nhận được ; gần chợ , gần trường học 1.2.3.  8) giá trị thứ 8 của ngôi nhà khách hàng nhận được ; vài phút đến trường đại học bách khoa , đại học kiến trúc , đại học xây dựng , đại học y , học viện ngân hàng , và rất nhiều trường đại học khác  9) giá trị thứ 9 của ngôi nhà khách hàng nhận được ; vài phút chạy xe đến bệnh viện thanh nhàn , bệnh viện quân đội 108 , bệnh viện bạch mai  10) giá trị thứ 10 của ngôi nhà khách hàng nhận được ; vài phút đến công viên lê nin  hồ 7 mẫu , hồ hoàn kiếm , phố đi bộ , rất nhiều giá trị và tiện ích khác , khách hàng thiện trí xem nhà liên hệ xuân hùng 1975, không tiếp môi giới ;   ",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785839.0464, 3, 3, 4,
"4,35 tỷ VNĐ","Đường Bùi Xương Trạch, Khương Trung, Thanh Xuân", 32m2, 3, 6,"GIÁ: 4.35 tỷ.( thương lượng) -Dân xây tâm huyết.-hàng xóm văn minh. Mô tả: + Thiết kế: Nhà xây 6 tầng khung cột chắc, mới đẹp khách mua chỉ việc về ở. * Tầng 1: Khách, bếp, Wc. * Tầng 2,3,4,5: Mỗi tầng 1 phòng rộng, Wc. * Tầng 6: Phòng thờ, sân phơi. + Vị trí: Ngõ ba gác, trước nhà rất rộng, thoáng sáng, sạch sẽ, thông sang 77 Bùi Xương Trạch, ô tô vài bước chân, tiện ích gần chợ, trường học các cấp...-gần Khương Hạ-Khương Trung-Vũ Tông Phan-Ngã Tư Sở thông ra Đầm Hồng…..tiện ích không thiếu thứ gì.Khách quan tâm xem nhà liên hệ 0838233888 mr.Định xem nhà miễn phí.",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785840.808743, 2, 4, 5,
"3,3 tỷ VNĐ",Phạm Ngọc Thạch, 18m2, 3, 4,"Chỉ với nhỉnh 3 tỷ - bạn có thể sở hữu ngay 01 căn nhà tại Phạm Ngọc Thạch.+ Nhà xây mới 4 tầng, nội thất cơ bản, tủ bếp, thiết bị vệ sinh, trần sàn đầy đủ.+ Khu dân trí cao, văn minh ngay gần VINCOM Phạm Ngọc Thạch - Chùa Bộc+ An ninh siêu tốt, hàng xóm thân thiện.+ Sổ đỏ vuông văn đẹp, sẵn sàng giao dịch.---------------------------------------------------------------------o0o ĐẶC BIỆT: Nhà ngõ nông - Ô tô cách nhà 3 bước chân cực đẹp.*** Liên hệ em Linh 0978 652 524 - sẵn sàng đưa anh/chị đi xem nhà 24/7.Em xin cảm ơn!",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785842.747516, 3, 2, 3, Tây bắc
2 tỷ VNĐ,"Cổ Dương, Tiên Dương, Đông Anh, Hà Nội", 42.3m2, 4, 3,"+ Nhỉnh 2 tỷ có ngay nhà 3 tầng 42,3m2 Cổ Dương, Tiên Dương, Đông Anh. + Mặt tiền = Hậu = 4,1m, ngõ rộng ô tô 7 chỗ đỗ cửa. + Tương lai là trung tâm Quận Đông Anh. + Cách QL3, Siêu thị Lan Chi, Trần Anh 800m. + Cách Bệnh viện Đa khoa Đông Anh, Trung tâm hành chính Huyện 1km. + Cách trường MN Timeway, Trường liên cấp Quốc tế Archimedes 500m. + Bán kính 500m đầy đủ tiện ích Chợ, Winmart, Ăn uống giải trí + 15 phút sang tới nội thành Hà Nội. + Thông thương thuận tiện, dân cư phát triển + Phù hợp cho anh chị xây nhà kinh doanh và đầu tư. + Sổ đỏ chính chủ, pháp lý chuẩn sẵn sàng giao dịch. + Liên hệ: 0828212662 (Mr. Đức Anh) hỗ trợ 24/7.",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785844.4420962,,,,
"14,5 tỷ VNĐ","Đường Xuân Đỉnh, Xuân Đỉnh, Bắc Từ Liêm", 88m2, 8, 8,"CCMN 28 PHÒNG - 125TR/THÁNG - 8 TẦNG THANG MÁY - TIỆN ÍCH NGOẠI GIAO ĐOÀN, CIPUTRA - ĐH NỘI VỤ - FULL NỘI THẤT - GẦN Ô TÔ.+ Nhà bán ở đoạn đẹp nhất Xuân Đỉnh, ngay gần Xuân La, cách đường ô tô tránh 10m, trước nhà rộng 3.5m, ngõ 2 ba gác đua ầm ầm, vị trí rất đẹp.+ Tiện ích khu vực cực đỉnh, gần Ngoại Giao Đoàn, KĐT Ciputra, KĐT Tây Hồ Tây, CV Hòa Bình, tiện ích nhiều vô kể, giá đất tăng chóng mặt.+ Đại học Nội vụ cách nhà chỉ 200m, đi ra Hồ Tây rất gần, nhu cầu thuê phòng cực kỳ lớn.+ Nhà mới, 8 tầng thang máy, tổng 28 căn hộ khép kín trang bị full đồ, phòng nào cũng thoáng sáng. Cho thuê 135-140tr/tháng.+ Phòng đẩy đủ: giường tủ, bàn ghế, bếp, thiết bị vệ sinh, hút mùi, tủ lạnh, máy giặt,...+ Đầy đủ GPXD, hệ thống PCCC, móng khung cột siêu chắc chắn.+ Sổ đỏ vuông đẹp, Giá 14 tỷ 5 có thương lượng+ Liên hệ Vũ Quang - Tư vấn đầu tư BĐS dòng tiền Hà Nội+ Chuyên CCMN - CHDV - Nhà trọ - Apartment cao cấp các quận Hà Nội+ Nhận ký gửi nhà đất",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785846.0906277, 4, 28, 28,
"5,4 tỷ VNĐ","Đường Khương Hạ, Khương Trung, Thanh Xuân", 58m2, 4, 6," Giá: 5.4 tỷ( thương lượng) -dân tự xây tâm huyết.-2 thoáng. Mô tả: + Thiết kế: Nhà xây 5 tầng và 1 tum, thoáng trước sau. * Tầng 1: Sân để xe, khách, bếp, Wc. * Tầng 2,3,4,5: Mỗi tầng 2 phòng, Wc. * Tầng 6: Sân phơi rộngNgõ thông sang Vũ Tông Phan-ra khương Trung-Định Công-Gần Ngã Tư Sở…gần chợ dân sinh  tiện ích khôbg thiếu thứ gì.Khách quan tâm liên hệ 0838233888 mr.Định xem nhà miễn phí.Bán nhà Trường Chinh-Thanh Xuân 34mx5 tầng-Tặng Full nội thất-3PN-gần phố. Giá: 4.85 tỷ( thương lượng)-tặng full nội thất.-gần ô tô. * Mô tả:+ Thiết kế: - Tầng 1: Phòng khách, bếp.- Tầng 2,3,4: Mỗi tầng 1 ngủ, vs khép kín.- Tầng 5: Phòng thờ sân phơi.Khu dân trí cao yên tĩnh.gần Ngã Tư Sở-Lê Trọng Tấn-Trường Chinh-gần nhiều trường đại học lớn Bách Khoa-Xây Dựng-Kinh Tế-Y-Thuỷ Lợi-Công Đoàn…các bệnh viện lớn Bạch Mai-Y….bán kính 1km không thiếu thứ gì. Khách quan tâm xem nhà liên hệ ngay 0838233888 mr.Định xem nhà miễn phí.",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785849.050753, 2, 8, 5,
"4,8 tỷ VNĐ","Đường Quang Trung, Quang Trung, Hà Đông", 60m2, 5, 4,"
    




+ Nhà chủ tự xây dựng chắc chắn.
 
+ Nhà lô góc 2 thoáng diện tích trong sổ đỏ 57.2m2 nhưng thực tế 60 m2.
 
+ Vị trí diện tích rộng kin doanh chung cư mini 6 tầng thang máy thu nhập tốt.
 
+ Nhà cách 300m ra Trường THPT Chuyên Nguyễn Huệ.
 
+ Đường trước nhà rộng xe ba gác chạy vèo vèo nhà cách 30m ô tô tránh , khu vực an ninh tốt, dân trí cao, 

 
+ Sổ đỏ vuông chính chủ, chủ đang cầm trong tay, sẵn sàng giao dịch ngay phút mốt.
 
Liên hệ: Công 0931706698 để xem nhà.
Chú ý: không tiếp môi giới, trung gian.
",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785850.8911467, 4, 4, 4,
"3,25 tỷ VNĐ","Đường Quốc lộ 32, Di Trạch, Hoài Đức", 49m2, 4, 4,"
    Cần Bán Nhà riêng Rẻ nhất Di Trạch, Hoài Đức 49m 4 tầng chỉ 3,x tỷ
Nhà mới đẹp sẵn xách đồ về ở luôn, Nhà mới vững chắc, tặng full nội thất. 3,x tỷ ( x mầm non)
+Thiết kế, tối đa công năng sử dụng, rộng, thoáng sáng, mát.
+Vị trí đẹp, tiện ích, gần Trường học cấp 1, 2, 3, gần chợ, An ninh cực tốt. Tiện cho việc học tập của các cháu
- Căn nhà đẹp chắc chắn và được hưởng trọn hết các tiện ích xung quanh. Phát triển Sầm uất. KĐT Hinode Royal park,...
Nằm sát mặt Đường Quốc lộ 32, Xuân phương, vành đai 3.5 ,Rất thuận tiện cho việc đi lại, gần ngay chợ Lai xá, rất thuận tiện cho việc nội trợ. Gần Trường Đại học Đại Học Thành Đô, Đại Học Công nghiệp Hà Nội.
- Sổ CC, sang tên nhanh gọn, Giá thương lượng, chủ thiện chí.
+ Xem nhà gọi Mr Đức Nhà Đẹp. Rất nhiều nhà đẹp phù hơp mọi nhu cầu Anh Chị Em.
",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785852.8061366, 5, 4, 3,
