price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền
"3,85 tỷ VNĐ","Đường Miêu Nha, Tây Mỗ, Nam Từ Liêm", 53m2, 5, 5, 6, 6,"+ Nhà mặt ngõ Miêu Nha đường ô tô tránh quay đầu, thông khắp ngả + Vị trí đắc địa để mở cửa hàng kinh doanh tạp hóa, siêu thị mini, .... + Chủ nhà tự xây chắc chắn, thiết kế hiện đại thừa công năng với đầy đủ các phòng ngủ, PK, phòng thờ, sân phơi. + Vị trí nhà gần Đại lộ Thăng Long, Vincom Mega Mall, trạm xe Buýt Vinbus + Phố Miêu Nha nằm trên trục Quốc lộ 70, giao cắt Đại lộ Thăng Long đi Nhổn, Hà Đông, Mỹ Đình, BV Thu Cúc, BV Quốc tế Hồng Ngọc, vị trí đi đâu cũng tiện. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch + Diện tích 53m2 + Giá chủ chào chỉ 5 tỷ có thương lượng ----------------  Vui lòng liên hệ ngay Quân thổ cư 0868 916*** để biết thêm chi tiết và xem nhà miễn phí . Liên hệ ngay Quân Thổ Cư 0868 916*** để xem nhà miễn phí và gặp chủ nhà đàm phán.",02/12/2022,Tin thường,batdongsan_so_com_vn_1673784937.7633605,
950 triệu VNĐ,"Đường Thái Hà, Thịnh Quang, Đống Đa", 32m2, 10, 1, 2, 1,"Mô tả:  + Trung tâm Đống Đa, vài bước chân ra phố Thái Hà, thuận tiện lưu thông các ngả.  + Nhà Chung Cư Mini: Phòng Khách, Bếp, Vệ Sinh, một phòng ngủ rộng.  + Sổ đỏ chung vuông đẹp, mỗi nhà cầm một quyển.  LH em Hùng Nhà Tốt: 094 665 8282 (Nhà nào cũng có-Miễn trung gian)",02/12/2022,Tin thường,batdongsan_so_com_vn_1673784938.9132836,
"16,5 tỷ VNĐ","Đường Trường Chinh, Ngã Tư Sở, Đống Đa", 62m2, 30, 6, 5, 5,"Mô tả: - Nhà 1 mặt phố 1 mặt ngõ. Mở cửa 2 lối đi.  - Nhà chủ xây ở KCBT chắc chắn có thể lắp thang máy.  - Tầng nào cũng có cửa sổ thoáng sáng.  - Nhà 6 tầng thông sàn  + Tầng 1 : Chủ đang kinh doanh  + Tầng 2: Bếp + 1 phòng ngủ  + Tầng 3,4,5 : Thông sàn + wc.  + Tầng 6 : P. Thờ + sân phơi.  Sổ đỏ chính chủ giao dịch ngay.  LH ngay em Hùng: 094 665 8282 (Miễn trung gian-xem nhà 24/7-100% thông tin nhà thật)",02/12/2022,Tin thường,batdongsan_so_com_vn_1673784939.9096549,
"1,6 tỷ VNĐ","Đường Yên Lạc, Thanh Lương, Hai Bà Trưng", 65m2, 20, 6, 5, 4,"Mô tả: + Nhà toạ lạc ở vị trí rất đẹp lô góc hai mặt đường ô tô tránh. Khách mua về ở cực kỳ thích hoặc làm văn phòng thoải mái, gara cho 2 ô tô. Tiện ích xung quanh cực nhiều gần trường học, chợ, BV Thanh Nhàn… vị trí rất trung tâm. + Thiết kế tầng 1 gara ô tô. Tầng 2 phòng khách, bếp, wc. Mỗi tầng một phòng ngủ rộng, phòng thờ, phòng tập, sân phơi. + Pháp lý chuẩn, sổ đỏ phân lô (có thương lượng). + LH em Chiến 18:: 0972156167 - Đất/Nhà thổ cư - Xem/Mua miễn phí 24/7.",02/12/2022,Tin thường,batdongsan_so_com_vn_1673784941.137342, 6
"5,6 tỷ VNĐ","Mặt ngõ 54 Nguyễn Chí Thanh, Quận Đống Đa,Hà Nội", 40m2,,,,,"CHÍNH CHỦ BÁN NHÀ MẶT NGÕ 54 NGUYỄN CHÍ THANH, QUẬN ĐỐNG ĐA, 40M2 GIÁ 5.6 TỶDiện tích: 40m2 x 3 tầng - Sổ đỏ chính chủ- Nhà xây 3 tầng kiên cố, thiết kế đẹp gồm có+ Tầng 1: Phòng khách, bếp, vệ sinh+ Tầng 2: Có 2 phòng ngủ + vệ sinh+ Tầng 3; Có 1 phòng ngủ, phòng thờ, sân phơi- Nhà mình nằm vị trí đẹp 2 mặt ngõ rất thoáng, ngay Vincom, cách 5M ra ô tô tránh- Gần đài truyền hình, gần các trường ĐH lớn, gần bệnh viện...Giá bán: 5,6 tỷ - Có thương lượngLiên hệ: Kim Lan: 0985883152 - Bán trực tiếp cho người mua",02/12/2022,Tin thường,batdongsan_so_com_vn_1673784943.7293348,
"5,1 tỷ VNĐ",Cầu Giấy, 40m2,, 5, 6,,"-Thiết kế hợp lý đầy đủ công năng : +Tầng 1: Phòng khách, bếp, vs +Tầng 2,3,4: Mỗi tầng 2 phòng ngủ,vs +Tầng 5: phòng thờ, sân phơi. +Tầng 6: Tum chống nóng +Sổ đỏ vuông, pháp lí sạch,sẵn sàng giao dịch. Liên hệ A Tuyên 0969945393 để được tư vấn và xem nhà miễn phí.",02/12/2022,Tin thường,batdongsan_so_com_vn_1673784948.2062068, 4
"2,85 tỷ VNĐ","Đường Quan Nhân, Nhân Chính, Thanh Xuân", 35m2, 10, 2, 3,,"
    




BÁN NHÀ QUAN NHÂN 35M GIÁ 2.85 TỶ - LÔ GÓC- Vị trí trung tâm Thanh Xuân , gần Ngã Tư Sở, Nguyễn Trãi , …. . Tiện ích ngập tràn- Nhà lô góc , 2 tầng , xây dựng chắc chắn . Chủ nhà làm ăn phát đạt , muốn bán mua nhà rộng hơn- Sổ đỏ nở hậuLH xem nhà: 0768.300.999 em NHUNG
",02/12/2022,Tin thường,batdongsan_so_com_vn_1673784949.2204554,
"5,8 tỷ VNĐ","Mặt phố Tây Sơn, Đống Đa Hà Nội", 22m2,,,,,"Thông tin chi tiết:  + Nhà mặt phố kinh doanh sầm uất ngày đêm.Với diện tích 22m2 kết hợp với mặt tiền rộng và vỉa hè là lợi thế phù hợp với mọi loại hình kinh doanh. + Sổ đỏ chính chủ vuông vắn, đảm bảo pháp lý sẵn sàng giao dịch. Miễn phí 100% với khách mua, dẫn khách đi xem nhà và kể cả giao dịch không thành công, bên mua hoàn toàn không mất phí, được tư vấn hỗ trợ 24/24h. Liên hệ: Đức Kiệt 0386826403 chuyên tư vấn đất thổ cư tại các quận Hoàng Mai, Hoàn Kiếm, Hai Bà Trưng, Đống Đa.",02/12/2022,Tin thường,batdongsan_so_com_vn_1673784950.0883887,
"2,2 tỷ VNĐ","Đường Chính Kinh, Nhân Chính, Thanh Xuân", 20m2, 2,,,,"LÔ GÓC 2 THOÁNG Ở LUÔN TẦM TIỀN GẦN PHỐ , SỔ ĐỎ RIÊNG.Diện tích sổ đỏ 20m2, lô góc, 23m2 từ tầng 2-3-4. Giá chỉ 2 tỷ 2Ngõ rộng 3m, cách mặt phố cự lộc 30m, nhỏ nhưng thoáng, đôi vợ chồng trẻ và 1-2 con ở là quá đẹp.Cách chợ Cự Lộc 200, cách Royal City có 40m, hồ điều hòa Cự Lộc 300m.  Mô Tả ; + Nhà bán lô góc 2 mặt thoáng còn chắc chắn có thể ở luôn , ngõ ba gác ,cách phố 30m ,cạnh Royal City tiện ích cao , Thiết kế ; + Tầng 1; phòng khách, bếp ,wc + Tầng Lửng; ngủ nhỏ + Tầng 2; 1 phòng ngủ rộng ,không có wc.+ Tầng 3; 1 phòng ngủ , wc , Gia chủ cần tiền mua sắm nội thất cho nhà mới, muốn bán nhanh với giá cực tốt Sổ Đỏ vuông đét. giao dịch ngay 0936206176",02/12/2022,Tin thường,batdongsan_so_com_vn_1673784951.253273,
17 tỷ VNĐ,"Đường Bồ Đề, Long Biên, Long Biên", 140m2, 10, 5, 3, 4,"Bán nhà Phố Bồ Đề, Dt 140m, nhà 5 Tầng, Mt 5m Giá hơn 17 tỷ. Ô tô,gần hồ.+ Nhà gần hồ ô tô và nhà, Có Gara để xe, rân vườn tiểu cảnh đẹp.+ Ban cồng view hồ café vào các buổi sáng.+ Nhà 4 Tầng + 1 tầng hầm, 3 ngủ, 4 wc.+ Quy hoạch ổn định, + Gần hồ Bồ đề cuộc sống tương lai phát triển rực rỡ + Sổ đỏ sẵn sàng giao dịch.  LH: Giang Bất động sản: Chuyên thổ cư , Đất nền, Chung cư, Tư vấn phong thủy, Hỗ trợ ngân hàng. Hỗ trợ thiết kế nhà.  Tuyển dụng đào tạo Bất Động Sản chuyên nghiệp Nhận mua bán, ký gửi nhà.2280/02218/128 #Bode #Nguyenvancu Telegram, Zalo: 0934035888 https://t.me/batdongsantc ",02/12/2022,Tin thường,batdongsan_so_com_vn_1673784952.459127, 5
