price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"1,13 tỷ VNĐ","Ngọc Thụy, Long Biên", 25m2, 3,"+ Vị trí đẹp vài bước chân ra Trường Ngọc Thụy, Trường Pháp, Chợ, tương lai rất đẹp, khu dân trí cao, trước nhà đường rộng 2.5 m, ra oto tránh 12m. - Thiết kế: 2 tầng, tum:Nhà có thể sửa thêm PN, WC. Tầng 1: PK, Bếp và WC. Tầng 2: 2 Phòng ngủ. Tầng 3: Sân phơi( Có thể thiết kế thêm phòng ngủ nếu cần) - DT : 25 m, MT 3.21m, hậu 3.36m Lh Mr Trác ngay không mất nhà, tiếc đấy tiếc để..zalo : không chín sáu năm bốn chín hai năm bảy một, để được mua luôn",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823903.2112668,,,,,
"16,8 tỷ VNĐ",Đường Dương Khuê phường Dịch Vọng, 80m2, 5,"
    
RẺ NGẤT! Dương Khuê 75m2 x 5T. MT 9m. OTO TRÁNH, VỈA HÈ, KINH DOANH vô đối. Giá: 16.8 tỷ. 0836797686

Vị trí:
+ Ngõ Dương Khuê to hơn phố, VỈA HÈ rộng, KINH DOANH sầm uất ngày đêm.

+ Nhà chủ tự xây tâm huyết chắc chắn. Thiết kế đầy đủ công năng: Cửa hàng kinh doanh, phòng khách, ngủ, phòng thờ, sân phơi

Sổ: sẵn sàng giao dịch.

LH xem nhà: 0836797686 - Ngọc Duyên - Chuyên Cầu Giấy.
",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823905.0294037, 9, 9, 4, 6,
"3,2 tỷ VNĐ","Đức Giang, Long Biên", 40m2, 4,"- Nhà trong ngõ sâu nhưng lại cách ô tô 10 m , xây 4 tầng chắc chắn , 2 thoáng có quả cầu thang để đời gỗ gụ rất tốt. - Đức Giang là khu vực phát triển có các nhà máy cốt lõi của Long Biên. Ngõ thông sang Đức Giang - Thượng Thanh - Lý Sơn cực kỳ phát triển chợ , điện , đường , trường trạm , khu đô thị , siêu thị , khu dân cư đông đúc lâu nay - Thiết kế: Tầng 1 sân để xe , khách , bếp , vs Tầng 2 có 1 ngủ master có vs, 1 phòng đọc sách Tầng 3 như tầng 2 ",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823906.2561212, 4,,,,
"13,5 tỷ VNĐ",Phố Hoàng Văn Thái, 55m2, 6,"BÁN NHÀ MẶT PHỐ HOÀNG VĂN THÁI, MT 5M, 6 TẦNG, THANG MÁY Diện tích 55m2, 6 tầng, MT 5m, có thang máy, Giá 13,5 tỷ Tầng 1: Cửa hàng + khách + WC Tầng 2,3,4: mỗi tầng đều có 2PN + WC Tầng 5: Bếp + 1 PN + WC Tầng 6: Sân phơi + tum + phòng thờ Giá 13,5 tỷ Phố Hoàng Văn Thái cực kỳ sầm uất. Nhà nằm trên mặt phố, có nhiều văn phòng, khách sạn, quán ăn, cà phê, siêu thị, chợ, cây xăng, ngân hàng, trường học các cấp ... Nhà đã có Sổ đỏ sẵn sang giao dịch. Mr Tiến Lucky – chuyên BĐS Thổ cư -  ĐT: 0979.160085",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823907.5356982,,,,,
"13,2 tỷ VNĐ",Phố Nguyễn Ngọc Nại, 50m2, 6,"BÁN NHÀ 50M2 MẶT PHỐ NGUYỄN NGỌC NẠI, 6 TẦNG, THANG MÁY Diện tích 50m2, 6 tầng, MT 4m, có thang máy, Giá 13,2 tỷ Tầng 1: Cửa hàng + khách + WC Tầng 2,3,4: mỗi tầng đều có 2PN + WC Tầng 5: Bếp + 1 PN + WC Tầng 6: Sân phơi + tum + phòng thờ Giá 13,2 tỷ Nhà nằm trên mặt phố Nguyễn Ngọc Nại, sát chợ, có nhiều văn phòng, khách sạn, quán ăn, cà phê, siêu thị, cây xăng, ngân hàng, trường học các cấp ... Nhà đã có Sổ đỏ. Mr Tiến Lucky – chuyên BĐS Thổ cư -  ĐT: 0979.160085",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823908.6427836,,,,,
"15,06 tỷ VNĐ",Khu đấu giá -Trâu Quỳ - Gia Lâm - Hà Nội, 136m2,,"- Cần bán nhanh thửa đất tại khu đấu giá 31ha trung tâm TT Trâu Quỳ - Gia Lâm – Hà Nội.- Diện tích đất 136m2, mặt tiền 6.82m, vỉa hè 2.5m, đường nhựa 13m, đường thông các ngả đi Ngô Xuân Quảng, Thành Trung, Nguyễn Khiêm Ích, UBND huyện, bệnh viện,…..- Kinh doanh vô đối đặc biệt về mảng dịch vụ ăn uống và giải trí, dân cư sầm uất, nhiều nhà hàng, café, quán bia,.. nơi tiếp khách trong và ngoài huyện.- Khu vực trung tâm đang có rất nhiều dư địa tốt như: các dự án nhà phố thương mại và biệt thự đang được triển khai Euro Windows, Hải Phát, Sông Hồng, Vinhomes Ocean Park…đặc biệt là công viên trung tâm và 2 hồ 9 và 19ha sắp được thi công.- Sổ đỏ chính chủ, thiện trí bán sẵn sàng giao dịch, giá chỉ 111tr/m2.Liên hệ xem đất và biết thêm thông tin chi tiết 0982852808, 0948584888 ",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823909.8706236, 7, 13,,,
"5,2 tỷ VNĐ","Đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội", 148m2,,"🎉 Chỉ 2,4 tỷ (45%) sở hữu ngay căn hộ 4 ngủ diện tích 148m2 cho khách hàng vay 50% lãi suất 0% ân hạn gốc và lãi 12 tháng và đặc biệt được miễn 2 năm phí dịch vụ. Nhận nhà ở ngay, sổ đỏ trao tay.📌Địa chỉ: Chung cư Udic Westlake, đường Võ Chí Công, quận Tây Hồ, Hà Nội☎Hotline Em Vân Anh: 0977 568 223   🎯CHÍNH SÁCH ƯU ĐÃI- Chiết khấu lên đến 4% giá trị căn hộ.- Hỗ trợ vay lên đến 70% giá trị căn hộ.- Chỉ cần thanh toán 50% nhận nhà ở ngay.- Chiết khấu thêm 0,5% ONLINES khi liên hệ tại đây. ⚜️Đặc điểm căn hộ-Thiết kế thông minh.- Tiết kiệm diện tích tối đa.- Tối ưu hóa công năng sử dụng.-View nội khu.-Bàn giao nội thất cơ bản: Điều hòa, nóng lạnh, tủ bếp, hút mùi, sàn gỗ, trần thạch cao, gạch caramic, cửa gỗ chống cháy, khóa điện tử, hệ thóng nước, hệ thống đèn điện,...",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823911.0235395,,, 4, 2, Đông nam
"4,9 tỷ VNĐ",Xuân Đỉnh - Bắc Từ Liêm - Hà Nội, 45m2, 5,"Mô tả:-Nhà nằm vị trí vô cùng đẹp ,khu vực đang phát triển từng ngày ,giao thông thuận tiện đủ đường ,vài bước ra khu Ngoại Giao Đoàn ,chưa tới 5p ra Hồ Tây ,thông thẳng tắp Phạm Văn Đồng ,Võ Chí Công ,... - Nhà xây cực kì chắc chắn, mặt tiền 4,6m tha hồ kinh doanh ( nếu không để oto ). -Ngõ to ,rộng ,7 chỗ vào nhà thoải mái ,hàng xóm nhiệt tình thân thiện rất đoàn kết . - Thiết kế mỗi tầng 1 phòng tổng 3pn - Sổ đỏ sẵn sàng giao dịch, gpxd đầy đủ. -Nhà sắp hoàn thiện nên sẽ lấy ảnh thiết kế ,1 tháng nữa bàn giao cho chủ mới . -Giá cả có thương lượng nhẹ cho bác nào thật sự thiện chí. Liên hệ ngay Em Triệu Thổ Cư 0986971596 để được xem nhà miễn phí.",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823912.163501, 4,, 3,,
"6,6 tỷ VNĐ",Đường Nguyễn Khang phường Trung Hòa, 33m2, 6,"Kinh Doanh , VP CTY , GARA Ô TÔ, 2 thoáng vĩnh viễn . nhà nằmtrong khu vực Dân cư đông đúc, Dân trí cao, An ninh , an sinh xã hội tuyệt vời.  Giao thông vô cùng thuận tiện, thông hắp các ngã , Láng , Vũ Phạm Hàm, Trung Yên ..v.v... Gần Trường TH các cấp, Công viên cây xanh , TTTM . Nhà chủ xây cực tâm huyết, chắc chắn, thiết kế theo phong cách hiện đại. Mỗi tầng 1 PN ,WC.  DT 33m2 x 6T , MT 3.4m. Tầng 1 Gara ô tô. Wc. Tầng 2 Phòng khách + Bếp. Tầng 3,4,5 Mỗi tầng 1 PN , WC. Tầng 6 Phòng Thờ , sân phơi. Pháp lý chuẩn, sổ đỏ sẵn sàng giao dịch ngay. Giá 6.6tỷ ( thương lượng ). Liên hệ ngay để được tư vấn, hướng dẫn xem nhà hoàn toàn miễn phí. ",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823913.4640527, 3, 3, 3, 3,
"2,8 tỷ VNĐ","Thượng Thanh, Long Biên", 40m2, 1,"- Ngõ thông Thượng Thanh ô tô thông khắp ngả ra Ngô Gia Tự, Lý Sơn, Đức Giang…đi lại rất thuận tiện + Nhà C4 xác định bán đất, thửa đất vuông đẹp. + Sổ đỏ chính chủ, vuông đẹp và sẵn sàng giao dịch. + Chủ nhà 2 vợ chồng làm Ngân hàng VIB rất phát đạt - Sổ đỏ cất két, giao dịch ngay ",21/05/2022,Tin thường,batdongsan_so_com_vn_1673823914.5871544, 4,,,,
