price,address,Diện tích,Mặt tiền,Lộ giới,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Hướng
105 ngàn VNĐ/m2,Đường Xuân La phường Xuân La quận Tây Hồ, 208.5m2, 11, 3,"Bán đất Xuân La Tây Hồ, mảnh đất nằm tại vị trí đẹp long lanh. Ngõ Rộng thông thoáng ô tô vào đất, cách 70m ra đường ô tô tránh. khu đông dân cư sầm uất giáp với khu ngoại giao đoàn, xung quanh nhiều tiện ích. Có thể buôn bán kinh doanh đều được, chỉ 2 phút ra Hồ Tây. Mặt tiền rộng hơn 11m chia lô hoặc xây chung cư mini tùy ý. - Diện tích : 208,5m - Mặt tiền  : 11,5m - Muốn biết thêm chi tiết xin liên hệ   Mr Dũng : 0825237636 zalo : 0996839398",11/05/2022,Tin thường,batdongsan_so_com_vn_1673825330.8692462,,,,
"1,4 tỷ VNĐ",tỉnh lộ 420, 65m2, 6, 6,"Vị trí: Nằm tại khu trung tâm hành chính xã bình yên -huyện thạch thất- hà nội cách khu công nghệ cao hòa lạc 2,5km cách trường cấp 3 và bệnh viện huyện thạch thất 1,5km cách trường cấp 1-2 -mần non bình yên 1km cách chợ và ủy ban nhân dân 1,6km cách đừng tỉnh lộ 420 rộng 24m đã đổ nhựa toàn tuyến 500m khu dân cư hiện hữu đông đúc thân thiện. Hạ tầng: đồng bộ hạ tầng đã hoàn thiện đường vào khu đất và đường nội khu rộng thoáng. Pháp lý: minh bạch, rõ ràng, sẵn sổ đỏ từng lô sổ đỏ lâu dài Tăng trưởng: ổn định 30%/ năm",11/05/2022,Tin thường,batdongsan_so_com_vn_1673825332.3442996,,,,
"1,8 tỷ VNĐ",đại lộ thăng long, 60m2, 5, 10,"* Chính chủ cần bán Khoang Mái cạnh đường đôi nhà máy in tiền đường vào 12m kinh doanh đỉnh. Liên hệ em Nhật SĐT 0399.007.203 Hoặc add zalo để nhận ngay 2 chỉ vàng cho khách hàng liên hệ sớm nhất.* Thông tin mô tả khu 34 lô Khoang Mái.- Diện tích dao động từ 65 - 92m2.- Mặt tiền 5,5m.* Nằm ở vị trí đắc địa, cửa ngõ khu công nghệ cao.- Cách đường vành đai công nghệ 50m.- Cách đại lộ Thăng Long 300m.- Sát ngay nhà máy In Tiền Quốc Gia.- Cách trung tâm tổ hợp y tế 700m.- Gần tổ hợp các nhà máy của Vingroup.* Giá 1,3 tỷ.* Pháp lý.- Sổ đỏ từng lô công chứng trong ngày.- Vị trí thích hợp đầu tư ngắn hạn từ 4 - 6 tháng lợi nhuận từ 10 - 20% hoặc xây trọ cho thuê, với lượng công nhân cực kỳ đông đúc, giao thông thuận tiện.* Hỗ trợ xe đưa đón khách từ hà nội và vay vốn ngân hàng 60% giá trị đất.* Liên hệ em Nhật SĐT 0399.007.203 Hoặc add zalo để nhận ngay 2 chỉ vàng cho khách hàng liên hệ sớm nhất.",11/05/2022,Tin thường,batdongsan_so_com_vn_1673825333.7435553,,,,
"2,5 tỷ VNĐ",phú cát, 100m2,,,"Liên hệ: Mr Nhật: 0399007***.Lô đất nằm tại khu TĐC Vai Réo, xã Phú Cát, huyện Quốc Oai & chạy thẳng sang khu cầu Nông Lâm, đường chính vào các thôn của xã Phú Cát,...* Vị trí:- Cách QL21 chỉ 500m.- Nằm trong lõi khu đô thị vệ tinh Hòa Lạc, hạ tầng giao thông đường ĐỒNG BỘ hình bàn cờ - đường nhựa 10m, vỉa hè mỗi bên 3m.- Sát khu công nghệ cao 2, Vingroup 200m & cách tổ hợp y tế 1km.- Dân cư hiện hữu, gần hồ Vai Réo.- Gần chợ, trường cấp 1, cấp 2, UBND, nhà văn hóa.* Mua để ở, kinh doanh hoặc xây phòng trọ, khách sạn, nhà hàng, đều tốt.* Pháp lý an toàn:- Sẵn sổ đỏ - sang tên được ngay trong ngày.Liên hệ: Mr Nhật: 0399007203.Thông tin tóm tắt: Cần bán lô tái định cư Vai Réo, phú cát mặt tiền 5m đường rộng 16m - sát công nghệ cao & sẵn sổ.Địa chỉ chi tiết: Đường Vai Réo, Xã Phú Cát, Quốc Oai, Hà Nội.Số ĐT: 0399007203.Mặt tiền: 5m.",11/05/2022,Tin thường,batdongsan_so_com_vn_1673825334.9743106,,,,
"1,5 tỷ VNĐ",tân xã, 70m2, 5, 6,"Chính chủ bán gấp lô đất trục chính Tân Xã. Xung quanh đã kinh doanh thuê trọ, gần CNC, cách ĐH FPT 5P di chuyển. LH ngay 0399007203.Chính chủ cần bán lô đất trục chính thôn xã Tân Xã, Thạch Thất Hoà Lạc đường rộng mở rộng. Cách CNC chỉ 500m, ĐH FPT chỉ 2km.- Diện tích 60m2 mặt đường trục chính rộng 8m.- Cách vành đai CNC chỉ 200m, CNC 500m, đh FPT 1,3km.- Vị trí đắc địa phù hợp kinh doanh tạo dòng tiền như cửa hàng, nhà trọ.- Tiềm năng tăng giá cao, đường thông, rộng rãi.- Vị trí đất thoáng, mặt trước thoáng mát.- Phù hợp xây ở hoặc làm dịch vụ kinh doanh, thanh khoản cho cán bộ, kỹ sư, giảng viên khu CNC và các trường đại học.- Dân cư đông đúc, dân trí cao, kinh doanh nhà trọ.- Dãy đường có đèn cao áp chiếu sáng.- LH chính chủ hoặc add zalo 0399007203.",11/05/2022,Tin thường,batdongsan_so_com_vn_1673825336.2748313,,,,
"5,1 tỷ VNĐ",phố Trần Duy Hưng phường Yên Hòa, 40m2, 5,,"Chủ nhà gửi bán nhà mới xây, phố Trần Duy Hưng phường Yên Hòa Quận Cầu Giấy, ngõ thông, khu vực kinh doanh xầm uất ngày đêm. Đường trước nhà xe ba gác vào tận cửa Diện tích: 40m2, mặt tiền 5.7m, nhà gồm 5 tầng. Giá bán 5.1 tỷ - Thiết kế cơ bản, mỗi tầng 1 ngủ khép kín. - Nhà hiện đang lắp đặt nội thất, chủ mới đến là có nhà ở ngay Nhà phù hợp an sinh, kết hợp kinh doanh, giữ tiền. - Sổ đỏ chính chủ, sang tên trong ngày. Để biết thêm thông tin, xem chi tiết căn nhà anh chị liên hệ 0792122918 để nhận thêm thông tin",11/05/2022,Tin thường,batdongsan_so_com_vn_1673825337.407799, 5, 4, 4,
"9,6 tỷ VNĐ","Sơn Đồng, Hoài Đức, Hà Nội", 86m2,,,"Đón sóng hạ tầng Vành Đai 3.5 và Hoài Đức lên quận. Sở hữu lnhà phố 4.5 tầng - hỗ trợ lãi suất 0% trong 12 tháng.Trả trước 30% sở hữu ngay căn 4.5 tầng cùng gói vay lãi suất 0% /12 tháng.Chiết khấu 5% cho phương án thanh toán sớm.Vốn đầu tư thấp - Đòn bẩy ngân hàng dài hạn - Dự án tốt nhất Hà Nội hiện nay cho phương án giữ tài sản.-----------------------☑️✅Thông tin dự án.Cần bán một số lô thuốc dự án đấu giá Sơn Đồng Center, giá siêu đầu tư.Hiện tôi đang có 1 số lô dự án đất đấu giá làng nghề Sơn Đồng giá đầu tư.Thông tin dự án.- Dự án: Khu đấu giá làng nghề Sơn Đồng, Hoài Đức.- Tên thương mại: Sơn Đồng Center.- Vị trí: Xã Sơn Đồng, H. Hoài Đức, Tp. Hà Nội.- Chủ đầu tư: MB Land Invest.- Tổng diện tích: 25.837m2.- Số lượng: 150 căn liền kề.- Diện tích từ: 70m2 - 103m2.- Xây dựng: 4.5 tầng.- Loại hình: Liền kề, Shophouse.- Bàn giao: Xây thô hoàn thiện ngoài.- Hạ tầng đã xong, hiện đang xây thô - sổ đỏ chính chủ - đất ở lâu dài. ———--------------------------------✔️ Liên hệ Hotline: : 0779273787",11/05/2022,Tin thường,batdongsan_so_com_vn_1673825338.708321,,,,
"7,7 tỷ VNĐ",Hàng Bè Kiến Hưng Hà Đông, 55m2, 4,,"- Chính chủ cần bán nhà KĐT Kiến Hưng Hà Đông 5 tầng. 55m2. mặt tiền 4m . 7.7 tỷ. Đường 13m bao gồm vỉa hè cây xanh, ô tô tránh nhau siêu rộng. 0968608331- Vị trí căn nhà nằm trong khu đô thị nên được hưởng toàn bộ tiện ích như sân bóng công viên, gần trường cấp 1 cấp 2 Kiến Hưng, chợ Kiến Hưng- Dân cư qua lại đông đúc với dân trí cực cao, nhà cao tầng san sát nhộn nhịp, có thể kinh doanh.- Gần điểm xe bus, trường mầm non, sân chơi.- Nhà 5 tầng xây mới kiên cố cực đẹp. Với trần thạch cao, cửa gỗ lim cầu thang gỗ lim, cửa thông phòng toàn bộ làm bằng gỗ lim cao cấp, tủ trạn bếp đầy đủ, chỉ việc về ở .+ Tầng 1 thông phòng để kinh doanh+ Tầng 2: Phòng khách + phòng bếp + vệ sinh+ Tầng 3+4: 2 phòng ngủ + vệ sinh+ Tầng 5: Phòng thờ sân phơi- Giá cả có thương lượng nếu khách nhiệt tình ( Bao sang tên sang sổ )- Hỗ trợ vay vốn lên đến 70 % cho các khách hàng có nhu cầu- Liên Hệ Mr. Khắc Anh để biết thêm thông tin. 0968608331",11/05/2022,Tin thường,batdongsan_so_com_vn_1673825340.3978012,, 4, 4,
50 ngàn VNĐ,Đường Phạm Hùng phường Mỹ Đình 2, 107m2,, 1,"
    Quy mô: Tòa tháp 36 tầng (bao gồm 4 tầng hầm).+ Bãi đỗ xe: 11.926,56m2.+ Khu căn hộ chung cư: 42.670,72m2.- Khu trung tâm thương mại cao cấp, nhà hàng với các thương hiệu nổi tiếng.- Phòng khám đa khoa hiện đại cung cấp dịch vụ chăm sóc sức khoẻ theo tiêu chuẩn quốc tế cho mọi lứa tuổi.Tiện ích ngoại khu.- Các cơ quan hành chính sự nghiệp và ngân hàng thuộc phố Duy Tân và Trần Thái Tông.Tiện ích nội khu:- Vườn hoa công viên giải trí dành cho cư dân.Là một trong những dự án căn hộ cao cấp tiêu chuẩn 5 sao + còn hàng bán trực tiếp từ chủ đầu tư nằm ở ngay mặt đường Phạm Hùng tuyến đường tuyệt đẹp của những công trình nổi tiếng như: Keangnam Landmark Hanoi 72, Indochina Plaza Hanoi, Khu đô thị Mễ Trì Hạ, các công viên lớn như công viên cầu giấy, hồ điều hoà cầu giấy, đại sứ quán Mỹ,...
",11/05/2022,Tin thường,batdongsan_so_com_vn_1673825341.7701857, 14, 3, 2,
"1,85 tỷ VNĐ",Đường truong sa phường Đông Anh, 66m2,, 1,"
    EM CẦN BÁN GẤP ĐỂ SANG ĐỊNH CƯ NƯỚC NGOÀI AI CÓ NHU CẦU LIÊN HỆ E Ạ
",11/05/2022,Tin thường,batdongsan_so_com_vn_1673825343.757912, 1, 2, 2,
