price,address,Diện tích,Lộ giới,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Mặt tiền,Hướng
"88,888888 triệu VNĐ/m2","Trâu Quỳ, Gia Lâm, Hà Nội", 40m2, 11,"Tôi có lô đất tại trung tâm thị trấn Trâu Quỳ, Gia Lâm, Hà Nội cần bán GẤP. Diện tích đất: 40m2. Khuôn vuông vắn. Đường trước nhà rộng 10m có vỉa hè. Đảm bảo: Chuẩn pháp lý, không tranh chấp, không quy hoạch. Thông tin liên hệ: Mr. Hoàng Nam – 0926782459.",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784466.4334464,,,,,
26 tỷ VNĐ,"Đường Tạ Quang Bửu, Bách Khoa, Hai Bà Trưng", 162m2, 4," Kênh đầu tư giữ tiền, an toàn, sinh lời hót nhất hiện nay.
 Dòng tiền tối thiểu bằng gửi Ngân Hàng , lên đến 1,8 Tỷ/năm
 Giá trị BĐS , tài sản ròng tăng theo năm tháng.
 1 tháng mua lại được 1 m2 đất khu đất vàng quận Hai Bà Trưng.
 Nhà vị trí đắc địa, ô tô vào nhà, thang máy…
 
Khu vực rất hiếm nhà bán.

Lh: 0945676597 em Dũng để được tư vấn , hỗ trợ.
",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784467.7210011, 6, 20, 21,,
"3,3 tỷ VNĐ","💥Chính chủ bán nhà SĐCC ở phố Lụa, phường Vạn Phúc, Hà Đông, 3,3 tỷ; 0969192319", 22m2,,"💥Chính chủ bán nhà SĐCC ở phố Lụa, phường Vạn Phúc, Hà Đông, 3,3 tỷ; 0969192319 - Diện tích: 22m2, từ tầng 3- tầng 5: 26m2, nhà hiện đang kinh doanh cắt tóc- Ngõ thông, ô tô qua nhà. Vị trí trung tâm, khu dân trí cao, kinh doanh thuận tiện- Sổ đỏ chính chủ - Giá bán: 3 tỷ 300tr- LH chính chủ: Mr Tuấn 0969192319 (call) hoặc 0934494363 (Zalo)   http://www.sanbatdongsanviet.com.vn",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784468.7821627,,,,,
"6,15 tỷ VNĐ","Thanh Xuân, Hà Nội", 46m2,,"+ Diện tích: 46 m. + Mặt tiền: 4 m. + Sổ đỏ phân lô, chính chủ. + Giá bán: 6,15 tỷ.   - Vị trí:  + Nhà phân lô, trước nhà ngõ ô tô dừng đỗ vài chục chiếc. + Gần phố Trường Chinh, gần nút giao thông Ngã Tư Vọng. + Bán kính 1 km Đại học Kinh tế Quốc dân, Đại học y, Đại học Bách khoa, Bệnh viện Bạch Mai, Bệnh viện Việt Pháp...  - Khu vực:   + Trục vành đai 2, Quốc lộ 1 cũ giao thông thuận tiện nhiều hướng. + Cơ sở hạ tầng đang quy hoạch phát triển mạnh. + Tiềm năng giá trị nhà đất tăng cao.  - Thiết kế: + Nhà hai thoáng Phong Thủy tốt. + Phong cách hiện đại tối ưu hóa công năng sử dụng có ô chờ thang máy. + Tổng 6 ngủ, bếp, phòng khách,  khu tiểu cảnh.  - Nhà phù hợp nhiều đối tượng khách hàng: + Mua để ở. + Vừa ở vừa kinh doanh. + Đầu tư lướt sóng.    - Liên hệ:Mr Hải, 0946 921 974, Chuyên gia tư vấn, mua bán Bất động sản khu vực: Cù Chính Lan, Hà Kế Tấn, Hồ Rùa, Hoàng Văn Thái, Lê Trọng Tấn, Nguyễn Lân, Nguyễn Ngọc Nại, Nguyễn Trãi, Nguyễn Văn Trỗi, Nguyễn Viết Xuân, Phương Liệt, Tô Vĩnh Diện, Trần Điền,  Trịnh Đình Cửu, Trường Chinh,Đường Vành Đai 2, Đường Vành Đai 3, Vũ Tông Phan, Vương Thừa Vũ,... (Anh, chị, em Môi giới, QC xin không làm phiền). ",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784469.9061553,,,,,
"15,5 tỷ VNĐ",PHƯỜNG NAM ĐỒNG QUẬN ĐỐNG ĐA, 23m2,,"CỰC HIẾM BÁN NHÀ MẶT PHỐ XÃ ĐÀN  NGAY NGÃ 6 XÃ ĐÀN VỚI Ô CHỢ DỪA VỈA HÈ KINH DOANH+ DT. 23/33M2*6 TẦNG – MẶT TIỀN 4M. + GIÁ. 15.5 TỶ ĐỐNG ĐA + Vị trí nhà ngay ngã 6 Xã Đàn - Ô Chợ Dừa - Nguyễn Lương Bằng - Tôn Đức Thắng - Khâm Thiên - Đê La Thành, 6 tầng mới đẹp long lanh cực đắc địa. Nội thất đẹp long lanh, cửa gỗ đẹp, cầu thang tay vịn gỗ lim. Vỉa hè mênh mông đá banh, ôtô dừng đỗ trên vỉa hè. Kinh doanh bất chấp mọi loại hình.+ Sổ đỏ chính chủ vuông vắn nở hậu.+ Giá có thương lượng.+ Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn. + Tư vấn 24/7. ",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784472.1162271,,,,,
"3,5 tỷ VNĐ","Đường Thái Thịnh, Ngã Tư Sở, Đống Đa", 39m2, 3,"
    VỊ TRÍ ĐẸP - LÔ GÓC - 10M RA Ô TÔ - 3PN ĐẦY ĐỦ CÔNG NĂNG Khu vip Thái Thịnh TT Q Đống Đa ở sướng cực hiếm với thông số diện tích 39m2x5 tầng, mặt tiền 3.8m, giá 3.5 tỷ( có thương lượng).- Nhà thiết kế khung cột kiên cố chắc chắn, khách về ở luôn.+ Tầng 1: phòng khách + phòng bếp + wc. + Tầng 2 + 3 + 4: Mỗi tầng 1 phòng rộng + wc. + Tầng 5: Phòng thờ + sân phơi.Đường vào nhà ô tô tránh, xung quanh đầy đủ tiện ích, gần chợ Vĩnh Hồ, trường học các cấp, rất thuận tiện sinh hoạt.- khu dân trí cao an ninh tốt hàng xóm thân thiện, giao thông đi lại thuận tiện.- Sổ đỏ chính chủ, nở hậu.Xem nhà Alo E Phụng 0968593755.
",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784472.9979007, 5, 3, 4, 3,
21 tỷ VNĐ,dịch vọng, 63m2,,"BÁN NHÀ MẶT PHỐ TRẦN ĐĂNG NINH VỈA HÈ Ô TÔ DT 63M2*5 TẦNG MT 4.2M GIÁ 21 TỶ CẦU GIẤY + Vị trí nhà mặt phố mặt tiền rộng hiếm nhất phố, vỉa hè, thông Nguyễn Khánh Toàn – Nguyễn phong sắc – Cầu Giấy. Tiện ích miễn bàn.+ Hiện trạng 5 tầng, nhà dân xây, gara ô tô, phòng khách, bếp nhà ăn, 4 ngủ, nội thất sang xịn.+ Mặt phố kinh doanh sầm uất phù hợp mọi loại hình.+ Sổ đỏ phân lô A4 cất két sẵn sàng giao dịch.+ Giá thương lượng.+ Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7. ",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784473.9503534,,,,,
45 tỷ VNĐ,"Đường Ngụy Như Kon Tum, Nhân Chính, Thanh Xuân", 100m2, 8," NHÀ ĐẸP LUNG LINH - VỊ TRÍ HIẾM CÓ - ĐỈNH CHÓP - LÔ GÓC - KINH DOANH ĐA NGÀNH - SỔ HOÀN CÔNG NGỤY NHƯ KON TUM- NHÂN CHÍNH- THANH XUÂN CỰC VIP 100M 8 TẦNG, CHỈ CẦN KHÁCH THÍCH GIÁ NÀO CŨNG BÁN.

 Vị trí đẹp hiếm có, lô góc, cách mặt phố 30M, vỉa hè, oto tránh nhau, dừng đỗ thoải mái, ngõ thông các ngả, kinh doanh đỉnh chóp.

 Nhà mới xây vài năm, còn mới đẹp, nội thất đầy đủ, sử dụng ngay được.

- Tầng hầm.
- Tầng 1,2,3: Thông Sàn.
- Tầng 4,5,6: Mỗi tầng 2 phòng, wc.
- Tầng 7: Phòng thờ, sân phơi.

Sổ đỏ chính chủ GIAO DỊCH NGAY.
LIÊN HỆ EM 24/24 NHA
",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784475.1611147, 7, 8, 10, 10,
28 tỷ VNĐ,"Đường Giảng Võ, Cát Linh, Đống Đa", 70m2, 8,"PHỐ VIP - HIẾM NHÀ BÁN PHỐ GIẢNG VÕ- CÁT LINH- ĐỐNG ĐA - GIAO THƯƠNG THUẬN LỢI - VĂN PHÒNG- PHÂN LÔ VÍP.

Mô tả:
- Căn nhà toạ lạc tại ngõ 2 phố Giảng Võ, cạnh bến xe kim mã ,xe buýt tàu điện ngầm cát linh.
tuyến huyết mạch kết nối giữa quận Đống Đa - Ba Đình, giao thông cực thuận lợi, kinh doanh sầm uất. Vài chục bước chân ra Sân Vận Động Hàng Đẫy, Văn Miếu Quốc Tử Giám, 5’ ra Lăng Bác… tiện ích cuộc sống ngập tràn, kinh doanh mọi loại hình.
- phân lô víp nhất khu giảng võ Ba Đình.

- Nhà mặt tiền nét căng 5.8 m, diện tích sử dụng 70/75 m

- Tầng 1 thông sàn hiện chủ nhà làm cơ sở kinh doanh tầng .
- từ tầng 2 chia 2 phòng có chỗ lắp thang máy thuận tiện 
- tầng 2,3,4 chia 2 phòng ngủ tầng 5 thêm 1 phòng ngủ, phòng thờ, sân phơi.

- Khu vực hiếm nhà bán, giá cả hợp lý
LIÊN HỆ EM NGAY 24/24 ĐỂ THƯƠNG LƯỢNG VỀ GIÁ NHÉ
",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784476.19136, 5, 7, 8, 5,
"3,2 tỷ VNĐ","Đường Tôn Đức Thắng, Ô Chợ Dừa, Đống Đa", 30m2, 10," Tầng 1 bán hàng kinh doanh , phù hợp với hàng ăn, quán ăn, tiệm tạp hóa  + Vị trí mặt ngõ chính ba gác nhỏ  + Nhà 2 tầng 2 ngủ đủ công năng phòng nào cũng có nhà vệ sinh. Tầng trên cùng là sân phơi.  Chủ mới mua về xây 3 4 tầng vừa ở vừa kinh doanh thaori mái  Mùa bóng qua đi nên cần bán gấp.  LH ngay em Hùng: 094 665 8282 (Miễn trung gian-xem nhà 24/7-100% thông tin nhà thật)",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784477.099928, 2, 2, 2,,
