price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Số phòng ngủ,Số toilet,Lộ giới
"41,5 tỷ VNĐ","Nguyễn Sơn, Long Biên, Hà Nội", 107m2, 14, 6,"+Bán nhà mặt phố Nguyễn Sơn, DT 107m2, 6 tầng, mặt tiền siêu khủng 14m, vỉa hè, kinh doanh siêu hot. + Vị trí đẹp nhất quận Long Biên, gần ngã tư Nguyễn Văn Cừ - Nguyễn Sơn, vỉa hè rộng, mặt tiền siêu khủng 14m, phù hợp mọi loại hình kinh doanh hoặc xây TTTM, khách sạn... + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch. + Liên hệ xem nhà miễn phí 24/7: Dũng chuyên Bất động sản thổ cư HN 0948677782.",13/05/2022,Tin thường,batdongsan_so_com_vn_1673825021.408826,,,,
36 triệu /tháng,"Đường Võ Chí Công, quận Tây Hồ, Hà Nội", 255m2,,,"⚠️ Chỉ 4,2 tỷ (45%) Sở Hữu Ngay Căn Hộ DUPLEX 255m view Sông Hồng, cầu Nhật Tân tại Trung Tâm Tây Hồ. Chiết khấu ngay 3%, tặng ngay 30 triệu quà tân gia, miễn lãi 12 tháng.☎ Hotline VPBH: 0977 568 223📌Vị trí: Khu đô thị Ciputra, mặt đường Võ Chí Công, Tây Hồ, Hà Nội 📮 Chính Sách Bán Hàng- Miễn 2 năm phí dịch vụ- Vay tối đa 50% lãi suất 0% 12-24 tháng- Tặng ngay 30 triệu tiền nội thất- Chiết khấu lên tới 3-4%GTCH 🌱 Thiết kế căn hộ- Diện tích thông thủy: 254.8m2- Gồm 5 ngủ 4 vệ sinh, ban công quanh nhà- View cầu Nhật Tân, view sông Hồng, view nội khu ✴️Loại hình căn hộ khác- 2 ngủ 86m2: 3,3 tỷ- 3 ngủ 126m2, 168m2: 5,3 tỷ- 4 ngủ 148m2: 5,2 tỷ",13/05/2022,Tin thường,batdongsan_so_com_vn_1673825022.8040936, Đông nam, 5, 4,
"11,5 tỷ VNĐ",HỒ TÙNG MẬU, 60m2,, 6,"+ Chính chủ cần bán gấp nhà Hồ Tùng Mậu, Cầu Giấy 6 tầng X 60m2, ô tô tránh, kinh doanh sầm uất, phù hợp mọi mặt hàng,  Quá hiếm ở phân khúc 11 tỷ. + Tiện ích xung quanh đầy đủ, không thiếu thứ gì, gầm nhiều trường đại học lớn trong quận, trường cấp 1, 2 ,3 cấp quốc gia.+ Nhà mới xây, thiết kế hiện đại sang trọng, 6 ngủ đầy đủ công năng, trang thiết bị nội thất đồng bộ cao cấp, có ô chờ thang máy.+ Nhà vừa ở vừa kinh doanh mọi ngành nghề, Văn Phòng, Spa, Phòng Khám....+ Sổ Vuông Đẹp, pháp lý rõ ràng, sẵn sàng giao dịch, chủ nhà rất thiện trí bán.+ Liên hệ em Đức Anh: 0975517689",13/05/2022,Tin thường,batdongsan_so_com_vn_1673825024.0208397,, 6,,
"15,2 tỷ VNĐ",Hà Nội, 70m2,,,"Chính chủ ở có lộc chuyển biệt thự Tây Hồ, bán nhà Giang Văn Minh.Diện tích 70 m2, 7 tầng thang máy.Đầy đủ công năng vị trí đẹp, ô tô tải tránh, quay đầu, nội thất sang sịn mịn.Con phố VIP đất lành nhiều lộc, kinh doanh sầm uất, tương lai rộng mở.Dân trí an ninh tốt, kết nối Giảng Võ, Hào Nam, Cát Linh, Kim Mã, Núi Trúc, Láng Hạ…Sổ chính chủ pháp lý sạch sẵn sàng giao dịch.Chủ thiện chí bán gấp chỉ 15.2 tỷ thương lượng nhiều, khách mua tùy ý trả giá.Liên hệ ngay với Nguyễn Thanh - 0366 555 258.Cam kết tin đăng là đúng.",13/05/2022,Tin thường,batdongsan_so_com_vn_1673825025.0960338,,,,
4 tỷ VNĐ,Thịnh Quang-Đống Đa, 37m2, 5,,"+Nhà nằm ở vị trí trung tâm quận Đống Đa, gần ngay Ngã Tư Sở.+Tiện ích bạt ngàn, ngõ rộng thông thoáng.+Nhà xây dựng chắc chắn, khách mua xách vali về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch.LH: Mr. Hoan, 0925088355, Chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7. ",13/05/2022,Tin thường,batdongsan_so_com_vn_1673825026.1422362,,,,
"3,45 tỷ VNĐ",Phường La Khê, 33m2,,,"Mô tả: +) Ngõ rộng ô tô tránh, xung quanh nhiều tiện ích,…..+) Nhà mới xây năm 2020 chắc chắn, đẹp long lanh+) Thiết kế:- Tầng 1 là Bếp, PK, để xe.- Tầng 2,3: Tổng 4 Phòng ngủ, WC.- Tầng 4: Phòng thờ, sân phơi. Sổ đỏ vuông đẹp, nét, sẵn sàng giao dịch. Giá 3.45 tỷ có thương lượng. Liên hệ: Tôi Quang 0936590234 để được tư vấn và được xem nhà miễn phí.",13/05/2022,Tin thường,batdongsan_so_com_vn_1673825027.2662358,,,,
"5,3 tỷ VNĐ","Hàng Điếu, Hoàn Kiếm, Hà Nội.", 85m2, 6, 3,"Bán nhà mặt phố Hàng Điếu Hoàn Kiếm – Trung tâm phố cổ - 85m2 – MT 6m – Chỉ 5.3 tỷ.  CĂN NHÀ TẠI TRUNG TÂM PHỐ CỔ - HỘ KHẨU QUẬN HOÀN KIẾM – MẶT TIỀN RỘNG - DIỆN TÍCH LỚN CHỈ VỚI 5.3 TỶ.  - Vị trí siêu đẹp tại ngã tư giao với phố Bát Đàn, cách chợ Hàng Da 150m. Nhà nằm mặt phố Hàng Điếu, tiện ích không thiếu thứ gì, ở sướng, hộ khẩu Hoàn Kiếm. - Diện tích sổ 40m2 phòng ngủ, cơi nới phòng khách bếp thêm 40m2, ban công view mặt phố, thêm tầng mái rộng 40m2 sử dụng riêng có mái tôn, khu trồng rau xanh, làm kho có thể cải tạo để ở, tổng diện tích sử dụng tới 120m2. - Chủ là cán bộ đã về hưu muốn bán về ở với các con nên rất thiện chí. - Sổ đỏ pháp lí đầy đủ, chính chủ. Sẵn sàng giao dịch.  Khách quan tâm liên hệ Mr Đức: 0857619534.",13/05/2022,Tin thường,batdongsan_so_com_vn_1673825028.4321184,, 4,,
"4,5 tỷ VNĐ",ngõ 155 Bạch Mai, 35m2, 6, 5,"Tôi chính chủ cần bán nhà ngõ 155 phố Bạch Mai, Hai Bà Trưng.Hà Nội.DT 35mx5T xây mới đẹp long lanh, vuông vắn, thông thoáng, rộng rãi, gia đình ở hoặc cho thuê cực tốt vì gần nhiều trường Đại Học: Bách Khoa, Kinh Tế, Xây Dựng- Thiết kế Châu Âu hiện đại, tối ưu mọi công năng sử dụng+ Tầng 1: Phòng khách, bếp ăn, vệ sinh+ Tầng 2,3,4: Mỗi tầng 1 phòng ngủ rộng, vệ sinh khép kín+ Tầng 5: Phòng thờ, sân phơi- Nội thất mới 100% cao cấp: Hệ thống cửa từ trên xuống dưới + cầu thang + sàn nhà các tầng + tủ bếp tất cả đều được làm bằng gỗ tự nhiên cao cấp, được chính tay chủ nhà là dân trong nghề nội thất thiết kế và sản xuất.- Vị trí: Nhà nằm trong ngách yên tĩnh, cách mặt phố Bạch Mai 1 phút đi bộ. Khu vực xung quanh ngay sát nhiều trường đại học, công sở, bênh viện, buôn bán sầm uất, thuận lợi cả sinh hoạt và làm ăn kinh doanh.- Pháp lý: Sổ đỏ chính chủ.- Giá bán: 4.5 tỷ (có thương lượng) liên hệ chị Yến ĐT:0702138238",13/05/2022,Tin thường,batdongsan_so_com_vn_1673825029.5092366, Nam, 3, 4, 3
6 tỷ VNĐ,"mặt ngõ Thái Hà, Trung Liệt", 55m2, 4, 5,"Bán nhà ngõ 178 Phương Mai đi thông 41 Đông Tác,  Phương Liên, Đống Đa, Hà Nội. Diện tích 50m2 vuông vắn nở hậu đẹp, xây 4 tầng khung cột bê tông kiên cố, có thể lên thêm tầng dễ dàng. Thiết kế hiện đại:- Tầng 1: sân để xe, phòng khách, bếp, phòng ăn, vệ sinh phụ- Tầng 2, 3: mỗi tầng 2 phòng ngủ rộng nhiều ánh sáng, phòng tắm giữa- Tầng 4: phòng thờ, sân phơi- Tầng tum: để làm nơi trồng cây và thưởng trà view thành phố.Hiện trạng nhà còn mới đẹp, các phòng ngủ lát sàn gỗ, cầu thang gỗ lim... gia chủ mới chỉ cần dọn đồ về ở ngay.Vị trí dân trí cao - yên tĩnh và trung tâm cực nhiều tiện ích, trong bán kính 500m là VINCOM Phạm Ngọc Thạch, bệnh viện Bạch Mai, ĐH Bách Khoa, ĐH Y Hà Nội...cùng nhiều hệ thống trường chợ gần nhà.* Sổ đỏ chính chủ. Giá 5,8 tỷ (có thương lượng) liên hệ chị Yến ĐT:0702138238",13/05/2022,Tin thường,batdongsan_so_com_vn_1673825030.4976356, Đông bắc, 6, 6, 2
"1,15 tỷ VNĐ",Đường  phường Hoàng Văn Thụ, 193m2,,,"Chính chủ cần bán nhanh 193m Văn Sơn gần đường Hồ Chí Minh giá 1 tỷ 150tr + Diện tích : 193m2 có 60m thổ cư+ Mặt tiền 6,15m - Dài 31m+ Đường nhựa 4m - ô tô tránh nhau thoải mái; đường thẳng và thông tứ phía+ Cách đường Hồ Chí Minh chỉ 200m+ Khu vực dân cư đông đúc, giao thông thuận tiện+ Sổ đỏ sẵn và đẹp - công chứng ngay ko cần cọcLH Mr Siêu 0394931142",13/05/2022,Tin thường,batdongsan_so_com_vn_1673825031.6295636,,,,
"6,3 tỷ VNĐ","Đường Trần Khát Chân, Hai Bà Trưng, Hà Nội", 50m2, 4, 4,"Mô tả: + Nhà 4 tầng ở trung tâm phố Trần Khát Chân, dân trí cao, văn minh, an ninh tốt, hang xóm thân thiện. + Nhà xây kiên cố, chắc chắn, phòng rộng thoáng. + Khu trung tâm nên ngập tràn tiện ích. + 2 phút lên bờ hồ, Phố cổ + Giao thông rất thuận tiện, Hai bước chân ra chợ Trời, chợ nguyễn cao, bệnh viện Thanh nhàn, 2 phút ra bệnh viện Bạch Mai, Gần các trường học như cấp 1,2,3 và các trường đại học Bách Khoa, KT Quốc Dân, Xây Dựng… + Giá chào 6.3 tỷ, Có thương lượng. + Diện tích 50m2. + Sổ đỏ chính chủ. +Miễn phí tư vấn, xem nhà 100%. + Liên hệ : Nguyễn Dương  0825920555 Để được tư vấn, xem nhà và hỗ trợ tốt nhất.",13/05/2022,Tin thường,batdongsan_so_com_vn_1673825032.7037005,, 4,, 3
4 tỷ VNĐ,Cự Lộc-Thượng Đình-Thanh Xuân, 37m2, 5,,"+Nhà nằm ở vị trí trung tâm quận Thanh Xuân, cách Royal City 50m.+Tiện ích bạt ngàn, ngõ rộng thông thoáng.+Nhà xây dựng chắc chắn, khách mua xách vali về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch.LH: Mr. Hoan, 0925088355, Chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7. ",13/05/2022,Tin thường,batdongsan_so_com_vn_1673825033.6561477,,,,
"9,6 tỷ VNĐ","Vành Đai 3.5, Sơn Đồng, Hoài Đức, Hà Nội", 86m2,,,"☑️✅Thông tin dự án.- Cần bán một số lô thuốc dự án đấu giá Sơn Đồng Center, giá siêu đầu tư.- Hiện tôi đang có 1 số lô dự án đất đấu giá làng nghề Sơn Đồng giá đầu tư.- Thông tin dự án.- Dự án: Khu đấu giá làng nghề Sơn Đồng, Hoài Đức.- Tên thương mại: Sơn Đồng Center.- Vị trí: Xã Sơn Đồng, H. Hoài Đức, Tp. Hà Nội.- Chủ đầu tư: MB Land Invest.- Tổng diện tích: 25.837m2.- Số lượng: 150 căn liền kề.- Diện tích từ: 70m2 - 103m2.- Xây dựng: 4.5 tầng.- Loại hình: Liền kề, Shophouse.- Bàn giao: Xây thô hoàn thiện ngoài.- Hạ tầng đã xong, hiện đang xây thô - sổ đỏ chính chủ - đất ở lâu dài.------------------------☑️✅Tại sao Liền kề Sơn Đồng Center lại hot đến vậy?X2 công năng - X2 lợi nhuận. Vừa có thể để ở vừa có thể đầu tư sinh lời.- Hoài Đức lên quận theo đề án xây dựng huyện thành Quận năm 2023 - 2024.- Nằm ngay giao điểm Trịnh Văn Bô kéo dài và tỉnh lộ 422, di chuyển vào Cầu Giấy chỉ 15phút di chuyển.- Vị trí đắc địa nằm giữa hai tuyến đường huyết mạch vành đai 3.5 & vành đai 4.- Tiềm năng tăng giá lớn theo giai đoạn.- Giá từ 65tr/m2 - Diện tích từ 65m2 - 119m2.———--------------------------------✔️ Liên hệ Hotline: : 0779273787",13/05/2022,Tin thường,batdongsan_so_com_vn_1673825034.6644504,,,,
