price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới,Hướng
"3,39 tỷ VNĐ",Nguyễn Văn Linh, 40m2,"+ Nhà xây 3 tầng bê tông, móng chắc chắn đã tính xây thêm hai tầng nữa. mái tôn chống nóng  3 phòng ngủ, phòng khách, bếp và sân phơi rộng rãi. + Vị trí cách đường ô tô to 3 tránh 20 mét. Là trung tâm Thạch Bàn, gần trường, chợ, trạm y tế. +  Kiến trúc hiện đại, mua về chỉ việc xách va ly đến ở. Cần bán tặng lại toàn bộ nội thất 200 triệu cho khách.  + Sổ đỏ vuông đẹp. Pháp lý chuẩn. ",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817200.2887683,,,,,,
"7,15 tỷ VNĐ",Tư Đình, 55m2,"+ Vị trí cực đẹp, gần sân golf Long Biên. + Nhà phân lô của Lữ đoàn 144 cấp cho cán bộ. Ô tô tránh, đỗ ngày đêm, khu vực phát triển từng ngày.  + Đường thông Cổ Linh, Đàm Quang Trung, đi bộ ra Aeon mall. + Khu dân trí cao, an ninh cực tốt, Lính gác bên cạnh suốt ngày.  + Thiết kế 3 tầng, đang ở tầng 1. Hai tầng trên hiện còn xây thô chủ mới về hoàn thiện nốt, móng cọc cực chắc chắn, giấy phép xây dựng 6 tầng, +Sổ đỏ sẵn sàng sang tên",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817201.8575609,,,,,,
"7,5 tỷ VNĐ","Xã Đàn, Đống Đa", 65m2,"PHỐ XÃ ĐÀN - ĐỐNG ĐA. SIÊU HIẾM - LÔ GÓC 2 MẶT THOÁNG - 3 BƯỚC RA NGÃ 5 Ô CHỢ DỪA. DT: 65m2 x 5 tầng, 13m mặt tiền - giá 7.5 tỷ còn thương lượng Mô tả: + Nhà siêu đẹp, lô góc 2 mặt thoáng, 5m ra ngã năm Ô Chợ Dừa, Xã Đàn, Tôn Đức Thắng, Ô Chợ Dừa, Nguyễn Lương Bằng, Khâm Thiên. Thiết kế: + Tâng 1 là khách + WC. + Tầng 2 là bếp + ngủ + WC. + Tầng 3 là 1 ngủ rộng khép kín. + Tầng 4 là 2 ngủ + WC. + Tầng 5 là thờ + sân phơi + WC. Sổ đỏ chính chủ, cần giao dịch nhanh. Liên hệ 0365176087 Đoàn ( chỉ tiếp khách thiện chí ).",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817203.7405238, 13, 5, 4, 4,,
,Đặng Văn Ngữ, 97m2,"+ Vị trí Siêu Vip trung tâm quận Đống Đa.+ Ngõ ô tô tránh, thông bàn cờ tứ tung. + Cách Phạm Ngọc Thạch Vin com 200m.+ Khu vực dân cư đông đúc,Trường học các cấp, kinh doanh cực sầm uất.+ Mặt tiền 17m đang cho thuê 30 tr/ tháng.+ Sổ đỏ 97m2 Giao dịch ngay",29/06/2022,Tin thường,batdongsan_so_com_vn_1673817206.134122,,,,,,
,Đặng Văn Ngữ, 97m2,"+ Vị trí Siêu Vip trung tâm quận Đống Đa.+ Ngõ ô tô tránh, thông bàn cờ tứ tung. + Cách Phạm Ngọc Thạch Vin com 200m.+ Khu vực dân cư đông đúc,Trường học các cấp, kinh doanh cực sầm uất.+ Mặt tiền 17m đang cho thuê 30 tr/ tháng.+ Sổ đỏ 97m2 Giao dịch ngay",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817207.500469,,,,,,
"5,6 tỷ VNĐ",Thượng Đình, 46m2,"Cần bán căn nhà LÔ GÓC tại Phố Giáp Nhất - Thanh Xuân,- Mặt tiền đẹp: 4.4m.- Diện tích rộng: 46m2- Nhà LÔ GÓC thoáng sáng - Chủ tặng hết nội thất.+ Vị trí nhà đẹp, vài phút ra Ngã Tư Sở, gần Royal City, chợ, trường học các cấp.+ Đường trước nhà rộng thoáng Ô TÔ qua nhà, bãi gửi Ô TÔ cách 20m.+ Thiết kế nhà hiện đại, đầy đủ công năng sử dụng, khách mua về ở ngay.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh.LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817208.742144, 4,, 5,,,
"3,1 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 36m2," ""times="""" new="""" roman"";="""" mso-ansi-language:="""" fr'="""" span="""" p="""" class=""MsoNormalCxSpMiddleSPAN"" fr'-chủ="""" cần="""" bán="""" gấp="""" nhà="""" ngọc="""" thụy="""" vị="""" trí="""" cách="""" mặt="""" phố="""" 90m,="""" ngõ="""" vào="""" rộng,="""" ô="""" tô="""" đỗ="""" 15m,="""" trước="""" có="""" khoảng="""" sân="""" rộng="""" để="""" được="""" rất="""" nhiều="""" xe="""" máy.chủ="""" đang="""" nên="""" hạ="""" chào="""" 500tr="""" chỉ="""" còn="""" 3.1tỷ="""" quá="""" bổ="""" rẻ.="""">Nhà gần Học Viện hậu cần, khu Đô Thị Khai Sơn, trường Việt Pháp...tiện ích xung quanh không thiếu thứ gì, quy hoạch ổn định  ""times="""" new="""" roman"";="""" mso-ansi-language:="""" fr'-="""" diện="""" tích="""" thực="""" tế="""" 36="""" m2,="""" mặt="""" tiền="""" 4m,="""" thiết="""" kế="""" 5="""" tầng="""" khung="""" cột="""" bê="""" tông="""" chắc="""" chắn,="""" nhà="""" mới="""" ở="""" được="""" 4="""" năm="""" nên="""" còn="""" nguyên="""" ,="""" đầy="""" đủ="""" nội="""" thất="""" gồm:="""" bàn="""" ghế,="""" giường="""" tủ,="""" nóng="""" lạnh,="""" điều="""" hòa,="""" chủ="""" để="""" lại="""" hết="""" cho="""" khách="""" mua="""" chỉ="""" việc="""" xách="""" va="""" li="""" về="""" ngay="""" span="""" p="""" class=""MsoNormalCxSpMiddleSPAN"" fr'+="""" 1="""" :span="""" spanphòng="""" +="""" bếp="""" fr'="""">+ Tầng 2, 3, 4 : Mỗi tầng 1 phòng ngủ  ""times="""" new="""" roman"";="""" mso-ansi-language:="""" fr'+="""" tầng="""" 5="""" :="""" phòng="""" thờ="""" +="""" sân="""" phơi,="""" khu="""" trồng="""" rau="""" sạch="""" của="""" gia="""" đình="""" ăn="""" không="""" hết="""" span="""" p="""" class=""MsoNormalCxSpMiddleSPAN"" fr'-="""" sổ="""" đỏ="""" chính="""" chủ,="""" pháp="""" lý="""" rõ="""" ràng="""" sẵn="""" sàng="""" giao="""" dịch="""" ngay="""" fr'="""">   ""times="""" new="""" roman"";="""" mso-ansi-language:="""" fr'.="""" spanspan="""" ·="""" roman"",serif;="""" symbol;="""" fr'="""">+ Liên hệ E Thoa 0982805685-Chuyên nhà đẹp, biệt thự, mặt phố Hà Nội để được tư vấn và xem nhà miễn phí 24/7. Hỗ trợ vay vốn ngân hàng 80% giá trị tài sản ",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817209.9579415, 4, 5, 3, 4, 4,
"13,8 tỷ VNĐ",Phố Mỗ Lao, 60m2,"SHOPHOUSE MỖ LAO - LÔ GÓC - VỈA HÈ RỘNG - 2 MẶT TIỀN ĐƯỜNG - KINH DOANH NGÀY ĐÊM + Mỗ Lao – Hà Đông + Diện tích 60m – 5 tầng – MT15m + Giá chào: 13.8 tỷ + Liên hệ xem nhà: 0902.083139 + Vị trí đắc địa, đẹp nhất KĐT Mỗ Lao, kinh doanh sầm uất ngày đêm, giao thông thuận tiện thông thương các phố Vũ Trọng Khánh, Nguyễn Văn Lộc, Trần Phú, Thanh Bình, Tố Hữu. + Nhà lô góc hai mặt tiền một mặt ngõ một mặt đường 18m ô tô tranh cả phố nhà nào cũng kinh doanh tấp nập. + Nhà bán được hưởng trọn vẹn tiện ích của KĐT Mỗ Lao – Làng Việt kiều Châu Âu không thiếu thứ gì. + Vị trí đẹp phù hợp cho nhiều mô hình kinh doanh khác nhau như Cafe, phòng khám, quầy thuốc…hoặc đặt Văn phòng Cty. + Nhà xây 5 tầng BTCT chịu lực, phong cách kiến trúc hiện đại. - Tầng 1,2: Thông sàn kinh doanh. - Tầng 3,4 : Bố trí mỗi tầng 02 Phòng ngủ WC. - Tầng 5: Bếp, phòng thờ, sân phơi, + Sổ đỏ phân lô chính chủ.",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817211.1288083, 15, 5, 4, 4,,
"9,6 tỷ VNĐ",Đường Hoàng Hoa Thám phường Vĩnh Phúc, 50m2,"





Căn nhà phố Hoàng Hoa Thám ra Công viên Bách Thảo rất gần, nhà đẹp, đường rộng ô tô tránh nhau thoải mái.

+ Diện tích: 50 m2, 5 tầng, mặt tiền 5 m, giá 9,6 tỷ.

+ Thiết kế: - Nhà 5 tầng đẹp, chất, chủ tự xây, nội thất xịn, cầu thang gỗ, vệ sinh cao cấp, hệ thống đèn hiện đại, khách mua chỉ việc xách vali đến ở. Nhà 7 phòng, WC.

- Nhà thoáng trước sau, phòng nào cũng có cửa sổ tràn ngập ánh sáng, khí trời.

+ Vị trí:

- Năm trung tâm quận Ba Đình, gần Bách Thảo, Ngọc Hà, Lăng Bác, Hồ Tây... thoáng mát, di chuyển vào trung tâm rất gần.

- Ngõ to như phố, ô tô tránh thoải mái, kinh doanh sầm uất. + Sổ đỏ chính chủ sẵn sàng giao dịch ngay.

+ LH: Mr Tỏa, 1976, Cầu Giấy.",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817212.393426, 5, 5, 7, 5, 7,
"9,4 tỷ VNĐ",Đường Trần Quốc Hoàn phường Dịch Vọng Hậu, 54m2,"





Căn nhà phố Trần Quốc Hoàn, Cầu Giấy, ra Công viên Nghĩa Đô rất gần, mặt tiền rộng,đẹp rất hiếm có thể ở và kinh doanh, ô tô đỗ vào nhà.

+ Diện tích: 54 m2, 5 tầng, mặt tiền 4,5m, giá 9,4 tỷ.

+ Thiết kế:

- Nhà xây dựng chắc chắn, nội thất xịn, cầu thang gỗ, vệ sinh cao cấp, hệ thống đèn hiện đại. Tổng 5 phòng, WC.

+ Vị trí: - Nằm trung Cầu Giấy, giao thông rất thuận tiện. Vị trí gần các tuyến Pham Tuấn Tài, Phạm Văn Đồng, Trần Đăng Ninh. Khu vực có rất nhiều trường học Từ đại học đến tiểu học và gần chợ sinh viên nổi tiếng.

- Khu dân trí cao, an ninh tốt, tiện ích vây quanh, ba bước ra chợ, bảy bước sang trường học, 1 phút ra công viên tập thể dục. - Vị trí cực đỉnh, phân lô víp. Đường thông tứ ngã, ô tô tránh. + Sổ đỏ chính chủ, sẵn sàng giao dịch.

+ LH: Mr.Tỏa, 1976, Hà Nội.",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817213.568286, 4, 5, 5, 5, 5,
