price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số toilet
"4,3 tỷ VNĐ",Thượng Đình, 34m2, 6, 4,"Bán nhà Ô TÔ dừng đỗ tại Phố Thượng Đình - Thanh Xuân.    - Diện tích: 34m2, 6 Tầng xây mới.    - Giá: 4.3 Tỷ ( Có thương Lượng).+ Vị trí nhà đẹp, thông sang Khương Đình, Nguyễn Trãi, vài phút ra Ngã Tư Sở.+ Nhà cách đường lớn 60m, đường trước nhà rộng thông thoáng, bãi xe Ô TÔ cách 25m.+ Thiết kế nhà hiện đại, sang trọng, nội thất cao cấp, đầy đủ công năng sử dụng, khách mua về ở ngay.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh.LH: Em Hoan, 0925088355, miễn phí xem nhà 24/7.",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815879.1621006,,,
"3,8 tỷ VNĐ","Bồ Đề, Long Biên, Hà Nội", 26m2, 4, 3,"Thiết kế nhà đẹp sang trọng, 26m2 x 4 tầng có full nội thất.+ Vị trí cực đẹp, đường trước nhà rộng, oto tránh dừng thoải mái, kinh doanh siêu đỉnh, đã kinh doanh chỉ có hồng phát.+ An sinh tốt, đi ra TTTM Aeon Mall Long Biên chỉ 10'; xung quanh có trường học, các cửa hàng tiện lợi ( Circle K, Vinmart,...) và gần các bệnh viện (bv Bắc Hà, bv Tâm Anh) - thuận tiện cho việc thăm khám sức khỏe.- Nội thất: có đầy đủ - hàng cao cấp, chất lượng hàng đầu- Sổ đỏ chính chủ - sẵn sàng giao dịch trong phút mốt ☎️Hotline: 09786000*** -  Em Thành Long Biên để được tư vấn, xem nhà miễn phí, hỗ trợ vay vốn ngân hàng, pháp lý, phong thủy, sang tên làm sổ,...",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815880.6780446, 4, 4,
"1,17 tỷ VNĐ",Đường Hoàng Quốc Việt phường Quan Hoa, 60m2, 5, 4,"Vị trí vô cùng đẹp, mặt ngõ ô tô tránh nhau thoải mái, kinh doanh sầm uất. Ngõ dải nhựa thẳng tắp, chỉ tầm 40m ra mặt phố. Giấy tờ sổ đỏ chính chủ; ",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815881.874885, 5, 6, 4
"4,9 tỷ VNĐ",Đường đê la thành, 48m2, 5, 4,Mô tả.+ Nhà nằm mặt ngõ đê la thành lô góc 3 mặt thoáng kinh doanh ngõ thông qua 127 hào nam tiện ích không thiếu thứ gì+ Nhà chủ thiết kế 4 tầng 1 tum khung cột chắc chắn khách mua về sơn lại nước sơn đẹp long lanh.+ Tầng 1:khách bếp wc. + Tầng 2:3: mỗi tầng 2: phỏng ngủ wc.+ Tầng 4: phòng thờ sân phơi rộng+ Tầng 5 tum. Sổ đỏ chính chủ.Alo em Ngọc 0354443201,07/07/2022,Tin thường,batdongsan_so_com_vn_1673815883.0806975, 3,,
320 tỷ VNĐ,"võ chí công, cầu giấy", 915m2, 1, 1,❤️❤️❤️❤️ Siêu phẩm quay trở lại ❤️❤️❤️❤️ Mảnh đất thổ cư em xin nhắc lại là THỔ CƯ. Lô góc—- Siêu hiếm —- Siêu quý giá. ✅✅✅✅✅ . Vị trí trục đường chính giao thông sân bay - phù hợp mọi nhu cầu từ Văn phòng + khách sạn + showroom. . Tổng diện tích 915m trong đó 178m chưa cấp sổ nhưng đương nhiên vấn đề ra sổ quá đơn giản. . Hơn 700m đã được cấp sổ. . Hồ sơ 1 chủ sở hữu không có tranh chấp. . Vị trí hiếm đỉnh cao không có thửa đất thứ 2.. giá chào ; 320 tỷ** AC ALO 0845.790.555 Đỗ Hạnh,07/07/2022,Tin thường,batdongsan_so_com_vn_1673815884.265193, 25,, 1
8 tỷ VNĐ,Đường  phường Long Biên, 50m2,,,"
    Đất thuộc khu vực đẹp nhất Quận Long Biên!!!!!!!!!- Dân trí cao- Đường nội khu, view vườn hoa- Vỉa hè rộng 6m, thoải mái để xe, trồng cây...- Đường ô tô tải tránh- Gần trường mầm non, cấp 1, cấp 2 Long Biên, gần AEON MALL, Bệnh Viện Tâm Anh ... nói chung không thiếu gì- 5 phút di chuyển sang Times City, 10 phút di chuyển sang Hồ Gươm- Khu vực hot, không còn đất để bánDiện tích: 50m2Giá: 8 tỷ ( có thương lượng)Liên hệ ngay : 0886734499 (chính chủ) - Miễn trung gian
",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815885.4500237,,,
"1,1 tỷ VNĐ","Trần Phú, Hà Đông, Hà Nội", 54m2,,," # Qua hiếm, không mấy khi tìm được ở vị trí này, nhà Trần Phú quận Hà Đông, nhà xây chắc, thiết kế đẹp, gara ô tô vào nhà, đường rộng khu phân lô, vỉa hè 2 bên rộng, ở sướng, văn phòng, kinh doanh các loại hình, nhanh tay sở hữu. DT 54m, 6T, mt 4m, giá 11 tỷ. + Vị trí: MÁY IN TIỀN bao quanh là các Chung cư Cao tầng, TTTM Top Market, Big C Hà Đông, Điện Máy Xanh, Trường học các cấp, Chợ sát gần... giao thông đường ô bàn cờ, thông ra đường Trần Phú, Thanh Bình, Vũ Trọng Khánh, Tố Hữu đi đâu cũng tiện. + Sổ đỏ phân lô chính chủ, sẵn sàng giao dịch. # nhanh tay LH: 0983858722 Tình nhà phố ( chuyên bán và nhận ký gửi, nhà đất Thổ cư, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815886.7814617,,,
"7,4 tỷ VNĐ",Vạn Phúc- Hà Đông, 50m2, 5,,"Nhỉnh 7 tỷ, Vạn Phúc, Hà Đông, 50mx5 tầng,KD sầm uất, ô tô tránh, vỉa hè Bán nhà khu vực Vạn Phúc, Hà Đông với thông số vàng diện tích rộng 50m, với 5 tầng thoáng sáng, vừa ở kinh doanh hoặc làm văn phòng quá đẹp. Khu vực dân cư tập trung đông đúc, nhiều toà văn phòng, các chung cư cao tầng, nhiều công ty lớn nhỏ tập trung về đây rất nhiều. Khu vực cực hiếm nhà bán ra căn nào hết căn đó. Xung quanh đầy đủ tiện ích, giao thông thuận lợi cạnh Him Lam, vài bước ra đường Tố Hữu, giáp với Khu đô thị Văn Khê, chạy song song Nguyễn Thanh Bình, ra Đại Mỗ rất gần. Chủ nhà doanh nhân thành đạt, làm ăn thịnh vượng nay chuyển sang nhà biệt thự rộng hơn nên bán gấp trong tháng, gia lộc mạnh. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 7.4 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815888.0351083,,,
"7,4 tỷ VNĐ",Giếng Sen- Hà Đông, 50m2, 5,,"Bán nhà Giếng Sen, Hà Đông, 50mx5T, ô tô tránh, vỉa hè, KD đỉnh, nhỉnh 7 tỷ Bán nhà đẹp được xây dựng trên mảnh đất vượng khí tài lộc, diện tích rộng 50m, với 5 tầng, vỉa hè, đường ô tô tránh, khu vực cực văn minh sầm uất. Dân cư đông đúc, nhiều chung cư và các toà nhà văn phòng cao tầng. Nhà bán thuộc trục chính gần bể bơi La Khê, vài bước chân ra phố Lê Trọng Tấn. Khu vực coi là phố kinh doanh ẩm thực phường La Khê. Giao thông dắc địa đi muôn nơi vài bước ra Quang Trung, giáp với Khu đô Thị Dương Nội, gần An Hưng ra Aeon rất gần, cắt ngang phố Nguyễn Thanh Bình, xuôi xuống Hoài Đức hay ra Yên Nghĩa rất gần,.. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 7.4 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815889.33962,,,
"7,4 tỷ VNĐ",Giếng Sen- Hà Đông, 50m2, 5,,"Bán nhà Giếng Sen, Hà Đông, 50mx5T, ô tô tránh, vỉa hè, KD đỉnh, nhỉnh 7 tỷ Bán nhà đẹp được xây dựng trên mảnh đất vượng khí tài lộc, diện tích rộng 50m, với 5 tầng, vỉa hè, đường ô tô tránh, khu vực cực văn minh sầm uất. Dân cư đông đúc, nhiều chung cư và các toà nhà văn phòng cao tầng. Nhà bán thuộc trục chính gần bể bơi La Khê, vài bước chân ra phố Lê Trọng Tấn. Khu vực coi là phố kinh doanh ẩm thực phường La Khê. Giao thông dắc địa đi muôn nơi vài bước ra Quang Trung, giáp với Khu đô Thị Dương Nội, gần An Hưng ra Aeon rất gần, cắt ngang phố Nguyễn Thanh Bình, xuôi xuống Hoài Đức hay ra Yên Nghĩa rất gần,.. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 7.4 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",07/07/2022,Tin thường,batdongsan_so_com_vn_1673815890.4147768,,,
