price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số toilet,Details,Ngày đăng,Loại tin,id,Số phòng ngủ
22 tỷ VNĐ,Đường 1 phường Việt Hưng, 120m2, 7, 15, 4, 2,""",serif;="""" background:="""" white;="""" color:="""" #001a33;="""" mso-ansi-language:="""" vi'+="""" chủ="""" nhà="""" đại="""" gia,="""" làm="""" ăn="""" phát="""" đạt,="""" spanspan="""" regular"",serif;="""" black;="""" vi'chuyển="""" đổi="""" căn="""" rộng="""" hơn="""" nên="""" muốn="""" vi'="""">nhượng lại căn Biệt thự Nhà vườn hoàn thiện hiện cực kỳ sang trọng và tinh tế. "",serif;="""" background:="""" white;="""" color:="""" black;="""" mso-ansi-language:="""" vi'+="""" nhà="""" trong="""" khu="""" spanspan="""" #001a33;="""" vi'="""" dân="""" trí="""" cao,="""" an="""" ninh="""" và="""" sinh="""" đỉnh.="""" hạ="""" tầng="""" hoàn="""" hảo,="""" g="""">ần tất cả các tiện ích như Siêu thịBig C Long Biên, Bệnh viện Đức Giang, Gần tất cả các trường từ Mầm non đến cấp 1,2,3. Ba bước ra hồ Việt Hưng và các cơ quan hành chính Quận. Hàng xóm Vinhomes Riverside.",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795866.0304756,
"1,12 tỷ VNĐ",Đường Quốc Lộ 3 phường Đông Xuân, 70m2, 4,,,,"Bán 70m2 Thôn Thượng, Đông Xuân, Sóc Sơn. Giá chỉ nhỉnh 1 T.Y.? xíu xiu -S = 70m2 -MT = MH = 4m nở hậu hợp phong thủy. -Đường trước đất 3 thông thoáng. -Cách đường Liên xã dải nhựa chỉ 30m. -Cách trường học và trung tâm hành chính xã chỉ 1km. -Chỉ 5 phút đến trung tâm huyện Sóc sơn. -Sổ đỏ pháp lí chuẩn. xung quanh đầy đủ tiện ích. -LH e Lịch : để xem đất.",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795867.5207691,
"5,027 tỷ VNĐ",Đường 23B phường Tiên Dương, 102m2, 5,,,,"Diện tích: 102.6m2. Mặt tiền = hậu = 5m. Đường trục chính giữa làng, sát chợ KINH DOANH sầm uất.  Cách trung tâm hành chính Đông Anh 1.5km. Cách đường Võ Nguyên Giáp 1km đi lại vô cùng thuận tiện. Cách đường QL23B chỉ 300m.  Rất gần các dự án trọng điểm của Đông Anh: Công viên Kim Quy, tổ hợp y tế TH, công viên phần mềm Vintech, bệnh viện CHI, thành phố thông minh Smart City… Gần sát khu hành chính mới của xã Tiên Dương, khi chuyển về giá sẽ tăng vọt. Sổ đỏ cất két, sẵn sàng sang tên.   Em Huy 0979.696.848",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795868.6754205,
"8,9 tỷ VNĐ",Đường Trần Thái Tông phường Dịch Vọng Hậu, 58m2, 4, 4, 50, 6,"
    
 Mô tả: Nhà có diện tích 58m x 5 tầng, mặt tiền 4m, giá chào 8,9 tỷ giá hạt giẻ nhất khu vực cực ngon bổ giẻ.

Nhà thiết kế 5 tầng nội thất đẹp sẵn ở ngay cách oto tránh chỉ 20m, trước nhà lát gạch đỏ rộng rãi sạch sẽ, đường thoáng ngõ đẹp. 
Tầng 1: Pk bếp wc
Tầng 2: phòng ngủ wc khép kín + phòng đọc sách rất chill
Tầng 3+4: Mỗi tầng 2 phòng wc khép kín. 
Tầng 5: phòng thờ sân phơi. 

Nhà 2 mặt thoáng vĩnh viễn các phòng đều có cửa sổ, khu trung tâm tiện ích đỉnh cao khách mua có thể vừa ở vừa cho thuê ra dòng tiền hàng tháng. 

Sổ vuông phân lô sẵn giao dịch,
Gọi ngay cho em để được tư vấn và xem nhà miễn phí 24/24 SDT/ZALO 0975119558 (Cam kết đúng thông số nha đúng ảnh đăng tin)
",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795870.0004065, 5
23 triệu VNĐ/m2,"Bán đất vị trí đẹp tại xã Đại Thành, Quốc Oai, 23tr/m2; 0984299511", 379m2,,,,,"Bán đất vị trí đẹp tại xã Đại Thành, Quốc Oai, 23tr/m2; 0984299511  Diện tích: 379,4m2. Trong đó có 300m2 đất thổ cư Khu an ninh tốt, giao thông thuận tiện, Đường ôtô, 3 mặt đường Gần trường, gần chợ, gần các tiện ích xung quanh  Giá: 23tr/m2 Liên hệ: 0984299511  http://www.sanbatdongsanviet.com.vn",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795871.4852805,
"5,2 tỷ VNĐ",0946692359, 2254m2,,,,,"Mảnh đất ở thôn Di, xã Minh Quang, huyện Ba Vì, Hà Nội. - Diện tích 2254m2 , đất ở thuộc tờ bản đồ 299 đang đợi cấp sổ.  - Mặt bám đường chính 50m, thế đất khu vực cao và đẹp nhất thôn Di.  - Giá bán 5,2 tỷ .  Liên hệ 0946692359. A Toàn.",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795872.7255213,
"12,8 tỷ VNĐ",Đường Đông Ngạc phường Đông Ngạc, 80m2, 14, 6, 5, 4,""",="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'hot:="""" khu="""" giãn="""" dân="""" ĐÔng="""" ngẠc.="""" vi="""" trí="""" siÊu="""" ĐẸp.lô="""" góc.="""" spanspan="""" initial'Ô="""" tô="""" tránh.="""" span="""" p="""" pspan="""" initial'=""""> Dt:80mx 5 tầng "",="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'="""" mặt="""" tiền:="""" 14m2="""" span="""" p="""" pspan="""" giá:="""" 12,8="""" tỉ(="""" có="""" tl)=""""> -Nhà lô góc hai mặt tiền đối diện là sân bóng thoáng mát, ô tô để ngày đêm. Đường vỉa hè ô tô tránh thông mọi ngả.  "",="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'-="""" nhà="""" thiết="""" kế="""" 5="""" tầng.="""" tầng="""" 1,2="""" thông="""" sàn.="""" span="""" p="""" pspan="""" initial'-tầng="""" 3:="""" 1="""" phòng="""" điều="""" hòa="""" đầy="""" đủ="""" nội="""" thất.="""" initial'=""""> - Tầng 4: thiết kế như 1 căn chung cư 2 ngủ, phòng khách, wc. "",="""" ""san="""" francisco"",="""" ""helvetica="""" neue"",="""" helvetica,="""" ""lucida="""" grande"",="""" roboto,="""" ubuntu,="""" tahoma,="""" ""microsoft="""" sans="""" serif"",="""" arial,="""" sans-serif;="""" white-space:="""" pre-wrap;="""" word-spacing:="""" 0px;="""" text-transform:="""" none;="""" font-weight:="""" 400;="""" color:="""" rgb(0,26,51);="""" font-style:="""" normal;="""" orphans:="""" 2;="""" widows:="""" letter-spacing:="""" background-color:="""" rgb(229,239,255);="""" text-indent:="""" user-select:="""" text;="""" font-variant-ligatures:="""" font-variant-caps:="""" -webkit-text-stroke-width:="""" text-decoration-style:="""" initial;="""" text-decoration-color:="""" initial'="""" -="""" tầng="""" 5:="""" phòng="""" thờ,="""" sân="""" phơi="""" hiện="""" đại.="""" sổ="""" đỏ="""" đẹp="""" tuyệt="""" vời.xem="""" là="""" chốt="""" span="""" p="""" pspan="""" initial'-="""" khu="""" dân="""" trí="""" cao,="""" yên="""" tĩnh,="""" phong="""" thuỷ="""" vượng.="""">Tiện ích xung quanh đầy đủ LH: 0868555552
",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795874.032135, 4
"23,2 tỷ VNĐ",KĐT Văn Phú, 102m2, 20, 12, 5,," [ CỰC HIẾM ] nhà đẹp - lô góc – 5 tầng thang máy - vỉa hè rộng - đường 3 ô tô tránh - diện tích lớn - mặt tiền vòng quanh, siêu rộng – khu buôn bán sầm uất, ngay KĐT Văn Phú quận Hà Đông. + DT 102m, 5T, mt 19.5m + Giá chỉ 23.2 tỷ ( thương lượng ). + Nhà đẹp xây chắc, thiết kế sang trọng, thang máy 5 tầng, thông sàn tầng 1,2 kinh doanh, tổng 4 ngủ, bếp, khách, phòng thờ, sân phơi riêng, về ở ngay. + Sổ đỏ phân lô, pháp lý chuẩn, sẵn sàng giao dịch. # HotLine: 0906113879 Tình nhà đất ( Chuyên Nghiệp – Nhiệt Tình – Hỗ Trợ 24/7 ). ",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795875.3930123, 4
"2,65 tỷ VNĐ",Đường Hoàng Mai phường Hoàng Văn Thụ, 35m2, 4, 1, 3, 2,"- Nhà gần chợ, trường học, tiện ích xung quanh, dân trí cao, gần phố - Nhà 3 tầng, 2 phòng ngủ - Sổ đỏ chính chủ - Chủ nhà cần bán gấp để chuyển công tác. LH: 0365088139
",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795876.5295203, 2
"8,5 tỷ VNĐ",Đường Cù Chính Lan phường Khương Mai, 55m2,, 5, 5,,"Phố Cù Chính Lan cực hiếm nhà bán, phố đẹp lại yên tĩnh giao thông thuận tiện cực kì đáng sống Nhà khu vực phân lô quân đội, an ninh an sinh cực tốt, hàng xóm quan chức Nhà chủ tự xây còn mới đẹp chắc chắn Giao thông thuận tiện qua Trường Chinh, Vương Thừa Vũ, Nguyễn Ngọc Nại, Lê Trọng Tấn Chủ nhà quan chức, đất có lộc cv thuận lợi con cái thành đạt Sổ đỏ chính chủ  ",10/10/2022,Tin thường,batdongsan_so_com_vn_1673795877.6445794, 4
